Affymetrix ID,Gene Symbol,RefSeq,P value (Middle/Young),Ratio (Middle/Young),P value (Old/Young),Ratio (Old/Young),P value (Senescent/Young),Ratio (Senescent/Young)
8140478,PION,NM_017439,1.21E-02,1.53,4.89E-04,2.06,3.04E-04,2.35
7916986,NEGR1,NM_173808,3.77E-06,1.46,1.92E-07,1.7,3.30E-09,2.35
8088636,,---,2.02E-01,1.14,1.24E-01,1.19,1.16E-05,2.35
8103415,C4orf18,NM_001128424,7.61E-01,1.05,1.15E-02,1.58,3.36E-04,2.35
7901054,PLK3,NM_004073,1.60E-03,1.29,7.34E-07,1.88,9.13E-08,2.35
8095834,SHROOM3,NM_020859,1.36E-04,1.69,4.21E-05,1.9,7.53E-06,2.35
8078461,FBXL2,NM_012157,1.65E-04,1.23,1.35E-05,1.34,3.58E-10,2.34
7974335,,---,6.70E-02,1.48,8.08E-03,1.93,3.16E-03,2.34
8114287,SPOCK1,NM_004598,3.23E-01,0.92,5.13E-06,1.89,8.54E-07,2.34
7935553,LOXL4,NM_032211,4.49E-01,1.09,2.60E-04,1.84,3.85E-05,2.33
7904226,SLC22A15,NM_018420,9.72E-01,1,8.51E-01,1.01,5.33E-08,2.33
7946326,OR5P3,NM_153445,1.68E-02,1.29,2.51E-03,1.46,5.90E-06,2.33
8179238,MICA,NM_000247,9.15E-07,1.4,8.72E-08,1.56,2.09E-10,2.33
7921713,F11R,NM_016946,1.07E-02,1.19,1.34E-04,1.39,3.00E-08,2.32
7963567,KRT8,NM_002273,4.06E-02,0.73,8.60E-01,0.97,2.39E-04,2.31
8121861,NCOA7,NM_181782,1.07E-01,1.15,1.07E-04,1.64,1.90E-06,2.31
8003850,CYB5D2,NM_144611,3.10E-01,1.11,1.41E-02,1.35,1.12E-05,2.31
8041508,QPCT,NM_012413,1.04E-01,1.16,2.94E-05,1.78,2.22E-06,2.31
8117045,RBM24,NM_001143942,9.86E-05,1.46,1.26E-05,1.66,2.12E-07,2.3
8021623,SERPINB7,NM_003784,1.15E-03,2.32,8.11E-03,1.96,4.30E-03,2.3
8147469,PGCP,NM_016134,1.69E-01,1.27,9.98E-03,1.71,1.13E-03,2.3
7909503,SERTAD4,NM_019605,2.20E-01,1.18,1.08E-03,1.77,1.20E-04,2.3
8157800,,---,4.86E-01,1.19,5.70E-02,1.74,1.50E-02,2.3
8049532,LRRFIP1,NM_001137550,8.83E-05,1.57,4.58E-05,1.68,1.29E-06,2.29
8024792,EBI3,NM_005755,9.68E-02,1.21,1.70E-03,1.57,2.41E-05,2.29
8132250,BMPER,NM_133468,3.29E-01,1.19,3.29E-02,1.55,1.45E-03,2.29
8083034,CLSTN2,NM_022131,4.02E-01,1.05,8.03E-01,1.02,3.12E-08,2.29
7909510,HHAT,NM_018194,2.71E-02,1.17,8.29E-05,1.48,1.21E-07,2.28
8146921,RDH10,NM_172037,4.63E-02,1.55,5.48E-03,2.03,4.24E-03,2.28
7986789,ATP10A,NM_024490,1.33E-05,1.47,3.27E-06,1.61,2.70E-08,2.28
7945663,CTSD,ENST00000340134,5.33E-01,1.08,3.80E-02,1.37,1.41E-04,2.28
8122720,ULBP2,NM_025217,1.57E-01,1.1,9.16E-02,1.14,2.14E-07,2.28
8104107,TRIML2,NM_173553,3.21E-02,1.19,2.43E-04,1.47,4.49E-07,2.28
7919340,GJA5,NM_005266,4.97E-01,1.04,4.15E-01,1.05,6.78E-08,2.28
8015187,KRTAP1-1,NM_030967,3.26E-05,1.98,5.03E-06,2.42,3.07E-05,2.27
7901969,ROR1,NM_005012,4.33E-02,1.58,1.98E-02,1.78,5.21E-03,2.27
7902660,WDR63,NM_145172,1.61E-01,1.21,1.00E-03,1.8,1.67E-04,2.27
8127549,SLC17A5,NM_012434,2.89E-07,1.49,9.20E-09,1.78,6.01E-10,2.27
8049187,EFHD1,NM_025202,3.60E-02,1.18,3.09E-02,1.2,5.24E-07,2.26
8052004,C2orf61,AK097491,3.24E-03,1.27,7.55E-05,1.5,1.84E-07,2.26
8023598,RNF152,NM_173557,1.79E-01,1.1,2.62E-02,1.2,2.82E-07,2.26
8131944,NFE2L3,NM_004289,5.67E-06,1.59,5.00E-07,1.87,9.50E-08,2.26
8056257,FAP,NM_004460,7.69E-05,1.45,7.43E-07,1.89,1.79E-07,2.26
8061247,RIN2,NM_018993,6.31E-04,1.36,1.05E-05,1.68,2.98E-07,2.25
8113103,C5orf36,NM_001145678,2.90E-01,1.11,4.12E-03,1.42,9.99E-06,2.25
7965110,,---,1.15E-02,1.48,1.70E-03,1.76,2.47E-04,2.25
8166442,FAM3C,NM_014888,6.38E-03,1.28,1.70E-03,1.38,1.08E-06,2.24
7959102,HSPB8,NM_014365,1.61E-02,1.53,2.07E-03,1.88,7.54E-04,2.24
7953211,C12orf5,NM_020375,3.43E-04,1.52,2.67E-05,1.81,3.82E-06,2.24
7988970,KIAA1370,NM_019600,1.87E-02,1.23,6.61E-05,1.62,1.30E-06,2.24
8142540,FAM3C,NM_014888,5.35E-03,1.31,2.62E-03,1.38,2.29E-06,2.23
7948330,OR5B21,NM_001005218,3.92E-03,1.24,1.23E-04,1.43,1.03E-07,2.22
8056968,LOC375295,BC013588,2.48E-05,1.25,3.31E-05,1.26,1.82E-10,2.22
7950425,CHRDL2,NM_015424,2.40E-01,1.1,1.51E-01,1.13,1.28E-06,2.22
8107234,MAN2A1,NM_002372,2.97E-06,1.52,2.25E-08,2.03,2.13E-08,2.21
8122038,TMEM200A,NM_052913,3.29E-03,1.47,1.47E-04,1.85,3.96E-05,2.21
7971369,KCTD4,NM_198404,4.09E-02,1.25,3.56E-04,1.68,2.18E-05,2.21
8041197,YPEL5,NM_001127401,6.67E-02,1.31,5.68E-03,1.61,3.14E-04,2.21
7974689,DACT1,NM_016651,2.00E-02,0.89,4.77E-02,1.11,3.71E-09,2.2
7995697,LPCAT2,NM_017839,4.39E-02,1.12,2.16E-04,1.34,2.54E-08,2.2
8136341,BPGM,NM_199186,1.08E-01,1.15,5.26E-04,1.51,3.87E-06,2.2
7908459,CFH,NM_000186,9.81E-03,1.78,1.46E-04,3.01,4.40E-03,2.2
8160441,CDKN2A,NM_058197,1.40E-02,1.61,4.09E-02,1.5,1.85E-03,2.2
8007228,ATP6V0A1,NM_001130020,1.32E-02,1.21,3.90E-04,1.4,3.09E-07,2.2
8112971,HAPLN1,NM_001884,6.73E-04,0.78,8.83E-03,0.83,5.97E-08,2.2
8020508,RIOK3,NM_003831,1.23E-04,1.26,5.49E-06,1.42,2.56E-09,2.19
8109333,GPX3,NM_002084,6.76E-02,1.13,2.56E-02,1.19,2.24E-07,2.19
8043500,,---,8.01E-02,1.3,2.08E-01,1.22,4.72E-04,2.18
8112980,EDIL3,NM_005711,2.31E-04,1.25,1.83E-06,1.48,3.31E-09,2.18
7927146,CSGALNACT2,NM_018590,3.32E-01,1.09,1.92E-03,1.46,8.92E-06,2.18
8121838,TPD52L1,NM_001003395,8.03E-03,1.91,1.34E-02,1.88,7.74E-03,2.18
8169233,,---,7.86E-01,1.05,1.68E-01,1.32,3.13E-03,2.18
8168674,,---,7.74E-01,1.04,2.35E-01,1.18,2.25E-04,2.18
8150537,SLC20A2,NM_006749,2.17E-03,1.47,4.77E-04,1.66,2.86E-05,2.18
8119067,KCTD20,NM_173562,2.86E-02,1.52,2.01E-02,1.62,2.34E-03,2.18
7917850,ARHGAP29,NM_004815,6.91E-04,1.64,1.19E-03,1.64,7.04E-05,2.18
8015230,KRTAP4-11,NM_033059,1.04E-04,1.74,1.25E-06,2.52,2.28E-05,2.17
8005171,TRPV2,NM_016113,1.99E-01,1.18,4.79E-03,1.56,1.70E-04,2.17
8017850,WIPI1,NM_017983,2.55E-02,1.33,3.55E-04,1.79,7.52E-05,2.17
8143221,ATP6V0A4,NM_020632,1.65E-02,1.18,1.40E-02,1.2,1.09E-07,2.17
7902957,EPHX4,NM_173567,9.43E-04,1.44,2.91E-05,1.79,5.36E-06,2.17
7969574,KRT18,NM_000224,8.63E-01,1.03,1.86E-01,1.28,1.93E-03,2.17
7934154,,---,9.24E-01,0.98,9.28E-01,1.02,3.67E-03,2.17
7931081,PLEKHA1,NM_021622,1.50E-01,1.11,1.05E-02,1.26,9.38E-07,2.17
8131631,HDAC9,NM_178423,2.28E-03,1.46,3.25E-05,1.95,2.36E-05,2.17
7909332,CD55,NM_001114752,1.76E-03,1.44,6.92E-03,1.37,1.30E-05,2.17
7953291,CD9,NM_001769,3.85E-03,1.17,7.50E-05,1.32,5.41E-09,2.17
7983512,SQRDL,NM_021199,1.10E-01,1.28,4.53E-03,1.69,6.24E-04,2.16
8113981,P4HA2,NM_004199,5.79E-02,1.29,1.09E-03,1.73,1.65E-04,2.16
8140468,PION,NM_017439,8.89E-03,1.27,1.53E-04,1.55,2.04E-06,2.16
8089259,,---,8.68E-03,1.51,3.55E-03,1.67,3.94E-04,2.16
8126303,TREM1,NM_018643,4.72E-01,1.06,5.64E-01,1.05,2.52E-06,2.15
8015218,KRTAP4-8,NM_031960,2.60E-04,1.73,3.91E-06,2.5,6.73E-05,2.15
7930304,GSTO1,NM_004832,3.56E-06,1.45,3.16E-06,1.49,8.84E-09,2.15
8153550,NRBP2,NM_178564,1.95E-01,1.09,9.37E-05,1.5,5.58E-07,2.13
8005847,TNFAIP1,NM_021137,4.60E-03,1.3,2.26E-04,1.52,2.47E-06,2.13
8009277,RGS9,NM_003835,3.51E-01,0.97,1.27E-05,1.32,6.56E-10,2.13
7958960,TPCN1,NM_001143819,1.94E-01,1.17,6.69E-03,1.5,1.42E-04,2.13
8174937,ODZ1,NM_014253,5.97E-02,1.11,2.56E-05,1.43,3.60E-08,2.13
8078350,TGFBR2,NM_001024847,5.63E-03,1.23,1.42E-04,1.43,2.71E-07,2.12
7918284,TAF13,NM_005645,1.23E-03,1.36,9.19E-05,1.56,1.58E-06,2.12
8011343,SPATA22,NM_032598,8.87E-01,1.01,5.10E-01,1.04,7.75E-08,2.12
8015223,KRTAP4-12,NM_031854,7.21E-05,1.74,1.30E-06,2.44,2.27E-05,2.12
8019565,KRTAP4-12,NM_031854,7.21E-05,1.74,1.30E-06,2.44,2.27E-05,2.12
8101616,C4orf36,NM_144645,1.70E-02,1.16,2.43E-04,1.33,4.80E-08,2.12
8022176,LAMA1,NM_005559,2.63E-05,1.67,6.74E-06,1.88,3.78E-06,2.12
8150089,TMEM66,NM_016127,1.98E-02,1.1,9.03E-07,1.41,4.97E-10,2.12
8148917,MFSD3,NM_138431,6.25E-02,1.13,2.21E-04,1.38,1.66E-07,2.11
7922095,BRP44,NR_026550,7.10E-06,1.25,1.77E-06,1.31,7.56E-11,2.11
7918426,SLC16A4,NM_004696,1.35E-02,1.59,2.93E-04,2.37,2.14E-03,2.11
7986293,MCTP2,NM_018349,1.27E-02,1.38,1.89E-03,1.59,1.04E-04,2.11
7946321,,---,3.04E-01,1.1,2.61E-02,1.27,1.38E-05,2.1
8120602,OGFRL1,NM_024576,1.51E-05,1.46,7.44E-05,1.41,8.42E-08,2.1
8148385,TG,NM_003235,7.30E-03,1.1,2.47E-05,1.24,9.92E-11,2.1
8139207,INHBA,NM_002192,2.19E-03,1.44,2.44E-03,1.47,2.48E-05,2.1
8118100,MICA,NM_000247,4.64E-06,1.3,2.92E-07,1.44,3.82E-10,2.1
7950524,MAP6,NM_207577,9.99E-02,1.12,9.16E-02,1.14,6.45E-07,2.1
8016390,COPZ2,NM_016429,4.31E-03,1.34,3.03E-05,1.78,7.74E-06,2.1
8171921,DMD,NM_000109,7.21E-03,1.23,2.07E-03,1.31,5.54E-07,2.1
8144267,CLN8,NM_018941,7.04E-06,1.31,6.04E-07,1.44,8.48E-10,2.1
8106210,RGNEF,NM_001080479,2.87E-07,1.56,1.05E-09,2.19,7.44E-09,2.09
8135218,LRRC17,NM_005824,4.86E-04,1.24,1.03E-07,1.73,1.25E-08,2.09
7989785,IGDCC4,NM_020962,2.80E-03,1.3,5.80E-06,1.77,1.31E-06,2.09
8091283,PLOD2,NM_182943,1.18E-02,1.25,1.59E-04,1.54,2.71E-06,2.09
8025421,2-Mar,NM_016496,3.07E-03,1.15,7.43E-07,1.47,2.04E-09,2.09
8042503,MXD1,NM_002357,1.29E-03,1.26,5.26E-07,1.77,1.10E-07,2.09
8117054,CAP2,NM_006366,9.66E-05,1.46,8.60E-06,1.68,7.60E-07,2.08
8047606,NBEAL1,NM_001099273,7.65E-03,1.32,2.57E-03,1.43,1.50E-05,2.07
7930454,PDCD4,NM_145341,4.92E-02,1.19,4.61E-05,1.7,5.93E-06,2.07
8058450,GPR1,NM_005279,2.00E-02,1.24,3.36E-03,1.37,6.89E-06,2.07
8034940,NOTCH3,NM_000435,6.79E-05,1.65,8.55E-05,1.69,1.05E-05,2.07
7934442,SYNPO2L,NM_001114133,1.60E-03,1.28,2.69E-03,1.28,3.28E-07,2.07
8037322,ETHE1,NM_014297,4.39E-05,1.25,3.58E-07,1.46,8.83E-10,2.07
7956524,PIP4K2C,NM_024779,1.46E-01,1.1,1.90E-03,1.3,4.67E-07,2.07
8107133,PAM,NM_000919,2.35E-01,1.16,1.90E-02,1.42,2.97E-04,2.07
7955533,FLJ33996,ENST00000423909,1.63E-04,1.64,2.84E-04,1.64,2.42E-05,2.07
8028991,CYP2S1,NM_030622,1.13E-02,0.71,4.61E-01,0.91,2.18E-04,2.07
8170704,ABCD1,NM_000033,5.59E-02,1.2,1.01E-02,1.32,1.35E-05,2.07
8065920,FER1L4,NR_024377,2.40E-01,1.08,2.56E-03,1.27,2.70E-07,2.06
7902043,DNAJC6,NM_014787,2.47E-01,1.08,3.32E-04,1.39,4.77E-07,2.06
7972750,COL4A1,NM_001845,1.52E-01,1.34,1.18E-02,1.84,8.70E-03,2.06
8077490,LMCD1,NM_014583,6.05E-01,1.11,1.56E-01,1.39,1.15E-02,2.05
8028332,KCNK6,NM_004823,2.34E-01,1.13,1.67E-02,1.33,4.43E-05,2.05
7922756,NMNAT2,NM_015039,1.65E-04,1.4,5.84E-05,1.49,5.14E-07,2.05
8026991,PGPEP1,NM_017712,1.73E-02,1.16,4.78E-05,1.43,1.22E-07,2.05
8054771,SLC35F5,NM_025181,6.58E-04,1.25,6.10E-06,1.49,3.72E-08,2.05
8048870,WDR69,NM_178821,3.23E-01,1.1,1.85E-01,1.15,2.44E-05,2.05
8095139,SRD5A3,NM_024592,1.84E-01,1.17,8.30E-03,1.44,1.34E-04,2.04
8177788,HLA-E,NM_005516,3.74E-04,1.29,1.98E-06,1.62,9.15E-08,2.04
8179103,HLA-E,NM_005516,3.74E-04,1.29,1.98E-06,1.62,9.15E-08,2.04
8154725,KRT18,NM_000224,9.73E-01,0.99,2.50E-01,1.23,2.86E-03,2.04
8155898,PCSK5,NM_006200,2.13E-01,0.89,2.39E-01,1.12,1.52E-05,2.04
7965335,DUSP6,NM_001946,4.26E-02,1.27,7.88E-05,1.95,1.18E-04,2.04
7912898,ATP13A2,NM_022089,8.82E-02,1.1,1.31E-04,1.35,5.87E-08,2.04
7908917,BTG2,NM_006763,1.04E-03,1.35,2.14E-07,2.2,2.14E-06,2.04
7892544,,---,6.60E-01,1.07,5.15E-01,1.12,2.93E-03,2.04
8090803,RAB6B,NM_016577,1.62E-01,1.09,8.43E-02,1.13,3.36E-07,2.03
8100378,RPL21P44,NR_027153,2.73E-01,1.09,4.18E-01,1.07,6.15E-06,2.03
8090193,HEG1,NM_020733,8.32E-01,0.96,7.24E-01,1.08,9.84E-03,2.03
8117890,HLA-E,NM_005516,4.06E-04,1.29,1.91E-06,1.61,9.51E-08,2.03
8047381,CFLAR,NM_003879,3.57E-03,1.35,7.95E-05,1.67,1.15E-05,2.03
8081645,C3orf52,NM_024616,2.06E-03,1.46,1.99E-03,1.5,4.97E-05,2.02
8045533,,---,4.79E-01,1.15,6.12E-01,1.11,8.99E-03,2.02
8146687,ADHFE1,NM_144650,2.84E-02,1.3,3.80E-02,1.3,1.05E-04,2.02
7981346,RAGE,NM_014226,1.18E-03,1.5,7.38E-04,1.58,4.95E-05,2.02
7976496,SERPINA3,NM_001085,5.19E-01,1.05,5.53E-03,1.34,9.31E-06,2.02
7923596,ETNK2,NM_018208,2.42E-03,1.51,3.75E-03,1.51,1.50E-04,2.01
8062023,MAP1LC3A,NM_032514,8.50E-02,1.22,1.19E-02,1.41,1.54E-04,2.01
7933872,EGR2,NM_000399,5.52E-01,0.96,6.07E-07,1.93,1.03E-06,2.01
8015412,JUP,NM_002230,8.00E-02,0.84,2.28E-01,1.13,2.86E-05,2.01
8011093,SLC43A2,NM_152346,7.35E-01,1.01,2.38E-03,1.17,3.95E-09,2
8010243,SYNGR2,NM_004710,2.97E-03,1.21,3.28E-07,1.72,7.67E-08,2
8078014,SLC6A6,NM_003043,5.03E-01,1.04,1.83E-02,0.86,1.06E-07,2
8088180,WNT5A,NM_003392,4.92E-02,1.27,4.49E-04,1.74,1.78E-04,2
7955637,KRT18,NM_199187,7.56E-01,0.96,3.75E-01,1.14,1.13E-03,2
8046488,CDCA7,NM_031942,1.20E-06,0.78,2.05E-11,0.5,1.55E-16,0.12
8003583,KIF22,NM_007317,1.64E-06,0.81,1.31E-10,0.6,1.27E-14,0.28
8127031,MCM3,NM_002388,9.85E-07,0.76,3.57E-11,0.49,2.04E-14,0.22
7994620,KIF22,NM_007317,4.57E-06,0.82,2.77E-10,0.6,2.59E-14,0.29
8055426,MCM6,NM_005915,2.10E-04,0.84,4.31E-10,0.53,6.60E-14,0.23
7957850,GAS2L3,NM_174942,1.17E-03,0.86,2.07E-08,0.61,6.11E-14,0.19
7924096,NEK2,NM_002497,3.75E-03,0.89,7.83E-08,0.67,1.36E-13,0.24
8024900,UHRF1,NM_001048201,6.36E-05,0.81,2.57E-08,0.63,1.18E-13,0.23
8071212,CDC45L,NM_003504,2.34E-04,0.81,4.50E-09,0.53,2.63E-13,0.19
7996211,GINS3,NM_001126129,6.83E-06,0.78,2.00E-09,0.56,3.36E-13,0.26
8062571,FAM83D,NM_030919,2.12E-02,0.92,5.42E-08,0.67,3.89E-13,0.29
8013671,SPAG5,NM_006461,2.23E-02,0.9,5.38E-08,0.59,4.52E-13,0.2
7921033,IQGAP3,NM_178229,5.11E-02,0.93,1.14E-06,0.72,5.01E-13,0.27
8040712,CENPA,NM_001809,1.69E-03,0.86,7.63E-08,0.63,3.36E-13,0.22
7964271,PRIM1,NM_000946,4.45E-04,0.78,4.18E-09,0.43,1.11E-12,0.15
8019842,TYMS,NM_001071,1.00E-01,0.94,2.76E-07,0.69,5.93E-13,0.28
8097857,MND1,NM_032117,1.24E-03,0.81,2.15E-08,0.51,1.14E-12,0.17
7974920,SYNE2,NM_182914,2.49E-01,0.95,3.11E-08,0.56,4.42E-12,0.25
8072687,MCM5,NM_006739,1.77E-04,0.8,3.48E-09,0.52,8.16E-13,0.22
8099524,LDB2,NM_001130834,4.58E-01,1.02,7.29E-02,0.94,1.01E-12,0.32
7900699,CDC20,NM_001255,8.82E-04,0.86,3.07E-07,0.68,6.35E-13,0.27
8173732,TAF9B,NM_015975,4.95E-03,0.86,5.45E-08,0.57,7.11E-13,0.19
8176263,TAF9B,NM_015975,4.95E-03,0.86,5.45E-08,0.57,7.11E-13,0.19
8136869,CASP2,NM_032982,7.79E-03,0.93,1.60E-09,0.67,5.19E-12,0.49
7919642,HIST2H2AB,NM_175065,2.95E-03,0.82,6.11E-08,0.51,1.61E-12,0.15
8108301,KIF20A,NM_005733,1.95E-04,0.79,2.17E-07,0.61,6.52E-13,0.19
7937020,MKI67,NM_002417,2.76E-02,0.89,2.53E-07,0.59,1.90E-12,0.19
7983206,TUBGCP4,NM_014444,9.35E-05,0.87,1.15E-09,0.64,2.49E-12,0.43
8012403,AURKB,NM_004217,2.84E-05,0.77,5.92E-08,0.6,2.45E-12,0.25
8026051,RNASEH2A,NM_006397,2.42E-04,0.85,2.12E-08,0.65,2.44E-12,0.35
8047288,SGOL2,NM_152524,1.06E-02,0.89,1.24E-06,0.7,5.54E-12,0.31
8007071,CDC6,NM_001254,1.19E-03,0.81,9.45E-08,0.54,1.59E-11,0.23
8032491,LMNB2,NM_032737,3.27E-03,0.89,1.33E-07,0.7,9.33E-12,0.4
8013243,SHMT1,NM_004169,2.73E-06,0.75,3.24E-09,0.56,7.93E-12,0.34
8124534,HIST1H4L,NM_003546,5.03E-02,0.91,2.85E-07,0.61,5.71E-12,0.24
8001197,NETO2,NM_018092,1.39E-05,0.73,1.28E-07,0.59,2.47E-12,0.22
8005839,TMEM97,NM_014573,1.24E-03,0.84,3.14E-08,0.58,8.16E-12,0.29
8014233,SLFN11,NM_001104587,6.70E-05,0.77,7.30E-05,0.75,3.54E-12,0.23
8131709,SP4,NM_003112,1.23E-05,0.84,1.74E-08,0.7,1.95E-11,0.49
8163807,PHF19,NM_015651,1.65E-05,0.78,4.27E-09,0.57,9.93E-12,0.34
7923426,UBE2T,NM_014176,1.60E-03,0.83,1.20E-07,0.58,8.28E-12,0.25
7936777,NSMCE4A,NM_017615,6.45E-04,0.89,3.58E-08,0.72,1.61E-11,0.49
7936516,HSPA12A,NM_025015,5.08E-02,0.95,9.63E-05,0.86,4.74E-12,0.45
8144047,PAXIP1,NM_007349,7.75E-05,0.82,2.52E-08,0.63,9.65E-12,0.36
8179228,TCF19,NM_007109,1.35E-01,0.93,3.02E-07,0.63,4.43E-11,0.33
8118086,TCF19,NM_007109,1.07E-01,0.93,2.96E-07,0.63,4.12E-11,0.32
8177947,TCF19,NM_007109,1.07E-01,0.93,2.96E-07,0.63,4.12E-11,0.32
7978846,POLE2,NM_002692,6.16E-03,0.8,6.76E-07,0.5,2.44E-11,0.15
7989657,UNQ353,AY358648,4.26E-03,0.85,3.19E-07,0.6,5.28E-11,0.29
8124380,HIST1H1A,NM_005325,1.22E-03,0.78,1.12E-07,0.49,2.25E-11,0.19
7895665,,---,3.99E-02,0.93,1.68E-06,0.74,1.23E-11,0.38
8063043,UBE2C,NM_181802,1.03E-03,0.82,3.84E-07,0.61,1.57E-11,0.26
7922846,FAM129A,NM_052966,8.01E-05,0.77,3.15E-05,0.74,1.36E-11,0.27
8124166,MBOAT1,NM_001080480,8.26E-01,0.99,1.12E-04,0.71,5.47E-11,0.23
8073062,APOBEC3B,NM_004900,4.22E-03,0.8,6.51E-07,0.54,1.25E-11,0.16
7955736,ESPL1,NM_012291,2.54E-04,0.79,1.15E-07,0.58,3.23E-11,0.28
7991080,BNC1,NM_001717,5.92E-09,0.38,2.77E-09,0.33,2.81E-11,0.16
8064976,DNAJC9,NM_015190,3.35E-02,0.92,2.49E-07,0.67,1.50E-10,0.42
7982204,HMGN2,NM_005517,2.62E-02,0.91,4.16E-08,0.62,3.72E-11,0.38
7985873,C15orf42,NM_152259,2.58E-02,0.86,4.08E-06,0.61,4.62E-11,0.22
8141395,MCM7,NM_005916,2.75E-03,0.83,3.45E-07,0.58,2.89E-11,0.25
8180255,,---,1.31E-01,0.9,7.38E-06,0.6,3.97E-11,0.18
8180321,,---,1.31E-01,0.9,7.38E-06,0.6,3.97E-11,0.18
8051030,SLC5A6,NM_021095,3.52E-06,0.79,4.93E-08,0.69,3.51E-11,0.45
7967736,POLE,NM_006231,2.58E-04,0.82,7.47E-08,0.61,5.52E-11,0.36
8034122,SPC24,NM_182513,1.74E-04,0.75,3.57E-07,0.56,1.30E-11,0.2
8062766,MYBL2,NM_002466,1.82E-02,0.85,9.86E-06,0.63,4.85E-11,0.21
7952179,H2AFX,NM_002105,9.15E-03,0.9,4.24E-07,0.69,6.90E-11,0.41
8020779,DSG2,NM_001943,6.27E-08,0.35,2.55E-09,0.22,1.30E-07,0.3
8124416,HIST1H3D,NM_003530,9.92E-03,0.84,3.80E-07,0.54,5.89E-11,0.23
8112260,DEPDC1B,NM_018369,1.17E-01,0.91,3.02E-06,0.61,9.62E-11,0.24
8034772,ASF1B,NM_018154,1.14E-03,0.78,3.41E-07,0.54,2.90E-11,0.21
8008310,EME1,NM_152463,3.42E-05,0.75,1.27E-07,0.59,2.93E-11,0.3
8124527,HIST1H1B,NM_005322,2.06E-02,0.78,8.23E-06,0.47,3.35E-11,0.08
7954029,CDKN1B,NM_004064,3.22E-05,0.79,2.84E-08,0.6,1.99E-10,0.42
7924603,LBR,NM_002296,1.69E-01,0.93,6.92E-06,0.65,7.85E-11,0.26
8124518,HIST1H2AJ,NM_021066,2.89E-05,0.55,2.15E-08,0.28,4.35E-11,0.09
8104234,TRIP13,NM_004237,8.56E-02,0.92,2.59E-06,0.66,6.74E-11,0.31
8098423,NEIL3,NM_018248,1.56E-02,0.83,1.59E-06,0.55,5.21E-11,0.19
7963157,RACGAP1,NM_013277,7.72E-02,0.92,9.44E-06,0.71,4.99E-11,0.32
7951826,BUD13,NM_032725,3.27E-04,0.85,3.83E-08,0.66,5.87E-11,0.44
7926319,SUV39H2,NM_024670,3.43E-01,0.96,5.86E-05,0.76,1.49E-10,0.37
8000409,HMGN2,NM_005517,3.38E-02,0.91,6.72E-08,0.62,6.37E-11,0.37
7950899,RAB38,NM_022337,9.14E-01,1,3.64E-03,0.84,1.12E-10,0.34
7982663,BUB1B,NM_001211,4.78E-03,0.79,5.28E-06,0.57,5.04E-11,0.17
7953844,DDX12,NM_004400,9.19E-04,0.79,8.48E-07,0.59,5.95E-11,0.26
7910416,URB2,NM_014777,6.04E-03,0.9,3.42E-06,0.76,8.42E-11,0.44
7948229,SLC43A3,NM_017611,3.38E-04,0.86,5.07E-07,0.73,7.50E-11,0.46
8003503,FANCA,NM_000135,4.02E-03,0.82,1.55E-06,0.59,7.64E-11,0.24
7975045,MTHFD1,NM_005956,2.41E-04,0.83,9.36E-07,0.71,3.55E-11,0.39
8082350,MCM2,NM_004526,1.13E-05,0.69,3.06E-08,0.5,4.96E-11,0.26
8140151,RFC2,NM_181471,5.29E-02,0.92,6.19E-07,0.66,2.76E-10,0.4
7926259,MCM10,NM_182751,7.57E-03,0.8,3.69E-06,0.55,1.22E-10,0.19
8075785,FOXRED2,NM_024955,1.01E-05,0.73,8.55E-09,0.52,4.45E-11,0.32
7904465,HIST2H2BA,NR_027337,2.24E-02,0.91,7.59E-07,0.71,9.97E-11,0.43
7991406,PRC1,NM_003981,1.03E-01,0.91,1.50E-05,0.66,8.43E-11,0.25
7947189,CCDC34,NM_030771,1.95E-02,0.9,5.16E-07,0.67,9.95E-11,0.38
8018849,TK1,NM_003258,9.35E-03,0.85,4.86E-06,0.64,4.21E-11,0.25
8068478,CHAF1B,NM_005441,2.03E-03,0.78,7.48E-07,0.53,9.66E-11,0.21
8117408,HIST1H2AE,NM_021052,2.96E-02,0.84,8.88E-06,0.57,1.19E-10,0.18
7945071,FOXRED1,NM_017547,1.90E-04,0.84,6.09E-08,0.67,1.73E-10,0.47
8117594,HIST1H2BM,NM_003521,8.16E-02,0.86,1.26E-05,0.54,9.02E-11,0.14
7903565,GPSM2,NM_013296,3.48E-02,0.87,2.67E-05,0.67,2.00E-10,0.27
8141950,RELN,NM_005045,4.25E-06,0.54,8.53E-09,0.31,3.60E-11,0.12
8103728,HMGB2,NM_001130688,9.95E-03,0.78,5.21E-06,0.5,1.16E-10,0.13
8129120,FAM162B,NM_001085480,1.25E-03,0.88,1.35E-05,0.79,6.71E-11,0.46
7948192,SSRP1,NM_003146,4.28E-03,0.84,3.13E-06,0.64,1.18E-10,0.29
7896287,,---,1.38E-03,0.87,2.42E-06,0.73,7.02E-11,0.41
7933164,HNRNPF,NM_004966,6.29E-04,0.87,2.08E-06,0.77,1.43E-10,0.49
7961031,DDX12,NM_004400,1.72E-03,0.8,1.74E-06,0.61,2.18E-10,0.29
8059838,HJURP,NM_018410,3.87E-02,0.89,7.55E-05,0.73,2.91E-10,0.33
