Affymetrix ID,Gene Symbol,RefSeq,P value (Middle/Young),Ratio (Middle/Young),P value (Old/Young),Ratio (Old/Young),P value (Senescent/Young),Ratio (Senescent/Young)
8031573,RFPL4A,NM_001145014,5.87E-01,0.95,3.79E-01,1.09,3.53E-08,3.82
8109426,GALNT10,AK090581,2.31E-04,1.65,1.06E-05,2.1,7.33E-08,3.79
8118890,SCUBE3,NM_152753,1.06E-05,2.17,7.97E-07,2.91,2.71E-07,3.74
8063497,CASS4,NM_020356,2.33E-07,2.48,1.10E-08,3.59,2.78E-08,3.74
8011415,P2RX5,NM_002561,1.06E-02,1.16,2.43E-05,1.43,5.08E-11,3.72
7906919,RGS4,NM_001102445,5.19E-02,1.95,4.58E-02,2.09,4.07E-03,3.71
8097098,USP53,NM_019050,1.09E-02,1.54,4.15E-04,2.1,6.30E-06,3.71
8097628,HHIP,NM_022475,7.33E-03,2.04,1.83E-01,1.4,3.32E-04,3.7
8166469,SAT1,NR_027783,1.25E-03,1.34,1.71E-06,1.9,2.34E-09,3.7
8031570,RFPL4A,NM_001145014,3.70E-01,0.94,3.50E-01,1.07,1.47E-09,3.7
7989037,CCPG1,NM_004748,1.11E-05,1.51,2.06E-08,2.22,2.63E-10,3.68
8068083,C21orf7,NM_020152,2.38E-02,1.5,2.07E-05,3.07,1.49E-05,3.66
8141206,BAIAP2L1,NM_018842,2.42E-05,1.69,2.95E-07,2.37,1.14E-08,3.64
8037231,PSG3,NM_021016,2.62E-04,2.1,2.07E-03,1.84,8.08E-06,3.63
8108720,PCDHB9,NM_019119,5.29E-05,1.61,7.58E-07,2.17,9.77E-09,3.63
8092169,TNFSF10,NM_003810,9.13E-01,1.02,1.31E-01,1.36,5.44E-05,3.62
7899075,EXTL1,NM_004455,5.86E-03,1.45,7.27E-05,2.02,5.30E-07,3.6
8124448,HIST1H4H,NM_003543,6.63E-01,0.94,3.06E-01,1.17,5.93E-06,3.59
8056877,CHRNA1,NM_001039523,4.26E-02,1.3,3.32E-06,2.71,8.48E-07,3.57
8108683,PCDHB2,NM_018936,1.90E-01,1.17,4.99E-02,1.3,6.42E-07,3.53
8108716,PCDHB16,NM_020957,4.19E-05,1.74,2.22E-07,2.68,5.42E-08,3.51
7893480,,---,1.41E-01,1.13,6.75E-01,0.96,1.40E-08,3.5
7930980,PPAPDC1A,NM_001030059,1.70E-03,1.26,4.86E-06,1.61,3.87E-10,3.5
8152297,ANGPT1,NM_001146,5.69E-05,1.9,3.98E-06,2.46,4.06E-07,3.49
8150509,PLAT,NM_000930,4.73E-03,1.51,1.26E-05,2.49,1.69E-06,3.45
7954631,FAR2,NM_018099,1.04E-04,2.01,2.34E-04,1.97,2.30E-06,3.43
7987145,FMN1,NM_001103184,6.44E-06,2.97,2.11E-05,2.81,1.15E-05,3.41
8145736,NRG1,NM_013958,2.13E-05,1.36,4.24E-08,1.82,4.48E-11,3.38
7899615,SERINC2,NM_178865,6.03E-04,1.42,2.72E-06,1.95,1.35E-08,3.37
7923578,FMOD,NM_002023,5.69E-02,1.23,4.25E-03,1.45,2.86E-07,3.37
8123936,NEDD9,NM_001142393,6.49E-04,1.96,5.27E-05,2.62,1.69E-05,3.36
8180241,,---,4.73E-03,1.31,5.03E-05,1.67,2.05E-08,3.34
7999553,CPPED1,NM_018340,4.02E-10,1.78,1.59E-10,1.95,5.46E-13,3.33
7903144,SLC44A3,NM_001114106,5.39E-01,1.09,1.47E-02,1.51,7.64E-06,3.33
8154367,TYRP1,NM_000550,4.79E-01,0.95,2.81E-02,1.21,6.86E-09,3.32
8117106,RNF144B,NM_182757,1.26E-02,1.59,8.70E-04,2.1,3.62E-05,3.31
