"","x"
"538",5888
"539",10721
"540",5291
"541",1535
"542",84321
"543",23593
"544",10198
"545",54477
"546",80143
"547",23223
"548",57600
"549",6307
"550",55761
"551",1112
"552",8574
"553",51154
"554",4826
"555",55850
"556",83714
"557",3909
"558",55745
"559",29945
"560",27095
"561",9967
"562",29085
"563",51742
"564",23596
"565",10806
"566",5798
"567",55733
"568",23095
"569",2296
"570",25771
"571",23224
"572",10079
"573",25884
"574",23201
"575",84957
"576",2581
"577",51602
"578",26099
"579",3757
"580",8454
"581",10827
"582",26999
"583",23118
"584",116254
"585",5610
"586",57602
"587",58508
"588",23369
"589",84545
"590",54969
"591",51663
"592",55609
"593",7185
"594",54542
"595",55540
"596",10758
"597",8908
"598",131566
"599",6646
"600",2155
"601",2665
"602",639
"603",9474
"604",57095
"605",57504
"606",8975
"607",23200
"608",3918
"609",5218
"610",29927
"611",4659
"612",5923
"613",9696
"614",55718
"615",493
"616",9877
"617",55781
"618",54432
"619",55706
"620",84256
"621",64718
"622",6916
"623",64761
"624",5832
"625",6894
"626",5188
"627",4084
"628",5128
"629",548645
"630",6515
"631",5662
"632",9150
"633",8531
"634",65125
"635",55749
"636",11054
"637",55650
"638",10076
"639",9410
"640",1301
"641",79832
"642",51660
"643",30
"644",586
"645",51564
"646",11178
"647",93166
"648",6676
"649",10787
"650",60488
"651",2983
"652",6433
"653",10188
"654",23041
"655",65056
"656",84649
"657",7771
"658",1431
"659",4058
"660",64951
"661",63916
"662",23063
"663",81671
"664",10513
"665",5424
"666",1975
"667",29998
"668",56848
"669",6141
"670",770
"671",79763
"672",11338
"673",29924
"674",55588
"675",57491
"676",105373378
"677",8776
"678",2817
"679",57143
"680",3029
"681",6047
"682",841
"683",22998
"684",55726
"685",51768
"686",53340
"687",8839
"688",10402
"689",50937
"690",6873
"691",28996
"692",23534
"693",8625
"694",54929
"695",9170
"696",5476
"697",10147
"698",6558
"699",28966
"700",2139
"701",1265
"702",10347
"703",9627
"704",11218
"705",53339
"706",55711
"707",1117
"708",22904
"709",5378
"710",10362
"711",10203
"712",6882
"713",23294
"714",8943
"715",7629
"716",9351
"717",4913
"718",54887
"719",2773
"720",3843
"721",4942
"722",10885
"723",5586
"724",57418
"725",9697
"726",9340
"727",55388
"728",1606
"729",2065
"730",91526
"731",3735
"732",23536
"733",10954
"734",55633
"735",4710
"736",23013
"737",4638
"738",55854
"739",6416
"740",55248
"741",9748
"742",123956252
"743",119391
"744",55176
"745",7089
"746",51665
"747",83641
"748",4199
"749",23216
"750",8621
"751",10797
"752",84679
"753",55810
"754",4904
"755",5141
"756",5525
"757",1994
"758",7075
"759",57609
"760",6602
"761",9682
"762",4802
"763",6550
"764",259266
"765",64834
"766",30834
"767",27107
"768",4287
"769",9950
"770",55631
"771",51015
"772",2009
"773",60487
"774",55623
"775",91283
"776",55102
"777",10565
"778",57623
"779",9650
"780",10734
"781",2235
"782",4649
"783",5214
"784",3422
"785",6672
"786",1316
"787",8611
"788",4756
"789",23471
"790",5255
"791",7132
"792",782
"793",7813
"794",9399
"795",5315
"796",54505
"797",30836
"798",79091
"799",7158
"800",7216
"801",51018
"802",387
"803",1659
"804",5590
"805",55699
"806",6857
"807",89795
"808",3421
"809",79641
"810",6093
"811",865
"812",5165
"813",8692
"814",9759
"815",11186
"816",2261
"817",3430
"818",63897
"819",80347
"820",79990
"821",4205
"822",55593
"823",7030
"824",4943
"825",2182
"826",3632
"827",27238
"828",56850
"829",24140
"830",55771
"831",23250
"832",25885
"833",9741
"834",57217
"835",51447
"836",55133
"837",3796
"838",10235
"839",23198
"840",57560
"841",22933
"842",27248
"843",5526
"844",5307
"845",375449
"846",55746
"847",64710
"848",55737
"849",10294
"850",602
"851",8514
"852",10060
"853",51083
"854",29121
"855",139341
"856",6095
"857",1815
"858",7049
"859",54626
"860",483
"861",4734
"862",9488
"863",5597
"864",10681
"865",5873
"866",27440
"867",7353
"868",4040
"869",57661
"870",8518
"871",4925
"872",5217
"873",5774
"874",2255
"875",23446
"876",54916
"877",23293
"878",10640
"879",8218
"880",10272
"881",9993
"882",55658
"883",4335
"884",79364
"885",23210
"886",5423
"887",55062
"888",57704
"889",3340
"890",440
"891",10947
"892",10610
"893",26986
"894",10420
"895",29105
"896",1459
"897",11099
"898",8891
"899",815
"900",6949
"901",998
"902",26031
"903",56852
"904",490
"905",8440
"906",9448
"907",6160
"908",9948
"909",23161
"910",79658
"911",6196
"912",54556
"913",22846
"914",29995
"915",114049
"916",6400
"917",9319
"918",537
"919",6929
"920",28951
"921",26528
"922",53615
"923",6596
"924",9130
"925",60343
"926",29894
"927",79901
"928",5134
"929",55117
"930",51109
"931",5566
"932",22859
"933",87
"934",23503
"935",27330
"936",22905
"937",26469
"938",55679
"939",10290
"940",84708
"941",224
"942",7037
"943",6720
"944",27125
"945",7321
"946",64398
"947",9886
"948",8243
"949",3028
"950",2011
"951",3161
"952",55743
"953",29953
"954",8974
"955",4775
"956",51095
"957",37
"958",6793
"959",23291
"960",1400
"961",2121
