"","condition","cycle","variant_type","p_value","p_adjusted","significant_p_adjusted"
"1","control","1","stop retained variant",0.00035649826296487,0.00178249131482435,"**"
"2","control","1","missense variant",0.771551973993312,0.903593828391727,NA
"3","control","1","start lost",0.12038443301104,0.202760620023627,NA
"4","control","1","stop gained",0.903593828391727,0.903593828391727,NA
"5","control","1","stop lost",0.121656372014176,0.202760620023627,NA
"6","control","9","stop retained variant",0.000192310081072157,0.000480775202680393,"***"
"7","control","9","missense variant",0.997727762188278,0.997727762188278,NA
"8","control","9","start lost",0.000101543261926251,0.000480775202680393,"***"
"9","control","9","stop gained",0.28622687974279,0.357783599678488,NA
"10","control","9","stop lost",0.00266844439811023,0.00444740733018372,"**"
"11","enu","3","stop retained variant",0.00845908380359767,0.0247793872017033,"*"
"12","enu","3","missense variant",0.049809722494659,0.0830162041577651,NA
"13","enu","3","start lost",0.584836261583227,0.584836261583227,NA
"14","enu","3","stop gained",0.394511816056665,0.493139770070831,NA
"15","enu","3","stop lost",0.00991175488068132,0.0247793872017033,"*"
"16","enu","6","stop retained variant",0.00134148899127448,0.00670744495637238,"**"
"17","enu","6","missense variant",0.00349564603723262,0.00873911509308154,"**"
"18","enu","6","start lost",0.374080042858086,0.62346673809681,NA
"19","enu","6","stop gained",0.648299391952217,0.692527631375762,NA
"20","enu","6","stop lost",0.692527631375762,0.692527631375762,NA
"21","enu","9","stop retained variant",0.0048850651522013,0.0122126628805033,"*"
"22","enu","9","missense variant",8.83998701018702e-07,4.41999350509351e-06,"****"
"23","enu","9","start lost",0.4949733143406,0.698998598762384,NA
"24","enu","9","stop gained",0.641511568660895,0.698998598762384,NA
"25","enu","9","stop lost",0.698998598762384,0.698998598762384,NA
