"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","observed.variant.required","observed.variant.requirement.met"
"ncRNA processing","C1_05_24",0,1,3.7e-24,-1,0.4575,11,FALSE
"ribosome biogenesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"rRNA metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",0,1,3.7e-24,-1,0.425,11,FALSE
"regulation of response to DNA damage stimulus","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"establishment of protein localization to organelle","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"macroautophagy","C1_05_24",0,1,3.7e-24,-1,0.4735,11,FALSE
"regulation of chromosome organization","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"Golgi vesicle transport","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"double-strand break repair","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"histone modification","C1_05_24",0,1,3.7e-24,-1,0.4144,11,FALSE
"sister chromatid segregation","C1_05_24",0,1,3.7e-24,-1,0.5256,11,FALSE
"DNA replication","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.4285,11,FALSE
"mitochondrial gene expression","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"nucleocytoplasmic transport","C1_05_24",0,1,3.7e-24,-1,0.451,11,FALSE
"nuclear transport","C1_05_24",0,1,3.7e-24,-1,0.451,11,FALSE
"regulation of DNA repair","C1_05_24",1,0,3.7e-24,1,0.4877,11,FALSE
"peptidyl-lysine modification","C1_05_24",0,1,3.7e-24,-1,0.436,11,FALSE
"protein targeting","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"cytoplasmic translation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of autophagy","C1_05_24",0,1,3.7e-24,-1,0.4423,11,FALSE
"signal transduction in response to DNA damage","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of intracellular transport","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"protein localization to nucleus","C1_05_24",0,1,3.7e-24,-1,0.452,11,FALSE
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"telomere maintenance","C1_05_24",1,0,3.7e-24,1,0.3635,11,FALSE
"cell cycle checkpoint signaling","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein modification by small protein conjugation or removal","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular respiration","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular component disassembly","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"nuclear chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.47,11,FALSE
"regulation of protein stability","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of cell cycle phase transition","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of protein catabolic process","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"response to endoplasmic reticulum stress","C1_05_24",0,1,3.7e-24,-1,0.5253,11,FALSE
"vesicle organization","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6333,22,FALSE
"mitochondrial respiratory chain complex assembly","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"DNA-templated transcription elongation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of organelle localization","C1_05_24",0,1,3.7e-24,-1,0.4207,11,FALSE
"regulation of intracellular protein transport","C1_05_24",0,1,3.7e-24,-1,0.5312,11,FALSE
"response to UV","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"RNA localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to topologically incorrect protein","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle fission","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"non-membrane-bounded organelle assembly","C1_05_24",0,1,3.7e-24,-1,0.4303,11,FALSE
"protein polyubiquitination","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"methylation","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"phospholipid biosynthetic process","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6492,22,FALSE
"oxidative phosphorylation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of protein localization to membrane","C1_05_24",0,1,3.7e-24,-1,0.5209,11,FALSE
"in utero embryonic development","C1_05_24",0,1,3.7e-24,-1,0.4159,11,FALSE
"vacuole organization","C1_05_24",1,0,3.7e-24,1,0.4398,11,FALSE
"nuclear-transcribed mRNA catabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein folding","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"DNA conformation change","C1_05_24",1,0,3.7e-24,1,0.2135,11,FALSE
"regulation of chromosome segregation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of apoptotic signaling pathway","C1_05_24",0,1,3.7e-24,-1,0.4117,11,FALSE
"cell cycle G2/M phase transition","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"vacuolar transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to ionizing radiation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to UV","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of binding","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"nucleic acid transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"RNA transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribonucleoprotein complex subunit organization","C1_05_24",1,0,3.7e-24,1,0.3839,11,FALSE
"regulation of DNA replication","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribose phosphate metabolic process","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"proton motive force-driven ATP synthesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribonucleotide metabolic process","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"telomere organization","C1_05_24",1,0,3.7e-24,1,0.3826,11,FALSE
"cellular response to topologically incorrect protein","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"Golgi organization","C1_05_24",1,0,3.7e-24,1,0.3291,11,FALSE
"ribonucleoprotein complex assembly","C1_05_24",1,0,3.7e-24,1,0.3653,11,FALSE
"cellular nitrogen compound catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4281,11,FALSE
"negative regulation of phosphorus metabolic process","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"heterocycle catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4249,11,FALSE
"mitochondrial membrane organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein-containing complex assembly","C1_05_24",0,1,3.7e-24,-1,0.4139,11,FALSE
"positive regulation of cellular component biogenesis","C1_05_24",2,1,3.7e-24,0.584962500721156,0.684,22,FALSE
"response to oxidative stress","C1_05_24",0,1,3.7e-24,-1,0.4051,11,FALSE
"regulation of supramolecular fiber organization","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"positive regulation of protein localization","C1_05_24",0,1,3.7e-24,-1,0.4096,11,FALSE
"positive regulation of cell projection organization","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"negative regulation of transferase activity","C1_05_24",0,1,3.7e-24,-1,0.4606,11,FALSE
"autophagy of mitochondrion","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of amide metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"chromatin remodeling","C1_05_24",0,1,3.7e-24,-1,0.461,11,FALSE
"viral process","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6327,22,FALSE
"macromolecule deacylation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitotic cytokinesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"aromatic compound catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4265,11,FALSE
"vesicle localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment or maintenance of cell polarity","C1_05_24",0,1,3.7e-24,-1,0.4855,11,FALSE
"Wnt signaling pathway","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7333,34,FALSE
"cell-cell signaling by wnt","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7328,34,FALSE
"ATP metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to chemical stress","C1_05_24",0,1,3.7e-24,-1,0.4233,11,FALSE
"regulation of vacuole organization","C1_05_24",1,0,3.7e-24,1,0.1255,11,FALSE
"cellular response to external stimulus","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"negative regulation of protein phosphorylation","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"negative regulation of catabolic process","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of microtubule cytoskeleton organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"chromosome localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of mitotic nuclear division","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of actin filament organization","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"dephosphorylation","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"glycosylation","C1_05_24",1,0,3.7e-24,1,0.4709,11,FALSE
"positive regulation of establishment of protein localization","C1_05_24",0,1,3.7e-24,-1,0.4753,11,FALSE
"regulation of microtubule-based process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell-substrate junction organization","C1_05_24",1,0,3.7e-24,1,0.4518,11,FALSE
"protein-containing complex localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transmembrane transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"stem cell population maintenance","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribosome assembly","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"intraciliary transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"Golgi to plasma membrane protein transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to amino acid starvation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to extracellular stimulus","C1_05_24",0,1,3.7e-24,-1,0.4946,11,FALSE
"cell growth","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.57,22,FALSE
"protein glycosylation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"macromolecule glycosylation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"maintenance of cell number","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to reactive oxygen species","C1_05_24",0,1,3.7e-24,-1,0.5265,11,FALSE
"regulation of cell morphogenesis","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of cellular component size","C1_05_24",0,1,3.7e-24,-1,0.4148,11,FALSE
"cell-substrate junction assembly","C1_05_24",1,0,3.7e-24,1,0.4364,11,FALSE
"membrane fission","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"membrane docking","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"fibroblast migration","C1_05_24",2,0,3.7e-24,1.58496250072116,0.0374,8,FALSE
"nucleus organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell growth","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"fibroblast proliferation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell cycle G1/S phase transition","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"actin filament organization","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6736,22,FALSE
"response to oxygen levels","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"epigenetic regulation of gene expression","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle fusion","C1_05_24",1,0,3.7e-24,1,0.3142,11,FALSE
"lipoprotein metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein lipidation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of plasma membrane bounded cell projection assembly","C1_05_24",1,0,3.7e-24,1,0.4602,11,FALSE
"regulation of actin filament-based process","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of GTPase activity","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6402,22,FALSE
"nuclear envelope organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein autophosphorylation","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"connective tissue development","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6349,22,FALSE
"cellular response to heat","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"myeloid cell homeostasis","C1_05_24",1,0,3.7e-24,1,0.4614,11,FALSE
"regulation of neuron projection development","C1_05_24",0,1,3.7e-24,-1,0.415,11,FALSE
"receptor metabolic process","C1_05_24",1,0,3.7e-24,1,0.1902,11,FALSE
"maintenance of protein location in cell","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"apoptotic mitochondrial changes","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to transforming growth factor beta","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6388,22,FALSE
"neural tube development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"maintenance of protein location","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ubiquitin-protein transferase activity","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cilium assembly","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"mRNA export from nucleus","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate junction organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"membrane biogenesis","C1_05_24",1,0,3.7e-24,1,0.189,11,FALSE
"cilium organization","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"platelet-derived growth factor receptor signaling pathway","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"iron-sulfur cluster assembly","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"metallo-sulfur cluster assembly","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"centromere complex assembly","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to oxygen levels","C1_05_24",1,0,3.7e-24,1,0.4723,11,FALSE
"fatty acid beta-oxidation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle localization by membrane tethering","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"autophagosome maturation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to transforming growth factor beta stimulus","C1_05_24",2,1,3.7e-24,0.584962500721156,0.637,22,FALSE
"nucleotide catabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"tube closure","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of stem cell differentiation","C1_05_24",1,0,3.7e-24,1,0.2522,11,FALSE
"substrate adhesion-dependent cell spreading","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"chondrocyte differentiation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of fibroblast proliferation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"morphogenesis of an epithelial sheet","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"microtubule polymerization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to virus","C1_05_24",0,1,3.7e-24,-1,0.4211,11,FALSE
"membrane assembly","C1_05_24",1,0,3.7e-24,1,0.1817,11,FALSE
"COPII vesicle coating","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"erythrocyte differentiation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"organophosphate catabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of embryonic development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of focal adhesion assembly","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate junction assembly","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of extracellular matrix organization","C1_05_24",1,0,3.7e-24,1,0.2902,11,FALSE
"GPI anchor biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"lamellipodium organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of stem cell population maintenance","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"monosaccharide metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"U2-type prespliceosome assembly","C1_05_24",1,0,3.7e-24,1,0.0583,11,FALSE
"heterochromatin formation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"peroxisome organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial fission","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular pigmentation","C1_05_24",1,0,3.7e-24,1,0.1876,11,FALSE
"regulation of fibroblast migration","C1_05_24",1,0,3.7e-24,1,0.1743,11,FALSE
"cellular carbohydrate metabolic process","C1_05_24",0,1,3.7e-24,-1,0.5187,11,FALSE
"positive regulation of axonogenesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"kinetochore organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"stem cell differentiation","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"proton transmembrane transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to insulin stimulus","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of mitotic spindle localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell redox homeostasis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"stress granule assembly","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein neddylation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial membrane potential","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"neuron death","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"defense response to virus","C1_05_24",0,1,3.7e-24,-1,0.4895,11,FALSE
"sulfur compound metabolic process","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6386,22,FALSE
"NADP metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"vacuolar acidification","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"oligosaccharide-lipid intermediate biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"lysosomal lumen acidification","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"glycosyl compound biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"heart valve development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"water-soluble vitamin metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"interferon-beta production","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of interferon-beta production","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"branched-chain amino acid metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial membrane permeability","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"respiratory tube development","C1_05_24",0,1,3.7e-24,-1,0.5072,11,FALSE
"cellular senescence","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of neurogenesis","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"mitochondrial outer membrane permeabilization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"immune system development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"clathrin-dependent endocytosis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of viral process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"bone development","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"cell-substrate adhesion","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6788,22,FALSE
"positive regulation of microtubule polymerization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"pteridine-containing compound metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to arsenic-containing substance","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to insulin","C1_05_24",0,1,3.7e-24,-1,0.4853,11,FALSE
"ubiquinone metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to arsenic-containing substance","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"inositol phosphate catabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"telomerase RNA localization to Cajal body","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"respiratory system development","C1_05_24",0,1,3.7e-24,-1,0.4866,11,FALSE
"regulation of generation of precursor metabolites and energy","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial calcium ion homeostasis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"G0 to G1 transition","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial genome maintenance","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"release of cytochrome c from mitochondria","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cortical cytoskeleton organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to sterol depletion","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ncRNA transcription","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"mesenchymal cell differentiation","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"protein-DNA complex subunit organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to fluid shear stress","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"collagen fibril organization","C1_05_24",1,0,3.7e-24,1,0.3345,11,FALSE
"roof of mouth development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein dephosphorylation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"multicellular organism growth","C1_05_24",1,0,3.7e-24,1,0.4218,11,FALSE
"miRNA processing","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"small molecule catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4899,11,FALSE
"regulation of G0 to G1 transition","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"circadian regulation of gene expression","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of translational fidelity","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"ubiquinone biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial calcium ion transmembrane transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"quinone biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"viral release from host cell","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"exit from host cell","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of GTPase activity","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6431,22,FALSE
"regulation of cytokinesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrion localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"renal system development","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6498,22,FALSE
"regulation of cysteine-type endopeptidase activity involved in apoptotic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate adhesion","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"centrosome localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"microtubule organizing center localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"pinocytosis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"lamellipodium assembly","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to sterol depletion","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"placenta development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"rhythmic process","C1_05_24",0,1,3.7e-24,-1,0.4917,11,FALSE
"spindle localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"carbohydrate derivative catabolic process","C1_05_24",1,0,3.7e-24,1,0.3235,11,FALSE
"response to amino acid","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of intracellular steroid hormone receptor signaling pathway","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of neuron death","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"ossification","C1_05_24",3,1,3.7e-24,1,0.4254,11,FALSE
"mammary gland epithelial cell proliferation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribosomal subunit export from nucleus","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribosome localization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"seminiferous tubule development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to acid chemical","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of kinase activity","C1_05_24",5,1,3.7e-24,1.58496250072116,0.013,8,FALSE
"positive regulation by host of viral process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrion morphogenesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of establishment of cell polarity","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular lipid catabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"neuron apoptotic process","C1_05_24",0,1,3.7e-24,-1,0.5092,11,FALSE
"inner cell mass cell proliferation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"polyamine biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"folic acid metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle inheritance","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"polyol metabolic process","C1_05_24",2,0,3.7e-24,1.58496250072116,0.0267,8,FALSE
"regulation of type I interferon-mediated signaling pathway","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"intracellular lipid transport","C1_05_24",2,0,3.7e-24,1.58496250072116,0.0072,8,FALSE
"fat cell differentiation","C1_05_24",0,1,3.7e-24,-1,0.5107,11,FALSE
"iron ion homeostasis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of cell projection organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"dicarboxylic acid metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of anatomical structure size","C1_05_24",0,1,3.7e-24,-1,0.418,11,FALSE
"regulation of small molecule metabolic process","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"pentose-phosphate shunt","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"pericardium development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"lysosomal protein catabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"carbohydrate derivative transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"alcohol biosynthetic process","C1_05_24",2,0,3.7e-24,1.58496250072116,0.0442,8,FALSE
"regulation of membrane permeability","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"signal peptide processing","C1_05_24",1,0,3.7e-24,1,0.0343,11,FALSE
"UV-damage excision repair","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"biological process involved in interaction with host","C1_05_24",1,0,3.7e-24,1,0.4629,11,FALSE
"body morphogenesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"extracellular vesicle biogenesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of defense response to virus","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"aminoglycan biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"sterol biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"polyamine metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"magnesium ion transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
