"","condition","cycle","region","log2fc.norm.mean","obs.mut.mean","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id"
"1","control",1,"ATP metabolic process",0.14431980242537,0,0,1,1,NA,"GO:0046034"
"2","control",1,"COPII vesicle coating",-0.333333333333333,0,0,1,1,NA,"GO:0048208"
"3","control",1,"DNA conformation change",0.666666666666667,0.333333333333333,0,0.797693502902129,1,NA,"GO:0071103"
"4","control",1,"DNA replication",0.52832083357372,0.333333333333333,0.666666666666667,0.972995492191578,1,NA,"GO:0006260"
"5","control",1,"DNA-templated transcription elongation",-0.0566416671474373,0,0,1,1,NA,"GO:0006354"
"6","control",1,"G0 to G1 transition",0,0.333333333333333,0,0.527845461042201,1,NA,"GO:0045023"
"7","control",1,"GPI anchor biosynthetic process",0,0,0,1,1,NA,"GO:0006506"
"8","control",1,"Golgi organization",1,0.333333333333333,0,0.898111107814197,1,NA,"GO:0007030"
"9","control",1,"Golgi to plasma membrane protein transport",-0.52832083357372,0,0,1,1,NA,"GO:0043001"
"10","control",1,"Golgi vesicle transport",0.226023968370881,0.333333333333333,0.666666666666667,0.973540127356124,1,NA,"GO:0048193"
"11","control",1,"NADP metabolic process",-0.666666666666667,0,0,1,1,NA,"GO:0006739"
"12","control",1,"NADPH regeneration",-0.333333333333333,0,0,1,1,NA,"GO:0006740"
"13","control",1,"RNA localization",0.723308333814104,0.333333333333333,0,0.913456133839539,1,NA,"GO:0006403"
"14","control",1,"RNA transport",0.723308333814105,0,0,1,1,NA,"GO:0050658"
"15","control",1,"Schwann cell differentiation",-0.333333333333333,0,0,1,1,NA,"GO:0014037"
"16","control",1,"U2-type prespliceosome assembly",0,0.333333333333333,0,0.459466413117868,1,NA,"GO:1903241"
"17","control",1,"UV-damage excision repair",0,0,0,1,1,NA,"GO:0070914"
"18","control",1,"Wnt signaling pathway",-0.421011468611265,1,1.33333333333333,0.66642192599207,1,NA,"GO:0016055"
"19","control",1,"actin filament organization",-0.249487077668012,1,1,0.876026999067875,1,NA,"GO:0007015"
"20","control",1,"alcohol biosynthetic process",0.194987500240387,0.666666666666667,0,0.397057709105365,1,NA,"GO:0046165"
"21","control",1,"amino sugar biosynthetic process",0,0,0,1,1,NA,"GO:0046349"
"22","control",1,"aminoglycan biosynthetic process",0.666666666666667,0,0,1,1,NA,"GO:0006023"
"23","control",1,"apoptotic mitochondrial changes",0.333333333333333,0,0,1,1,NA,"GO:0008637"
"24","control",1,"appendage development",-0.2456551980554,0.666666666666667,0,0.546969396648522,1,NA,"GO:0048736"
"25","control",1,"aromatic compound catabolic process",0.214618729924909,0.333333333333333,1,0.787583962920358,1,NA,"GO:0019439"
"26","control",1,"autophagosome maturation",-0.333333333333333,0,0,1,1,NA,"GO:0097352"
"27","control",1,"autophagy of mitochondrion",0.333333333333333,0,0,1,1,NA,"GO:0000422"
"28","control",1,"axon extension",0.666666666666667,0,0,1,1,NA,"GO:0048675"
"29","control",1,"basement membrane organization",-0.333333333333333,0,0,1,1,NA,"GO:0071711"
"30","control",1,"biological process involved in interaction with host",0.194987500240385,0.666666666666667,0,0.726846661426183,1,NA,"GO:0051701"
"31","control",1,"body morphogenesis",-0.333333333333333,0,0,1,1,NA,"GO:0010171"
"32","control",1,"bone development",0.584962500721157,1.33333333333333,0.666666666666667,0.680182987421457,1,NA,"GO:0060348"
"33","control",1,"branched-chain amino acid metabolic process",-0.333333333333333,0,0,1,1,NA,"GO:0009081"
"34","control",1,"carbohydrate derivative catabolic process",0.138345833092948,0.333333333333333,0,0.894599030496108,1,NA,"GO:1901136"
"35","control",1,"carbohydrate derivative transport",-0.333333333333333,0,0,1,1,NA,"GO:1901264"
"36","control",1,"cell cycle G1/S phase transition",0.471679166426281,0.666666666666667,0.666666666666667,0.817275553680747,1,NA,"GO:0044843"
"37","control",1,"cell cycle G2/M phase transition",0.528320833573719,0,0,1,1,NA,"GO:0044839"
"38","control",1,"cell cycle checkpoint signaling",0.52832083357372,0,0,1,1,NA,"GO:0000075"
"39","control",1,"cell growth",0.245655198055402,1.33333333333333,1.33333333333333,0.603187755054823,1,NA,"GO:0016049"
"40","control",1,"cell migration involved in heart development",-0.333333333333333,0.333333333333333,0,0.513753573756745,1,NA,"GO:0060973"
"41","control",1,"cell redox homeostasis",0,0,0,1,1,NA,"GO:0045454"
"42","control",1,"cell-cell signaling by wnt",-0.421011468611265,1,1.33333333333333,0.665918645177865,1,NA,"GO:0198738"
"43","control",1,"cell-substrate adhesion",0.528320833573719,1.66666666666667,1,0.942860958458217,1,NA,"GO:0031589"
"44","control",1,"cell-substrate junction assembly",1,0.333333333333333,0,0.948288056975036,1,NA,"GO:0007044"
"45","control",1,"cell-substrate junction organization",0.805012499759615,0.333333333333333,0,0.953362722074728,1,NA,"GO:0150115"
"46","control",1,"cellular carbohydrate metabolic process",-0.635630198536173,0,0.666666666666667,0.854542756426497,1,NA,"GO:0044262"
"47","control",1,"cellular component disassembly",0.491310396110804,0.666666666666667,1,0.937880657208172,1,NA,"GO:0022411"
"48","control",1,"cellular lipid catabolic process",0.333333333333333,0,0,1,1,NA,"GO:0044242"
"49","control",1,"cellular metabolic compound salvage",0,0,0,1,1,NA,"GO:0043094"
"50","control",1,"cellular nitrogen compound catabolic process",0.214618729924909,0.333333333333333,1,0.791885284119668,1,NA,"GO:0044270"
"51","control",1,"cellular pigment accumulation",0,0,0,1,1,NA,"GO:0043482"
"52","control",1,"cellular pigmentation",-0.333333333333333,0.666666666666667,0,0.32838081768764,1,NA,"GO:0033059"
"53","control",1,"cellular respiration",0.194987500240385,0,0,1,1,NA,"GO:0045333"
"54","control",1,"cellular response to UV",-0.138345833092948,0,0,1,1,NA,"GO:0034644"
"55","control",1,"cellular response to acid chemical",0.333333333333333,0,0,1,1,NA,"GO:0071229"
"56","control",1,"cellular response to arsenic-containing substance",0,0,0,1,1,NA,"GO:0071243"
"57","control",1,"cellular response to chemical stress",-0.107309364962453,1,0.666666666666667,0.486188498118054,1,NA,"GO:0062197"
"58","control",1,"cellular response to dsRNA",-0.333333333333333,0,0,1,1,NA,"GO:0071359"
"59","control",1,"cellular response to external stimulus",-0.0196312296845227,0.666666666666667,0.666666666666667,0.821947468383033,1,NA,"GO:0071496"
"60","control",1,"cellular response to extracellular stimulus",0.14431980242537,0.333333333333333,0.333333333333333,0.776077877590333,1,NA,"GO:0031668"
"61","control",1,"cellular response to fluid shear stress",-0.666666666666667,0,0,1,1,NA,"GO:0071498"
"62","control",1,"cellular response to heat",0.138345833092948,0.333333333333333,0,0.749007568200957,1,NA,"GO:0034605"
"63","control",1,"cellular response to insulin stimulus",0.389975000480771,0,0,1,1,NA,"GO:0032869"
"64","control",1,"cellular response to ketone",-0.0566416671474373,0,0,1,1,NA,"GO:1901655"
"65","control",1,"cellular response to oxygen levels",0.810986469092037,0.333333333333333,0,0.959475838780106,1,NA,"GO:0071453"
"66","control",1,"cellular response to sterol depletion",0,0,0,1,1,NA,"GO:0071501"
"67","control",1,"cellular response to topologically incorrect protein",-0.194987500240387,0.333333333333333,0,0.78978913543696,1,NA,"GO:0035967"
"68","control",1,"cellular response to transforming growth factor beta stimulus",0.723308333814105,1,0.666666666666667,0.989056930470564,1,NA,"GO:0071560"
"69","control",1,"cellular senescence",0,0,0,1,1,NA,"GO:0090398"
"70","control",1,"centromere complex assembly",-0.333333333333333,0,0,1,1,NA,"GO:0034508"
"71","control",1,"centrosome localization",0,0,0,1,1,NA,"GO:0051642"
"72","control",1,"chaperone-mediated autophagy",0,0,0,1,1,NA,"GO:0061684"
"73","control",1,"chondrocyte differentiation",0.471679166426281,0.333333333333333,0,0.895928690410562,1,NA,"GO:0002062"
"74","control",1,"chromatin remodeling",0.333333333333333,0.666666666666667,1,0.956193200006081,1,NA,"GO:0006338"
"75","control",1,"chromosome localization",1,0.666666666666667,0,0.226551998789589,1,NA,"GO:0050000"
"76","control",1,"chromosome segregation",0.302296865202839,1,1,0.856890179547538,1,NA,"GO:0007059"
"77","control",1,"cilium assembly",-0.471679166426281,0.333333333333333,0.666666666666667,0.970619297681417,1,NA,"GO:0060271"
"78","control",1,"cilium organization",-0.528320833573719,0.333333333333333,0.666666666666667,0.966470077630214,1,NA,"GO:0044782"
"79","control",1,"circadian regulation of gene expression",0.666666666666667,0,0,1,1,NA,"GO:0032922"
"80","control",1,"clathrin-dependent endocytosis",0,0.333333333333333,0,0.57223879685158,1,NA,"GO:0072583"
"81","control",1,"collagen fibril organization",1,0.333333333333333,0,0.901397405239823,1,NA,"GO:0030199"
"82","control",1,"connective tissue development",0.0876781352779313,1.66666666666667,1,0.934375248551686,1,NA,"GO:0061448"
"83","control",1,"cortical cytoskeleton organization",-0.333333333333333,0,0,1,1,NA,"GO:0030865"
"84","control",1,"cytoplasmic translation",0.666666666666667,0.666666666666667,0,0.484893338542926,1,NA,"GO:0002181"
"85","control",1,"defense response to virus",0.138345833092948,0,0.333333333333333,0.964086721239571,1,NA,"GO:0051607"
"86","control",1,"dephosphorylation",-0.333333333333333,0.666666666666667,1,0.971180130351301,1,NA,"GO:0016311"
"87","control",1,"developmental growth involved in morphogenesis",0.446616667628208,1.33333333333333,0.666666666666667,0.869575804050505,1,NA,"GO:0060560"
"88","control",1,"dicarboxylic acid metabolic process",0,0,0,1,1,NA,"GO:0043648"
"89","control",1,"double-strand break repair",1.13834583309295,1,0.333333333333333,0.777295592183928,1,NA,"GO:0006302"
"90","control",1,"embryonic body morphogenesis",0,0,0,1,1,NA,"GO:0010172"
"91","control",1,"embryonic organ development",-0.407464140445483,1,1,0.852009326771923,1,NA,"GO:0048568"
"92","control",1,"epigenetic regulation of gene expression",0.389975000480772,0,0,1,1,NA,"GO:0040029"
"93","control",1,"erythrocyte differentiation",-0.194987500240385,0.333333333333333,0,0.832714907157167,1,NA,"GO:0030218"
"94","control",1,"establishment of mitotic spindle localization",0,0,0,1,1,NA,"GO:0040001"
"95","control",1,"establishment of organelle localization",0.912321864722068,1,1,0.575885985448705,1,NA,"GO:0051656"
"96","control",1,"establishment of protein localization to membrane",0.584962500721157,0.333333333333333,0.333333333333333,0.841420630504881,1,NA,"GO:0090150"
"97","control",1,"establishment of protein localization to organelle",0.278833755905707,1,1,1,1,NA,"GO:0072594"
"98","control",1,"establishment or maintenance of cell polarity",-0.138345833092948,0,0.666666666666667,0.8289051039315,1,NA,"GO:0007163"
"99","control",1,"establishment or maintenance of epithelial cell apical/basal polarity",0.333333333333333,0,0,1,1,NA,"GO:0045197"
"100","control",1,"ether lipid biosynthetic process",0,0,0,1,1,NA,"GO:0008611"
"101","control",1,"exit from host cell",-0.333333333333333,0,0,1,1,NA,"GO:0035891"
"102","control",1,"exosomal secretion",0,0,0,1,1,NA,"GO:1990182"
"103","control",1,"extracellular matrix assembly",0.333333333333333,0.333333333333333,0,0.819312220642739,1,NA,"GO:0085029"
"104","control",1,"extracellular vesicle biogenesis",0,0,0,1,1,NA,"GO:0140112"
"105","control",1,"face development",-0.333333333333333,0,0,1,1,NA,"GO:0060324"
"106","control",1,"fat cell differentiation",0.0566416671474373,0,0.333333333333333,0.969179272862669,1,NA,"GO:0045444"
"107","control",1,"fatty acid beta-oxidation",-0.333333333333333,0,0,1,1,NA,"GO:0006635"
"108","control",1,"fibroblast migration",0.333333333333335,0.666666666666667,0,0.362228742331523,1,NA,"GO:0010761"
"109","control",1,"fibroblast proliferation",0.471679166426281,0,0,1,1,NA,"GO:0048144"
"110","control",1,"folic acid metabolic process",0,0,0,1,1,NA,"GO:0046655"
"111","control",1,"glial cell apoptotic process",0,0,0,1,1,NA,"GO:0034349"
"112","control",1,"glycerol ether biosynthetic process",0,0,0,1,1,NA,"GO:0046504"
