"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",0,1,3.7e-24,-1,0.4124
"ribosome biogenesis","C1_05_24",0,1,3.7e-24,-1,0.4485
"rRNA metabolic process","C1_05_24",0,1,3.7e-24,-1,0.4814
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4139
"regulation of response to DNA damage stimulus","C1_05_24",0,1,3.7e-24,-1,0.4466
"establishment of protein localization to organelle","C1_05_24",1,1,3.7e-24,0,1
"macroautophagy","C1_05_24",0,1,3.7e-24,-1,0.4625
"regulation of chromosome organization","C1_05_24",0,1,3.7e-24,-1,0.5061
"Golgi vesicle transport","C1_05_24",0,1,3.7e-24,-1,0.4478
"double-strand break repair","C1_05_24",0,1,3.7e-24,-1,0.4641
"histone modification","C1_05_24",1,1,3.7e-24,0,1
"sister chromatid segregation","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6285
"DNA replication","C1_05_24",0,1,3.7e-24,-1,0.4795
"chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.4104
"mitochondrial gene expression","C1_05_24",0,0,3.7e-24,0,1
"nucleocytoplasmic transport","C1_05_24",0,1,3.7e-24,-1,0.4493
"nuclear transport","C1_05_24",0,1,3.7e-24,-1,0.4465
"regulation of DNA repair","C1_05_24",0,0,3.7e-24,0,1
"peptidyl-lysine modification","C1_05_24",0,1,3.7e-24,-1,0.4253
"protein targeting","C1_05_24",1,1,3.7e-24,0,1
"cytoplasmic translation","C1_05_24",0,0,3.7e-24,0,1
"regulation of autophagy","C1_05_24",1,1,3.7e-24,0,1
"signal transduction in response to DNA damage","C1_05_24",0,0,3.7e-24,0,1
"regulation of intracellular transport","C1_05_24",1,1,3.7e-24,0,1
"protein localization to nucleus","C1_05_24",1,1,3.7e-24,0,1
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",1,0,3.7e-24,1,0.4141
"telomere maintenance","C1_05_24",0,0,3.7e-24,0,1
"cell cycle checkpoint signaling","C1_05_24",0,0,3.7e-24,0,1
"regulation of protein modification by small protein conjugation or removal","C1_05_24",0,1,3.7e-24,-1,0.496
"cellular respiration","C1_05_24",0,1,3.7e-24,-1,0.5184
"cellular component disassembly","C1_05_24",1,1,3.7e-24,0,1
"nuclear chromosome segregation","C1_05_24",1,1,3.7e-24,0,1
"regulation of protein stability","C1_05_24",1,1,3.7e-24,0,1
"regulation of cell cycle phase transition","C1_05_24",0,1,3.7e-24,-1,0.4193
"regulation of protein catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4223
"response to endoplasmic reticulum stress","C1_05_24",0,1,3.7e-24,-1,0.5235
"vesicle organization","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6235
"mitochondrial respiratory chain complex assembly","C1_05_24",0,0,3.7e-24,0,1
"DNA-templated transcription elongation","C1_05_24",1,0,3.7e-24,1,0.3577
"mitochondrial transport","C1_05_24",0,0,3.7e-24,0,1
"establishment of organelle localization","C1_05_24",1,1,3.7e-24,0,1
"regulation of intracellular protein transport","C1_05_24",1,0,3.7e-24,1,0.4796
"response to UV","C1_05_24",0,0,3.7e-24,0,1
"RNA localization","C1_05_24",0,1,3.7e-24,-1,0.5349
"response to topologically incorrect protein","C1_05_24",0,0,3.7e-24,0,1
"organelle fission","C1_05_24",1,1,3.7e-24,0,1
"non-membrane-bounded organelle assembly","C1_05_24",0,1,3.7e-24,-1,0.4403
"protein polyubiquitination","C1_05_24",1,1,3.7e-24,0,1
"methylation","C1_05_24",1,1,3.7e-24,0,1
"phospholipid biosynthetic process","C1_05_24",2,0,3.7e-24,1.58496250072116,0.1474
"oxidative phosphorylation","C1_05_24",0,0,3.7e-24,0,1
"establishment of protein localization to membrane","C1_05_24",0,1,3.7e-24,-1,0.5129
"in utero embryonic development","C1_05_24",0,1,3.7e-24,-1,0.4465
"vacuole organization","C1_05_24",0,1,3.7e-24,-1,0.5245
"nuclear-transcribed mRNA catabolic process","C1_05_24",0,0,3.7e-24,0,1
"protein folding","C1_05_24",0,1,3.7e-24,-1,0.524
"DNA conformation change","C1_05_24",0,0,3.7e-24,0,1
"regulation of chromosome segregation","C1_05_24",0,0,3.7e-24,0,1
"regulation of apoptotic signaling pathway","C1_05_24",1,1,3.7e-24,0,1
"cell cycle G2/M phase transition","C1_05_24",0,0,3.7e-24,0,1
"vacuolar transport","C1_05_24",0,0,3.7e-24,0,1
"response to ionizing radiation","C1_05_24",0,0,3.7e-24,0,1
"cellular response to UV","C1_05_24",0,0,3.7e-24,0,1
"regulation of binding","C1_05_24",0,1,3.7e-24,-1,0.444
"nucleic acid transport","C1_05_24",0,0,3.7e-24,0,1
"RNA transport","C1_05_24",1,0,3.7e-24,1,0.4183
"ribonucleoprotein complex subunit organization","C1_05_24",1,0,3.7e-24,1,0.4837
"regulation of DNA replication","C1_05_24",1,0,3.7e-24,1,0.3836
"ribose phosphate metabolic process","C1_05_24",1,1,3.7e-24,0,1
"proton motive force-driven ATP synthesis","C1_05_24",0,0,3.7e-24,0,1
"ribonucleotide metabolic process","C1_05_24",1,1,3.7e-24,0,1
"telomere organization","C1_05_24",1,0,3.7e-24,1,0.4301
"cellular response to topologically incorrect protein","C1_05_24",0,0,3.7e-24,0,1
"Golgi organization","C1_05_24",0,0,3.7e-24,0,1
"ribonucleoprotein complex assembly","C1_05_24",1,0,3.7e-24,1,0.4336
"cellular nitrogen compound catabolic process","C1_05_24",1,1,3.7e-24,0,1
"negative regulation of phosphorus metabolic process","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6298
"heterocycle catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4046
"mitochondrial membrane organization","C1_05_24",1,0,3.7e-24,1,0.3162
"regulation of protein-containing complex assembly","C1_05_24",0,1,3.7e-24,-1,0.4296
"positive regulation of cellular component biogenesis","C1_05_24",1,1,3.7e-24,0,1
"response to oxidative stress","C1_05_24",1,1,3.7e-24,0,1
"regulation of supramolecular fiber organization","C1_05_24",0,1,3.7e-24,-1,0.4199
"positive regulation of protein localization","C1_05_24",0,1,3.7e-24,-1,0.4166
"positive regulation of cell projection organization","C1_05_24",0,1,3.7e-24,-1,0.443
"negative regulation of transferase activity","C1_05_24",0,1,3.7e-24,-1,0.4845
"autophagy of mitochondrion","C1_05_24",0,0,3.7e-24,0,1
"positive regulation of amide metabolic process","C1_05_24",0,0,3.7e-24,0,1
"chromatin remodeling","C1_05_24",1,1,3.7e-24,0,1
"viral process","C1_05_24",0,1,3.7e-24,-1,0.4231
"macromolecule deacylation","C1_05_24",1,0,3.7e-24,1,0.3256
"mitotic cytokinesis","C1_05_24",1,0,3.7e-24,1,0.2333
"aromatic compound catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4168
"vesicle localization","C1_05_24",1,1,3.7e-24,0,1
"establishment or maintenance of cell polarity","C1_05_24",0,0,3.7e-24,0,1
"Wnt signaling pathway","C1_05_24",0,1,3.7e-24,-1,0.4145
"cell-cell signaling by wnt","C1_05_24",1,1,3.7e-24,0,1
"ATP metabolic process","C1_05_24",1,0,3.7e-24,1,0.4599
"cellular response to chemical stress","C1_05_24",0,1,3.7e-24,-1,0.4623
"regulation of vacuole organization","C1_05_24",0,0,3.7e-24,0,1
"cellular response to external stimulus","C1_05_24",0,1,3.7e-24,-1,0.4691
"negative regulation of protein phosphorylation","C1_05_24",1,1,3.7e-24,0,1
"negative regulation of catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4665
