"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6465
"ribosome biogenesis","C1_05_24",1,1,3.7e-24,0,1
"rRNA metabolic process","C1_05_24",0,1,3.7e-24,-1,0.4801
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4198
"regulation of response to DNA damage stimulus","C1_05_24",0,1,3.7e-24,-1,0.4349
"establishment of protein localization to organelle","C1_05_24",1,1,3.7e-24,0,1
"macroautophagy","C1_05_24",1,1,3.7e-24,0,1
"regulation of chromosome organization","C1_05_24",0,1,3.7e-24,-1,0.4661
"Golgi vesicle transport","C1_05_24",0,1,3.7e-24,-1,0.4682
"double-strand break repair","C1_05_24",0,1,3.7e-24,-1,0.4696
"histone modification","C1_05_24",0,1,3.7e-24,-1,0.4077
"sister chromatid segregation","C1_05_24",1,1,3.7e-24,0,1
"DNA replication","C1_05_24",1,1,3.7e-24,0,1
"chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.4159
"mitochondrial gene expression","C1_05_24",0,0,3.7e-24,0,1
"nucleocytoplasmic transport","C1_05_24",1,1,3.7e-24,0,1
"nuclear transport","C1_05_24",1,1,3.7e-24,0,1
"regulation of DNA repair","C1_05_24",1,0,3.7e-24,1,0.4754
"peptidyl-lysine modification","C1_05_24",1,1,3.7e-24,0,1
"protein targeting","C1_05_24",0,1,3.7e-24,-1,0.4722
"cytoplasmic translation","C1_05_24",0,0,3.7e-24,0,1
"regulation of autophagy","C1_05_24",0,1,3.7e-24,-1,0.4373
"signal transduction in response to DNA damage","C1_05_24",0,0,3.7e-24,0,1
"regulation of intracellular transport","C1_05_24",0,1,3.7e-24,-1,0.4585
"protein localization to nucleus","C1_05_24",1,1,3.7e-24,0,1
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,0,3.7e-24,0,1
"telomere maintenance","C1_05_24",0,0,3.7e-24,0,1
"cell cycle checkpoint signaling","C1_05_24",1,0,3.7e-24,1,0.4628
"regulation of protein modification by small protein conjugation or removal","C1_05_24",0,1,3.7e-24,-1,0.5055
"cellular respiration","C1_05_24",0,0,3.7e-24,0,1
"cellular component disassembly","C1_05_24",2,1,3.7e-24,0.584962500721156,0.659
