"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",1,1,3.7e-24,0,1
"ribosome biogenesis","C1_05_24",0,1,3.7e-24,-1,0.4676
"rRNA metabolic process","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6337
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4019
"regulation of response to DNA damage stimulus","C1_05_24",1,1,3.7e-24,0,1
"establishment of protein localization to organelle","C1_05_24",1,1,3.7e-24,0,1
"macroautophagy","C1_05_24",1,1,3.7e-24,0,1
"regulation of chromosome organization","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6487
"Golgi vesicle transport","C1_05_24",0,1,3.7e-24,-1,0.4749
"double-strand break repair","C1_05_24",1,1,3.7e-24,0,1
"histone modification","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6488
"sister chromatid segregation","C1_05_24",1,1,3.7e-24,0,1
"DNA replication","C1_05_24",1,1,3.7e-24,0,1
"chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.4187
"mitochondrial gene expression","C1_05_24",0,0,3.7e-24,0,1
"nucleocytoplasmic transport","C1_05_24",0,1,3.7e-24,-1,0.4449
"nuclear transport","C1_05_24",1,1,3.7e-24,0,1
"regulation of DNA repair","C1_05_24",1,1,3.7e-24,0,1
"peptidyl-lysine modification","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6522
"protein targeting","C1_05_24",0,1,3.7e-24,-1,0.4545
"cytoplasmic translation","C1_05_24",2,0,3.7e-24,1.58496250072116,0.102
"regulation of autophagy","C1_05_24",0,1,3.7e-24,-1,0.4358
"signal transduction in response to DNA damage","C1_05_24",0,0,3.7e-24,0,1
"regulation of intracellular transport","C1_05_24",0,1,3.7e-24,-1,0.4476
"protein localization to nucleus","C1_05_24",1,1,3.7e-24,0,1
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",0,0,3.7e-24,0,1
"telomere maintenance","C1_05_24",0,0,3.7e-24,0,1
"cell cycle checkpoint signaling","C1_05_24",0,0,3.7e-24,0,1
"regulation of protein modification by small protein conjugation or removal","C1_05_24",1,1,3.7e-24,0,1
"cellular respiration","C1_05_24",0,1,3.7e-24,-1,0.4943
"cellular component disassembly","C1_05_24",0,1,3.7e-24,-1,0.4073
"nuclear chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.4428
"regulation of protein stability","C1_05_24",0,1,3.7e-24,-1,0.4442
"regulation of cell cycle phase transition","C1_05_24",1,1,3.7e-24,0,1
"regulation of protein catabolic process","C1_05_24",1,1,3.7e-24,0,1
"response to endoplasmic reticulum stress","C1_05_24",1,1,3.7e-24,0,1
"vesicle organization","C1_05_24",1,1,3.7e-24,0,1
"mitochondrial respiratory chain complex assembly","C1_05_24",0,0,3.7e-24,0,1
"DNA-templated transcription elongation","C1_05_24",1,0,3.7e-24,1,0.3424
"mitochondrial transport","C1_05_24",0,0,3.7e-24,0,1
"establishment of organelle localization","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6436
"regulation of intracellular protein transport","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6463
"response to UV","C1_05_24",0,0,3.7e-24,0,1
"RNA localization","C1_05_24",0,0,3.7e-24,0,1
"response to topologically incorrect protein","C1_05_24",0,0,3.7e-24,0,1
"organelle fission","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6488
"non-membrane-bounded organelle assembly","C1_05_24",1,1,3.7e-24,0,1
"protein polyubiquitination","C1_05_24",0,1,3.7e-24,-1,0.521
"methylation","C1_05_24",0,1,3.7e-24,-1,0.4384
"phospholipid biosynthetic process","C1_05_24",0,1,3.7e-24,-1,0.5183
"oxidative phosphorylation","C1_05_24",1,0,3.7e-24,1,0.3917
"establishment of protein localization to membrane","C1_05_24",0,1,3.7e-24,-1,0.5033
"in utero embryonic development","C1_05_24",0,1,3.7e-24,-1,0.445
"vacuole organization","C1_05_24",0,0,3.7e-24,0,1
"nuclear-transcribed mRNA catabolic process","C1_05_24",0,0,3.7e-24,0,1
"protein folding","C1_05_24",0,0,3.7e-24,0,1
"DNA conformation change","C1_05_24",0,0,3.7e-24,0,1
"regulation of chromosome segregation","C1_05_24",0,0,3.7e-24,0,1
"regulation of apoptotic signaling pathway","C1_05_24",0,1,3.7e-24,-1,0.4352
"cell cycle G2/M phase transition","C1_05_24",0,0,3.7e-24,0,1
"vacuolar transport","C1_05_24",0,0,3.7e-24,0,1
"response to ionizing radiation","C1_05_24",0,0,3.7e-24,0,1
"cellular response to UV","C1_05_24",0,0,3.7e-24,0,1
"regulation of binding","C1_05_24",1,1,3.7e-24,0,1
"nucleic acid transport","C1_05_24",1,0,3.7e-24,1,0.3872
"RNA transport","C1_05_24",1,0,3.7e-24,1,0.3828
"ribonucleoprotein complex subunit organization","C1_05_24",0,0,3.7e-24,0,1
"regulation of DNA replication","C1_05_24",0,0,3.7e-24,0,1
"ribose phosphate metabolic process","C1_05_24",1,1,3.7e-24,0,1
"proton motive force-driven ATP synthesis","C1_05_24",0,0,3.7e-24,0,1
"ribonucleotide metabolic process","C1_05_24",0,1,3.7e-24,-1,0.4107
"telomere organization","C1_05_24",1,0,3.7e-24,1,0.4114
"cellular response to topologically incorrect protein","C1_05_24",0,0,3.7e-24,0,1
"Golgi organization","C1_05_24",1,0,3.7e-24,1,0.371
"ribonucleoprotein complex assembly","C1_05_24",0,0,3.7e-24,0,1
"cellular nitrogen compound catabolic process","C1_05_24",1,1,3.7e-24,0,1
