"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",0,1,3.7e-24,-1,0.4155
"ribosome biogenesis","C1_05_24",0,1,3.7e-24,-1,0.4454
"rRNA metabolic process","C1_05_24",1,1,3.7e-24,0,1
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",1,1,3.7e-24,0,1
"regulation of response to DNA damage stimulus","C1_05_24",0,1,3.7e-24,-1,0.463
"establishment of protein localization to organelle","C1_05_24",1,1,3.7e-24,0,1
"macroautophagy","C1_05_24",1,1,3.7e-24,0,1
"regulation of chromosome organization","C1_05_24",0,1,3.7e-24,-1,0.4895
"Golgi vesicle transport","C1_05_24",0,1,3.7e-24,-1,0.457
"double-strand break repair","C1_05_24",3,1,3.7e-24,1,0.4536
"histone modification","C1_05_24",1,1,3.7e-24,0,1
"sister chromatid segregation","C1_05_24",0,1,3.7e-24,-1,0.4778
"DNA replication","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6332
"chromosome segregation","C1_05_24",3,1,3.7e-24,1,0.4293
"mitochondrial gene expression","C1_05_24",0,0,3.7e-24,0,1
"nucleocytoplasmic transport","C1_05_24",1,1,3.7e-24,0,1
"nuclear transport","C1_05_24",3,1,3.7e-24,1,0.4524
"regulation of DNA repair","C1_05_24",0,0,3.7e-24,0,1
"peptidyl-lysine modification","C1_05_24",0,1,3.7e-24,-1,0.4383
"protein targeting","C1_05_24",0,1,3.7e-24,-1,0.4446
"cytoplasmic translation","C1_05_24",0,0,3.7e-24,0,1
"regulation of autophagy","C1_05_24",1,1,3.7e-24,0,1
"signal transduction in response to DNA damage","C1_05_24",1,0,3.7e-24,1,0.456
"regulation of intracellular transport","C1_05_24",2,1,3.7e-24,0.584962500721156,0.627
"protein localization to nucleus","C1_05_24",0,1,3.7e-24,-1,0.455
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",1,0,3.7e-24,1,0.4261
"telomere maintenance","C1_05_24",2,0,3.7e-24,1.58496250072116,0.1082
"cell cycle checkpoint signaling","C1_05_24",0,0,3.7e-24,0,1
"regulation of protein modification by small protein conjugation or removal","C1_05_24",1,1,3.7e-24,0,1
"cellular respiration","C1_05_24",0,0,3.7e-24,0,1
"cellular component disassembly","C1_05_24",0,1,3.7e-24,-1,0.4097
"nuclear chromosome segregation","C1_05_24",0,1,3.7e-24,-1,0.425
"regulation of protein stability","C1_05_24",1,1,3.7e-24,0,1
"regulation of cell cycle phase transition","C1_05_24",1,1,3.7e-24,0,1
"regulation of protein catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4482
"response to endoplasmic reticulum stress","C1_05_24",0,0,3.7e-24,0,1
"vesicle organization","C1_05_24",0,1,3.7e-24,-1,0.4382
"mitochondrial respiratory chain complex assembly","C1_05_24",0,0,3.7e-24,0,1
"DNA-templated transcription elongation","C1_05_24",1,0,3.7e-24,1,0.3422
"mitochondrial transport","C1_05_24",0,0,3.7e-24,0,1
"establishment of organelle localization","C1_05_24",0,1,3.7e-24,-1,0.4197
"regulation of intracellular protein transport","C1_05_24",0,0,3.7e-24,0,1
"response to UV","C1_05_24",0,0,3.7e-24,0,1
"RNA localization","C1_05_24",0,0,3.7e-24,0,1
"response to topologically incorrect protein","C1_05_24",0,0,3.7e-24,0,1
"organelle fission","C1_05_24",0,1,3.7e-24,-1,0.4188
"non-membrane-bounded organelle assembly","C1_05_24",1,1,3.7e-24,0,1
"protein polyubiquitination","C1_05_24",0,1,3.7e-24,-1,0.4874
"methylation","C1_05_24",1,1,3.7e-24,0,1
"phospholipid biosynthetic process","C1_05_24",0,0,3.7e-24,0,1
"oxidative phosphorylation","C1_05_24",0,0,3.7e-24,0,1
"establishment of protein localization to membrane","C1_05_24",1,1,3.7e-24,0,1
"in utero embryonic development","C1_05_24",1,1,3.7e-24,0,1
"vacuole organization","C1_05_24",0,0,3.7e-24,0,1
"nuclear-transcribed mRNA catabolic process","C1_05_24",0,0,3.7e-24,0,1
"protein folding","C1_05_24",0,0,3.7e-24,0,1
"DNA conformation change","C1_05_24",0,0,3.7e-24,0,1
"regulation of chromosome segregation","C1_05_24",0,0,3.7e-24,0,1
"regulation of apoptotic signaling pathway","C1_05_24",0,1,3.7e-24,-1,0.4232
"cell cycle G2/M phase transition","C1_05_24",0,0,3.7e-24,0,1
"vacuolar transport","C1_05_24",0,0,3.7e-24,0,1
"response to ionizing radiation","C1_05_24",0,0,3.7e-24,0,1
"cellular response to UV","C1_05_24",0,0,3.7e-24,0,1
"regulation of binding","C1_05_24",1,1,3.7e-24,0,1
"nucleic acid transport","C1_05_24",1,0,3.7e-24,1,0.4114
"RNA transport","C1_05_24",0,0,3.7e-24,0,1
"ribonucleoprotein complex subunit organization","C1_05_24",0,1,3.7e-24,-1,0.5162
"regulation of DNA replication","C1_05_24",1,0,3.7e-24,1,0.3501
"ribose phosphate metabolic process","C1_05_24",1,1,3.7e-24,0,1
"proton motive force-driven ATP synthesis","C1_05_24",0,0,3.7e-24,0,1
"ribonucleotide metabolic process","C1_05_24",0,1,3.7e-24,-1,0.4181
"telomere organization","C1_05_24",1,0,3.7e-24,1,0.4553
"cellular response to topologically incorrect protein","C1_05_24",0,0,3.7e-24,0,1
"Golgi organization","C1_05_24",0,0,3.7e-24,0,1
"ribonucleoprotein complex assembly","C1_05_24",0,0,3.7e-24,0,1
"cellular nitrogen compound catabolic process","C1_05_24",1,1,3.7e-24,0,1
"negative regulation of phosphorus metabolic process","C1_05_24",1,1,3.7e-24,0,1
"heterocycle catabolic process","C1_05_24",1,1,3.7e-24,0,1
"mitochondrial membrane organization","C1_05_24",1,0,3.7e-24,1,0.2949
"regulation of protein-containing complex assembly","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6397
"positive regulation of cellular component biogenesis","C1_05_24",1,1,3.7e-24,0,1
"response to oxidative stress","C1_05_24",0,1,3.7e-24,-1,0.4326
"regulation of supramolecular fiber organization","C1_05_24",1,1,3.7e-24,0,1
"positive regulation of protein localization","C1_05_24",0,1,3.7e-24,-1,0.4152
"positive regulation of cell projection organization","C1_05_24",3,1,3.7e-24,1,0.4564
"negative regulation of transferase activity","C1_05_24",0,1,3.7e-24,-1,0.5031
"autophagy of mitochondrion","C1_05_24",0,0,3.7e-24,0,1
"positive regulation of amide metabolic process","C1_05_24",0,0,3.7e-24,0,1
"chromatin remodeling","C1_05_24",0,1,3.7e-24,-1,0.4515
"viral process","C1_05_24",0,1,3.7e-24,-1,0.4137
"macromolecule deacylation","C1_05_24",1,0,3.7e-24,1,0.3095
"mitotic cytokinesis","C1_05_24",0,0,3.7e-24,0,1
"aromatic compound catabolic process","C1_05_24",1,1,3.7e-24,0,1
"vesicle localization","C1_05_24",0,0,3.7e-24,0,1
"establishment or maintenance of cell polarity","C1_05_24",1,0,3.7e-24,1,0.4779
"Wnt signaling pathway","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6373
"cell-cell signaling by wnt","C1_05_24",1,1,3.7e-24,0,1
"ATP metabolic process","C1_05_24",1,1,3.7e-24,0,1
"cellular response to chemical stress","C1_05_24",0,1,3.7e-24,-1,0.453
"regulation of vacuole organization","C1_05_24",0,0,3.7e-24,0,1
"cellular response to external stimulus","C1_05_24",0,1,3.7e-24,-1,0.4433
"negative regulation of protein phosphorylation","C1_05_24",0,1,3.7e-24,-1,0.469
"negative regulation of catabolic process","C1_05_24",0,1,3.7e-24,-1,0.4949
"regulation of microtubule cytoskeleton organization","C1_05_24",0,0,3.7e-24,0,1
"chromosome localization","C1_05_24",0,0,3.7e-24,0,1
"negative regulation of mitotic nuclear division","C1_05_24",1,0,3.7e-24,1,0.1715
"regulation of actin filament organization","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6491
"dephosphorylation","C1_05_24",1,1,3.7e-24,0,1
"glycosylation","C1_05_24",1,0,3.7e-24,1,0.4811
"positive regulation of establishment of protein localization","C1_05_24",1,1,3.7e-24,0,1
"regulation of microtubule-based process","C1_05_24",1,0,3.7e-24,1,0.4832
"cell-substrate junction organization","C1_05_24",0,0,3.7e-24,0,1
"protein-containing complex localization","C1_05_24",0,0,3.7e-24,0,1
"mitochondrial transmembrane transport","C1_05_24",0,0,3.7e-24,0,1
"stem cell population maintenance","C1_05_24",0,0,3.7e-24,0,1
"ribosome assembly","C1_05_24",0,0,3.7e-24,0,1
