Name,Description,C9a,C9b,C9c,E9a,E9b,E9c
ABCB4,na,0.05,0.00,0.59,0.03,0.11,0.00
KMT2E,na,30.50,32.61,31.63,30.62,32.81,39.60
RHBDD2,na,36.43,41.11,40.39,48.40,43.52,37.68
SOX8,na,0.12,0.02,0.05,0.00,0.05,0.02
IBTK,na,23.75,23.05,26.98,21.66,20.08,30.74
ZNF195,na,3.83,3.93,5.59,3.27,3.30,8.36
MYCBP2,na,16.32,16.53,26.77,23.80,15.30,26.99
FBXL3,na,27.00,27.21,25.01,28.19,26.25,26.64
ITGAL,na,0.15,0.00,0.00,0.30,0.04,0.00
PDK2,na,20.98,26.64,25.48,27.40,17.42,18.88
ITGA3,na,90.47,112.53,110.17,94.43,108.06,121.02
ZFX,na,11.36,14.28,13.55,10.09,14.06,11.66
LAMP2,na,108.45,103.71,111.29,106.37,124.27,126.32
,na,61.80,55.71,60.50,55.45,60.75,83.71
ITGA2B,na,0.55,0.59,0.63,1.04,15.66,0.13
ASB4,na,0.00,0.00,0.00,0.00,0.33,0.00
GDE1,na,98.62,106.93,79.34,96.39,115.23,93.96
REX1BD,na,38.50,45.93,62.29,43.68,38.84,46.74
CRLF1,na,8.49,6.72,13.19,10.72,8.71,6.76
OSBPL7,na,4.10,3.82,8.01,4.39,2.28,6.40
TMEM98,na,135.31,156.79,121.80,129.94,115.50,118.32
YBX2,na,0.02,0.11,0.28,0.00,0.00,0.00
KRT33A,na,0.00,0.00,0.00,0.00,0.00,0.00
MAP3K14,na,10.32,10.55,8.34,9.25,11.93,8.92
ABCC8,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,13.40,15.13,20.04,15.04,15.41,20.61
CACNG3,na,0.00,0.00,0.00,0.00,0.00,0.00
TMEM132A,na,99.42,112.04,89.63,79.58,72.71,79.14
AP2B1,na,128.51,135.89,119.07,120.39,136.85,129.75
TAC1,na,0.00,0.00,0.00,0.00,0.00,0.00
ZNF263,na,21.91,20.41,20.96,21.03,25.41,24.23
CX3CL1,na,0.00,0.00,0.00,0.03,0.00,0.00
SPATA20,na,33.40,41.91,44.06,42.90,31.79,43.36
CACNA1G,na,0.00,0.00,0.00,0.00,0.01,0.00
TNFRSF12A,na,298.19,293.37,286.20,279.90,215.20,294.86
DLX6,na,0.00,0.00,0.00,0.00,0.00,0.00
MAP3K9,na,0.09,0.00,0.04,0.05,0.04,0.06
RALA,na,42.95,42.41,55.26,37.93,49.60,54.97
BAIAP2L1,na,12.71,15.46,5.91,15.65,27.12,10.04
KDM7A,na,2.56,1.70,5.22,2.26,2.41,3.34
ETV1,na,6.17,5.49,3.45,2.90,4.43,3.30
AGK,na,10.48,13.34,16.32,9.06,8.71,18.65
ALDH3B1,na,33.09,47.75,27.99,35.46,51.79,26.39
TTC22,na,0.00,0.00,0.00,0.00,0.00,0.00
PHTF2,na,60.68,69.47,44.56,58.15,59.96,49.93
CCL26,na,0.00,0.59,0.36,0.42,0.41,1.78
FARP2,na,14.53,17.27,14.24,17.29,13.56,18.25
USH1C,na,0.00,0.00,0.00,0.00,0.00,0.00
GGCT,na,19.94,16.95,29.75,14.30,19.79,29.14
DBF4,na,4.96,4.07,7.42,7.30,4.79,8.04
TBXA2R,na,2.76,5.83,1.51,2.72,5.45,1.85
IFRD1,na,24.71,24.39,28.86,28.18,31.16,30.70
LGALS14,na,0.00,0.00,0.00,0.00,0.00,0.00
COX10,na,9.27,7.22,12.43,9.97,7.61,13.02
GTF2IRD1,na,20.00,20.51,20.31,18.60,25.99,16.68
PAF1,na,32.71,40.53,48.12,37.42,32.35,48.80
VPS41,na,26.50,29.42,37.87,29.47,21.94,46.37
ARHGAP44,na,0.91,0.91,1.23,1.47,1.15,0.93
ELAC2,na,24.67,34.50,35.26,26.26,25.01,37.38
SCIN,na,0.67,0.00,0.09,0.27,1.05,0.18
ARSD,na,11.14,8.72,7.76,8.12,10.73,10.26
PNPLA4,na,4.56,2.13,19.48,4.57,3.94,14.31
MYH13,na,0.19,0.16,0.25,0.18,0.07,0.60
ADIPOR2,na,19.19,20.85,25.00,20.18,20.26,24.96
CDKL3,na,2.80,3.26,2.51,2.53,4.21,2.30
UPP2,na,0.00,0.00,0.00,0.00,0.00,0.00
PRSS21,na,0.00,0.00,0.00,0.00,0.00,0.00
MARK4,na,28.82,28.37,25.81,30.93,37.31,24.85
PROM1,na,0.54,0.12,0.39,0.37,0.16,0.84
CCDC124,na,88.02,101.35,141.84,87.35,82.53,120.45
CEACAM21,na,0.00,0.00,0.00,0.00,0.00,0.00
PAFAH1B1,na,71.97,70.18,83.01,67.93,76.27,102.69
NOS2,na,0.06,0.02,0.00,0.03,0.02,0.00
DNAH9,na,0.00,0.00,0.00,0.00,0.00,0.00
KIAA0100,na,53.38,52.38,61.98,52.43,53.47,58.81
SLC13A2,na,0.00,0.00,0.00,0.00,0.00,0.00
GAS7,na,8.32,3.97,16.32,9.40,5.80,21.04
TRAPPC6A,na,16.10,22.07,11.07,19.13,21.44,8.08
MATK,na,0.00,0.00,0.00,0.00,0.00,0.00
CEACAM7,na,0.00,0.00,0.00,0.00,0.00,0.00
CD79B,na,0.00,0.00,0.00,0.00,0.11,0.00
SCN4A,na,0.00,0.01,0.00,0.00,0.00,0.00
ST7L,na,11.77,10.77,17.10,7.74,8.75,16.34
TKTL1,na,0.00,0.00,0.00,0.00,0.00,0.04
PAX6,na,0.05,0.09,0.03,0.12,0.03,0.05
RPUSD1,na,17.73,13.62,19.33,15.28,17.18,19.82
RHBDF1,na,72.91,79.45,81.35,69.53,72.71,79.98
LUC7L,na,24.36,34.58,55.95,34.45,31.71,67.36
CACNA2D2,na,0.18,0.28,0.40,0.00,0.51,0.14
BAIAP3,na,0.41,1.44,3.02,1.31,1.78,0.79
TSR3,na,58.64,53.63,62.74,55.26,58.04,57.92
PIGQ,na,19.77,19.19,20.50,21.63,21.82,19.46
CRAMP1,na,9.00,11.11,8.70,13.02,9.06,10.21
TEAD3,na,47.26,59.99,50.86,41.07,48.04,59.82
SELE,na,0.00,0.00,0.00,0.00,0.00,0.00
DNAJC11,na,24.04,22.70,48.75,20.67,16.81,49.32
FMO3,na,7.59,7.57,2.20,4.36,4.60,2.23
MYLIP,na,2.62,4.23,1.42,2.91,4.97,1.93
NOX1,na,0.00,0.03,0.08,0.00,0.00,0.04
E2F2,na,0.05,0.08,0.14,0.06,0.02,0.23
