Name,Description,C9a,C9b,C9c,E9a,E9b,E9c
COG3,na,10.00,11.17,12.67,10.60,13.17,12.98
LMO7,na,193.20,191.97,232.14,200.18,185.96,299.06
SCEL,na,0.00,0.00,0.00,0.00,0.00,0.00
ITM2B,na,362.24,375.02,303.24,359.90,431.84,329.20
SPRY2,na,18.95,14.49,11.18,25.36,15.59,14.43
NUDT15,na,7.53,7.02,9.57,6.45,6.22,9.70
EDNRB,na,23.03,24.41,7.67,22.04,33.59,14.48
RCBTB2,na,4.86,6.68,5.05,4.85,7.28,4.33
LCP1,na,0.00,0.00,0.03,0.00,0.22,0.06
SETDB2,na,15.58,16.21,13.47,14.26,21.74,16.06
SCRN1,na,107.65,129.46,77.80,111.53,132.00,81.72
C7orf25,na,2.58,2.60,3.56,3.49,2.75,2.51
TNS3,na,84.19,90.55,110.10,78.71,70.68,114.80
SPDYE1,na,0.00,0.00,0.04,0.00,0.12,0.03
CHST12,na,16.52,19.32,28.75,19.21,17.59,22.98
IGF2BP3,na,33.66,43.15,60.88,38.04,39.67,65.29
GPNMB,na,0.00,0.66,0.37,0.00,1.09,0.33
RAPGEF5,na,0.15,0.05,0.02,0.25,0.08,0.07
RAC1,na,259.03,295.77,260.63,258.66,270.26,253.72
KDELR2,na,368.64,368.39,264.40,355.58,395.44,282.59
NUPL2,na,14.11,11.57,22.95,14.43,13.39,19.02
IL6,na,105.32,138.00,52.19,95.32,67.49,50.98
ZDHHC4,na,43.07,51.05,36.29,54.99,37.45,37.48
AOAH,na,0.00,0.00,0.00,0.00,0.00,0.00
BZW2,na,44.33,47.51,51.15,38.79,44.86,57.98
DGKB,na,0.00,0.00,0.00,0.00,0.00,0.00
TBRG4,na,37.91,38.19,58.38,40.66,30.46,53.54
DDX56,na,31.93,31.91,44.08,29.38,30.38,49.03
HUS1,na,10.52,10.63,17.78,14.22,8.97,20.25
NACAD,na,5.04,6.24,5.45,5.35,5.60,3.41
C7orf69,na,2.49,1.76,12.74,1.12,1.58,6.18
DBNL,na,85.59,82.80,126.29,96.71,80.09,123.94
CCM2,na,65.51,65.54,47.03,64.61,62.76,45.28
MYO1G,na,0.00,0.00,0.04,0.02,0.00,0.03
TTYH3,na,158.97,152.41,115.86,151.66,130.09,119.32
MMD2,na,0.00,0.00,0.00,0.00,0.00,0.00
CIDEB,na,0.39,0.53,1.50,0.10,0.54,0.24
AL355922.1,na,0.00,0.00,0.00,0.00,0.00,0.00
TTC5,na,8.64,11.28,17.14,8.38,6.07,16.33
NKX2-8,na,0.00,0.00,0.00,0.00,0.00,0.00
NKX2-1,na,0.00,0.00,0.00,0.00,0.00,0.00
ZFHX2,na,0.19,0.21,0.56,0.41,0.07,0.43
MTHFS,na,7.55,7.72,6.25,10.61,9.25,7.64
ADAMTS7,na,9.49,6.31,18.80,6.94,3.19,15.23
ABHD17C,na,57.47,72.25,20.12,57.78,90.39,21.35
IREB2,na,23.02,21.00,20.91,28.20,20.45,24.08
ALPK3,na,0.05,0.03,0.04,0.02,0.99,0.03
TM6SF1,na,6.73,5.45,5.74,4.85,4.89,7.82
CIB2,na,3.08,4.44,3.05,3.34,4.53,3.50
CALCOCO2,na,81.05,85.01,105.17,87.28,95.47,102.40
RSAD1,na,8.70,11.16,14.59,12.02,11.37,13.65
NMT1,na,109.61,112.51,92.51,85.71,98.03,123.22
MYCBPAP,na,0.35,0.27,0.25,0.71,0.32,0.00
SRSF1,na,74.33,83.61,169.28,74.17,52.38,185.73
VEZF1,na,43.45,43.88,34.07,40.75,46.99,40.00
CHAD,na,0.23,0.14,0.20,0.21,0.26,0.42
TACO1,na,18.93,19.75,23.17,18.31,20.60,23.93
TEX2,na,20.76,13.80,20.99,16.49,12.38,18.24
DCAF7,na,63.81,54.51,44.48,62.62,66.59,52.10
GH2,na,0.00,0.00,0.00,0.00,0.00,0.00
CSH1,na,0.00,0.00,0.00,0.00,0.00,0.00
LIMD2,na,8.52,8.63,15.80,8.42,5.79,9.69
BRIP1,na,1.99,2.33,3.39,2.70,2.64,4.63
KAT7,na,15.90,15.26,15.40,13.71,14.87,16.69
RTP4,na,0.19,0.16,0.39,0.16,0.15,0.37
ACTL6A,na,27.31,34.20,56.26,27.11,28.34,60.17
NDUFB5,na,68.26,150.50,79.78,77.62,87.66,76.51
MRPL47,na,31.99,26.57,43.39,27.15,22.75,44.36
TRA2B,na,58.74,53.37,106.43,59.87,43.95,113.32
SCN2A,na,0.00,0.00,0.22,0.07,0.07,0.10
TBR1,na,0.00,0.00,0.00,0.00,0.00,0.00
MARCH7,na,65.53,71.40,71.98,54.93,61.94,77.44
ERMN,na,0.00,0.08,0.00,0.11,0.05,0.05
GALNT5,na,166.22,163.92,59.28,194.69,196.16,68.31
SCN7A,na,0.07,0.00,1.21,0.26,0.00,0.61
TANK,na,52.98,56.82,49.04,53.68,50.09,64.78
BLK,na,0.73,0.33,0.33,0.24,0.23,0.29
GATA4,na,0.00,0.12,0.00,0.04,0.00,0.00
SKIL,na,14.00,12.99,18.79,15.23,10.73,23.19
EPRS,na,71.92,60.82,142.44,69.73,89.53,173.94
HLX,na,18.07,17.77,13.92,19.56,19.93,16.58
VPS45,na,21.45,28.60,30.91,20.66,19.75,34.06
IL10,na,0.00,0.00,0.00,0.00,0.07,0.00
KCTD3,na,47.56,63.12,54.56,46.27,56.66,50.20
RPS6KC1,na,14.28,14.31,13.80,13.59,16.49,13.90
,na,5.45,6.45,3.23,6.18,8.01,4.33
CBWD2,na,8.72,10.49,18.08,9.17,8.94,22.18
IL36G,na,0.00,0.10,0.00,0.00,0.00,0.00
IL1RN,na,0.00,0.00,0.00,0.00,0.00,0.00
IL36A,na,0.00,0.00,0.00,0.00,0.00,0.00
IL36RN,na,0.00,0.00,0.00,0.00,0.00,0.00
IL36B,na,0.00,0.00,0.00,0.00,0.00,0.00
IL1F10,na,0.00,0.00,0.00,0.00,0.00,0.00
CFC1,na,0.00,0.00,0.00,0.00,0.00,0.00
SMPD4,na,22.08,25.53,28.52,26.36,24.53,27.78
WDR33,na,13.44,14.58,22.88,13.03,13.43,21.04
CCDC115,na,22.76,21.22,25.15,25.21,32.36,23.11
SAP130,na,8.23,14.25,10.41,11.18,15.44,10.88
BIN1,na,14.19,13.04,28.47,9.57,12.46,29.79
IMP4,na,35.85,33.31,53.46,38.33,30.01,60.35
HS6ST1,na,99.09,101.33,77.15,104.17,110.01,80.84
UGGT1,na,32.68,33.07,53.44,32.31,29.20,57.06
GYPC,na,76.49,67.52,82.43,70.66,78.31,85.60
STAM,na,22.93,23.99,24.87,23.76,25.54,27.40
GAD2,na,0.00,0.00,0.00,0.00,0.00,0.00
ABI1,na,32.69,29.67,36.98,32.03,32.22,38.89
YME1L1,na,104.10,107.74,113.30,96.80,99.42,122.41
DNAJC1,na,31.25,34.56,22.88,29.57,29.09,23.89
NIPSNAP3A,na,13.59,13.18,24.86,15.04,11.30,21.82
LRRC8A,na,42.41,40.37,38.08,44.44,34.29,39.37
,na,0.00,0.00,0.07,0.00,0.00,0.06
CDK9,na,53.81,46.82,73.34,37.70,48.34,70.89
TXN,na,221.01,201.77,288.75,239.91,245.66,259.13
ODF2,na,21.84,23.29,31.60,22.53,25.25,34.39
ECPAS,na,61.21,72.03,67.64,63.33,78.83,74.59
TOR1B,na,36.90,31.52,33.47,33.79,36.49,35.89
C9orf78,na,35.62,39.35,54.69,37.10,41.88,66.70
SMC2,na,5.16,5.72,10.15,5.43,5.58,12.75
KLF4,na,0.89,0.98,8.03,1.86,2.26,3.91
TOR1A,na,40.23,42.47,55.95,37.73,34.19,63.71
RALGPS1,na,12.56,4.31,3.94,4.25,7.91,3.14
FAM129B,na,456.50,500.97,349.06,437.88,461.89,352.08
OR1J1,na,0.00,0.10,0.00,0.00,0.00,0.00
OR13C9,na,0.00,0.00,0.00,0.00,0.00,0.00
ST6GALNAC4,na,29.21,30.38,24.21,34.83,26.77,23.23
TMOD1,na,15.34,19.07,11.78,11.93,20.85,11.39
DAB2IP,na,30.96,36.69,20.35,35.19,38.89,24.48
STXBP1,na,39.06,36.62,33.76,39.75,44.32,30.46
SLC2A8,na,9.54,10.24,5.32,8.84,12.50,6.29
ANGPTL2,na,89.59,105.60,94.51,93.46,146.62,100.29
CDK5RAP2,na,18.40,17.74,18.36,17.90,17.82,20.60
ZFP37,na,1.39,1.59,1.16,2.02,1.87,1.57
SLC31A2,na,6.27,6.11,3.55,5.33,8.54,3.91
SLC31A1,na,41.38,44.27,47.22,39.24,42.38,45.34
TLR4,na,0.00,0.00,0.00,0.00,0.05,0.00
ZNF189,na,5.30,4.49,7.82,5.72,5.26,7.58
ALDOB,na,0.00,0.10,0.05,0.00,0.00,0.00
STX17,na,8.21,9.04,9.07,6.76,7.64,9.77
PRPF4,na,14.04,12.17,16.79,12.49,12.21,16.70
FPGS,na,45.08,46.33,52.04,31.93,40.23,54.37
USP20,na,11.10,12.36,14.95,15.08,14.29,11.75
BAAT,na,0.00,0.00,0.00,0.00,0.00,0.00
KIF12,na,0.00,0.00,0.00,0.00,0.00,0.00
ATP6V1G1,na,48.64,37.59,70.97,47.54,38.08,58.30
TEX10,na,10.83,11.88,13.00,11.94,10.38,15.84
GARNL3,na,0.70,0.66,0.97,1.92,13.83,1.44
MRPL50,na,5.39,5.97,6.44,5.05,3.60,9.55
DPM2,na,33.58,31.85,42.54,28.49,30.86,41.49
WDR38,na,0.00,0.00,0.00,0.00,0.00,0.00
TSTD2,na,9.83,11.45,10.71,6.79,7.16,11.39
GABBR2,na,42.32,47.96,28.12,53.32,49.24,27.99
HEMGN,na,0.00,0.00,0.00,0.00,0.00,0.00
PSMB7,na,181.68,195.85,264.96,188.05,181.74,250.86
NR5A1,na,0.00,0.00,0.00,0.00,0.00,0.00
TRMO,na,5.05,4.28,3.07,6.23,6.37,6.60
RABEPK,na,16.10,18.00,32.41,19.06,18.32,30.96
GOLGA1,na,15.16,15.62,16.45,12.48,14.39,19.25
XPA,na,8.28,9.59,11.80,8.68,6.22,13.21
NCBP1,na,10.22,11.60,16.62,8.86,7.75,19.34
ANP32B,na,71.69,74.17,127.38,74.76,78.29,127.12
OR1L4,na,0.00,0.00,0.00,0.00,0.00,0.00
PDCL,na,14.90,11.36,19.20,11.61,9.47,17.37
RPL35,na,2145.67,2212.91,2283.37,2356.20,2419.00,1978.32
CTSV,na,0.21,0.46,0.50,0.16,0.00,0.91
LMX1B,na,0.00,0.00,0.00,0.00,0.00,0.00
ARPC5L,na,34.49,32.24,46.65,35.99,32.68,39.24
ENPP2,na,2.00,0.71,2.32,0.91,0.50,2.22
DSCC1,na,1.94,1.92,1.23,0.65,0.97,2.15
DERL1,na,80.23,99.21,88.18,85.20,110.37,98.39
MYC,na,33.76,28.71,56.31,32.58,25.50,53.35
NOV,na,0.22,0.16,1.37,1.12,0.26,0.57
IL33,na,1.68,1.17,10.14,1.30,0.73,4.72
DMAC1,na,11.67,10.07,13.87,10.59,12.89,13.78
RANBP6,na,9.91,11.57,13.66,10.21,11.05,13.94
POLR1E,na,19.43,17.20,22.55,18.60,21.98,20.53
PLAA,na,21.41,21.47,28.96,22.70,21.69,34.44
IL11RA,na,15.65,17.70,15.49,16.13,16.00,22.37
UBAP2,na,16.29,13.73,14.39,11.67,12.66,18.98
APTX,na,20.58,21.43,32.03,27.82,22.89,33.19
RNF38,na,11.37,11.77,8.09,12.15,11.71,9.19
TLN1,na,263.58,261.82,414.30,253.45,247.91,440.75
CCL21,na,0.00,0.00,0.00,0.00,0.00,0.00
SIT1,na,0.00,0.00,0.00,0.00,0.00,0.00
IFNA21,na,0.00,0.00,0.00,0.00,0.00,0.00
DMRT1,na,0.07,0.00,0.00,0.00,0.00,0.00
DNAJB5,na,17.11,12.96,18.38,13.22,10.81,14.30
SPAG8,na,0.19,0.16,0.44,0.67,0.45,1.44
DCTN3,na,94.16,93.40,125.42,104.96,101.16,114.31
CD72,na,0.39,0.52,0.54,1.30,2.16,0.96
TMEM8B,na,17.24,16.58,7.57,20.92,20.48,7.93
GRHPR,na,101.53,109.22,125.49,105.31,100.36,121.12
ALDH1B1,na,19.88,26.44,29.88,19.53,17.29,23.54
HINT2,na,15.60,17.15,36.47,17.94,21.07,32.53
ARHGEF39,na,1.15,1.72,1.52,1.77,2.36,1.37
IGFBPL1,na,0.00,0.09,0.00,0.25,0.12,0.00
DENND4C,na,13.40,14.64,12.19,13.64,16.01,14.39
RPS6,na,2340.13,2341.84,1922.62,2387.58,2577.32,1745.24
CNPY3,na,31.78,32.48,37.87,33.33,33.31,41.64
FOXP4,na,15.43,15.24,20.52,13.31,11.97,20.40
PPIL1,na,18.84,17.81,23.48,15.92,11.34,25.17
KLC4,na,13.24,11.38,13.31,11.95,14.54,13.88
KIF13A,na,25.99,32.62,20.96,23.75,35.10,21.78
ZSCAN9,na,6.28,8.60,9.37,6.25,6.58,9.41
PIM1,na,51.28,61.97,85.85,56.18,58.76,94.52
GMPR,na,0.79,0.45,4.42,2.55,0.38,4.63
CMTR1,na,16.84,20.26,27.77,15.48,19.97,32.24
TFAP2A,na,7.79,2.07,8.00,7.27,3.32,13.69
SLC22A7,na,0.00,0.00,0.00,0.00,0.00,0.00
YIPF3,na,258.13,264.03,181.26,258.01,270.26,203.90
TMEM14B,na,106.48,106.79,96.00,102.71,93.50,89.21
TMEM63B,na,37.35,40.11,37.16,39.63,38.40,33.04
FRS3,na,5.74,4.29,5.56,4.45,5.15,4.21
TJAP1,na,17.70,15.76,21.58,19.49,16.95,23.96
CAPN11,na,0.00,0.00,0.00,0.00,0.00,0.00
TINAG,na,0.00,0.00,0.00,0.00,0.00,0.00
HCRTR2,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.52,0.00
KIAA0319,na,0.00,0.00,0.00,0.03,0.03,0.00
IRF4,na,0.00,0.01,0.00,0.00,0.00,0.00
SLC22A23,na,2.11,1.55,5.12,2.60,1.50,3.84
TUBB2A,na,71.25,67.15,72.90,67.62,54.72,70.23
LRRC1,na,11.48,13.78,5.83,11.97,12.25,9.04
GCM1,na,0.00,0.00,0.00,0.00,0.00,0.00
FOXF2,na,9.25,5.71,14.77,12.08,7.89,13.95
BPHL,na,17.01,14.97,13.38,16.51,16.34,15.15
RIPK1,na,18.11,17.80,18.57,18.03,16.31,19.77
TUBB2B,na,14.91,13.47,29.42,6.37,5.65,18.99
UQCC2,na,33.01,27.43,59.60,26.18,25.35,39.25
HMGA1,na,525.85,580.56,460.57,487.69,584.75,407.12
TCF19,na,8.72,8.49,5.59,11.52,6.42,9.81
FLOT1,na,171.81,175.50,206.57,176.17,206.39,233.78
IER3,na,393.52,356.31,299.85,314.43,298.39,255.91
MDC1,na,7.33,8.98,9.02,7.71,9.44,85.60
PGBD1,na,4.43,4.68,3.58,3.00,3.04,4.43
ATAT1,na,7.59,5.30,12.79,7.27,5.99,11.41
TPMT,na,11.21,11.81,8.92,10.68,11.07,8.29
CLPS,na,0.00,0.00,0.00,0.00,0.00,0.00
RNF144B,na,2.72,4.44,0.32,3.58,1.56,0.58
NRM,na,21.12,26.75,18.84,20.61,27.61,22.22
MTCH1,na,290.36,291.28,256.82,294.68,298.67,245.72
VARS2,na,7.06,6.64,11.40,7.23,7.56,12.36
TAF8,na,9.63,13.75,9.75,9.18,13.45,9.49
FAM8A1,na,14.36,12.70,16.42,15.00,16.34,16.22
C6orf52,na,0.00,0.00,0.00,0.00,0.00,0.00
FGFBP1,na,0.00,0.00,0.00,0.00,0.00,0.00
FGFBP2,na,0.00,0.00,0.00,0.00,0.00,0.00
CPEB2,na,17.26,13.67,12.26,16.68,13.51,14.48
FHDC1,na,0.14,0.07,0.29,0.16,0.23,0.27
TLR2,na,0.04,0.05,0.00,0.03,0.00,0.08
MGARP,na,24.55,21.97,45.26,30.71,18.35,46.74
TTC29,na,0.00,0.00,0.00,0.00,0.00,0.00
MYO7A,na,0.00,0.00,0.00,0.00,0.00,0.00
FCHSD2,na,28.03,33.47,16.98,29.26,41.80,23.02
ARRB1,na,11.52,11.47,15.61,10.00,9.31,12.51
SLCO2B1,na,0.00,0.00,0.00,0.00,0.00,0.05
THAP12,na,17.42,17.36,23.12,16.55,12.95,25.90
ANKRD42,na,12.85,13.38,14.20,12.05,14.55,13.05
IL18BP,na,2.58,3.12,2.50,1.33,1.62,2.91
NUMA1,na,99.29,109.11,113.79,112.58,117.59,110.76
CCDC90B,na,53.68,61.66,70.35,51.11,59.56,70.08
SYTL2,na,90.22,103.99,84.90,95.75,88.75,139.39
RAB30,na,9.81,11.70,11.98,9.06,16.14,12.81
CREBZF,na,25.88,29.48,36.09,26.84,32.55,39.14
LRRC32,na,11.68,16.25,8.24,7.25,12.50,6.77
PRCP,na,75.69,77.41,81.79,77.84,87.85,89.55
NARS2,na,11.32,13.46,7.33,10.49,10.80,8.17
RNF121,na,21.40,23.75,29.96,24.11,21.69,32.19
MRPL15,na,27.06,34.84,63.18,33.29,28.20,59.66
PI15,na,0.00,0.00,0.00,0.00,0.00,0.00
TTPA,na,0.00,0.00,0.00,0.00,0.00,0.00
GGH,na,38.77,47.85,45.53,40.34,58.51,64.76
SLCO5A1,na,0.00,0.00,0.00,0.00,0.00,0.16
SULF1,na,35.19,13.83,158.26,36.28,17.33,129.65
TGS1,na,11.52,5.91,7.52,7.01,5.35,8.43
SDCBP,na,144.92,167.02,125.09,137.51,169.91,124.06
NEK1,na,5.90,5.46,6.44,5.17,6.02,6.57
DDX60,na,7.13,5.47,3.14,6.16,4.31,5.26
NXPE4,na,0.00,0.00,0.00,0.00,0.00,0.00
SORL1,na,1.12,1.22,1.42,1.64,1.26,2.15
TMPRSS4,na,0.00,0.00,0.00,0.00,0.00,0.00
BUD13,na,8.67,9.76,9.56,7.60,9.06,10.67
TRPC6,na,30.08,22.48,20.14,24.76,22.33,29.85
MMP7,na,0.00,0.00,0.00,0.12,0.00,0.00
MMP20,na,0.00,0.00,0.00,0.00,0.00,0.00
MMP27,na,0.00,0.00,0.00,0.00,0.00,0.00
C11orf70,na,2.42,0.57,1.33,1.64,2.63,3.47
DCUN1D5,na,47.07,45.03,54.56,39.13,39.53,60.62
YAP1,na,124.13,113.49,119.82,118.59,108.83,125.94
TRIM29,na,0.53,0.05,0.07,0.07,0.08,0.00
SLC37A4,na,10.12,12.00,8.08,9.30,9.95,7.55
BTG4,na,0.00,0.48,0.00,0.00,0.13,0.10
POU2F3,na,0.00,0.00,0.00,0.00,0.00,0.00
RDX,na,73.01,69.24,65.38,57.77,70.73,92.20
PPP2R1B,na,25.22,25.70,22.21,23.16,23.24,22.78
FDX1,na,5.57,4.97,8.63,6.45,5.13,8.25
C11orf1,na,7.42,9.38,8.26,8.13,15.29,8.20
FXYD6,na,0.00,0.00,0.00,0.00,0.00,0.00
ARHGAP20,na,1.62,1.16,4.43,1.48,1.47,4.88
FXYD2,na,0.00,0.25,0.00,0.00,0.00,0.00
MMP13,na,0.00,0.00,0.00,0.00,0.00,0.00
TMPRSS13,na,0.00,0.00,0.00,0.00,0.00,0.00
CASP1,na,20.89,24.41,44.60,22.81,22.96,53.98
CASP5,na,0.14,0.00,0.00,0.00,0.00,0.00
ALKBH8,na,3.42,3.46,8.06,2.63,1.54,7.63
MAP2K5,na,15.17,17.66,24.37,22.20,23.97,11.89
UNC13C,na,0.00,0.00,0.01,0.00,0.00,0.00
SQOR,na,45.07,42.53,33.68,42.69,45.30,44.87
CTDSPL2,na,14.84,14.73,23.86,11.60,12.09,23.80
SLTM,na,29.29,29.36,50.93,24.92,25.94,59.41
THBS1,na,500.30,489.57,691.15,536.60,422.89,810.74
MAPKBP1,na,9.42,9.18,9.89,9.29,9.39,12.81
NUSAP1,na,13.83,24.17,23.77,19.35,21.28,30.31
NDUFAF1,na,15.70,16.12,27.11,15.50,13.41,28.42
KIF23,na,12.54,14.51,23.36,11.72,15.77,31.62
AC027088.1,na,0.00,0.00,0.00,0.00,0.00,0.09
ITGA11,na,0.37,0.34,43.87,3.52,0.26,32.32
KNL1,na,1.44,2.14,2.22,3.33,1.59,4.93
HAUS2,na,20.65,25.15,11.48,15.66,23.66,19.06
RTF1,na,43.47,56.30,36.04,37.57,51.03,46.70
PARP6,na,16.08,18.66,20.37,16.95,23.57,21.30
RPLP1,na,1574.68,1624.36,987.03,1617.44,1665.80,843.00
PAQR5,na,1.85,1.83,3.93,1.65,2.81,3.87
LRRC49,na,6.36,6.23,7.76,7.83,6.75,7.72
TUBGCP4,na,9.01,9.57,12.66,9.16,11.02,10.14
RMDN3,na,22.29,19.23,33.36,23.41,18.36,29.88
ITPKA,na,4.92,2.86,3.93,3.38,2.88,4.61
UACA,na,46.13,42.97,97.55,55.72,39.04,105.45
SMAD6,na,19.13,17.17,15.66,13.67,19.78,11.12
PLCB2,na,2.20,0.00,1.06,0.03,0.00,0.39
TMEM62,na,8.45,9.40,6.04,9.82,10.65,8.84
PAK6,na,0.16,0.00,0.00,0.00,0.00,0.00
ADAM10,na,239.35,291.10,280.65,219.90,290.42,344.77
DUOX1,na,0.48,0.06,0.63,0.00,0.14,0.21
SLC28A2,na,0.00,0.00,0.00,0.00,0.00,0.00
STRA6,na,0.20,0.11,0.05,0.05,0.00,0.04
CYP19A1,na,0.06,0.00,0.00,0.14,1.32,0.09
ZNF280D,na,12.03,11.72,16.90,10.75,12.31,14.04
SEMA6D,na,10.06,11.75,4.45,11.91,12.04,9.11
BCL2L10,na,0.00,0.00,0.00,0.00,0.00,0.28
RSL24D1,na,50.03,55.98,68.43,43.55,52.28,66.70
SPTBN5,na,0.02,0.02,0.19,0.02,0.00,0.16
GCOM1,na,0.00,0.00,0.00,0.00,0.00,0.00
GCHFR,na,4.10,1.79,6.50,5.45,1.78,3.54
BCAR3,na,26.36,24.13,21.31,25.22,25.31,24.41
TTLL7,na,7.43,116.99,7.73,12.76,6.67,8.49
FNBP1L,na,1.96,1.19,11.36,2.38,1.07,10.50
KYAT3,na,28.49,32.75,27.03,29.64,33.92,32.23
GTF2B,na,19.21,20.50,24.83,15.95,20.22,19.52
BRDT,na,0.00,0.00,0.00,0.00,0.00,0.00
RABGGTB,na,44.22,33.93,79.87,39.25,34.92,75.81
IFI44L,na,0.09,0.12,0.04,0.28,0.00,0.07
GIPC2,na,0.02,0.02,0.03,0.08,0.08,0.05
ARHGAP29,na,63.82,60.83,21.09,57.32,61.93,26.38
IFI44,na,1.22,1.78,4.75,2.03,2.20,8.39
SLC44A5,na,0.00,0.02,0.00,0.00,0.00,0.00
RPL7P9,na,2.33,2.74,7.43,2.41,2.72,3.55
CLCA2,na,0.00,0.00,0.05,0.83,0.00,0.02
DNASE2B,na,0.20,0.00,0.00,0.00,0.00,0.00
DBT,na,8.20,7.59,8.89,8.66,6.77,10.21
RTCA,na,31.52,26.78,48.09,33.09,36.15,43.32
IFT172,na,7.45,6.07,11.14,6.94,5.28,12.48
SELENOI,na,6.29,3.71,7.16,3.27,3.55,10.93
CGREF1,na,0.00,0.14,1.31,0.33,0.00,0.48
HADHB,na,80.91,85.02,82.34,77.76,83.76,97.50
KHK,na,0.22,0.78,0.71,0.40,0.62,0.61
ADCY3,na,51.87,50.57,47.38,38.20,40.20,44.70
PPM1B,na,37.30,40.61,35.46,30.99,37.99,41.15
PNPT1,na,8.93,6.91,10.47,6.19,4.95,13.68
DYNC2LI1,na,9.18,8.24,11.70,7.48,9.89,15.24
LHCGR,na,0.71,0.15,0.96,1.46,0.24,1.36
,na,23.23,21.98,24.58,22.64,22.15,28.97
THUMPD2,na,3.94,6.47,5.39,4.19,4.69,4.94
CYP1B1,na,14.06,8.85,1.94,8.59,9.09,0.76
SULT6B1,na,0.00,0.00,0.00,0.00,0.00,0.00
RAB1A,na,208.24,215.64,259.15,216.95,238.22,250.79
ACTR2,na,168.75,168.49,303.19,166.35,139.75,308.31
PREB,na,40.32,37.34,31.53,37.29,35.33,30.96
SLC5A6,na,6.94,9.87,10.25,6.69,6.26,13.00
ABCG5,na,0.00,0.00,0.00,0.00,0.00,0.00
PREPL,na,31.68,28.85,34.25,29.84,23.78,41.81
SLC3A1,na,0.00,0.04,0.00,0.00,0.00,0.09
EMILIN1,na,236.90,207.63,227.77,227.53,184.52,233.23
FBXO11,na,26.30,25.80,37.51,26.64,29.50,46.08
SIX3,na,0.00,0.00,0.00,0.00,0.00,0.00
ATRAID,na,206.93,198.97,175.33,225.06,233.19,183.88
CENPO,na,7.49,7.21,8.95,6.47,4.46,11.59
LRPPRC,na,26.75,27.92,34.97,27.75,31.30,51.26
TRIM54,na,0.00,0.04,0.00,0.00,0.00,0.00
DTNB,na,0.76,0.81,3.48,0.90,0.36,3.46
ACTR1A,na,110.23,112.88,126.64,101.76,96.22,126.09
CYP2C9,na,0.00,0.00,0.00,0.00,0.00,0.00
MFSD13A,na,1.55,2.79,1.50,1.24,3.18,1.04
CYP2C8,na,0.00,0.00,0.00,0.00,0.00,0.00
MYOF,na,271.67,342.38,211.61,247.40,330.01,257.35
LOXL4,na,20.88,24.05,8.40,24.91,25.85,9.29
STAMBPL1,na,56.40,84.95,36.14,66.08,77.58,49.07
CH25H,na,0.08,0.00,0.71,0.00,0.09,0.07
LBX1,na,0.00,0.00,0.00,0.00,0.00,0.00
ATAD1,na,39.86,40.86,39.82,39.04,46.41,42.33
BTBD16,na,0.00,0.00,0.00,0.00,0.00,0.00
KIF11,na,2.82,3.31,5.96,3.92,3.50,9.25
CUZD1,na,0.38,0.46,0.63,0.66,0.50,0.30
TACC2,na,4.96,6.12,7.96,3.60,5.16,9.76
DUSP5,na,29.92,30.45,21.03,29.32,26.17,25.95
CALHM2,na,6.36,12.04,4.03,10.15,12.09,6.30
ARL3,na,11.54,11.12,15.39,11.21,11.31,14.52
CEP55,na,5.13,6.51,9.09,5.10,6.87,16.09
KIF20B,na,5.62,3.46,5.28,4.31,3.35,6.83
ENTPD1,na,0.71,0.67,1.31,0.63,0.46,1.73
EXOC6,na,8.94,7.64,21.60,22.45,6.90,10.29
PLCE1,na,0.08,0.23,0.73,0.11,0.12,0.89
RBP4,na,0.00,0.18,0.00,0.19,0.37,0.14
DBR1,na,8.75,9.86,10.36,10.13,9.47,9.86
DNAJC13,na,30.67,32.62,33.86,28.21,31.77,43.48
GPR87,na,0.12,0.37,0.15,0.08,0.29,0.00
ANXA7,na,61.98,67.62,80.50,56.05,67.18,83.63
FAM149B1,na,22.79,17.66,13.96,17.33,20.10,13.75
,na,84.91,90.28,97.85,85.92,85.03,95.90
,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,65.85,61.08,73.40,69.97,57.31,73.65
ASCC1,na,18.29,17.62,24.97,15.93,16.64,27.96
PLA2G12B,na,0.00,0.00,0.00,0.00,0.00,0.00
ZNF365,na,0.42,0.35,2.86,0.80,0.34,2.12
OIT3,na,0.00,0.00,0.00,0.00,0.05,0.00
ADAMTS14,na,0.05,0.04,0.22,0.10,0.04,0.32
RPS24,na,2930.35,2971.30,1770.77,2698.26,3368.87,1687.96
TET1,na,0.68,0.49,1.73,0.81,0.48,1.52
DNA2,na,0.61,1.06,1.34,0.88,1.63,1.96
MYPN,na,5.71,7.79,7.99,6.06,7.81,7.93
AOX1,na,11.76,10.94,10.84,15.91,14.45,12.88
ATIC,na,45.86,52.25,75.47,44.87,48.67,87.79
SMARCAL1,na,13.24,14.35,20.12,14.24,17.68,17.10
BARD1,na,1.89,3.07,2.98,2.44,1.56,4.88
STAT4,na,0.29,0.11,0.53,0.42,0.88,0.22
MSTN,na,0.03,0.00,0.00,0.04,0.00,0.00
CARF,na,2.80,3.40,3.17,3.26,5.17,3.81
ASNSD1,na,40.21,47.17,47.73,39.18,43.92,43.35
METTL5,na,43.61,47.30,55.18,33.57,49.22,58.59
