Name,Description,C1a,C1b,C1c,C9a,C9b,C9c
OXA1L,na,129.62,113.07,88.29,117.79,124.83,102.11
SLC7A7,na,1.86,1.16,2.39,3.24,0.94,0.90
MAGEC1,na,0.00,0.00,0.00,0.00,0.00,0.00
LARP1,na,57.95,58.39,96.15,62.07,68.00,84.84
CNOT8,na,54.41,46.51,45.51,53.58,59.49,56.94
GRIA1,na,2.43,1.49,0.30,0.51,1.02,0.18
LRGUK,na,0.00,0.00,0.00,0.00,0.00,0.00
SETD9,na,4.31,2.06,4.66,6.13,4.75,6.68
MIER3,na,8.94,5.45,11.93,8.13,7.97,6.78
NUP205,na,20.17,19.80,31.81,21.69,23.85,16.09
ZKSCAN2,na,3.48,3.20,2.83,1.80,3.38,3.41
C9orf85,na,14.97,8.74,6.31,10.37,6.28,12.34
XAGE2,na,0.00,0.00,0.00,0.00,0.00,0.00
PIK3AP1,na,0.00,0.03,0.05,0.00,0.00,0.00
RBM45,na,7.32,6.09,9.51,7.63,5.31,10.67
,na,0.86,0.69,1.60,1.27,1.21,2.36
TTN,na,0.03,0.02,0.03,0.02,0.02,0.09
VSIG4,na,0.00,0.00,0.00,0.00,0.04,0.11
PDIA4,na,74.34,91.97,135.47,109.92,92.85,146.00
KDM8,na,4.33,2.43,3.66,3.02,2.84,2.83
PDZD9,na,0.00,0.00,0.00,0.00,0.00,0.00
OTOA,na,0.00,0.00,0.00,0.00,0.00,0.00
KCTD18,na,12.36,12.08,10.00,12.63,12.10,19.70
FAM126B,na,2.31,2.18,2.31,2.06,2.50,2.07
ALS2CR12,na,0.00,0.00,0.15,0.17,0.49,0.46
C2CD6,na,0.71,0.83,0.59,0.35,0.96,0.36
TMEM237,na,31.13,30.27,33.17,23.08,20.29,29.13
FZD7,na,84.20,82.96,84.26,121.92,109.55,105.22
SPAG17,na,0.03,0.05,0.05,0.05,0.00,0.00
DEPTOR,na,0.67,2.92,0.81,7.35,4.60,3.32
FMN2,na,20.60,17.92,32.77,34.59,37.53,33.40
RNF20,na,23.44,21.06,25.84,25.30,24.32,22.70
CYLC2,na,0.00,0.00,0.00,0.00,0.00,0.00
PPARGC1B,na,0.00,0.00,0.04,0.00,0.00,0.00
ELMO1,na,0.30,1.34,0.09,2.66,4.66,0.41
SLC26A2,na,2.76,2.31,2.45,3.08,2.86,3.30
LSM11,na,1.43,1.15,1.68,1.51,1.43,1.94
MED7,na,15.42,9.46,8.45,9.47,9.43,12.22
SAXO1,na,0.00,0.00,0.00,0.06,0.00,0.00
RRAGA,na,72.05,72.56,79.30,77.76,72.80,101.45
SLC24A2,na,0.00,0.00,0.00,0.00,0.00,0.00
TRIM42,na,0.00,0.00,0.00,0.00,0.00,0.00
PXYLP1,na,7.51,6.42,8.14,5.25,6.32,9.46
ADCY8,na,0.00,0.00,0.00,0.00,0.00,0.00
RASA2,na,16.24,10.12,12.72,17.46,13.68,7.40
RMND1,na,13.47,14.13,15.62,16.56,14.90,18.98
RAET1L,na,0.00,0.00,0.00,0.00,0.00,0.00
SLA,na,4.86,8.59,1.64,6.98,9.49,2.50
TMBIM4,na,86.08,57.51,54.48,73.66,80.25,102.83
VBP1,na,46.79,47.95,54.71,45.82,43.15,47.42
RAB39B,na,0.00,0.00,0.00,0.00,0.00,0.12
CLIC2,na,0.08,0.07,0.03,0.28,0.61,0.13
AFF2,na,0.03,0.00,0.12,0.00,0.01,0.07
MICU3,na,25.11,28.78,14.23,43.92,32.42,19.66
GRIP1,na,0.13,0.00,0.11,0.02,0.00,0.02
VPS37A,na,50.20,55.09,53.91,58.57,56.97,52.56
KIF5A,na,0.00,0.03,0.28,0.15,0.17,0.45
,na,15.48,14.39,15.31,14.33,16.48,8.69
NAT2,na,0.00,0.00,0.00,0.00,0.07,0.00
MAGEA8,na,0.00,0.00,0.00,0.00,0.00,0.13
PSD3,na,14.54,12.15,6.84,12.53,9.28,13.51
CARNMT1,na,10.95,10.19,8.61,14.43,12.36,8.48
MCU,na,27.69,22.68,33.23,29.53,34.18,33.30
ELMSAN1,na,10.35,8.81,13.78,11.12,9.13,11.65
CFAP70,na,0.01,0.00,0.00,0.00,0.00,0.03
GNA14,na,0.00,0.00,0.00,0.07,0.17,0.05
FAM161B,na,2.79,3.13,3.10,3.08,3.84,2.90
GNAQ,na,32.83,31.34,29.17,29.91,42.71,42.82
WIF1,na,0.05,0.00,0.00,0.00,0.04,0.00
UGT2B4,na,0.00,0.00,0.00,0.00,0.00,0.00
GPR61,na,0.02,0.00,0.00,0.00,0.00,0.00
MMP16,na,4.33,2.16,1.96,1.29,1.01,1.62
ADK,na,24.16,27.50,37.16,30.86,37.82,29.54
KCNMA1,na,4.88,6.50,7.15,9.96,16.34,17.41
BATF,na,0.00,0.00,0.00,0.00,0.00,0.00
DCK,na,19.79,16.92,19.24,14.70,87.34,10.98
ADAMTS3,na,0.30,0.04,0.37,0.03,0.00,0.16
ALX3,na,0.09,0.09,0.28,0.60,0.08,0.49
DPY19L4,na,16.74,18.14,14.47,25.71,23.98,20.19
NDUFAF6,na,4.22,3.06,10.07,6.34,3.78,10.37
DRAM2,na,69.62,44.33,34.43,88.41,88.93,36.08
C8orf37,na,0.79,0.27,0.66,0.49,0.55,0.79
PPEF2,na,0.00,0.00,0.00,0.00,0.04,0.00
CFAP161,na,0.07,0.00,0.00,0.06,0.00,0.00
ADAMTSL3,na,0.00,0.00,0.03,0.00,0.00,0.00
ART3,na,0.44,0.00,0.06,0.07,0.24,0.00
SLC28A1,na,0.00,0.00,0.00,0.00,0.00,0.00
WHAMM,na,6.68,6.60,5.57,6.73,8.34,5.12
CXCL13,na,0.00,0.00,0.00,0.00,0.00,0.00
N6AMT1,na,3.29,2.27,5.80,2.63,3.91,7.89
RWDD2B,na,16.39,13.68,19.02,15.72,16.50,23.60
USP16,na,31.99,20.50,30.46,22.27,23.88,26.87
CCT8,na,154.32,134.27,195.34,152.44,153.50,186.90
MAP3K7CL,na,8.37,16.08,32.87,32.91,33.82,21.96
NAA11,na,0.00,0.00,0.00,0.00,0.00,0.00
BACH1,na,43.90,45.09,44.65,77.21,69.12,46.36
CLDN17,na,0.00,0.00,0.00,0.00,0.00,0.00
CLDN8,na,0.00,0.00,0.00,0.00,0.00,0.00
TSPAN7,na,0.00,0.00,0.00,0.00,0.07,0.07
TIAM1,na,0.21,0.27,1.60,0.36,0.28,1.04
SCAF4,na,14.28,12.05,19.29,13.97,14.69,15.31
RPGR,na,4.67,3.39,4.41,2.27,3.25,2.56
CDK20,na,2.48,3.18,3.73,1.55,1.72,2.56
PCGF6,na,6.86,5.80,9.63,4.05,3.75,6.28
ANKRD9,na,20.21,26.66,29.63,32.36,29.92,8.04
SFR1,na,4.70,2.64,3.86,4.05,5.24,4.29
SORCS3,na,0.00,0.00,0.00,0.00,0.00,0.00
SFXN2,na,1.01,1.72,1.55,1.70,1.23,2.04
ATP5MPL,na,124.81,150.45,147.17,138.85,138.19,127.34
FUT6,na,0.00,0.00,0.00,0.00,0.00,0.00
TDRD9,na,0.04,0.44,0.06,0.00,0.09,0.00
FGF18,na,0.00,0.05,0.13,0.05,0.04,0.00
PCDH1,na,0.00,0.04,2.06,0.68,0.96,0.68
SH3RF2,na,0.03,0.00,0.67,0.37,0.62,0.29
GDF6,na,0.00,0.00,0.20,0.05,0.02,0.35
UQCRB,na,119.85,129.83,124.18,158.71,141.59,279.03
MTERF3,na,17.17,9.16,13.81,11.59,14.42,14.11
PTDSS1,na,117.75,137.05,99.75,143.63,141.20,142.52
PPP2R2B,na,0.00,0.00,0.00,0.00,0.00,0.00
RPL30,na,1750.71,1807.93,1396.71,1533.92,1508.36,1367.21
KCNS2,na,0.00,0.00,0.02,0.00,0.00,0.00
FAM122C,na,2.48,2.88,2.52,1.27,1.67,1.47
SUPV3L1,na,16.75,12.25,21.14,15.64,15.75,13.88
FAM122B,na,14.95,10.02,16.65,13.69,16.84,21.26
EEF1A1,na,16868.26,14948.88,10463.94,15438.36,16053.12,10901.15
FBXO43,na,0.23,0.23,0.36,0.00,0.15,0.00
HKDC1,na,0.00,0.00,0.00,0.04,0.32,0.54
HK1,na,68.84,72.42,104.16,68.21,74.54,97.21
TYSND1,na,3.11,3.64,4.04,3.98,4.30,6.70
PHF6,na,21.04,12.16,18.30,13.89,19.75,16.62
CD109,na,9.28,8.13,8.39,13.15,14.85,10.69
LRFN2,na,0.00,0.00,0.00,0.00,0.00,0.00
NODAL,na,0.00,0.00,0.15,0.00,0.00,0.11
PRG3,na,0.00,0.00,0.00,0.00,0.00,0.00
UBE2L6,na,79.77,79.23,61.93,80.28,89.71,70.40
ZDHHC5,na,80.69,57.10,55.32,71.82,67.89,55.73
MED19,na,23.41,27.11,28.34,29.50,30.95,35.57
ZFAND3,na,110.21,99.75,83.16,107.04,106.78,106.04
NPTN,na,152.79,134.85,176.67,160.98,147.43,190.51
KAT6B,na,21.44,17.81,12.93,18.91,22.54,14.07
SAMD8,na,29.87,20.65,13.53,22.81,23.83,21.55
RAB11FIP1,na,12.99,15.78,17.56,30.04,32.60,23.60
UNC5D,na,0.00,0.00,0.00,0.00,0.00,0.00
GLYATL2,na,2.12,0.83,1.92,1.20,1.04,1.02
UTP14A,na,7.57,5.03,11.10,4.39,5.40,14.84
AIFM1,na,13.54,14.83,21.38,13.56,13.83,31.63
MAPK13,na,8.71,8.77,13.05,7.54,10.09,3.63
BAG4,na,13.97,9.74,10.68,12.46,18.41,9.09
MS4A1,na,0.00,0.00,0.00,0.00,0.00,0.00
,na,0.00,0.00,0.00,0.00,0.00,0.00
IGKV1OR-2,na,0.00,0.00,0.00,0.00,0.00,0.00
TBC1D31,na,9.14,4.91,6.18,3.86,3.79,5.00
WDYHV1,na,27.84,16.65,17.12,15.46,14.10,11.99
ATAD2,na,17.04,12.16,23.72,11.44,10.89,6.34
FBXO32,na,10.89,11.59,4.70,17.36,21.09,7.06
NSMCE2,na,32.51,30.45,37.87,27.30,35.25,31.93
ZNF689,na,3.70,5.67,5.79,5.91,4.76,5.44
PRR14,na,25.94,26.89,24.20,26.81,29.31,26.91
FBRS,na,30.97,40.17,45.65,35.46,37.90,38.43
FRRS1,na,2.34,1.16,2.09,0.78,0.35,2.61
PHKG2,na,24.57,19.74,25.15,20.22,18.31,23.72
MFSD14A,na,16.61,17.91,12.96,23.46,25.05,26.46
SASS6,na,2.67,1.93,2.81,1.10,1.51,1.63
COX6A2,na,0.00,0.00,0.00,0.00,0.00,0.00
ITGAD,na,0.00,0.00,0.00,0.00,0.00,0.00
ADGRG4,na,0.00,0.00,0.00,0.00,0.00,0.00
ZIC3,na,0.00,0.00,0.00,0.00,0.00,0.00
MALSU1,na,44.31,59.63,64.25,65.04,64.36,67.64
VPS8,na,30.75,13.06,20.01,14.16,16.55,19.76
GALK2,na,29.98,20.77,21.70,29.42,32.52,26.89
LHFPL4,na,0.00,0.00,0.00,0.00,0.00,0.00
B3GNT7,na,0.05,0.51,0.09,0.65,0.54,0.03
MPV17L,na,0.00,0.00,0.00,0.00,0.00,0.00
BUB1B,na,11.41,7.13,24.76,3.03,5.08,7.43
PDE6D,na,12.29,18.03,23.87,19.04,21.27,18.65
EIF4A2,na,387.12,333.05,276.55,439.47,434.58,403.83
BRPF1,na,9.04,8.23,11.15,6.81,7.25,6.63
RPUSD3,na,27.27,31.52,38.96,28.70,36.34,32.20
SST,na,0.00,0.00,0.00,0.00,0.00,0.00
TATDN2,na,15.62,14.98,23.83,16.83,20.26,20.82
GHRL,na,0.00,0.07,0.07,0.08,0.00,0.00
SEC13,na,220.65,268.87,298.36,259.16,277.42,271.55
FAM92A1P1,na,1.21,0.42,0.12,0.68,0.35,0.00
EXOG,na,8.28,7.64,13.59,7.23,9.43,15.76
NTAN1,na,70.16,72.69,74.71,76.22,77.99,40.15
SHCBP1L,na,0.00,0.00,0.00,0.00,0.00,0.00
NMNAT2,na,0.03,0.38,2.50,2.30,3.82,1.82
ZFYVE9,na,17.12,11.15,13.19,13.55,15.19,15.12
ATP2B2,na,0.05,0.02,0.00,0.00,0.00,0.00
LYZL4,na,0.00,0.00,0.00,0.00,0.00,0.00
SLC6A1,na,0.00,0.00,0.00,0.00,0.00,0.00
SMG1,na,10.64,8.40,11.30,9.56,11.02,12.82
FCHO2,na,16.94,12.46,12.12,12.19,11.80,11.33
RBPMS,na,321.31,314.26,201.79,293.51,326.71,247.20
TMEM171,na,4.79,5.92,6.22,6.84,6.40,5.15
KLHL40,na,0.00,0.00,0.00,0.00,0.00,0.00
C8A,na,0.00,0.00,0.00,0.00,0.00,0.00
TIMP4,na,0.33,0.36,0.28,0.24,0.46,0.36
SYN2,na,0.04,0.00,0.15,0.16,0.08,0.00
NRG1,na,25.30,18.27,4.55,9.87,6.63,14.97
ODR4,na,8.42,6.77,6.98,6.73,5.62,9.40
CPT2,na,10.30,7.10,7.79,5.76,6.01,10.93
NECAP2,na,57.22,81.66,104.89,92.53,100.68,83.54
LRP8,na,3.94,3.73,4.81,6.12,4.76,5.71
CDCP2,na,0.00,0.00,0.00,0.00,0.00,0.00
PAXIP1,na,6.85,4.93,6.85,4.83,3.87,4.51
STEAP2,na,1.10,0.01,0.96,0.01,0.00,0.38
SSBP3,na,54.98,68.16,61.37,60.25,66.39,67.57
HTR5A,na,0.00,0.00,0.00,0.00,0.00,0.00
CLDN12,na,14.65,10.45,13.50,16.91,16.28,12.60
MMP14,na,512.59,577.84,594.29,553.21,551.29,399.97
FZD1,na,10.88,12.18,8.85,10.53,7.43,14.84
GATAD1,na,18.31,14.72,12.11,19.97,19.86,18.63
SUSD3,na,0.60,1.43,0.77,0.54,1.25,0.23
ZFHX2-AS1,na,1.91,0.72,0.08,0.62,1.73,2.35
TMED6,na,0.19,0.00,0.35,0.00,0.25,0.34
CLEC18A,na,0.00,0.00,0.00,0.00,0.00,0.06
DHRS4,na,28.04,37.60,50.13,37.65,45.92,91.05
C1orf158,na,0.00,0.00,0.00,0.00,0.00,0.00
CLEC18C,na,0.00,0.00,0.00,0.00,0.00,0.00
ARMC12,na,1.63,0.09,0.34,0.62,0.47,0.44
DDX19B,na,17.19,14.18,16.62,13.43,14.24,19.14
ST3GAL2,na,25.36,22.55,33.64,21.59,18.54,34.95
FUK,na,3.62,6.20,9.09,4.64,3.96,5.43
,na,0.00,0.00,0.00,0.00,0.00,0.00
IL34,na,0.07,0.42,0.11,1.33,3.01,0.13
DHRS1,na,19.29,28.66,28.38,26.89,34.18,23.26
CACNA1D,na,0.00,0.00,0.00,0.00,0.00,0.00
ARSE,na,1.80,1.11,1.26,0.91,0.61,1.85
KIT,na,7.36,3.08,2.69,4.26,0.76,1.18
HYDIN,na,0.04,0.42,0.02,0.00,0.33,0.00
AASDH,na,5.75,4.54,4.05,5.29,4.92,5.78
ZNF19,na,1.46,0.59,0.63,0.79,0.84,1.03
CACNA2D3,na,0.70,0.56,0.35,0.23,0.31,0.19
RNF111,na,17.78,15.40,12.78,13.41,14.77,18.70
CCNB2,na,16.53,19.44,45.86,9.53,13.46,24.92
FAM81A,na,0.35,0.41,0.00,0.92,0.00,0.00
MYO1E,na,58.12,62.37,102.57,65.25,85.98,58.21
APPL1,na,19.19,13.76,17.89,14.19,13.41,14.17
MUM1L1,na,0.00,0.00,0.00,0.00,0.00,0.00
AFAP1L1,na,10.34,10.45,21.11,10.71,10.91,4.97
TSC22D3,na,17.83,14.77,10.35,15.77,15.66,13.88
VPS26C,na,47.76,44.89,37.22,41.21,52.94,40.25
DYRK1A,na,20.91,19.68,19.80,16.64,19.05,17.56
KCNJ6,na,0.33,0.25,0.10,0.88,0.82,0.10
KCNJ15,na,0.20,0.48,0.00,0.29,0.17,0.40
ERG,na,0.00,0.00,0.00,0.00,0.00,0.00
ETS2,na,71.34,62.42,54.74,60.44,65.31,43.48
TSPAN18,na,21.51,15.58,7.92,3.41,0.69,5.37
LCA5L,na,0.04,0.24,0.00,0.40,0.00,0.47
SLC35B2,na,91.23,97.44,80.34,108.98,103.76,99.57
TMEM164,na,10.52,22.72,6.00,8.84,9.91,13.90
MX1,na,0.96,0.58,1.05,0.66,2.60,0.83
CREB3L1,na,120.83,127.87,202.48,161.28,153.46,216.71
C2CD2,na,23.96,33.75,17.91,33.69,32.75,15.66
TAB3,na,8.80,7.22,8.72,8.95,9.77,6.47
SLC38A10,na,74.59,85.36,91.01,88.96,85.98,99.82
C9orf43,na,0.20,0.00,0.26,0.09,0.55,0.22
PALM2-AKAP2,na,25.46,24.80,29.00,18.08,21.67,24.71
ZNF618,na,9.78,8.56,10.86,9.34,7.00,8.92
DGKI,na,0.83,0.68,1.14,0.70,0.48,1.69
TMEM268,na,4.84,5.05,3.02,2.59,2.50,7.26
SVOPL,na,0.00,0.00,0.00,0.00,0.00,0.00
SNX22,na,3.41,3.48,4.45,5.31,3.88,5.17
UBN2,na,1.68,1.21,1.52,1.91,2.51,2.19
BRAF,na,6.52,5.94,6.70,8.58,9.41,7.50
SLC34A2,na,0.05,0.00,0.00,0.00,0.00,0.00
ACAN,na,0.00,0.00,4.06,0.00,0.00,0.07
PSMG3,na,23.32,32.03,35.95,24.12,21.23,26.93
CABP1,na,4.10,2.27,2.06,0.63,0.89,4.11
WDR19,na,21.50,15.22,14.73,13.41,16.14,18.50
SLC37A3,na,31.64,24.15,32.59,25.57,23.10,39.31
AP3S2,na,33.28,21.50,22.00,31.56,25.40,39.96
FMNL2,na,19.83,15.14,13.88,15.38,15.77,16.51
,na,0.00,0.00,0.00,0.00,0.00,0.00
GAREM2,na,2.43,11.51,2.10,1.00,0.79,2.30
SPPL3,na,63.30,40.18,34.03,47.82,51.16,28.46
DPYSL5,na,0.00,0.00,0.00,0.00,0.00,0.00
DRC1,na,0.00,0.00,0.21,0.00,0.00,0.05
RAB28,na,16.69,14.74,11.13,14.04,14.24,9.79
FAM213B,na,16.78,19.37,33.51,19.05,17.87,25.13
TNFRSF14,na,2.35,2.13,3.68,2.88,4.67,2.24
PANK4,na,23.75,26.95,37.21,27.70,34.10,25.52
CIB4,na,0.00,0.00,0.00,0.00,0.00,0.00
MEGF11,na,0.00,0.03,0.03,0.00,0.00,0.03
C12orf43,na,16.55,11.15,18.46,13.86,11.44,13.08
PEX10,na,18.12,22.53,22.68,17.10,19.13,17.68
RER1,na,138.90,150.25,162.56,185.28,177.90,183.38
RADIL,na,0.10,0.00,0.87,0.00,0.01,0.39
SKI,na,29.55,23.33,31.50,33.21,30.45,34.86
,na,0.00,0.00,0.00,0.00,0.00,0.00
WIPI2,na,67.00,59.04,77.04,69.75,70.54,66.11
SSX8,na,0.00,0.00,0.00,0.00,0.00,0.00
LDLRAP1,na,10.84,15.29,12.76,20.41,23.24,13.29
AGAP1,na,12.85,10.64,12.46,12.19,12.34,10.84
KRTCAP3,na,0.00,1.62,0.00,0.32,0.12,0.85
ANKRD61,na,0.09,0.09,0.15,0.25,0.07,0.20
PAFAH2,na,5.64,6.21,6.22,11.02,6.08,8.51
EXTL1,na,0.23,0.09,2.26,0.82,0.57,0.96
SLC30A2,na,0.00,0.00,0.00,0.00,0.00,0.00
BABAM2,na,30.99,18.22,22.76,30.82,24.56,28.67
TRIM63,na,0.00,0.00,0.00,0.00,0.00,0.00
WDR66,na,8.07,11.58,7.14,19.27,15.92,8.40
MRPL17,na,68.59,57.35,52.24,47.90,46.72,56.24
DUSP2,na,0.13,0.18,0.37,0.12,0.00,0.00
GRHL3,na,0.00,0.00,0.00,0.16,0.60,0.00
UBXN11,na,4.73,7.96,11.86,5.94,6.20,10.78
NLRP14,na,0.05,0.00,0.04,0.02,0.02,0.00
PTPDC1,na,2.80,2.36,2.83,2.42,2.88,2.90
GALNT14,na,0.00,0.00,0.00,0.00,0.00,0.00
NCK1,na,50.91,38.21,23.25,43.99,59.51,44.83
HPD,na,0.00,0.00,0.00,0.00,0.00,0.00
RHPN1,na,0.00,0.02,0.10,0.06,0.29,0.13
TPRG1L,na,31.55,34.41,35.39,37.51,35.74,33.55
LRRC43,na,0.25,0.14,0.09,0.54,1.04,0.45
AAED1,na,6.50,6.93,6.73,8.22,7.52,5.22
XDH,na,0.03,0.15,0.28,1.89,3.50,0.25
XKR8,na,4.09,4.49,6.52,6.25,9.72,4.52
CNNM4,na,1.93,2.65,3.80,2.27,3.90,3.50
EYA3,na,11.58,11.68,12.90,13.20,17.61,8.40
DZIP1L,na,7.12,4.79,7.98,7.67,9.02,10.00
TMSB15A,na,3.49,5.47,16.99,1.86,2.29,2.75
FANCC,na,6.87,8.89,6.74,4.48,6.25,5.01
MRAS,na,18.43,32.57,35.47,24.83,32.54,31.26
WASF2,na,41.10,39.16,54.71,45.72,53.96,43.60
ABHD3,na,3.01,3.06,6.56,4.37,2.29,3.34
ESYT3,na,0.00,0.00,0.09,0.04,0.00,0.00
FAIM,na,4.51,3.69,7.23,3.41,3.84,12.78
FAM46B,na,0.82,0.67,3.53,0.95,1.00,2.63
CLSTN2,na,0.00,0.01,0.05,0.17,0.07,0.14
COLEC12,na,2.50,0.99,1.89,0.64,0.64,3.01
RNF207,na,5.74,4.11,9.28,2.47,3.98,5.65
CUL4B,na,42.64,25.54,35.66,31.11,36.15,40.16
GPR153,na,5.55,5.32,3.72,7.23,6.75,2.30
SLC13A3,na,7.62,12.92,4.78,6.74,9.91,2.46
GPRASP2,na,5.35,5.82,11.01,4.66,5.87,9.45
RHBDL2,na,0.23,0.21,0.53,2.49,3.01,0.06
AUTS2,na,2.49,2.43,4.44,2.40,0.81,2.00
SHROOM4,na,0.35,0.37,1.01,0.06,0.00,0.41
HIST1H2BD,na,20.77,21.40,8.50,24.81,25.65,12.11
CDC25C,na,5.18,2.60,9.19,0.39,1.81,2.37
HIST1H4H,na,4.88,0.68,0.30,0.78,0.84,3.19
MITD1,na,29.76,30.05,30.14,33.52,30.77,34.84
EIF5B,na,28.83,23.30,30.53,30.59,31.84,53.48
RIBC1,na,0.00,0.84,0.33,0.79,0.31,0.39
TMSB15B,na,5.55,6.59,6.56,3.93,3.78,3.29
CATIP,na,0.00,0.00,0.00,0.00,0.00,0.00
CNOT11,na,30.51,23.15,32.21,32.74,40.24,29.06
KCNB1,na,0.00,0.01,0.00,0.01,0.01,0.00
TSPAN33,na,0.06,0.00,0.00,0.00,0.00,0.07
NRG2,na,0.00,0.00,0.00,0.00,0.04,0.00
AHCYL2,na,6.69,4.74,4.14,5.03,5.02,5.49
B4GALT5,na,14.13,12.06,11.69,17.66,15.35,16.41
CD1D,na,0.05,0.00,0.00,0.04,0.00,0.05
CD1A,na,0.00,0.00,0.00,0.00,0.00,0.00
SPATA2,na,7.71,4.26,9.61,6.67,7.26,4.82
CD1C,na,0.00,0.00,0.00,0.00,0.00,0.00
SNX29P1,na,0.00,0.00,0.00,0.00,0.00,0.00
FAM86C1,na,2.47,3.22,6.46,3.04,2.39,5.81
CD1B,na,0.00,0.00,0.00,0.00,0.00,0.00
DNAH3,na,0.00,0.00,0.00,0.00,0.08,0.10
CD1E,na,0.00,0.00,0.00,0.00,0.00,0.00
HMHB1,na,0.00,0.00,0.00,0.00,0.00,0.00
CPA2,na,0.00,0.00,0.00,0.00,0.00,0.00
NCF1,na,0.00,0.07,0.07,0.00,0.00,0.51
CPA5,na,0.00,0.14,0.26,0.75,0.12,0.08
TSR2,na,10.62,13.52,14.20,15.49,14.62,28.21
PPP1R9A,na,0.06,0.00,0.00,0.00,0.00,0.00
ZC3H18,na,23.33,21.61,28.96,22.55,22.00,32.51
ZFAND2B,na,27.19,20.58,34.69,21.60,21.31,18.30
POM121L2,na,0.00,0.00,0.00,0.00,0.00,0.00
GDPD5,na,8.07,3.38,8.00,9.34,8.68,6.74
DYNC1I1,na,0.00,0.00,0.08,0.00,0.00,0.00
PFKFB1,na,0.00,0.00,0.20,0.00,0.00,0.00
ALAS2,na,0.00,0.00,0.00,0.00,0.00,0.00
TMED4,na,73.97,70.14,58.80,80.04,84.09,64.04
PPP1R15B,na,10.84,11.58,9.98,12.03,9.90,14.79
COPG2,na,29.89,20.80,30.14,28.68,30.09,48.34
EMSY,na,17.13,9.29,16.51,7.83,14.16,8.59
PAGE5,na,0.00,0.00,0.00,0.00,0.00,0.00
GPAT4,na,82.50,89.17,96.59,92.54,100.55,91.76
PKD1L1,na,0.00,0.00,0.03,0.02,0.02,0.10
ZSCAN12,na,3.70,2.71,3.10,2.66,2.31,2.09
TAGLN2,na,685.75,753.09,968.06,623.72,693.18,537.95
ELK4,na,13.56,6.34,8.17,10.30,13.31,7.92
SLAMF8,na,0.05,0.04,0.00,0.05,0.10,0.15
SLC45A3,na,0.96,0.95,2.50,0.28,0.56,1.72
DUSP23,na,9.00,7.19,13.81,7.01,5.66,8.23
RNF166,na,16.49,15.68,22.05,18.14,16.17,12.28
OR10J6P,na,0.00,0.00,0.00,0.00,0.00,0.00
NBL1,na,79.14,89.81,35.67,56.22,64.69,57.84
HTR6,na,0.00,0.00,0.00,0.00,0.00,0.00
ITLN2,na,0.00,0.00,0.00,0.00,0.00,0.00
F11R,na,0.69,0.49,0.28,2.85,3.90,0.66
USF1,na,18.74,23.60,27.28,19.24,19.61,30.06
PLA2G2F,na,0.00,0.00,0.00,0.00,0.00,0.00
SPATA2L,na,7.47,13.69,8.52,6.14,9.28,7.22
NIT1,na,42.11,37.27,29.53,40.18,52.34,32.06
DEDD,na,46.33,39.10,35.14,29.82,27.30,28.68
ZNF276,na,7.73,8.18,12.51,8.36,8.55,11.14
NPM2,na,4.32,1.82,1.07,1.19,0.57,0.65
EDA,na,0.07,0.00,0.00,0.00,0.04,0.06
FGF17,na,0.19,0.00,0.03,0.29,0.26,0.11
VWA5B1,na,0.00,0.00,0.00,0.00,0.00,0.00
CDA,na,1.24,1.25,5.65,0.49,1.11,0.70
PINK1,na,59.19,61.41,77.39,94.64,102.37,56.65
B4GALT3,na,32.42,33.98,39.67,37.07,36.43,30.19
DMTN,na,0.58,1.68,1.00,1.47,0.71,1.05
ADAMTS4,na,0.24,0.61,0.82,0.10,0.17,0.24
FAM160B2,na,41.66,40.92,46.25,41.16,39.55,57.01
NDUFS2,na,87.10,67.37,75.00,57.03,68.77,85.42
SLC5A11,na,0.00,0.00,0.00,0.00,0.00,0.00
FCER1G,na,0.00,0.00,0.00,0.00,0.46,0.29
APOA2,na,0.00,0.00,0.00,0.00,0.00,0.00
TOMM40L,na,6.53,8.29,9.28,6.92,8.07,7.37
MPZ,na,0.52,0.68,0.05,0.00,0.18,0.16
WFDC8,na,0.00,0.00,0.00,0.00,0.00,0.00
CCAR2,na,51.93,69.23,130.34,45.03,70.34,119.08
WNT9B,na,0.00,0.00,0.00,0.15,0.00,0.00
CACHD1,na,1.64,0.83,1.99,0.72,0.68,0.79
CDC42SE2,na,17.96,16.43,18.87,17.65,17.95,20.95
RAPGEF6,na,6.46,3.55,5.37,4.10,3.86,4.43
EPB41,na,1.35,2.06,1.91,0.16,0.51,3.35
MIS18A,na,3.29,4.68,7.02,3.19,3.03,3.43
ALG8,na,24.69,25.98,27.24,28.26,26.16,23.07
FBXW5,na,104.86,112.33,95.99,94.61,112.59,70.36
C21orf59,na,16.44,16.42,22.64,14.58,14.27,25.69
SYNJ1,na,8.43,4.98,4.98,11.19,9.28,6.33
PAXBP1,na,11.16,7.91,12.86,9.19,7.68,14.97
IFNAR2,na,20.71,20.81,17.63,27.65,31.65,13.49
MRPL10,na,45.75,49.18,39.98,35.50,46.44,39.71
,na,0.00,0.00,0.00,0.00,0.00,0.00
IFNGR2,na,54.20,61.47,59.92,73.30,74.25,53.29
GART,na,27.63,25.62,39.45,25.15,20.86,51.42
SON,na,61.90,78.17,94.23,103.32,76.26,152.40
DONSON,na,17.13,13.93,19.57,14.90,17.77,9.61
SV2A,na,14.29,14.43,16.96,13.70,19.22,23.23
