"","condition","cycle","region","log2fc.mean.norm","obs.mut.mean","sim.mut.mean","combined_pvalue","combined_pvalue_adjusted","go.id"
"52","control",1,"cellular pigmentation",-0.371152683261095,0,0,1,1,"GO:0033059"
"53","control",1,"cellular respiration",0.307496877593028,0.555555555555556,0.555555555555556,0.940056120503716,1,"GO:0045333"
"54","control",1,"cellular response to UV",0.405952038637799,0.111111111111111,0,0.997352587400794,1,"GO:0034644"
"55","control",1,"cellular response to acid chemical",0.32609992694205,0.222222222222222,0,0.988881185264691,1,"GO:0071229"
"56","control",1,"cellular response to arsenic-containing substance",-0.0779024197968535,0.111111111111111,0,0.93620818464392,1,"GO:0071243"
"57","control",1,"cellular response to chemical stress",0.433137247561993,0.777777777777778,0.666666666666667,0.566398273119264,1,"GO:0062197"
"58","control",1,"cellular response to dsRNA",-0.12857011761187,0.111111111111111,0,0.97621040003656,1,"GO:0071359"
"59","control",1,"cellular response to external stimulus",-0.106247787748787,0.666666666666667,0.666666666666667,0.940103325101621,1,"GO:0071496"
"60","control",1,"cellular response to extracellular stimulus",1.41325044521093,0.888888888888889,0.222222222222222,0.490362313908405,1,"GO:0031668"
"61","control",1,"cellular response to fluid shear stress",-0.101335395630033,0,0,1,1,"GO:0071498"
"62","control",1,"cellular response to heat",-0.0657271277884821,0.111111111111111,0,0.993920938305819,1,"GO:0034605"
"63","control",1,"cellular response to insulin stimulus",1.06787606799872,0.666666666666667,0,0.89225649466714,1,"GO:0032869"
"64","control",1,"cellular response to ketone",0.278611224620839,0.111111111111111,0,0.997593016155145,1,"GO:1901655"
"65","control",1,"cellular response to oxygen levels",0.355734865416798,0.222222222222222,0,0.989988057425739,1,"GO:0071453"
"66","control",1,"cellular response to sterol depletion",-0.189013530907965,0,0,1,1,"GO:0071501"
"67","control",1,"cellular response to topologically incorrect protein",0.544550536479568,0.222222222222222,0,0.995914344779196,1,"GO:0035967"
"68","control",1,"cellular response to transforming growth factor beta stimulus",0.704680442847113,0.555555555555556,0.222222222222222,0.873053059252502,1,"GO:0071560"
"69","control",1,"cellular senescence",0.181676009851134,0,0,1,1,"GO:0090398"
"70","control",1,"centromere complex assembly",-0.0506676978150167,0,0,1,1,"GO:0034508"
"71","control",1,"centrosome localization",-0.373193871917557,0,0,1,1,"GO:0051642"
"72","control",1,"chaperone-mediated autophagy",-0.147169903546678,0,0,1,1,"GO:0061684"
"73","control",1,"chondrocyte differentiation",0.303130093610866,0.111111111111111,0,0.99893063320337,1,"GO:0002062"
"74","control",1,"chromatin remodeling",0.0763905013279164,0.777777777777778,0.777777777777778,0.978288948935003,1,"GO:0006338"
"75","control",1,"chromosome localization",0.306098611351497,0.111111111111111,0,0.999385825810986,1,"GO:0050000"
"76","control",1,"chromosome segregation",-0.348024109157963,0.777777777777778,1,0.997616408847218,1,"GO:0007059"
"77","control",1,"cilium assembly",0.266467454542571,0.888888888888889,0.777777777777778,0.999408408557687,1,"GO:0060271"
"78","control",1,"cilium organization",0.858571056432634,1.11111111111111,0.777777777777778,0.822893100882376,1,"GO:0044782"
"79","control",1,"circadian regulation of gene expression",-0.0933693063975784,0,0,1,1,"GO:0032922"
"80","control",1,"clathrin-dependent endocytosis",-0.0730692298984818,0.111111111111111,0,0.977486074227574,1,"GO:0072583"
"81","control",1,"collagen fibril organization",-0.274873008814301,0.111111111111111,0,0.995999212119145,1,"GO:0030199"
"82","control",1,"connective tissue development",0.936144946020588,0.888888888888889,0.333333333333333,0.760619798921567,1,"GO:0061448"
"83","control",1,"cortical cytoskeleton organization",-0.0150594299734655,0.111111111111111,0,0.992804784701561,1,"GO:0030865"
"84","control",1,"cytoplasmic translation",-0.0762003102970869,0.111111111111111,0,0.99987633713,1,"GO:0002181"
"85","control",1,"defense response to virus",-0.0217124074612533,0.444444444444444,0.555555555555556,0.986617010938879,1,"GO:0051607"
"86","control",1,"dephosphorylation",0.32062162370441,0.666666666666667,0.666666666666667,0.995754841019439,1,"GO:0016311"
"87","control",1,"developmental growth involved in morphogenesis",0.73299886706146,0.333333333333333,0,0.922323056133838,1,"GO:0060560"
"88","control",1,"dicarboxylic acid metabolic process",0.167752778258548,0.111111111111111,0,0.998162960813896,1,"GO:0043648"
"89","control",1,"double-strand break repair",0.971554762340019,1.22222222222222,0.666666666666667,0.291643065779486,1,"GO:0006302"
"90","control",1,"embryonic body morphogenesis",-0.0779024197968535,0.111111111111111,0,0.931501264055797,1,"GO:0010172"
"91","control",1,"embryonic organ development",-0.0600165770751451,0.888888888888889,1,0.994268308629884,1,"GO:0048568"
"92","control",1,"epigenetic regulation of gene expression",0.528386182851316,0.222222222222222,0,0.999366973519853,1,"GO:0040029"
"93","control",1,"erythrocyte differentiation",0.157836997127198,0.111111111111111,0,0.999427408191644,1,"GO:0030218"
"94","control",1,"establishment of mitotic spindle localization",0.185211784759308,0.222222222222222,0,0.920104544216637,1,"GO:0040001"
"95","control",1,"establishment of organelle localization",-0.466711354785532,0.555555555555556,1,0.973479222838029,1,"GO:0051656"
"96","control",1,"establishment of protein localization to membrane",0.464610707906206,0.888888888888889,0.666666666666667,0.331735385838431,1,"GO:0090150"
"97","control",1,"establishment of protein localization to organelle",-0.228711716330505,0.666666666666667,1,0.94416182346293,1,"GO:0072594"
"98","control",1,"establishment or maintenance of cell polarity",0.569790947637033,0.333333333333333,0,0.984456736159317,1,"GO:0007163"
"99","control",1,"establishment or maintenance of epithelial cell apical/basal polarity",-0.12236879493592,0.111111111111111,0,0.967886594303923,1,"GO:0045197"
"100","control",1,"ether lipid biosynthetic process",-0.101335395630033,0,0,1,1,"GO:0008611"
"101","control",1,"exit from host cell",-0.276691666185896,0,0,1,1,"GO:0035891"
"102","control",1,"exosomal secretion",-0.189013530907965,0,0,1,1,"GO:1990182"
"103","control",1,"extracellular matrix assembly",-0.389314879104691,0,0,1,1,"GO:0085029"
"104","control",1,"extracellular vesicle biogenesis",-0.527660712197638,0,0,1,1,"GO:0140112"
