"region","condition.x","average_log2fc","median.obs.mut","group","condition.y","pvalue","pvalue_symbol","GO.ID","genes","gene_length","pvalue.adjust","sequence_length"
"non-membrane-bounded organelle assembly","enu",-0.347840060509821,11,"observed","enu",0,"****","GO:0140694","8837/26073/9855/7812/7756/54443/57146/672/7175/7984/5601/51154/23369/6047/259266/54505/387/4205/3796/9948/8243/54475/23332/6624/284403/4292/10615/88/10529/1906/7520/10403/29093/10464/6193/25978/22924/51510/55239/6790/22974/64147/6128/6175/332/24137/54930/825/7430/8086/1153/51804/4605/8760/10398/9371/22919/128866/79959/55125/10735/80152/9738/8766/22995/6713/9639/729440/7138/6795/6223/29997/8605/84445/56647/9126/4591/3837/708/2648/5573/4621/1656/56890/4848/4839/26271/23195/6722/26054/55722/57472/55299/5159/8850/1058/6209/550/51652/7072/7840/49856/991/23215/4751/1063/10274/7139/22868/10783/9525/5357/29899/130916/51116/11155/6125/29960/64105/1017/6491/23363/23019/51081/10426/51119/9787/7429/51657/85378/2318/29767/54617/25804/10844/27243/56342/5119/93323/84231/22907/5562/26284/51388/4629/1965/55143/80206/5156/9924/149041/3936/28988/7111/55755/4926/9493/55142/27229/2959/3832/84665/29766/9908/246175/1062/144165/282809/7168/79631/91807/9611/1453/4089/2886/6135/10733/844/23126/9898/58/8994/83939/1060/10769/10146/29777/4478/1069/6134/91782/80005/54801/203228/2934/27063/6188/256364/3619/54915/3688/57647/25819/140609/636/55835/115106/255967/64946/3192/113622/5239/84033/126731/7273/51001/163786/9133/1465/70/57519/221908/29127/124093/5563/200539/29765/27302/84142/56203/25802/23122/152185/1040/56992/79884/80817/1437/6208/9897/1073/23172/53349/85459/79933/55839/5347/219988/10982/2801/90990/79003/26580/26005/3921/29901/11273/153241/201254/116840/3856/11214/27258/3880/8841/51112/51778/6169/8658/57674/8557/285590/9662/1466/23015/79643/284001/25914/2314/58529/6232/5339/100653515/9212/23212/80153/1731/1104/4869/64963/79598/26609/51335/55794/80254/9802/11200/71/9735/56478/51065/4733/253943/6228/27341/203068/2316/1778/6714/128486/84154/6147/51441/26112/29883/9055/9851/387103/550643/3304/3303/6311/440145/1874/54627/23636/55559/79441/440270/1654/285643/197135/6234/3833/10432/10324/23761/5822/3692/55052/23354/5591/29082/84769/57132/26065",346,0,5021010
"organelle fission","enu",-0.357669162321366,14,"observed","enu",0,"****","GO:0048285","8379/26073/5898/1352/9031/7756/9918/26993/54443/1634/3479/10928/4361/6683/23304/29781/8452/27175/54908/9820/7175/5888/4438/55706/9150/23063/55810/259266/9650/10734/387/3796/22933/55737/998/6196/9319/8243/55743/54820/54456/23332/4292/10615/7155/1906/55063/8556/3835/10403/8555/10464/23047/25978/546/81929/23259/8438/51510/9183/10059/6790/22974/55968/51433/332/10726/79594/24137/8697/8086/5902/84861/11144/5155/54471/10419/80821/57820/9985/4605/655/994/9371/22919/128866/10005/55125/10735/8260/28984/7329/8766/54332/9639/92960/729440/10270/6795/898/51343/5518/858/56647/9126/27338/5889/3837/84687/64151/25906/23603/10635/1027/26271/23113/7272/11044/3550/5810/10111/9555/5159/10051/8850/7474/10096/51652/5000/49856/148479/10459/991/56181/4751/25936/1063/10274/9928/7320/9525/27030/55719/1843/4488/111240474/89866/84930/23397/84057/80218/81930/23244/11130/64105/1164/23363/9587/116138/2069/652/3553/7517/55795/8678/9787/3306/5300/9088/3791/3976/56984/54617/90417/1028/151648/23383/8881/64793/27243/5119/7283/29893/7153/8799/5468/5901/63979/27183/9633/8546/8900/84250/56154/891/84722/56907/55143/192670/324/9700/84101/79866/83990/51759/10592/29988/55755/79075/4926/51203/9493/2959/10097/3832/9585/1062/1950/144165/675/5925/10300/10040/114799/51529/10609/11004/83540/23126/27436/79998/129563/2177/51143/1060/256006/91272/55023/113115/113130/54892/55869/91782/7013/4288/472/256364/3619/1111/79980/2059/23310/57405/10018/8467/221711/3192/51571/126731/9184/146956/7273/56776/90550/10600/286151/286053/701/81626/9133/995/10361/65018/54461/4882/126549/11077/29127/256126/147841/4041/5824/4487/84142/151246/23122/152185/56992/4085/79884/25836/91137/9232/5885/23353/9897/158401/221035/23172/7589/65084/81565/9665/8800/5347/2801/3481/81620/1613/90990/79003/80346/3622/54921/56947/83987/699/201254/7314/6773/3643/157570/10201/27085/5139/80198/23023/10524/8658/339834/79703/55055/11065/10540/378708/9134/8815/55844/7351/2072/146691/54998/79643/8877/664/51115/23141/125170/83903/25970/348654/80010/9212/317761/23212/811/1731/1104/284071/2827/11022/5890/400629/79598/23236/11200/387893/9735/157313/5071/5892/26013/5719/4603/4733/200942/146909/51547/2175/57697/84464/120892/10388/51434/2316/25788/197342/54708/22887/283489/4976/23137/9055/64423/10919/3304/3303/4439/7917/440145/84501/51451/54627/23636/51024/11331/137886/644186/285643/3833/57026/51537/192111/54984/29082/57132/26065",417,0,5669332
"organelle fusion","enu",-0.387945985717713,4,"observed","enu",0.00252695140299172,"**","GO:0048284","27072/9066/64429/578/9341/57143/2773/6857/7037/7879/8417/25978/51510/10075/581/79594/8773/112755/9342/10043/10490/128866/8411/80183/11151/6810/80208/57617/54332/8677/84079/208/5864/2901/10282/858/6804/54927/9570/9527/10493/83871/23788/2054/9847/54974/662/200576/51652/9927/8674/23673/8673/84272/8675/6845/84286/27243/5119/27183/6616/23208/6860/79363/55207/10451/301/84749/8676/10228/9392/9882/6812/55014/8615/6843/65082/55647/10939/4170/5872/23557/116841/6622/85409/81555/91782/84895/8448/5305/63894/143187/55022/23355/23400/55823/6811/115209/23176/30968/51762/23339/6809/112476/4218/29091/56947/9482/983/143425/203062/55669/80124/55486/79643/8877/664/54734/201164/374986/302/26276/5071/51479/26059/1201/7405/4976/54809/201475/51024/64601/6844/9842/56112/29082/57132",137,0.0332860495152703,1695384
"phospholipid biosynthetic process","enu",-0.283570674189244,6,"observed","enu",0,"****","GO:0008654","8813/9108/9091/51099/5286/56895/26751/55300/3631/3074/5291/1608/55650/56848/8776/1606/3422/57217/51447/9488/27440/23446/5337/8527/5289/8871/22979/80271/8898/94005/9489/54947/54675/10558/57605/83394/55151/1120/5155/8897/80339/63874/5283/9517/8760/128869/9218/6901/9468/160851/55697/10423/54928/8605/5296/51477/5294/20/9110/9487/25979/8821/5007/114971/9600/1119/4598/56994/10162/57515/5467/9896/3157/1154/200576/5321/8443/8503/79947/80235/57678/8835/2170/5290/4952/84947/84668/9926/23682/2181/51604/79143/8678/22863/79644/94101/5338/57153/84962/376497/23167/51763/10400/5287/3612/10390/23175/5279/1607/8818/3706/85465/3417/84803/2247/55500/9107/10351/3613/10026/126969/93183/5298/8394/3707/129642/55224/132001/1609/5295/64924/56623/27315/8525/472/3992/5305/253430/5281/3628/9453/79888/8526/116150/65258/55326/55361/285172/9791/142891/23049/171586/137964/8867/56894/2224/5130/93210/10380/51205/824/10654/1040/64419/200879/54965/166929/256987/2171/84302/5277/84720/3636/145567/79837/57171/4597/84879/129303/3635/10555/9306/4534/9655/5293/5728/94103/154141/253558/54872/81490/22845/9807/254531/11145/54344/122809/8398/9021/27124/8651/51227/5833/23396/150763/11261/57048/5359/1201/30849/80055/128486/5154/23556/84188/8733/7405/22876/259230/10554/22908/3931/23761/5297",224,0,3111998
"positive regulation of amide metabolic process","enu",-0.883815679078433,4,"observed","enu",0.000699252923199638,"***","GO:0034250","7812/23034/7431/3459/8531/56848/4904/1994/5315/54505/387/602/26986/8440/8301/5337/65094/23645/10985/1153/84271/8664/63935/51654/2332/5935/5611/3646/3191/2931/20/23185/6198/708/11044/23107/8087/1981/23178/4780/2043/22868/27230/1191/64282/10657/6125/79828/79072/6659/65109/57409/440275/9513/55695/22927/6451/79727/1984/9811/9475/10492/55226/1660/116496/3569/84300/7057/1545/29081/6741/3184/55132/6895/10140/9775/2064/23410/3491/5433/8893/57721/54915/114134/8872/60558/127933/3192/55364/23367/55005/10600/285367/4690/115572/65018/10642/9619/113251/6154/56648/5580/3673/836/84881/56339/55323/26995/1938/5436/29063/65110/1942/7555/84305/10605/5970/5936/54931/170506/6199/4869/51335/28958/8663/8398/51334/51065/6667/253943/54103/23654/6191/51441/2475/1454/1654/3692/143244/5591/84769",141,0.0127197436505839,2119420
"positive regulation of establishment of protein localization","enu",-0.492240882967377,9,"observed","enu",0.00282081576709626,"**","GO:1904951","572/54972/8938/2696/2534/27032/3479/22902/999/79567/7175/7984/4826/57602/51768/3843/5590/8692/2182/55737/1459/5566/5743/7251/6717/25930/51548/5108/56681/10411/5663/3320/65985/2932/5019/55696/10075/43/10059/2767/55741/111089941/57506/5027/55763/11069/55072/7430/7042/3717/51100/89781/54471/5494/3091/5106/9777/8736/2010/94121/50855/6810/10391/57214/51201/79752/51366/3783/4946/9141/208/27113/7040/5296/2931/2737/5599/5532/5573/7531/7323/55294/8882/5007/975/23086/5715/9847/5467/1432/2822/55754/10307/64083/10802/11235/1894/27429/10575/58480/79971/8934/9270/7043/8111/111240474/89866/6950/27230/23435/5208/2181/6659/3553/51614/135/5880/6608/54795/10155/1736/7376/55107/5468/5901/5562/64328/4628/51124/8536/9695/79899/10574/2752/4836/56262/7099/10541/6653/51496/9585/9520/54828/55135/22994/2064/10055/11132/25874/55204/5295/908/2040/2746/27063/6934/26229/7424/22948/3708/288/55691/101/55835/9531/5213/51128/9868/7273/114/90550/10694/65018/23400/118424/9619/5116/55823/51160/163882/7447/7855/7203/80149/8314/5580/23379/2151/2150/2852/79778/1020/382/85459/10576/322/5579/4088/81285/23255/8754/153241/56947/57555/25924/983/10972/285966/2850/5581/5481/8841/5621/9854/22885/3728/1263/3265/9662/5174/9776/5122/2810/8851/125170/10425/55929/9495/4947/3059/9501/161291/23236/340146/18/2621/5587/8398/11156/10519/7332/10134/8660/11261/1201/3123/5478/399687/54543/2316/6714/4641/23607/59286/9747/80184/10497/6721/84455/3305/10399/54741/51024/283/6844/100507043/10984",267,0.0347597297751862,4190019
"regulation of DNA repair","enu",-0.426947025712352,7,"observed","enu",0.00174372624350243,"**","GO:0006282","5893/23028/54799/8193/672/1663/11284/10039/1161/57492/5888/10721/23201/6873/54929/2139/6602/7158/2255/54556/7515/6605/60/51548/57103/55063/55183/6595/6604/56970/51720/2521/78990/23411/9274/6598/24144/83933/7528/55257/79913/23347/5932/55578/51366/51588/29086/29844/6878/9275/9400/6603/2648/7468/51111/605/2305/10635/8914/9025/2070/10902/93973/4968/8850/57599/54891/83444/10459/51377/8289/6118/9913/55719/56943/80314/6883/54537/7291/78996/9643/23326/7913/5582/92797/8089/79000/6597/25913/54617/55274/6874/10155/63979/7014/5111/84787/84250/56154/5977/56907/84893/27097/1660/26122/11143/86/1025/8870/10097/22891/580/6601/8451/5371/55135/23126/142/1956/6877/6188/1111/5531/8091/117143/125476/9320/1054/64210/56776/9577/2140/150275/56893/51149/10629/7398/6944/113510/84142/151987/6314/64769/55193/165918/84126/115004/23514/29117/6881/254225/54386/84717/55611/84309/8313/7336/283899/83443/4798/6419/4255/4862/5429/10474/149840/10524/93624/6599/80311/545/116028/8607/112869/64110/7334/55929/6879/2187/29072/10856/57634/3297/55010/79184/10933/51547/10445/3014/196528/23450/3146/8464/8295/84501/8110/2074/8505/7335/158880/5591/51750/101929977",203,0.0266441370007172,2705371
"regulation of DNA replication","enu",-0.956474586111085,2.5,"observed","enu",0.000160577078994675,"***","GO:0006275","3980/10926/58525/23338/5982/23063/6416/64710/4171/2736/54962/4175/57662/79960/10269/546/990/27154/8317/4174/7528/9837/79913/64863/9767/4683/54108/4173/5518/29844/6742/23560/79991/9126/7126/2735/5985/8914/26271/4172/51053/5515/93973/604/54891/83444/55704/51377/3399/23244/84083/5930/466/1017/56897/2069/7270/63922/54617/79733/51659/26057/5111/5983/23175/84893/23595/1660/57695/11143/86/79075/8412/1763/50485/1950/94/675/90381/114799/7157/890/1956/84296/7013/54107/25792/79596/5884/8467/125476/10361/29980/80174/6282/64769/59343/5984/5001/144455/4176/2021/81620/84289/54921/283899/983/4798/157570/91607/253980/545/8607/79915/253461/80169/64785/10856/64061/11124/10445/641/11177/91603/10919/11232",126,0.003228444430314,1754531
"regulation of nervous system development","enu",-0.429638005504719,18,"observed","enu",0.00208932787354733,"**","GO:0051960","6405/23129/23028/30812/26022/3475/51265/5048/6792/56920/7869/23376/22902/3082/9921/1890/5583/7133/999/27067/65078/9820/1495/23105/50937/9423/23013/57609/9682/259266/22933/6596/7224/9175/10371/10512/284403/1739/22920/5362/5063/4133/4898/5108/1620/7520/23011/5663/6604/54437/9706/5978/8898/51593/393/51726/10683/57556/10013/57715/8829/6663/706/10419/51199/22938/3091/23405/4776/23394/655/1869/27286/869/8140/79006/79791/29904/7976/84079/9253/7040/5802/1954/5764/7472/5803/2146/2737/6009/3984/6387/657/22943/7473/8153/1949/9693/1075/8882/27339/4192/65981/9896/6722/7422/4124/9037/1627/27031/7474/3280/5361/64689/57142/2335/10494/3398/8604/2043/3065/85440/6794/9928/6696/22954/3213/7852/23363/745/3553/650/23767/3397/9572/5605/23499/6049/7533/3976/7732/6608/80237/54567/2258/3949/55695/55558/2670/4131/5914/79727/8864/5176/1742/6860/10810/23111/2048/3845/406/8650/8553/4803/4613/23175/3572/4038/4076/23493/10505/5270/10154/55198/3569/6498/274/9856/6653/10413/56965/3706/80031/22891/8482/2247/51176/5530/9746/347902/5925/4916/7157/147381/207/1382/58497/29956/10500/11221/1745/55502/58190/2803/9353/26045/27242/23500/7162/6993/26230/1030/4915/4851/56288/26011/3688/7424/85458/9231/2895/5789/163175/223117/7070/81559/140578/58494/118813/7074/27020/7804/146433/3815/673/6497/55179/64084/100528062/8867/7832/1636/57465/374946/27185/80128/5584/5783/6259/26508/5364/3148/222223/23462/2852/1020/6692/283659/567/10501/1499/84376/2637/54910/6474/2915/5604/4204/10636/11141/22871/6091/57555/9723/55636/23566/4135/22883/5728/9451/3400/5916/54674/1605/1600/390992/9001/3981/8322/170506/26259/23529/10458/57633/386724/29882/627/6664/8408/114798/84667/1002/2624/139065/9378/5021/5324/57463/9798/2049/302/9241/1946/26039/84189/6092/10509/23768/5501/7058/4771/4673/57698/1630/51393/10507/375790/5649/644943/3556/64218/54413/4311/23654/7516/3066/4763/8831/6281/4155/63925/51441/28514/57154/5365/2475/57165/80823/3897/7052/2664/659/387804/11344/85358/4067/1523",357,0.0295601202850029,6211550
"regulation of response to DNA damage stimulus","enu",-0.622643463349185,7.5,"observed","enu",0,"****","GO:2001020","5893/23028/1407/9031/54799/8193/672/2067/1663/637/6591/972/960/9774/11284/10039/1161/57492/5888/10721/23201/6873/54929/2139/6602/7158/2255/54556/7515/6605/60/51548/57103/55063/9984/55183/6595/6604/10269/56970/51720/2521/78990/51776/79968/23411/25/9274/6598/24144/8563/83933/9894/7528/55257/9675/79913/23347/5932/5716/2332/55578/51366/51588/55702/29086/29844/6878/10467/9275/6387/54780/9400/6603/1655/2648/7468/51111/605/2305/10635/8914/51147/26271/9025/2070/10902/93973/4968/8850/8087/57599/6787/54891/83444/10459/51377/8289/6118/22954/9913/55719/56943/80314/6883/1191/54537/7291/78996/9643/6615/23326/6659/7913/9521/5582/92797/8089/79000/6597/25913/80237/54617/9513/1032/80185/55274/6874/10155/63979/7014/5111/842/7178/84787/84250/56154/5977/56907/84893/4193/27097/1660/26122/79621/11143/86/64844/6498/1025/4609/8870/10097/22891/580/6601/675/8451/5371/8533/55135/7157/5366/4170/23126/8444/56950/142/54465/6423/79624/1956/138151/27063/6877/6188/472/1111/5531/8091/26272/117143/8467/22925/125476/9320/1054/64210/56776/23049/22976/1859/9577/2140/57805/150275/126549/56893/51149/25946/6154/10629/7398/4487/6944/113510/84142/151987/6314/64769/5580/55193/165918/84126/115004/23514/3190/220042/161742/29117/6881/254225/54386/4824/2021/84717/55611/84309/55159/3622/8313/10116/7336/197370/283899/83443/55031/4798/6419/4255/4862/5429/51499/10474/598/596/149840/5883/10524/93624/6599/80311/545/2072/116028/8607/79915/112869/3090/64110/7334/55929/6879/2187/29072/10856/754/57634/11200/387893/3297/55010/79184/10933/51616/51547/10445/3014/196528/23450/3146/8464/8295/200734/7919/5514/84501/8110/2074/8505/4282/7335/158880/5591/51750/101929977",296,0,4138973
"regulation of response to oxidative stress","enu",-0.993734375300482,1,"observed","enu",0,"****","GO:1902882","2534/3082/2530/84883/5151/27244/5978/10013/23411/25/25793/3091/655/215/4233/3315/55294/135112/8876/9555/27086/27429/10314/4780/11315/6421/79109/8013/10131/2671/468/83667/2686/2643/51765/29979/948/50640/7295/7099/8737/10516/8996/57707/6647/207/4170/142/4841/143686/4314/23657/8321/65018/57465/57190/4921/55074/7248/9529/5598/2021/1499/8309/2861/10333/79772/5074/5831/5071/5034/120892/5478/10399/1719/2876",76,0,1149772
"respiratory system development","enu",-0.548667436626249,7,"observed","enu",0,"****","GO:0060541","3675/5310/2324/54542/2263/2255/23210/998/6720/2736/9620/7289/51668/79977/9509/10741/6910/55151/5594/10454/2033/51804/1522/23347/284217/5251/2254/5595/80004/83716/2294/23322/1512/5864/7472/3202/7965/8985/9678/2737/657/3988/55294/10728/2735/4048/8914/5754/6722/7422/4124/4015/5159/27031/7474/3280/93/1181/1981/84695/3488/2034/54206/1385/1490/6943/7043/157506/6909/55211/6431/652/6662/7067/2002/6495/5605/53834/10365/3791/3976/8854/3169/3911/445/5914/10247/8546/3845/7482/4613/5156/10253/9394/10413/51176/10427/2252/93649/2627/55036/23521/57333/51057/2719/340419/4781/4851/51501/23657/7068/9231/60485/79925/84976/8817/4838/4323/54768/6497/1896/6493/1636/57190/10630/91461/7048/10252/64399/7534/538/21/1499/4054/3516/28511/1281/5604/23414/55636/171023/84525/59350/5499/5916/6670/1605/57493/4087/10409/6664/9242/2131/147372/9241/220/83931/4311/100/5154/28512/10905/659/7917/83538/407975/5534/342371",168,0,3465292
"response to UV","enu",-0.61535367685359,4,"observed","enu",0.00310730834574734,"**","GO:0009411","23028/1387/83932/8491/2067/578/57646/1161/23596/5424/54929/2235/8692/602/4734/5743/54962/5609/51548/10714/7319/51150/4216/581/4313/51776/22861/4436/23411/1153/9978/2033/7528/4776/79913/7076/9683/90427/2068/5599/595/1432/2956/6738/6794/7320/22954/847/84083/51426/1026/22890/468/440275/54617/1032/10277/5562/5111/842/4221/1965/1643/2073/51455/3364/7507/4609/675/8451/5371/7157/207/51514/163859/142/84236/5295/2966/1956/6872/1111/4314/5796/55364/7508/5603/8450/7391/57805/138162/84446/6154/7398/2071/5580/57654/993/836/201973/94241/7486/840/56339/6609/4239/9768/90313/1642/51435/55872/2237/3592/55031/5429/51499/5481/596/83695/150678/5970/170506/545/2072/9212/4869/92815/10856/56160/5600/8372/123879/26155/4311/4312/114769/3150/11277/10715/2074/2876/358/4157",143,0.0370934933773589,2036074
"response to oxidative stress","enu",-0.573364727656261,12,"observed","enu",6.44969032758192e-05,"****","GO:0006979","2729/5893/572/51384/57679/4353/5164/221/4257/2534/2067/3082/51022/2730/7444/578/2530/11284/27067/84883/50484/1161/5601/5798/54929/4710/8692/22933/7515/5151/5743/26034/1906/9817/27244/5663/5978/2950/29957/4313/8455/83959/9962/5829/10013/5742/23411/3717/25/79956/5594/5625/25793/3162/25828/3091/51527/5693/328/10202/2937/655/84557/22850/215/8428/5595/80777/4363/3163/6810/55290/8989/2936/5516/2068/5445/4233/51142/3315/4521/2146/6505/23064/9124/5599/59338/10105/1277/374/6649/55294/10891/1410/4728/10645/2054/51389/135112/8876/54974/9555/5159/8614/58515/4968/7337/11235/1894/27086/4358/27429/10314/6772/10494/6382/1386/2034/4780/1718/2882/11315/6421/54936/5052/9588/7128/2309/5311/79109/8013/2281/79912/847/11019/10549/6780/140823/25824/8678/10131/10365/2671/4248/468/7732/348/7837/1571/83667/2686/55829/83636/2643/5562/23135/5111/51526/116988/694/406/1965/51765/5156/29979/301/948/50640/79899/55270/3569/7295/1861/7099/8737/132864/10068/87178/1545/3417/10516/79661/7168/5371/8996/57707/7157/6647/351/207/4170/405/142/29920/388/2177/10550/6622/1956/4841/93100/10280/210/22921/143686/6188/4314/2308/23657/2241/1909/5163/5796/4929/22925/55364/133522/9131/5603/255027/11030/4323/8321/2176/84919/65018/4720/1827/23400/2539/114757/57465/5563/57190/4921/824/2071/55139/80149/5580/493869/836/55074/94241/318/11168/2395/538/9833/7486/2706/10935/7248/26287/9529/5598/6778/2021/1398/2879/558/7001/1499/51435/8309/8754/10636/25942/983/2353/4255/2861/80310/2110/596/5621/9943/5970/90441/1263/10276/9973/253827/10333/488/8815/79772/7352/7351/8061/4482/8877/664/5074/475/3725/2081/8575/1728/375748/5831/6546/56616/5587/10587/55967/4700/3297/54033/5071/6667/5034/4520/120892/8644/5478/9361/3066/154807/1612/6714/4217/30001/140885/4541/4540/4512/11179/4537/494513/3304/3303/199/4277/10399/2878/51157/1147/11277/2074/1719/2876/60674/358/2119/6414/84769/84334/140809",349,0.00136876761396461,5320483
