"region","control","enu","group_diff","group","p_value","significant_p_adjusted","significant_p_adjusted_both_groups","GO.ID"
"ATP metabolic process",0.111111111111111,-0.311959036669415,-0.423070147780526,"observed",0.03774286032356,"*",NA,"GO:0046034"
"COPII vesicle coating",0,0.215413541726763,0.215413541726763,"observed",0.368170992701989,NA,NA,"GO:0048208"
"DNA conformation change",0.222222222222222,-0.289494265694367,-0.51171648791659,"observed",0.0451775140649254,"*",NA,"GO:0071103"
"DNA replication",-0.222222222222222,-0.615068481995077,-0.392846259772855,"observed",0.0851043379279084,NA,NA,"GO:0006260"
"DNA-templated transcription elongation",0,-0.105977659622251,-0.105977659622251,"observed",0.440036344886994,NA,NA,"GO:0006354"
"G0 to G1 transition",0.111111111111111,-0.174961306129243,-0.286072417240354,"observed",0.25822633628368,NA,NA,"GO:0045023"
"GPI anchor biosynthetic process",0,0.215413541726763,0.215413541726763,"observed",0.470302974906004,NA,NA,"GO:0006506"
"Golgi localization",0,0.333333333333334,0.333333333333334,"observed",0.161829563555167,NA,NA,"GO:0051645"
"Golgi organization",0.111111111111111,-0.329798853730815,-0.440909964841926,"observed",0.040158715627241,"*",NA,"GO:0007030"
"Golgi to plasma membrane protein transport",0,-0.01416041678686,-0.01416041678686,"observed",0.952570887444752,NA,NA,"GO:0043001"
"Golgi vesicle transport",-0.333333333333333,-0.503885799943243,-0.17055246660991,"observed",0.480709655059145,NA,NA,"GO:0048193"
"P-body assembly",0,-0.166666666666667,-0.166666666666667,"observed",0.338800696196202,NA,NA,"GO:0033962"
"RIG-I signaling pathway",0,-0.25,-0.25,"observed",0.269615753114337,NA,NA,"GO:0039529"
"RNA localization",0.222222222222222,-0.646986724945995,-0.869208947168217,"observed",0.00307714254706891,"**",NA,"GO:0006403"
"RNA transport",0.111111111111111,-0.588019272074562,-0.699130383185673,"observed",0.0077553280637218,"**",NA,"GO:0050658"
"Schwann cell differentiation",0,-0.0774675560090502,-0.0774675560090502,"observed",0.71489154647568,NA,NA,"GO:0014037"
"UV-damage excision repair",0,0.396240625180289,0.396240625180289,"observed",0.073878536261009,NA,NA,"GO:0070914"
"Wnt signaling pathway",-0.3547383419936,-0.346063063029368,0.00867527896423193,"observed",0.980504685792768,NA,NA,"GO:0016055"
"Wnt signaling pathway, planar cell polarity pathway",0.222222222222222,-0.427605281756101,-0.649827503978323,"observed",0.0480332385936335,"*",NA,"GO:0060071"
"actin filament organization",-0.140337156203755,-0.492009256194312,-0.351672099990557,"observed",0.138887620660743,NA,NA,"GO:0007015"
"actin filament severing",0,0.0974937501201927,0.0974937501201927,"observed",0.634690699198563,NA,NA,"GO:0051014"
"actin nucleation",0,-0.261681471504022,-0.261681471504022,"observed",0.362990396927643,NA,NA,"GO:0045010"
"activation of GTPase activity",0.444444444444444,-0.465726219631856,-0.9101706640763,"observed",0.00445824562521988,"**",NA,"GO:0090630"
"adherens junction assembly",0.111111111111111,-0.13208020839343,-0.243191319504541,"observed",0.26679223183114,NA,NA,"GO:0034333"
"alpha-amino acid biosynthetic process",0,-0.510238062315462,-0.510238062315462,"observed",0.0599321358205067,NA,NA,"GO:1901607"
"anoikis",0,0.0988515673985803,0.0988515673985803,"observed",0.552450563357348,NA,NA,"GO:0043276"
"antigen processing and presentation of endogenous peptide antigen via MHC class I",0,-0.034586458273237,-0.034586458273237,"observed",0.831551583136116,NA,NA,"GO:0019885"
"antigen processing and presentation of peptide antigen via MHC class I",0.111111111111111,0.0256190437660208,-0.0854920673450903,"observed",0.797234951175076,NA,NA,"GO:0002474"
"apoptotic mitochondrial changes",0,-0.107458884766249,-0.107458884766249,"observed",0.656003267506451,NA,NA,"GO:0008637"
"appendage development",0.369103121654151,-0.193603481851203,-0.562706603505354,"observed",0.134175117351751,NA,NA,"GO:0048736"
"aromatic compound catabolic process",-0.666666666666667,-0.358902023382666,0.307764643284,"observed",0.165874805747134,NA,NA,"GO:0019439"
"autophagosome maturation",0.222222222222222,-0.478080466180517,-0.700302688402739,"observed",0.0140321758237941,"*",NA,"GO:0097352"
"autophagy of mitochondrion",0.111111111111111,-0.164187721383829,-0.27529883249494,"observed",0.227526795620867,NA,NA,"GO:0000422"
"biological process involved in interaction with host",0.509440277857907,-0.196306974483289,-0.705747252341196,"observed",0.0400461269153489,"*",NA,"GO:0051701"
"body morphogenesis",0.111111111111111,-0.298211352630144,-0.409322463741255,"observed",0.178896180799905,NA,NA,"GO:0010171"
"branched-chain amino acid catabolic process",0,0.26416041678686,0.26416041678686,"observed",0.202593477384528,NA,NA,"GO:0009083"
"carbohydrate derivative catabolic process",0.287218055635684,-0.125024197539707,-0.412242253175391,"observed",0.177779151071081,NA,NA,"GO:1901136"
"cardiac chamber development",0.333333333333333,-0.276867091476301,-0.610200424809634,"observed",0.0813172065664325,NA,NA,"GO:0003205"
"cell communication by electrical coupling involved in cardiac conduction",0.111111111111111,-0.0960002577870873,-0.207111368898198,"observed",0.458530244065645,NA,NA,"GO:0086064"
"cell cycle G1/S phase transition",-0.111111111111111,-0.444829146414367,-0.333718035303256,"observed",0.278037048848506,NA,NA,"GO:0044843"
"cell cycle G2/M phase transition",0.287218055635684,-0.239126978595336,-0.52634503423102,"observed",0.0509512479040887,NA,NA,"GO:0044839"
"cell cycle checkpoint signaling",0.111111111111111,-0.448918593592437,-0.560029704703548,"observed",0.00597809957790376,"**",NA,"GO:0000075"
"cell growth",-0.15139667548719,-0.310892030760433,-0.159495355273243,"observed",0.607489213646331,NA,NA,"GO:0016049"
"cell redox homeostasis",0,-0.257759117032623,-0.257759117032623,"observed",0.360873987569094,NA,NA,"GO:0045454"
"cell-cell signaling by wnt",-0.3547383419936,-0.347698796925112,0.00703954506848753,"observed",0.98417424450506,NA,NA,"GO:0198738"
"cell-substrate adhesion",0.0188805557158124,-0.111326375314067,-0.130206931029879,"observed",0.668455460995268,NA,NA,"GO:0031589"
"cell-substrate junction assembly",0.333333333333333,-0.175576266993043,-0.508909600326376,"observed",0.0399297893406993,"*",NA,"GO:0007044"
"cell-substrate junction organization",0.333333333333333,-0.19529992927995,-0.528633262613283,"observed",0.0488413526076147,"*",NA,"GO:0150115"
"cellular carbohydrate metabolic process",-0.0461152776976493,-0.281665067291797,-0.235549789594147,"observed",0.413471094598236,NA,NA,"GO:0044262"
"cellular component disassembly",-0.186452433901404,-0.433592758000268,-0.247140324098863,"observed",0.384158492850024,NA,NA,"GO:0022411"
"cellular metabolic compound salvage",0,0.110160674573947,0.110160674573947,"observed",0.488344619381078,NA,NA,"GO:0043094"
"cellular modified amino acid biosynthetic process",0,0.0487468750600963,0.0487468750600963,"observed",0.839981309371753,NA,NA,"GO:0042398"
"cellular nitrogen compound catabolic process",-0.666666666666667,-0.333421184697667,0.333245481969,"observed",0.148269054146617,NA,NA,"GO:0044270"
"cellular pigmentation",0.287218055635684,-0.075946580629365,-0.363164636265049,"observed",0.192165719679619,NA,NA,"GO:0033059"
"cellular respiration",0.111111111111111,-0.296882890641059,-0.40799400175217,"observed",0.0739521688206785,NA,NA,"GO:0045333"
"cellular response to UV",0.222222222222222,-0.542881097735814,-0.765103319958036,"observed",0.0254630463847767,"*",NA,"GO:0034644"
"cellular response to acid chemical",0.111111111111111,-0.556476636803418,-0.667587747914529,"observed",0.0104226071357104,"*",NA,"GO:0071229"
"cellular response to amino acid starvation",0,-0.360160674573947,-0.360160674573947,"observed",0.255453822903552,NA,NA,"GO:0034198"
"cellular response to arsenic-containing substance",0.111111111111111,0.069172916546474,-0.0419381945646371,"observed",0.875091941028518,NA,NA,"GO:0071243"
"cellular response to chemical stress",-0.0461152776976493,-0.520379810150779,-0.47426453245313,"observed",0.118552225233199,NA,NA,"GO:0062197"
"cellular response to dsRNA",0,0.13208020839343,0.13208020839343,"observed",0.577461206468557,NA,NA,"GO:0071359"
"cellular response to environmental stimulus",0.463325000160257,-0.366073527390828,-0.829398527551085,"observed",0.0221796217066477,"*",NA,"GO:0104004"
"cellular response to epidermal growth factor stimulus",0,-0.432720423161866,-0.432720423161866,"observed",0.0862562353072909,NA,NA,"GO:0071364"
"cellular response to external stimulus",0.111111111111111,-0.314349873053666,-0.425460984164777,"observed",0.158013789871526,NA,NA,"GO:0071496"
"cellular response to extracellular stimulus",0.333333333333333,-0.431569939868114,-0.764903273201447,"observed",0.00656932021316889,"**",NA,"GO:0031668"
"cellular response to heat",0.111111111111111,-0.0657860845050294,-0.17689719561614,"observed",0.611342247065441,NA,NA,"GO:0034605"
"cellular response to insulin stimulus",0.509440277857907,-0.387581970608599,-0.897022248466506,"observed",0.00388939923030931,"**",NA,"GO:0032869"
"cellular response to ketone",0,-0.513887489117455,-0.513887489117455,"observed",0.0359009292176439,"*",NA,"GO:1901655"
"cellular response to leukemia inhibitory factor",0.111111111111111,-0.222750211286186,-0.333861322397297,"observed",0.317200715737192,NA,NA,"GO:1990830"
"cellular response to oxygen levels",0.111111111111111,-0.591366785235565,-0.702477896346676,"observed",0.0246264854093371,"*",NA,"GO:0071453"
"cellular response to topologically incorrect protein",0.111111111111111,-0.532693118564897,-0.643804229676008,"observed",0.0210121819942234,"*",NA,"GO:0035967"
"cellular senescence",0.111111111111111,-0.710545484541319,-0.82165659565243,"observed",0.0261345722385269,"*",NA,"GO:0090398"
