"region","control","enu","group_diff","group","p_value","significant_p_adjusted","significant_p_adjusted_both_groups","GO.ID"
"centrosome localization",0,-0.166666666666666,-0.166666666666666,"observed",0.579203580571243,NA,NA,"GO:0051642"
"ceramide biosynthetic process",0.111111111111111,-0.575038693870757,-0.686149804981869,"observed",0.0077219442817585,"**",NA,"GO:0046513"
"cerebellum development",0.222222222222222,-0.00586577732428317,-0.228087999546505,"observed",0.27655797344796,NA,NA,"GO:0021549"
"cerebral cortex development",0,-0.237110231021386,-0.237110231021386,"observed",0.319234875964828,NA,NA,"GO:0021987"
"chaperone-mediated autophagy",0,-0.11791979160657,-0.11791979160657,"observed",0.378022569239784,NA,NA,"GO:0061684"
"chondrocyte differentiation",0.333333333333333,-0.286896521403108,-0.620229854736441,"observed",0.0464282296131792,"*",NA,"GO:0002062"
"chromatin remodeling",-0.444444444444444,-0.484649737151818,-0.0402052927073738,"observed",0.895925434112644,NA,NA,"GO:0006338"
"chromosome localization",0.287218055635684,-0.500535522429953,-0.787753578065638,"observed",0.0524301070083593,NA,NA,"GO:0050000"
"chromosome segregation",-0.490559722142094,-0.319110584364463,0.17144913777763,"observed",0.532365346036323,NA,NA,"GO:0007059"
"cilium assembly",-0.333333333333333,-0.374263012003336,-0.0409296786700031,"observed",0.88607387561348,NA,NA,"GO:0060271"
"cilium organization",-0.333333333333333,-0.42119720218034,-0.0878638688470067,"observed",0.784159213513544,NA,NA,"GO:0044782"
"circadian regulation of gene expression",0.111111111111111,-0.760773584745413,-0.871884695856525,"observed",0.0011429837891166,"**",NA,"GO:0032922"
"clathrin-dependent endocytosis",0.176106944524573,-0.171574474087797,-0.347681418612371,"observed",0.2827226479285,NA,NA,"GO:0072583"
"connective tissue development",0.111111111111111,-0.427589771215875,-0.538700882326986,"observed",0.107822844524291,NA,NA,"GO:0061448"
"cortical cytoskeleton organization",0,-0.449359785231564,-0.449359785231564,"observed",0.171007845641233,NA,NA,"GO:0030865"
"cytoplasmic translation",0.287218055635684,-0.649627457221735,-0.936845512857419,"observed",0.00302965860761412,"**",NA,"GO:0002181"
"cytoskeleton-dependent cytokinesis",0.176106944524573,-0.635779718339968,-0.811886662864541,"observed",0.0177075446980186,"*",NA,"GO:0061640"
"dephosphorylation",-0.490559722142094,-0.332201508789356,0.158358213352738,"observed",0.502906655013272,NA,NA,"GO:0016311"
"developmental cell growth",0.287218055635684,-0.334876290627737,-0.622094346263421,"observed",0.0389491946943892,"*",NA,"GO:0048588"
"developmental growth involved in morphogenesis",0.731662500080128,-0.250788360770756,-0.982450860850884,"observed",0.00304769260031746,"**",NA,"GO:0060560"
"dicarboxylic acid metabolic process",0.111111111111111,-0.184663846014751,-0.295774957125862,"observed",0.224031798695015,NA,NA,"GO:0043648"
"diol biosynthetic process",0,-0.0833333333333333,-0.0833333333333333,"observed",0.623838066061341,NA,NA,"GO:0034312"
"double-strand break repair",0.222222222222222,-0.222736271395541,-0.444958493617763,"observed",0.152314160274215,NA,NA,"GO:0006302"
"endoplasmic reticulum calcium ion homeostasis",0,-0.266053756495199,-0.266053756495199,"observed",0.302574424173334,NA,NA,"GO:0032469"
"epigenetic regulation of gene expression",0.111111111111111,-0.435199368444704,-0.546310479555815,"observed",0.00972678405786665,"**",NA,"GO:0040029"
"establishment of epithelial cell apical/basal polarity",0,0.244134222675717,0.244134222675717,"observed",0.315417831363853,NA,NA,"GO:0045198"
"establishment of mitotic spindle localization",0,0.0326931185648967,0.0326931185648967,"observed",0.9082033511843,NA,NA,"GO:0040001"
"establishment of organelle localization",-0.444444444444444,-0.194080340461208,0.250364103983237,"observed",0.395134215484572,NA,NA,"GO:0051656"
"establishment of protein localization to organelle",-0.15722638880876,-0.344791960312495,-0.187565571503734,"observed",0.477503315736295,NA,NA,"GO:0072594"
"establishment of tissue polarity",0.222222222222222,-0.552075892920702,-0.774298115142924,"observed",0.0386769265133713,"*",NA,"GO:0007164"
"establishment or maintenance of cell polarity",-0.333333333333333,-0.255646533812253,0.07768679952108,"observed",0.756514382453106,NA,NA,"GO:0007163"
"establishment or maintenance of epithelial cell apical/basal polarity",0,-0.117919791606571,-0.117919791606571,"observed",0.630243378567075,NA,NA,"GO:0045197"
"execution phase of apoptosis",0,-0.0935713956487945,-0.0935713956487945,"observed",0.724190069557244,NA,NA,"GO:0097194"
"exit from host cell",0.176106944524573,-0.0141604167868593,-0.190267361311433,"observed",0.465398802685828,NA,NA,"GO:0035891"
"face development",0.111111111111111,-0.335812278616171,-0.446923389727282,"observed",0.1506443258304,NA,NA,"GO:0060324"
"fat cell differentiation",0.176106944524573,-0.548365736125613,-0.724472680650186,"observed",0.104054461146088,NA,NA,"GO:0045444"
"fatty acid beta-oxidation",0.111111111111111,-0.351866035111371,-0.462977146222482,"observed",0.0956365685635717,NA,NA,"GO:0006635"
"fibroblast apoptotic process",0,-0.235839583213141,-0.235839583213141,"observed",0.237355005590174,NA,NA,"GO:0044346"
"fibroblast migration",0.222222222222222,-0.240297460114492,-0.462519682336714,"observed",0.229883093114247,NA,NA,"GO:0010761"
"fibroblast proliferation",0,-0.397569087169374,-0.397569087169374,"observed",0.0670314093927436,NA,NA,"GO:0048144"
"glycogen metabolic process",0.111111111111111,-0.317279576838134,-0.428390687949245,"observed",0.133414520908044,NA,NA,"GO:0005977"
"glycosaminoglycan biosynthetic process",0,-0.102401557541323,-0.102401557541323,"observed",0.479141678784775,NA,NA,"GO:0006024"
"glycosyl compound biosynthetic process",0.111111111111111,-0.201253124939904,-0.312364236051015,"observed",0.106730463190618,NA,NA,"GO:1901659"
"glycosylation",0.333333333333333,-0.393388339723838,-0.726721673057171,"observed",0.0201002193645846,"*",NA,"GO:0070085"
"hematopoietic progenitor cell differentiation",0.509440277857907,-0.712299637354723,-1.22173991521263,"observed",0.00537142455961295,"**",NA,"GO:0002244"
"hepatocyte apoptotic process",0.111111111111111,-0.333333333333333,-0.444444444444444,"observed",0.0576119560822898,NA,NA,"GO:0097284"
"heterochromatin formation",0.111111111111111,-0.55952045980551,-0.670631570916621,"observed",0.0242831498505889,"*",NA,"GO:0031507"
"heterocycle catabolic process",-0.555555555555556,-0.336699592333681,0.218855963221875,"observed",0.338193443277034,NA,NA,"GO:0046700"
"histone modification",-0.490559722142094,-0.526209132074359,-0.0356494099322655,"observed",0.898629887697382,NA,NA,"GO:0016570"
"in utero embryonic development",-0.888888888888889,-0.426940920161524,0.461947968727365,"observed",0.00534750593764893,"**","**","GO:0001701"
"inositol phosphate catabolic process",0,0.0833333333333333,0.0833333333333333,"observed",0.674237238166226,NA,NA,"GO:0071545"
"intracellular lipid transport",0.222222222222222,-0.372827599027701,-0.595049821249923,"observed",0.125719338395932,NA,NA,"GO:0032365"
"intraciliary transport",0,-0.11301198418544,-0.11301198418544,"observed",0.656453837510664,NA,NA,"GO:0042073"
"iron-sulfur cluster assembly",0,0.132080208393429,0.132080208393429,"observed",0.577461206468559,NA,NA,"GO:0016226"
"kidney development",-0.232567711599054,-0.254380173291292,-0.021812461692238,"observed",0.950770620778835,NA,NA,"GO:0001822"
"kinetochore organization",0.111111111111111,0.26416041678686,0.153049305675749,"observed",0.598031320498966,NA,NA,"GO:0051383"
"lamellipodium assembly",0.111111111111111,-0.539494265694368,-0.650605376805479,"observed",0.0291362154564725,"*",NA,"GO:0030032"
"lamellipodium morphogenesis",0,0.0629072918469563,0.0629072918469563,"observed",0.83150796696322,NA,NA,"GO:0072673"
"lamellipodium organization",0.111111111111111,-0.312684447322095,-0.423795558433207,"observed",0.0394293819863485,"*",NA,"GO:0097581"
"limb development",0.369103121654151,-0.193603481851203,-0.562706603505354,"observed",0.134175117351751,NA,NA,"GO:0060173"
"lung morphogenesis",0.333333333333333,-0.372827599027702,-0.706160932361035,"observed",0.0383464013767169,"*",NA,"GO:0060425"
"lysosomal lumen acidification",0.111111111111111,0.38208020839343,0.270969097282319,"observed",0.268647732003797,NA,NA,"GO:0007042"
"lysosomal protein catabolic process",0,0.0141604167868592,0.0141604167868592,"observed",0.953352787613356,NA,NA,"GO:1905146"
"mRNA export from nucleus",0,-0.540987758027473,-0.540987758027473,"observed",0.0383276236208685,"*",NA,"GO:0006406"
"macroautophagy",-0.111111111111111,0.176996762143945,0.288107873255056,"observed",0.249550903060011,NA,NA,"GO:0016236"
"macromolecule deacylation",0.333333333333333,-0.803939877339741,-1.13727321067307,"observed",0.0020589696560008,"**",NA,"GO:0098732"
"macromolecule glycosylation",0.222222222222222,-0.331319829110501,-0.553542051332723,"observed",0.0377192510866769,"*",NA,"GO:0043413"
"maintenance of cell number",0.398329166746796,-0.41894223857,-0.817271405316796,"observed",0.00545898902301811,"**",NA,"GO:0098727"
"maintenance of protein location",0.111111111111111,-0.716907034059869,-0.82801814517098,"observed",0.0266506507734318,"*",NA,"GO:0045185"
"maintenance of protein location in cell",0,-0.677440251412081,-0.677440251412081,"observed",0.0176163316498091,"*",NA,"GO:0032507"
"mammary gland epithelial cell proliferation",0,-0.149091934791782,-0.149091934791782,"observed",0.463896263863968,NA,NA,"GO:0033598"
"melanosome localization",0.111111111111111,-0.416666666666667,-0.527777777777778,"observed",0.0282649067438696,"*",NA,"GO:0032400"
"membrane assembly",0.287218055635684,-0.54346670331031,-0.830684758945995,"observed",0.00705989113982883,"**",NA,"GO:0071709"
"membrane biogenesis",0.287218055635684,-0.524934001532273,-0.812152057167958,"observed",0.00485520348336889,"**",NA,"GO:0044091"
"membrane docking",0.287218055635684,0.176904728982128,-0.110313326653556,"observed",0.746992513010705,NA,NA,"GO:0022406"
"membrane fission",0,0.146240625180289,0.146240625180289,"observed",0.592848339996041,NA,NA,"GO:0090148"
"membrane protein proteolysis",0.111111111111111,-0.069172916546474,-0.180284027657585,"observed",0.353618475465793,NA,NA,"GO:0033619"
"mesenchymal cell differentiation",0.111111111111111,-0.157337498954171,-0.268448610065282,"observed",0.387436034172203,NA,NA,"GO:0048762"
"metallo-sulfur cluster assembly",0,0.132080208393429,0.132080208393429,"observed",0.577461206468559,NA,NA,"GO:0031163"
"methylation",0.129991666826924,-0.748225459300082,-0.878217126127006,"observed",0.00255437172948491,"**",NA,"GO:0032259"
"miRNA processing",0.398329166746796,-0.302133707101542,-0.700462873848338,"observed",0.0804350240224947,NA,NA,"GO:0035196"
"microtubule cytoskeleton organization involved in mitosis",0.176106944524573,-0.222772811384152,-0.398879755908725,"observed",0.215808327063551,NA,NA,"GO:1902850"
"microtubule depolymerization",0,-0.259252609365729,-0.259252609365729,"observed",0.107045070760422,NA,NA,"GO:0007019"
"microtubule organizing center localization",0,-0.166666666666666,-0.166666666666666,"observed",0.579203580571243,NA,NA,"GO:0061842"
"microtubule polymerization",0.111111111111111,-0.307041514522673,-0.418152625633784,"observed",0.158971011184342,NA,NA,"GO:0046785"
"microvillus assembly",0,0.146240625180289,0.146240625180289,"observed",0.504857714322235,NA,NA,"GO:0030033"
"mitochondrial gene expression",0.111111111111111,-0.383350856201675,-0.494461967312786,"observed",0.0940004260391373,NA,NA,"GO:0140053"
"mitochondrial genome maintenance",0,-0.0487468750600963,-0.0487468750600963,"observed",0.752415599288077,NA,NA,"GO:0000002"
"mitochondrial membrane organization",0,-0.366561974328182,-0.366561974328182,"observed",0.210751957557565,NA,NA,"GO:0007006"
"mitochondrial respiratory chain complex assembly",0.111111111111111,-0.166666666666667,-0.277777777777778,"observed",0.226341264388586,NA,NA,"GO:0033108"
"mitochondrial transmembrane transport",0,-0.171011468611265,-0.171011468611265,"observed",0.437470580813965,NA,NA,"GO:1990542"
"mitochondrial transport",0,-0.352401557541323,-0.352401557541323,"observed",0.119197122981197,NA,NA,"GO:0006839"
"mitochondrion localization",0,-0.32557421630071,-0.32557421630071,"observed",0.237759551417561,NA,NA,"GO:0051646"
"mitochondrion morphogenesis",0,-0.347493750120193,-0.347493750120193,"observed",0.138162537332761,NA,NA,"GO:0070584"
"mitotic cell cycle phase transition",-0.601670833253205,-0.416349165589433,0.185321667663772,"observed",0.453704089584808,NA,NA,"GO:0044772"
"monosaccharide metabolic process",0.222222222222223,-0.402338666130859,-0.624560888353082,"observed",0.0843192217136711,NA,NA,"GO:0005996"
"morphogenesis of a branching structure",0.398329166746795,-0.206200251241476,-0.604529417988271,"observed",0.0878545473862953,NA,NA,"GO:0001763"
"morphogenesis of a polarized epithelium",0.222222222222222,-0.217085012755201,-0.439307234977423,"observed",0.121295061095547,NA,NA,"GO:0001738"
"movement in host",0.398329166746796,-0.141476613511283,-0.539805780258079,"observed",0.102031232555187,NA,NA,"GO:0044000"
"mucopolysaccharide metabolic process",0.352213889049147,0.0518494880879875,-0.300364400961159,"observed",0.279884990624574,NA,NA,"GO:1903510"
"multicellular organism growth",0.222222222222222,-0.286994704002882,-0.509216926225104,"observed",0.0564833597563197,NA,NA,"GO:0035264"
"muscle cell differentiation",-0.268337499919872,-0.473183338896435,-0.204845838976563,"observed",0.575874597495976,NA,NA,"GO:0042692"
"myeloid cell homeostasis",0.555555555555556,-0.659794819984002,-1.21535037553956,"observed",0.00123498725804964,"**",NA,"GO:0002262"
"ncRNA processing",-0.0922305553952982,-0.217946831735694,-0.125716276340395,"observed",0.757021540330546,NA,NA,"GO:0034470"
"negative regulation of catabolic process",-0.222222222222222,-0.488181275881291,-0.265959053659069,"observed",0.248259512053204,NA,NA,"GO:0009895"
"negative regulation of cell projection organization",0.222222222222222,-0.283216373805742,-0.505438596027964,"observed",0.0827906542425942,NA,NA,"GO:0031345"
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.222222222222222,-0.494134222675717,-0.716356444897939,"observed",0.0343454902234005,"*",NA,"GO:0043154"
"negative regulation of growth",0.265813046975417,-0.151321246011935,-0.417134292987353,"observed",0.371676764718464,NA,NA,"GO:0045926"
"negative regulation of mitotic nuclear division",0.333333333333333,-0.581975516054945,-0.915308849388279,"observed",0.00816218024615727,"**",NA,"GO:0045839"
"negative regulation of phosphorus metabolic process",-0.0753413227902933,-0.234206090745797,-0.158864767955504,"observed",0.671167909638573,NA,NA,"GO:0010563"
"negative regulation of transferase activity",-0.0461152776976493,-0.196297941598417,-0.150182663900768,"observed",0.665892023323141,NA,NA,"GO:0051348"
"neural tube formation",0.434098955067613,-0.286673287217135,-0.720772242284749,"observed",0.0437746221986224,"*",NA,"GO:0001841"
"neuron apoptotic process",-0.111111111111111,-0.0497912874539616,0.0613198236571495,"observed",0.808558475427833,NA,NA,"GO:0051402"
"neuron death",-0.444444444444444,-0.125888693393565,0.318555751050879,"observed",0.219590113977243,NA,NA,"GO:0070997"
"neuron projection extension",0.509440277857906,-0.193455664871796,-0.702895942729703,"observed",0.00945765452551548,"**",NA,"GO:1990138"
"neuron projection organization",0.222222222222222,-0.0745887633509773,-0.2968109855732,"observed",0.187080583215114,NA,NA,"GO:0106027"
"neurotransmitter secretion",0.287218055635684,-0.0741430743012563,-0.361361129936941,"observed",0.249193983805809,NA,NA,"GO:0007269"
"neurotrophin signaling pathway",0,-0.28512198070319,-0.28512198070319,"observed",0.225486991223637,NA,NA,"GO:0038179"
"non-membrane-bounded organelle assembly",-0.555555555555556,-0.347840060509821,0.207715495045735,"observed",0.519447924450924,NA,NA,"GO:0140694"
"nuclear chromosome segregation",-0.0461152776976493,-0.368183004550364,-0.322067726852714,"observed",0.245428283692092,NA,NA,"GO:0098813"
"nuclear envelope organization",0,-0.487333075546246,-0.487333075546246,"observed",0.0320128771320236,"*",NA,"GO:0006998"
"nuclear migration",0,-0.38208020839343,-0.38208020839343,"observed",0.111699587442459,NA,NA,"GO:0007097"
"nuclear transport",0.222222222222222,-0.450511971349704,-0.672734193571926,"observed",0.0789297630859181,NA,NA,"GO:0051169"
"nuclear-transcribed mRNA catabolic process",0.222222222222222,-0.641645495664251,-0.863867717886473,"observed",0.00133894589795549,"**",NA,"GO:0000956"
"nucleic acid transport",0.111111111111111,-0.588019272074562,-0.699130383185673,"observed",0.0077553280637218,"**",NA,"GO:0050657"
"nucleocytoplasmic transport",0.222222222222222,-0.450511971349704,-0.672734193571926,"observed",0.0789297630859181,NA,NA,"GO:0006913"
"nucleosome assembly",0,0.195972953190118,0.195972953190118,"observed",0.517953956492448,NA,NA,"GO:0006334"
"nucleosome organization",0,-0.144434454942091,-0.144434454942091,"observed",0.572513901876301,NA,NA,"GO:0034728"
"nucleotide catabolic process",0,-0.00338683204144516,-0.00338683204144516,"observed",0.989450834333692,NA,NA,"GO:0009166"
"nucleus organization",0.111111111111111,-0.674931950839941,-0.786043061951052,"observed",0.000219788200122936,"***",NA,"GO:0006997"
"oligosaccharide-lipid intermediate biosynthetic process",0,0.034586458273237,0.034586458273237,"observed",0.885951173079645,NA,NA,"GO:0006490"
"organelle fission",-0.333333333333333,-0.357669162321366,-0.0243358289880329,"observed",0.946262714641968,NA,NA,"GO:0048285"
"organelle fusion",0.574436111271369,-0.387945985717713,-0.962382096989082,"observed",0.0229029322841814,"*",NA,"GO:0048284"
"organelle inheritance",0,0.166666666666667,0.166666666666667,"observed",0.438205899337658,NA,NA,"GO:0048308"
"organelle localization by membrane tethering",0.287218055635684,0.00735926965738936,-0.279858785978295,"observed",0.416940051589432,NA,NA,"GO:0140056"
"organophosphate catabolic process",0.222222222222222,-0.276456849154681,-0.498679071376903,"observed",0.0700329824414271,NA,NA,"GO:0046434"
"ossification",-0.243627230882489,-0.343614561460064,-0.0999873305775755,"observed",0.797867987860497,NA,NA,"GO:0001503"
"osteoblast differentiation",0.0897061024508445,-0.331182209787218,-0.420888312238063,"observed",0.338006475296352,NA,NA,"GO:0001649"
"oxidative phosphorylation",0.111111111111111,-0.17253244399095,-0.283643555102061,"observed",0.235570696757888,NA,NA,"GO:0006119"
"pentose-phosphate shunt",0,0.034586458273237,0.034586458273237,"observed",0.875680201051305,NA,NA,"GO:0006098"
"peptidyl-lysine modification",-0.333333333333333,-0.394684865821411,-0.061351532488078,"observed",0.829573650143602,NA,NA,"GO:0018205"
"peroxisome organization",0,0.298746875060096,0.298746875060096,"observed",0.0854655258976801,NA,NA,"GO:0007031"
"phospholipid biosynthetic process",0.222222222222222,-0.283570674189244,-0.505792896411467,"observed",0.044414726067655,"*",NA,"GO:0008654"
"pigmentation",0.287218055635684,-0.4040394924486,-0.691257548084285,"observed",0.0242197789311124,"*",NA,"GO:0043473"
"placenta development",0.111111111111111,-0.376937816338378,-0.488048927449489,"observed",0.0763353460487793,NA,NA,"GO:0001890"
"plasma membrane tubulation",0,0.624321091360806,0.624321091360806,"observed",0.00402080144797751,"**",NA,"GO:0097320"
