"region","control","enu","group_diff","group","p_value","significant_p_adjusted","significant_p_adjusted_both_groups","GO.ID","p_value.adjust"
"developmental cell growth",0.287218055635684,0.398329166746796,0.111111111111112,"downsampled",0.720154491509941,NA,NA,"GO:0048588",0.871765963406771
"developmental growth involved in morphogenesis",0.666666666666667,0.463325000160258,-0.203341666506409,"downsampled",0.552666608271579,NA,NA,"GO:0060560",0.797739851254194
"dicarboxylic acid metabolic process",0.111111111111111,0.111111111111111,0,"downsampled",1,NA,NA,"GO:0043648",1
"diol biosynthetic process",0,0,0,"downsampled",NA,NA,NA,"GO:0034312",NA
"double-strand break repair",0.444444444444444,0.509440277857907,0.0649958334134623,"downsampled",0.815481140842557,NA,NA,"GO:0006302",0.928658887160846
"endoplasmic reticulum calcium ion homeostasis",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0032469",0.668597242556415
"epigenetic regulation of gene expression",0.111111111111111,0,-0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0040029",0.668597242556415
"establishment of epithelial cell apical/basal polarity",0,0,0,"downsampled",NA,NA,NA,"GO:0045198",NA
"establishment of mitotic spindle localization",0,0,0,"downsampled",NA,NA,NA,"GO:0040001",NA
"establishment of organelle localization",-0.490559722142094,-0.425563888728632,0.0649958334134618,"downsampled",0.858269697151853,NA,NA,"GO:0051656",0.951737716613234
"establishment of protein localization to organelle",-0.15722638880876,-0.444444444444444,-0.287218055635684,"downsampled",0.348833343942477,NA,NA,"GO:0072594",0.668597242556415
"establishment of tissue polarity",0.222222222222222,0.111111111111111,-0.111111111111111,"downsampled",0.555566605249039,NA,NA,"GO:0007164",0.797739851254194
"establishment or maintenance of cell polarity",-0.222222222222222,0.509440277857907,0.731662500080129,"downsampled",0.0125183001857509,"*",NA,"GO:0007163",0.668597242556415
"establishment or maintenance of epithelial cell apical/basal polarity",0,0,0,"downsampled",NA,NA,NA,"GO:0045197",NA
"execution phase of apoptosis",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0097194",0.668597242556415
"exit from host cell",0.176106944524573,0,-0.176106944524573,"downsampled",0.346593507087334,NA,NA,"GO:0035891",0.668597242556415
"face development",0.111111111111111,0,-0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0060324",0.668597242556415
"fat cell differentiation",0.398329166746796,0.666666666666667,0.268337499919871,"downsampled",0.461109896690124,NA,NA,"GO:0045444",0.753692318447817
"fatty acid beta-oxidation",0.111111111111111,0.111111111111111,0,"downsampled",1,NA,NA,"GO:0006635",1
"fibroblast apoptotic process",0,0,0,"downsampled",NA,NA,NA,"GO:0044346",NA
"fibroblast migration",0.222222222222222,0,-0.222222222222222,"downsampled",0.346593507087334,NA,NA,"GO:0010761",0.668597242556415
