"","condition","cycle","mean","sd"
"1","control",1,0.121069396947479,0.561168481441662
"2","control",9,0.673191470370981,0.368468326071206
"3","enu",3,0.136443792911713,0.699030063942229
"4","enu",6,-0.111175091265466,0.517118458140413
"5","enu",9,-0.331744165337535,0.407555819153446
