"sample","variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","pvalue.adj","condition","cycle","replicate","batch","SNV_obs","INDEL_obs","Cov","Sen_SNV","Sen_INDEL","SNV_obs_shared","SNV_est_shared","INDEL_obs_shared","INDEL_est_shared","SNV_est","INDEL_est"
"MMEA9_E1","synonymous",39,29.8311831183118,3.7e-24,0.399193635988847,0.144414441444144,0.288828882888289,"enu",9,1,2,11574,23,1253637281,0.47589224,0.245685363,0,0,0,0,58904.4609140837,226.736732247428
"MMEA9_E2","nonsynonymous",37,45.7281,3.7e-24,-0.28340461783356,0.1585,0.317,"enu",9,2,2,5534,11,888797869,0.308343791,0.164050293,0,0,0,0,61312.0972899708,229.064558841514
"MMEA9_E2","synonymous",16,13.2823,3.7e-24,0.301173202993389,0.4885,0.4885,"enu",9,2,2,5534,11,888797869,0.308343791,0.164050293,0,0,0,0,61312.0972899708,229.064558841514
"MMEA9_E3","nonsynonymous",115,149.133934837093,4.22563859433276e-09,-0.367395766480233,0.0019047619047619,0.00380952380952381,"enu",9,3,2,16359,16,1418026685,0.707857633,0.338974879,0,0,0,0,49484.7817204982,101.067912178866
"MMEA9_E3","synonymous",38,43.9525814536341,3.7e-24,-0.188882924791098,0.365213032581454,0.365213032581454,"enu",9,3,2,16359,16,1418026685,0.707857633,0.338974879,0,0,0,0,49484.7817204982,101.067912178866
"MMEB9_C1","nonsynonymous",3,3.7676,3.7e-24,-0.11895339657669,0.5976,0.5976,"control",9,1,3,358,13,1129734043,0.683738331,0.337514108,0,0,0,0,1407.22036972719,103.51908752473
"MMEB9_C1","synonymous",0,1.1667,3.7e-24,-0.937432475636763,0.3438,0.5976,"control",9,1,3,358,13,1129734043,0.683738331,0.337514108,0,0,0,0,1407.22036972719,103.51908752473
"MMEB9_C2","nonsynonymous",4,4.8175,3.7e-24,-0.104515461425062,0.6387,0.6387,"control",9,2,3,506,19,1107824183,0.597938046,0.304767657,0,0,0,0,2319.36296085114,170.867361468548
"MMEB9_C2","synonymous",0,1.5652,3.7e-24,-1.18383320402136,0.2104,0.4208,"control",9,2,3,506,19,1107824183,0.597938046,0.304767657,0,0,0,0,2319.36296085114,170.867361468548
"MMEB9_C3","nonsynonymous",4,4.1021,3.7e-24,0.0993327402195632,1,1,"control",9,3,3,372,3,1244911909,0.819741499,0.379801838,0,0,0,0,1106.80885871829,19.2650792906593
"MMEB9_C3","synonymous",0,1.2389,3.7e-24,-0.987007680905426,0.2925,0.585,"control",9,3,3,372,3,1244911909,0.819741499,0.379801838,0,0,0,0,1106.80885871829,19.2650792906593
"MMEB9_E1","nonsynonymous",118,152.449353772167,1.1205253422674e-10,-0.362209746599944,0.00280533012724176,0.00430818555254984,"enu",9,1,3,18101,44,1444718875,0.693500233,0.336809171,0,0,0,0,54855.2046882255,274.555817901701
"MMEB9_E1","synonymous",27,43.6501352569883,3.7e-24,-0.657300975929656,0.00430818555254984,0.00430818555254984,"enu",9,1,3,18101,44,1444718875,0.693500233,0.336809171,0,0,0,0,54855.2046882255,274.555817901701
"MMEB9_E2","nonsynonymous",43,65.6757,8.96753563945092e-20,-0.589269308714464,0.0012,0.0024,"enu",9,2,3,8137,13,1068317725,0.423515075,0.218873402,0,0,0,0,54605.984062298,168.808829924848
"MMEB9_E2","synonymous",23,19.1511,3.7e-24,0.28699677713569,0.4205,0.4205,"enu",9,2,3,8137,13,1068317725,0.423515075,0.218873402,0,0,0,0,54605.984062298,168.808829924848
"MMEB9_E3","nonsynonymous",71,83.6325,7.65679517715965e-16,-0.224646308232874,0.1433,0.2866,"enu",9,3,3,10035,25,934846682,0.576207836,0.285940873,0,0,0,0,56564.3831627365,283.967480785547
"MMEB9_E3","synonymous",23,24.6064,3.7e-24,-0.0651434031680506,0.6944,0.6944,"enu",9,3,3,10035,25,934846682,0.576207836,0.285940873,0,0,0,0,56564.3831627365,283.967480785547
