"sample","variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","pvalue.adj","condition","cycle","replicate","batch","SNV_obs","INDEL_obs","Cov","Sen_SNV","Sen_INDEL","SNV_obs_shared","SNV_est_shared","INDEL_obs_shared","INDEL_est_shared","SNV_est","INDEL_est"
"MMEA9_E2","nonsynonymous",37,46,3.7e-24,-0.306661338234052,0.1452,0.2904,"enu",9,2,2,5534,11,888797869,0.308343791,0.164050293,0,0,0,0,61312.0972899708,229.064558841514
"MMEA9_E2","synonymous",16,13,3.7e-24,0.280107919192735,0.4885,0.4885,"enu",9,2,2,5534,11,888797869,0.308343791,0.164050293,0,0,0,0,61312.0972899708,229.064558841514
"MMEA9_E3","nonsynonymous",115,149,4.22563859433276e-09,-0.370837695368309,0.0019047619047619,0.00380952380952381,"enu",9,3,2,16359,16,1418026685,0.707857633,0.338974879,0,0,0,0,49484.7817204982,101.067912178866
"MMEA9_E3","synonymous",38,44,3.7e-24,-0.206450877467426,0.326616541353383,0.326616541353383,"enu",9,3,2,16359,16,1418026685,0.707857633,0.338974879,0,0,0,0,49484.7817204982,101.067912178866
"MMEB9_C1","nonsynonymous",3,4,3.7e-24,-0.321928094887362,0.6613,0.6613,"control",9,1,3,358,13,1129734043,0.683738331,0.337514108,0,0,0,0,1407.22036972719,103.51908752473
"MMEB9_C1","synonymous",0,1,3.7e-24,-1,0.429,0.6613,"control",9,1,3,358,13,1129734043,0.683738331,0.337514108,0,0,0,0,1407.22036972719,103.51908752473
"MMEB9_C2","nonsynonymous",4,5,3.7e-24,-0.263034405833794,0.6797,0.6797,"control",9,2,3,506,19,1107824183,0.597938046,0.304767657,0,0,0,0,2319.36296085114,170.867361468548
"MMEB9_C2","synonymous",0,1,3.7e-24,-1,0.4136,0.6797,"control",9,2,3,506,19,1107824183,0.597938046,0.304767657,0,0,0,0,2319.36296085114,170.867361468548
"MMEB9_C3","nonsynonymous",4,4,3.7e-24,0,1,1,"control",9,3,3,372,3,1244911909,0.819741499,0.379801838,0,0,0,0,1106.80885871829,19.2650792906593
"MMEB9_C3","synonymous",0,1,3.7e-24,-1,0.4128,0.8256,"control",9,3,3,372,3,1244911909,0.819741499,0.379801838,0,0,0,0,1106.80885871829,19.2650792906593
"MMEB9_E1","nonsynonymous",118,152,1.1205253422674e-10,-0.362570079384708,0.00280533012724176,0.00430818555254984,"enu",9,1,3,18101,44,1444718875,0.693500233,0.336809171,0,0,0,0,54855.2046882255,274.555817901701
"MMEB9_E1","synonymous",27,43,3.7e-24,-0.652076696579693,0.00430818555254984,0.00430818555254984,"enu",9,1,3,18101,44,1444718875,0.693500233,0.336809171,0,0,0,0,54855.2046882255,274.555817901701
"MMEB9_E2","nonsynonymous",43,66,8.96753563945092e-20,-0.606657571820475,0.0012,0.0024,"enu",9,2,3,8137,13,1068317725,0.423515075,0.218873402,0,0,0,0,54605.984062298,168.808829924848
"MMEB9_E2","synonymous",23,19,3.7e-24,0.263034405833794,0.4205,0.4205,"enu",9,2,3,8137,13,1068317725,0.423515075,0.218873402,0,0,0,0,54605.984062298,168.808829924848
"MMEB9_E3","nonsynonymous",71,83,7.65679517715965e-16,-0.222392421336448,0.1707,0.3414,"enu",9,3,3,10035,25,934846682,0.576207836,0.285940873,0,0,0,0,56564.3831627365,283.967480785547
"MMEB9_E3","synonymous",23,24,3.7e-24,-0.0588936890535686,0.8382,0.8382,"enu",9,3,3,10035,25,934846682,0.576207836,0.285940873,0,0,0,0,56564.3831627365,283.967480785547
