"","condition","cycle","region","mean","sd","observed.variant.requirement.met"
"1","control",1,"nonessential",1.33333333333333,1.52752523165195,"FALSE"
"2","control",1,"essential",3.33333333333333,0.577350269189626,"FALSE"
"3","control",9,"nonessential",1,1.09544511501033,"FALSE"
"4","control",9,"essential",0.166666666666667,0.408248290463863,"FALSE"
"5","enu",3,"nonessential",6.33333333333333,2.88675134594813,"FALSE"
"6","enu",3,"essential",13.6666666666667,1.15470053837925,"FALSE"
"7","enu",6,"nonessential",21,6.08276253029822,"FALSE"
"8","enu",6,"essential",31.6666666666667,10.6926766215636,"FALSE"
"9","enu",9,"nonessential",23.3333333333333,7.96659693135448,"FALSE"
"10","enu",9,"essential",41.3333333333333,17.9406428721678,"TRUE"
