"region","condition.x","median_log2fc","median.obs.mut","condition.y","pvalue","pvalue_symbol","GO.ID","genes","gene_length","pvalue.adjust"
"actin filament organization","control",0,1,"control",0.999543421564178,NA,"GO:0007015","55971/10344/85477/8522/22902/6050/9168/8452/822/395/2006/7984/51474/9564/55761/26999/10787/63916/22998/1496/10565/387/6093/5217/57704/998/8440/9948/87/10979/23332/55160/119/6624/1739/5063/88/832/10529/10411/55604/3693/2195/54434/2017/118/57091/55616/79822/5829/6548/64857/7430/10580/3717/25/8829/387680/9647/23616/11078/9463/10278/5358/28984/11151/79767/23406/29108/10391/7082/6422/9639/23370/79816/5296/136319/4233/23242/8976/29999/3984/7046/23189/7016/9124/6387/5216/84687/7126/57482/23603/59341/10094/4739/221692/8936/6722/9037/1809/1627/10096/6711/55704/7456/5341/7840/829/9181/10459/5999/3925/11133/7139/1490/9270/54942/7043/5357/51019/10174/5290/644150/800/11113/57580/6385/29993/7408/8195/11034/3397/83543/7429/3092/5880/4430/55930/84952/29767/54857/51429/10095/9535/9026/9113/1729/8500/85415/23647/51763/84327/10810/23075/9645/56907/9475/80206/10677/64780/29109/23325/50853/3936/5879/80774/57471/274/10006/7111/81873/85462/9873/408/5962/51332/10097/10152/29766/55435/57619/283431/54509/81624/8477/9051/7168/585/55114/85464/4542/83872/7170/10456/58/375/23671/339768/90102/9353/5295/10788/5921/23500/93663/2041/357/30011/1730/55909/203228/2934/22921/221061/120/5058/90952/10435/226/5756/2241/2059/9050/133746/130271/51571/55740/389/7273/56776/133522/90550/123720/9530/4643/673/4690/114822/11013/10163/57477/286527/55607/50848/70/146206/7791/2909/84221/57731/50944/126820/10092/129446/29765/9938/56203/25802/10109/23122/5584/5580/27236/2150/253260/134549/10395/79778/9897/94134/1073/3636/382/123016/7248/79933/7184/4640/4088/201191/4645/7171/84940/148170/64223/165904/5881/9788/1901/5581/5734/596/11346/171024/27289/253725/57175/1072/54961/29984/6712/8557/253980/65108/22843/10458/4642/391/5074/2314/2885/5339/100533183/144347/91663/3059/5062/100287171/359845/55243/71/10634/5071/4771/116985/90668/256949/83715/57698/51466/4646/961/2316/2764/6714/6840/4644/6709/6281/81553/4641/89848/23607/1902/7169/51734/2475/830/64423/199/5987/84501/7114/2013/79729/283/57026/10093/10552/348110/57553/11344/342184/85358/55845/79585",366,1
"cell growth","control",0,1,"control",0.750402365632503,NA,"GO:0016049","6405/3475/51265/5048/54879/6792/728642/9043/56920/672/7869/2137/3479/22902/56981/2273/7414/999/65078/3371/23338/23327/9564/1535/23105/26999/131566/9150/11054/56848/9423/6416/5588/57609/26153/387/5590/6857/8692/51447/10235/998/7224/51009/9175/7251/2023/10371/10512/79960/4133/1906/83737/634/1785/22999/23011/6595/3320/54437/2932/9706/2017/6790/9962/84678/393/8425/6548/79594/4897/57556/7042/10013/57715/3326/23411/25/8829/84861/1399/51199/10668/623/7528/57446/23394/1457/22850/4092/5716/5931/9767/58189/4682/51760/80208/23678/6422/8725/7040/5802/1954/5518/59284/54555/57817/3249/2931/136319/221927/23242/3984/7046/6456/1855/6387/5532/81621/7473/84687/8153/27346/1410/1982/65981/1027/8437/51147/56994/5467/8936/6722/10591/7422/9037/1839/5515/604/7474/5361/1154/27086/1981/150465/57669/3676/57142/2335/3488/60676/28956/10459/5997/5999/8643/6195/6794/9928/8828/6446/6696/22954/79109/53335/8835/51193/7852/3624/1031/5393/8239/1026/6662/23767/23769/23499/6597/6049/440275/54617/1032/10038/2258/23677/348/684/23025/10439/10298/23404/83667/55558/5538/4131/3021/9826/6860/9201/23111/694/84722/4803/79577/85004/91/10505/2016/183/5270/3300/11143/4686/4856/9373/9856/6386/84259/10413/5607/56924/102/80031/51196/8482/84162/144165/9746/84298/84260/94/5925/10516/5371/8826/29948/93649/7157/57521/114804/4089/2064/3487/351/207/1382/10500/8751/127833/151835/9686/2803/66000/185/55840/9353/817/6423/1956/3486/55909/9166/1029/203228/5795/55004/9538/9344/3688/9472/1909/6868/6695/2697/1601/3621/223117/55364/9868/8470/201163/118813/29104/6832/4323/221481/26053/978/57805/51094/4882/2539/3275/58191/374946/27185/2487/3020/10611/4487/27302/3490/80128/7048/6259/64769/8314/253260/734/1020/2395/81565/26585/81628/4088/5245/8085/29946/84717/10501/64223/1499/2786/84879/84289/55602/54910/25942/214/55031/9723/11214/203245/23566/22883/84275/596/3913/10201/5916/65059/10276/11007/2810/8636/8877/29882/51379/9699/51320/627/8408/6197/10425/54512/1002/9792/9798/2131/4692/668/64061/6586/1946/3009/10509/10519/5071/5592/51079/55615/5465/7003/57698/1630/51616/51393/10507/116224/123904/123879/440093/340719/64218/54413/147906/5167/55210/50618/10479/57154/2475/3897/2664/659/3304/3303/780/10399/10071/84258/11116/6494/4722/8904/55384/1654/11344/984/112398",410,1
"cell-substrate adhesion","control",0,2,"control",0.983149532593452,NA,"GO:0031589","26073/3675/3674/5310/960/7414/2824/395/9341/5291/5318/22998/9748/1308/4287/387/5590/6093/10420/998/9448/87/55679/10979/6480/23332/59277/57662/88/2192/8516/55604/1785/50509/2932/3693/3682/1307/2017/54749/7205/22795/57091/5829/6548/3912/3655/151887/54822/7301/201294/10580/3717/25/8829/1399/9647/11078/5155/6789/55612/182/8874/10232/11151/2294/10391/6422/7264/2267/1021/3696/5054/1842/23189/7016/9806/708/1277/1845/683/9404/4192/23603/2651/4739/5467/11149/6722/56940/7422/604/57669/3676/2335/4811/2633/9928/1490/9270/7010/3204/5328/57580/6385/27076/6239/3397/6237/23499/8910/3791/5880/4289/84962/81/3911/8500/26515/3691/54453/5786/4221/9475/948/967/3679/3915/55901/5879/7094/51754/7057/22801/4091/5861/11117/3685/55435/94/10516/1009/1012/54828/50488/6904/3491/8515/8394/8751/51057/1295/90102/5295/5921/2041/8573/80005/1029/4851/6251/51144/5795/83706/9344/3688/1793/81792/2241/5800/6695/7402/5796/1601/10018/10225/7070/25890/284/8324/123720/7074/4323/673/55698/1896/7791/11093/136227/3678/10630/7412/25992/27185/10109/2199/23122/56999/4241/3673/10085/133584/285613/10395/79778/1020/158326/7248/340706/83700/3611/56672/26585/4088/1398/558/1613/1499/1281/8754/7059/1942/5747/59339/84168/5881/3987/9723/3037/5581/596/5728/30008/253725/10855/29984/1605/79834/3728/8322/2523/340485/55920/811/91663/2049/2621/5613/71/1946/1435/10519/5034/4771/613/4059/81848/29780/4763/2316/6714/1305/55742/6281/9358/8861/25975/916/3897/780/402/2013/3672/11037/89/342184/3690",277,1
"cellular component disassembly","control",0,1,"control",0.945535249509268,NA,"GO:0022411","5976/292/3920/85477/5048/51534/26993/23376/6591/6683/9821/11345/23274/79142/822/55187/51474/57602/9474/81671/6602/55102/1659/89795/4943/3796/139341/55062/1459/9448/9948/6720/2011/6605/4905/23332/7251/119/6624/88/832/2191/5289/57103/55604/79876/65094/6604/2932/9706/25978/10269/22911/2017/4528/51510/10075/581/4313/55239/118/10059/6790/22974/64147/11213/79594/57192/11198/10013/9342/4320/27443/6598/23616/11078/24144/25793/10043/706/84164/3091/23405/7443/22985/128866/1471/84557/4281/6901/80183/4324/7249/29904/2935/9325/55192/79752/11075/665/7040/10226/11140/8775/83743/1777/23770/3249/2931/136319/7046/23064/6456/8729/22943/80279/6603/84687/1845/57482/55294/3312/23130/55626/10645/59341/4739/54516/26235/10973/9037/10297/6711/27429/51652/5341/2043/11315/829/9181/9829/9927/149371/3925/8289/23271/8673/6418/10783/9525/7043/9617/51569/2107/317/81930/5290/219402/10133/4327/4035/4778/130399/9349/718/63908/11034/3831/8678/22863/3306/6597/7429/29767/146057/54832/2258/55201/27243/84971/93974/55337/91574/10882/5119/4131/7153/23647/5562/1984/27183/10763/23075/9645/23175/324/29979/84749/57231/10677/64780/3915/10154/50853/26586/3936/3569/10241/7111/55014/1515/4609/3159/10211/5962/102/51332/57159/29766/23710/144165/5830/6601/65082/8562/3480/25989/5045/6457/10300/81631/7157/56270/162427/6455/11132/5195/11004/51506/1513/8444/1939/8751/23557/10456/51542/79137/9922/64422/9711/493856/5295/9140/8473/91782/123/401548/2934/92399/120/6749/4314/3688/5756/2241/2059/101/291/57724/130271/53918/54463/5578/126731/11096/57466/9131/9941/4323/26100/65018/9507/8867/23400/3099/146206/1676/57731/57551/162989/56893/2264/8878/6811/5563/10630/51375/25893/4921/132671/1520/29765/7855/57326/56203/25802/23122/56648/6314/79443/4241/327/256471/51368/6059/91137/2150/84340/2852/1020/58526/7415/1073/382/65991/10023/170689/256764/5579/50810/10904/4319/89927/5347/4130/10982/2801/2021/124045/57701/3396/54541/23192/154/1677/11337/983/84305/3799/3643/5499/253725/1072/10524/6599/1263/6712/488/285590/55486/9793/9776/23399/79643/55254/664/11145/666/344148/140775/8408/2629/57104/2314/2580/81858/79929/92815/23401/100287171/285973/10193/9798/668/340061/10519/3297/5071/146909/347240/1201/196528/27341/23708/124056/30849/4312/54543/11152/6840/3064/50861/10533/1803/6709/440738/65992/444/7405/987/801/830/6721/79065/780/1639/25851/285636/22828/7416/51024/11331/64601/10715/28985/57026/57553/11037/11344/143244/29082/57132",432,1
"cellular response to chemical stress","control",0,1,"control",0.999685796174048,NA,"GO:0062197","5893/572/51384/4353/5164/221/4257/2534/3082/51022/355/7444/2530/27067/84883/5601/9474/8531/54929/4638/22933/5151/5743/1906/7520/9817/5978/29957/231/3301/4313/83959/5829/825/10013/23411/3717/25/79956/5594/5625/25793/3162/706/9978/3091/51527/328/10202/655/84557/22850/215/8428/5595/10725/4363/29108/6810/55290/8989/2936/5971/857/4233/51142/3315/2146/6505/23064/5599/59338/10367/10105/6649/55294/10891/10645/59341/2054/51389/135112/8876/11235/1894/27086/4358/27429/10314/80303/10494/1386/2034/4780/2882/54206/11315/6421/9181/54936/6513/5052/7128/2309/5311/79109/8013/79912/847/5290/6780/5269/79085/140823/25824/8678/10131/10365/2671/4248/468/7732/83667/55829/2643/6737/5562/23135/5111/51526/116988/406/1965/51765/5156/29979/301/948/50640/79899/9958/51719/3569/6326/7295/7099/8737/132864/10068/834/87178/1545/10516/9990/7168/5371/8996/57707/7157/57521/6647/207/4170/405/142/29920/388/2177/10550/6622/1956/4841/10280/6188/472/4314/2308/23657/2241/1909/5163/5796/4929/22925/55364/133522/9131/5603/255027/8321/2176/65018/23400/2539/362/57465/5563/57190/4921/55139/80149/5580/493869/836/55074/94241/318/2395/538/9833/2706/10935/7248/26287/9529/5598/6778/2021/558/7001/64223/1499/624/3954/25942/983/2353/4255/2861/80310/80131/84230/55144/596/9451/9943/5970/90441/10276/9973/10333/488/1649/4482/8877/664/5074/3725/5339/2081/8575/1728/6517/375748/5831/56616/5587/3297/54033/5071/5034/677/1201/120892/8644/5478/9361/3066/65267/154807/1612/6714/4217/10533/140885/27347/2475/11179/494513/3304/3303/199/10399/51157/1147/11277/1654/1719/2876/60674/358/2119/84769/140809",294,1
"cellular response to environmental stimulus","control",0.584962500721156,1,"control",0.912756379891878,NA,"GO:0104004","2729/572/23028/1387/9020/1407/672/2067/477/6591/355/578/159/3309/57646/5888/1535/23596/8531/5424/841/54929/1265/4638/6416/7132/7158/8692/64710/4734/10681/51109/5743/10714/7520/1785/10269/5978/231/581/4313/2767/83959/6548/57192/51776/22861/825/4214/23411/5064/706/9978/2033/7528/4776/958/79913/7076/5595/10725/9683/9780/29108/90427/6422/1936/8797/5971/208/57817/136319/835/2022/5599/10367/8787/1277/4790/1410/79073/41/59341/10635/6337/4055/1432/2822/5810/1894/80303/54206/9181/1647/6513/6794/9994/5311/894/8111/1958/8795/943/1408/5290/51426/84329/3759/5269/1026/3659/2868/6662/3553/79085/2002/22890/468/440275/54617/22927/63979/5111/842/1965/54407/1643/9575/26056/9958/4193/183/51719/3364/4836/6326/10010/7099/7507/4609/10413/834/580/2247/675/8451/9990/3480/7157/57521/8915/25896/163859/142/388/79823/84236/6423/5295/11011/6872/27063/85456/472/1111/4314/144715/26272/9531/9397/5796/55364/7508/63895/5603/9577/8450/50848/138162/362/6154/6339/3428/5580/993/3673/25836/836/167153/7098/23514/94241/7486/26012/56339/6609/4239/64223/1642/8772/55872/624/3954/8738/10746/55031/4255/5429/51499/80131/84230/55144/5481/5734/598/83695/5728/150678/5883/4615/9943/1605/10276/3981/3265/170506/545/2072/375757/664/2885/5339/9212/811/3753/85453/4869/92815/6517/10856/11200/56160/3297/9230/5600/79184/677/8372/11261/3014/1201/26155/2547/4311/4312/65267/7442/641/27347/2475/114769/6494/11277/1654/10715/358/441027/4157/3690/404672",270,1
"cellular response to external stimulus","control",0,1,"control",0.991647931609091,NA,"GO:0071496","2729/572/5166/5164/3920/9020/27072/477/6591/51022/58528/355/578/11345/23274/79567/3309/1535/5610/9474/841/1265/6416/26153/7132/55062/440/490/6720/5743/9891/23032/5289/27244/10325/8648/81929/5027/10985/6548/27327/1312/4214/23411/51100/5594/9681/9463/7494/3162/8897/25828/22938/958/23394/84557/6839/5251/8428/5595/79726/8131/8140/9780/6422/54332/79792/8797/3191/166/10226/7392/136319/835/4521/51422/26608/2022/5599/26001/84687/1277/4790/3312/28960/867/6506/55626/55846/4055/7421/5564/7942/6722/1611/80315/10641/1981/3676/1386/4780/57535/1647/64121/6513/11133/9994/2309/79109/29103/8795/943/8805/3759/1026/3659/6662/3553/5469/4149/8678/22863/84219/468/440275/968/83667/22927/5565/23378/5562/10514/5287/10631/51520/1965/7482/54407/51765/1824/3178/183/2752/55270/91875/83990/7099/5292/834/2247/23710/3480/81631/93649/432/7157/57521/56270/5366/8915/9213/1513/5899/90226/6423/6715/55630/123/1030/27063/143686/3992/1111/2308/9531/133746/4929/55364/201163/63895/7071/10670/9131/26100/50848/7391/978/2909/875/102724560/5563/7412/467/3625/81788/3428/80149/3600/3673/253260/7098/154743/54468/360/7486/7248/53349/26263/558/64223/8772/84879/255738/4330/8738/10746/11337/2353/136/3171/8493/54474/5734/596/9451/4615/10524/1605/144577/4023/7351/8061/664/220441/8408/2629/5339/79077/5571/2242/2621/7378/5587/10634/6667/6256/55615/5465/27158/120892/8644/30849/11152/25959/4217/10533/440738/23334/2475/6721/659/6257/10919/199/6494/96459/2074/358/441027/4067/3690",271,1
"connective tissue development","control",0,1,"control",0.908303394742534,NA,"GO:0061448","8837/30812/85477/5310/6591/960/23369/1301/8692/2261/57560/5307/2121/38/9462/1906/4208/5019/10269/8648/2734/23411/7494/5155/9517/3091/9321/655/9658/4092/7076/2254/5595/54928/8840/7227/23516/9149/7040/3696/3200/3202/2737/7046/657/59/2648/1277/25979/10891/4192/55553/81029/59341/5467/1432/653/2822/6722/2690/4015/57561/4090/5159/7474/2202/1386/5396/4209/656/8609/1490/23314/3213/4488/399979/7045/1958/5290/6615/860/583/652/6662/650/8195/8200/7067/5447/57045/3169/54795/1289/5914/22856/4148/5468/157680/23111/4017/7482/4613/6660/1019/11061/11173/4856/23213/6653/5593/2247/658/1280/94/5925/10499/585/79068/3491/1893/1513/129642/7483/130497/80856/6423/55790/340419/4781/114789/4851/6935/871/8091/84159/2132/81792/651/8817/392255/22976/6781/4882/875/102724560/3570/4041/4146/91461/2487/4487/27302/57326/7048/10424/9464/116039/538/51222/91252/8710/26585/4088/1499/4054/649/1281/8313/6474/7059/202018/7314/4086/54360/80310/50515/59350/9451/3400/5916/2101/582/285590/3265/11145/51320/2303/7298/79718/4094/100533183/144347/5781/64764/2131/633/389084/25987/359845/9241/1435/139285/8372/55959/85301/10865/309/65992/3221/140606/659/1302/2297/3690/389125",215,1
"developmental cell growth","control",0,1,"control",0.990146946050514,NA,"GO:0048588","6405/3475/51265/5048/6792/9043/56920/7869/3479/22902/7414/999/65078/23327/23105/26999/9150/9423/6416/57609/5590/6857/7224/9175/10371/10512/4133/1906/1785/22999/23011/3320/54437/2932/9706/2017/6790/9962/393/79594/4897/57556/10013/57715/3326/25/8829/51199/7528/23394/4092/51760/80208/5802/1954/59284/57817/2931/23242/3984/6456/1855/6387/5532/7473/8153/8437/8936/6722/7422/9037/7474/5361/27086/150465/3676/57142/2335/5997/5999/6794/8828/6696/53335/7852/8239/6662/23767/23769/23499/6049/440275/10038/2258/348/23025/10439/55558/4131/6860/9201/23111/4803/10505/2016/183/9373/9856/56924/80031/8482/144165/84298/8826/114804/351/1382/10500/127833/151835/2803/66000/9353/203228/3688/9472/1909/223117/55364/9868/8470/118813/26053/4882/2539/3275/374946/27185/10611/80128/7048/6259/1020/81565/81628/8085/10501/1499/54910/25942/214/9723/11214/23566/3913/5916/65059/8636/29882/9699/51320/627/8408/10425/1002/9798/2131/4692/668/6586/1946/10509/5071/5592/5465/57698/1630/51393/10507/123904/64218/54413/50618/10479/57154/3897/2664/659/780/84258/8904/11344",192,1
"developmental growth involved in morphogenesis","control",1,1,"control",0.868552945611812,NA,"GO:0060560","6405/3475/51265/5048/6792/9043/56920/7869/22902/7414/999/65078/23327/23105/26999/9423/57609/2263/5590/6857/2255/7224/9175/10371/10512/4133/1906/1785/22999/23011/3320/54437/2932/9706/2017/6790/9962/393/79594/4897/57556/10013/57715/3326/25/8829/51199/51804/23394/6299/51760/80208/6422/5802/1954/59284/23242/3984/6456/1855/6387/5532/7473/8153/374/8437/8936/5754/6722/7422/9037/2246/7474/5361/150465/57669/3676/57142/2335/10765/6794/8828/6696/53335/157506/6909/7852/8239/652/6662/5469/23767/23769/6495/23499/6049/440275/2258/348/23025/10439/10155/55558/4131/6860/9201/23111/4803/10505/2016/10253/9373/9856/10413/56924/80031/8482/144165/84298/8826/85407/114804/351/1382/10500/127833/151835/2803/66000/9353/6423/55909/203228/4851/3688/1909/113622/223117/55364/118813/26053/4882/374946/55083/27185/80128/7048/6259/10252/1020/81565/81628/10501/1499/54910/25942/214/9723/1901/23566/3913/5916/65059/8636/29882/9699/627/8408/1002/9798/2131/4692/6586/1946/1435/9968/10509/5071/5592/57698/1630/9863/51393/10507/123904/64218/54413/50618/10479/57154/3897/2664/659/780/84258/8904/11344/342184",198,1
