"","condition","cycle","region","log2fc.mean","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met"
"32","control","1","bone development",0.333333333333333,0.333333333333333,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,0.333333333333333,0.111111111111111,0.978452516083852,1,NA,"GO:0060348",47,"FALSE"
"33","control","1","branched-chain amino acid metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0009081",747,"FALSE"
"34","control","1","carbohydrate derivative catabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901136",747,"FALSE"
"35","control","1","carbohydrate derivative transport",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901264",747,"FALSE"
"36","control","1","cell cycle G1/S phase transition",0.222222222222222,0.384900179459751,2,0.666666666666667,0.333333333333333,0.5,1.33333333333333,0.444444444444444,0.984202741865909,1,NA,"GO:0044843",81,"FALSE"
"37","control","1","cell cycle G2/M phase transition",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.969511785430955,1,NA,"GO:0044839",47,"FALSE"
"38","control","1","cell cycle checkpoint signaling",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.992229166140475,1,NA,"GO:0000075",81,"FALSE"
"39","control","1","cell growth",0.0254242989439862,0.141829094725117,4.33333333333333,1.44444444444444,0.384900179459751,0.266469355010597,3,1,0.233409631838209,1,NA,"GO:0016049",451,"FALSE"
"40","control","1","cell migration involved in heart development",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0060973",747,"FALSE"
"41","control","1","cell redox homeostasis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0045454",747,"FALSE"
"42","control","1","cell-cell signaling by wnt",-0.0461152776976493,0.267162291360244,3,1,0.333333333333333,0.333333333333333,3,1,0.999953771487457,1,NA,"GO:0198738",347,"FALSE"
"43","control","1","cell-substrate adhesion",-0.222222222222222,0.509175077217316,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,2,0.666666666666667,0.997725785666893,1,NA,"GO:0031589",81,"FALSE"
"44","control","1","cell-substrate junction assembly",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999325221009491,1,NA,"GO:0007044",163,"FALSE"
"45","control","1","cell-substrate junction organization",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.992863419187514,1,NA,"GO:0150115",81,"FALSE"
"46","control","1","cellular carbohydrate metabolic process",0.111111111111111,0.384900179459751,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,1,0.333333333333333,0.999621663224384,1,NA,"GO:0044262",163,"FALSE"
"47","control","1","cellular component disassembly",-0.0922305553952987,0.598826974643377,3.33333333333333,1.11111111111111,0.838870492807861,0.754983443527075,3,1,0.979275468298877,1,NA,"GO:0022411",193,"FALSE"
"48","control","1","cellular lipid catabolic process",0.287218055635684,0.49747626521215,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.902497668782265,1,NA,"GO:0044242",57,"FALSE"
"49","control","1","cellular metabolic compound salvage",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0043094",747,"FALSE"
"50","control","1","cellular nitrogen compound catabolic process",0.194987500240385,0.333333333333333,4.33333333333333,1.44444444444444,0.509175077217316,0.352505822688911,3,1,0.995682489371611,1,NA,"GO:0044270",93,"FALSE"
"51","control","1","cellular pigment accumulation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0043482",747,"FALSE"
"52","control","1","cellular pigmentation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0033059",747,"FALSE"
"53","control","1","cellular respiration",1.8521787113294e-17,0.881917103688197,1.66666666666667,0.555555555555556,0.509175077217316,0.916515138991168,1.66666666666667,0.555555555555556,0.940056120503716,1,NA,"GO:0045333",632,"FALSE"
