"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"Herpes simplex virus 1 infection","Herpes simplex virus 1 infection","C1_05_24",0,1,-1,0.532710280373832,1,1.74994699488342e-36
"Cell cycle","Cell cycle","C1_05_24",0,0,0,1,1,7.82977812856744e-40
"Endocytosis","Endocytosis","C1_05_24",1,0.5,0.415037499278844,1,1,4.88229620865328e-35
"Ribosome","Ribosome","C1_05_24",0,0,0,1,1,4.51665834861868e-42
"Autophagy - animal","Autophagy - animal","C1_05_24",0,0,0,1,1,3.18820459426644e-39
"Protein processing in endoplasmic reticulum","Protein processing in endoplasmic reticulum","C1_05_24",0,0,0,1,1,4.94873160314497e-40
"Huntington disease","Huntington disease","C1_05_24",0,0,0,1,1,7.15422090744682e-34
"Ubiquitin mediated proteolysis","Ubiquitin mediated proteolysis","C1_05_24",0,0,0,1,1,3.70958907670889e-41
"Shigellosis","Shigellosis","C1_05_24",0,1,-1,0.58411214953271,1,7.06025838529351e-33
"Thermogenesis","Thermogenesis","C1_05_24",1,0,1,0.392523364485981,1,1.46996670273732e-37
"Mitophagy - animal","Mitophagy - animal","C1_05_24",0,0,0,1,1,3.7302660016417e-43
"Parkinson disease","Parkinson disease","C1_05_24",0,0,0,1,1,2.44629375810068e-36
"Amyotrophic lateral sclerosis","Amyotrophic lateral sclerosis","C1_05_24",1,1,0,1,1,6.09738557470931e-33
"Cellular senescence","Cellular senescence","C1_05_24",0,0,0,1,1,3.67145417587063e-37
"Chemical carcinogenesis - reactive oxygen species","Chemical carcinogenesis - reactive oxygen species","C1_05_24",0,0,0,1,1,2.15008463325382e-39
"Colorectal cancer","Colorectal cancer","C1_05_24",0,0,0,1,1,6.24084326565428e-43
"Salmonella infection","Salmonella infection","C1_05_24",1,0,1,0.469626168224299,1,1.36328090165521e-34
"ATP-dependent chromatin remodeling","ATP-dependent chromatin remodeling","C1_05_24",0,0,0,1,1,2.58095795131239e-43
"Diabetic cardiomyopathy","Diabetic cardiomyopathy","C1_05_24",0,0,0,1,1,9.72859421063713e-39
"Spliceosome","Spliceosome","C1_05_24",1,0,1,0.19392523364486,1,7.87513864644971e-44
"Viral carcinogenesis","Viral carcinogenesis","C1_05_24",0,0,0,1,1,8.15328753640702e-39
"Pathways of neurodegeneration - multiple diseases","Pathways of neurodegeneration - multiple diseases","C1_05_24",1,1,0,1,1,5.45785887332324e-29
"Pancreatic cancer","Pancreatic cancer","C1_05_24",0,0,0,1,1,2.79526288397634e-42
"Chronic myeloid leukemia","Chronic myeloid leukemia","C1_05_24",0,0,0,1,1,1.74664912342147e-43
"Polycomb repressive complex","Polycomb repressive complex","C1_05_24",0,0,0,1,1,6.38290518528509e-44
"Alzheimer disease","Alzheimer disease","C1_05_24",1,1,0,1,1,2.77810643485084e-31
"Non-alcoholic fatty liver disease","Non-alcoholic fatty liver disease","C1_05_24",0,0,0,1,1,4.29349660130852e-41
"Nucleocytoplasmic transport","Nucleocytoplasmic transport","C1_05_24",1,0,1,0.207943925233645,1,1.45019317930845e-43
"Human T-cell leukemia virus 1 infection","Human T-cell leukemia virus 1 infection","C1_05_24",0,0,0,1,1,9.72859421063713e-39
"Nucleotide excision repair","Nucleotide excision repair","C1_05_24",0,0,0,1,1,8.68835261261615e-47
"Oxidative phosphorylation","Oxidative phosphorylation","C1_05_24",0,0,0,1,1,2.1691541213273e-44
"Renal cell carcinoma","Renal cell carcinoma","C1_05_24",0,0,0,1,1,4.49508811112641e-43
"Axon guidance","Axon guidance","C1_05_24",0,0,0,1,1,5.65166964910656e-34
"Endometrial cancer","Endometrial cancer","C1_05_24",0,0,0,1,1,7.52927786246473e-46
"mRNA surveillance pathway","mRNA surveillance pathway","C1_05_24",0,0,0,1,1,2.34683240851897e-44
"Focal adhesion","Focal adhesion","C1_05_24",1,1,0,1,1,4.20133727200719e-32
"Adherens junction","Adherens junction","C1_05_24",0,0,0,1,1,5.31393992034853e-40
"Prion disease","Prion disease","C1_05_24",0,0,0,1,1,1.80217363243041e-36
"Lysosome","Lysosome","C1_05_24",0,0,0,1,1,5.31393992034853e-40
"MAPK signaling pathway","MAPK signaling pathway","C1_05_24",3,1,1,0.543224299065421,1,4.13886255587218e-31
"Sphingolipid signaling pathway","Sphingolipid signaling pathway","C1_05_24",1,0,1,0.266355140186916,1,3.08451079988909e-41
"Fanconi anemia pathway","Fanconi anemia pathway","C1_05_24",0,0,0,1,1,1.25239933623627e-47
"Neurotrophin signaling pathway","Neurotrophin signaling pathway","C1_05_24",0,0,0,1,1,5.62257298852909e-41
"Phosphatidylinositol signaling system","Phosphatidylinositol signaling system","C1_05_24",1,0,1,0.190420560747664,1,1.08280928828409e-43
"Prostate cancer","Prostate cancer","C1_05_24",0,0,0,1,1,2.67222147677175e-41
"Aminoacyl-tRNA biosynthesis","Aminoacyl-tRNA biosynthesis","C1_05_24",0,0,0,1,1,1.75929002851056e-48
"Base excision repair","Base excision repair","C1_05_24",0,0,0,1,1,7.84183058975422e-49
"p53 signaling pathway","p53 signaling pathway","C1_05_24",0,0,0,1,1,1.27376628942965e-43
"EGFR tyrosine kinase inhibitor resistance","EGFR tyrosine kinase inhibitor resistance","C1_05_24",2,0,1.58496250072116,0.0747663551401869,1,1.80647508278809e-41
"Small cell lung cancer","Small cell lung cancer","C1_05_24",0,0,0,1,1,9.60104545726935e-40
"RNA degradation","RNA degradation","C1_05_24",0,0,0,1,1,5.56172959485633e-47
"mTOR signaling pathway","mTOR signaling pathway","C1_05_24",0,0,0,1,1,1.7486447400398e-40
"Endocrine resistance","Endocrine resistance","C1_05_24",0,0,0,1,1,7.33228564576714e-41
