"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"maintenance of protein location3","maintenance of protein location","E1_06_14",4,1,1.32192809488736,0.059,0.834740740740741,1.39141952593014e-29
"regulation of microtubule polymerization3","regulation of microtubule polymerization","E1_06_14",0,1,-1,0.547,1,1.0289100830067e-33
"regulation of embryonic development3","regulation of embryonic development","E1_06_14",5,1,1.58496250072116,0.043,0.65704,8.3087083219141e-29
"regulation of ubiquitin-protein transferase activity3","regulation of ubiquitin-protein transferase activity","E1_06_14",0,0,0,1,1,7.68806169201425e-36
"regulation of developmental growth3","regulation of developmental growth","E1_06_14",2,5,-1,0.175,1,6.15191701965368e-14
"maintenance of protein location in cell3","maintenance of protein location in cell","E1_06_14",2,1,0.584962500721156,0.697,1,1.53730325482941e-31
"positive regulation of mitotic cell cycle3","positive regulation of mitotic cell cycle","E1_06_14",1,2,-0.584962500721156,0.351,1,1.93667654223423e-26
"response to epidermal growth factor3","response to epidermal growth factor","E1_06_14",0,1,-1,0.564,1,1.84007695228274e-34
"heterochromatin formation3","heterochromatin formation","E1_06_14",1,1,0,1,1,9.15828353869238e-27
"regulation of cell-substrate junction organization3","regulation of cell-substrate junction organization","E1_06_14",1,2,-0.584962500721156,0.37,1,2.14955163385487e-27
"alpha-amino acid biosynthetic process3","alpha-amino acid biosynthetic process","E1_06_14",0,1,-1,0.53,1,1.02402400956963e-35
"establishment of tissue polarity3","establishment of tissue polarity","E1_06_14",0,2,-1.58496250072116,0.007,0.2865,1.38437508894722e-26
"nucleotide catabolic process3","nucleotide catabolic process","E1_06_14",0,1,-1,0.538,1,1.14984799943514e-32
"regulation of extracellular matrix organization3","regulation of extracellular matrix organization","E1_06_14",1,1,0,1,1,2.75089562023081e-28
"positive regulation of viral process3","positive regulation of viral process","E1_06_14",0,0,0,1,1,3.1332377766069e-36
"cell-substrate adhesion3","cell-substrate adhesion","E1_06_14",6,8,-0.362570079384708,0.57,1,2.65678475624258e-12
"clathrin-dependent endocytosis3","clathrin-dependent endocytosis","E1_06_14",1,0,1,0.456,1,4.9804780343706e-37
"response to oxygen levels3","response to oxygen levels","E1_06_14",8,6,0.362570079384708,0.509,1,1.2776024192671e-13
"lamellipodium organization3","lamellipodium organization","E1_06_14",4,2,0.736965594166206,0.363,1,2.31731818860481e-24
"postsynapse organization3","postsynapse organization","E1_06_14",0,3,-2,0.062,0.845857142857143,4.08246918817298e-20
"placenta development3","placenta development","E1_06_14",2,2,0,1,1,4.66029738594868e-23
"protein maturation3","protein maturation","E1_06_14",3,5,-0.584962500721156,0.343,1,8.02545643146086e-14
"regulation of fibroblast migration3","regulation of fibroblast migration","E1_06_14",1,1,0,1,1,2.21221469475469e-33
"G0 to G1 transition3","G0 to G1 transition","E1_06_14",0,0,0,1,1,8.21195569554074e-37
"negative regulation of growth3","negative regulation of growth","E1_06_14",3,4,-0.321928094887362,0.728,1,3.17550085352701e-16
"regulation of intracellular steroid hormone receptor signaling pathway3","regulation of intracellular steroid hormone receptor signaling pathway","E1_06_14",2,1,0.584962500721156,0.714,1,5.23167303305535e-30
"regulation of cysteine-type endopeptidase activity involved in apoptotic process3","regulation of cysteine-type endopeptidase activity involved in apoptotic process","E1_06_14",4,3,0.321928094887362,0.68,1,2.08327154574317e-19
"pteridine-containing compound metabolic process3","pteridine-containing compound metabolic process","E1_06_14",0,0,0,1,1,1.99713329103055e-40
"response to arsenic-containing substance3","response to arsenic-containing substance","E1_06_14",1,0,1,0.429,1,1.01971199404711e-37
"regulation of stem cell population maintenance3","regulation of stem cell population maintenance","E1_06_14",2,1,0.584962500721156,0.688,1,1.64466373247448e-30
