"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"essential","essential","C1_05_24",3,4,-0.321928094887362,0.717,1,4.15941874679519e-20
"nonessential","nonessential","C1_05_24",0,0,0,1,1,6.86690532555016e-47
"essential1","essential","C2_05_24",5,2,1,0.272,0.272,1.05742384858989e-22
"nonessential1","nonessential","C2_05_24",2,0,1.58496250072116,0.025,0.05,3.81709016538172e-50
"essential2","essential","C3_05_24",4,3,0.321928094887362,0.664,1,2.60241259360215e-20
"nonessential2","nonessential","C3_05_24",0,0,0,1,1,1.93578955574756e-48
"essential3","essential","E1_06_14",15,18,-0.247927513443586,0.48,0.567,1.73645390583991e-07
"nonessential3","nonessential","E1_06_14",0,1,-1,0.567,0.567,3.93056034087004e-35
"essential4","essential","E2_06_14",14,19,-0.415037499278844,0.239,0.478,2.44466175095527e-06
"nonessential4","nonessential","E2_06_14",1,1,0,1,1,6.1878690368177e-31
"essential5","essential","E1_08_16",15,20,-0.39231742277876,0.249,0.498,3.03689621955304e-09
"nonessential5","nonessential","E1_08_16",0,1,-1,0.585,0.585,2.76262764024332e-36
"essential6","essential","E3_06_14",51,56,-0.13245029602365,0.557,1,0.000661719736989238
"nonessential6","nonessential","E3_06_14",3,3,0,1,1,4.67080525766394e-21
"essential7","essential","E2_08_16",28,30,-0.0962153152593032,0.702,0.784,0.00116429539525669
"nonessential7","nonessential","E2_08_16",3,2,0.415037499278844,0.784,0.784,1.22539382945765e-24
"essential8","essential","E3_08_16",33,45,-0.436099114806674,0.088,0.176,0.00247699290903914
"nonessential8","nonessential","E3_08_16",2,2,0,1,1,1.29834388167665e-23
"essential9","essential","MMEA9_C1",0,3,-2,0.039,0.078,7.60111532782078e-21
"nonessential9","nonessential","MMEA9_C1",0,0,0,1,1,5.49447076630392e-50
"essential10","essential","MMEA9_C2",0,2,-1.58496250072116,0.022,0.044,1.62010174836065e-22
"nonessential10","nonessential","MMEA9_C2",0,0,0,1,1,6.28727296558121e-52
"essential11","essential","MMEA9_C3",1,4,-1.32192809488736,0.175,0.35,1.35787523515602e-20
"nonessential11","nonessential","MMEA9_C3",0,0,0,1,1,6.48910708376322e-48
"essential12","essential","MMEA9_E1",50,70,-0.477321777533186,0.023,0.046,0.0424714049038424
"nonessential12","nonessential","MMEA9_E1",2,3,-0.415037499278844,0.485,0.485,1.13919738482647e-22
"essential13","essential","MMEA9_E2",22,30,-0.430634354329862,0.177,0.354,1.65432248967877e-06
"nonessential13","nonessential","MMEA9_E2",0,1,-1,0.512,0.512,1.37554446065369e-28
"essential14","essential","MMEA9_E3",80,97,-0.274859841230583,0.121,0.242,0.000813612795838606
"nonessential14","nonessential","MMEA9_E3",3,5,-0.584962500721156,0.391,0.391,3.81642461995259e-17
"essential15","essential","MMEB9_C1",0,2,-1.58496250072116,0.023,0.046,1.76201404795969e-24
"nonessential15","nonessential","MMEB9_C1",0,0,0,1,1,4.63803849295068e-50
"essential16","essential","MMEB9_C2",0,3,-2,0.076,0.152,5.32203453134322e-19
"nonessential16","nonessential","MMEB9_C2",0,0,0,1,1,7.74915856929209e-50
"essential17","essential","MMEB9_C3",0,2,-1.58496250072116,0.02,0.04,7.99564088005642e-22
"nonessential17","nonessential","MMEB9_C3",0,0,0,1,1,8.67428258315075e-51
"essential18","essential","MMEB9_E1",58,100,-0.775568433389954,0,0,0.11060190165881
"nonessential18","nonessential","MMEB9_E1",3,5,-0.584962500721156,0.35,0.35,2.46127325069168e-19
"essential19","essential","MMEB9_E2",28,42,-0.568283759574526,0.04,0.04,0.0673419008163566
"nonessential19","nonessential","MMEB9_E2",11,2,2,0.002,0.004,7.12872037276075e-23
"essential20","essential","MMEB9_E3",53,59,-0.15200309344505,0.531,0.683,0.00247342927615892
"nonessential20","nonessential","MMEB9_E3",4,3,0.321928094887362,0.683,0.683,1.00181603748339e-22
