"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"Herpes simplex virus 1 infection","Herpes simplex virus 1 infection","C1_05_24",2,1,0.584962500721156,0.702102803738318,1,3.03338834093725e-28
"Cell cycle","Cell cycle","C1_05_24",0,0,0,1,1,7.58553130899929e-39
"Endocytosis","Endocytosis","C1_05_24",1,0,1,0.442757009345794,1,2.45518195631658e-35
"Ribosome","Ribosome","C1_05_24",1,0,1,0.292056074766355,1,2.47777754280502e-40
"Autophagy - animal","Autophagy - animal","C1_05_24",0,0,0,1,1,4.70679654383433e-37
"Protein processing in endoplasmic reticulum","Protein processing in endoplasmic reticulum","C1_05_24",1,0,1,0.330607476635514,1,2.41508815115689e-39
"Huntington disease","Huntington disease","C1_05_24",2,0,1.58496250072116,0.216121495327103,1,5.67617174880036e-34
"Ubiquitin mediated proteolysis","Ubiquitin mediated proteolysis","C1_05_24",0,0,0,1,1,3.6403959832025e-39
"Shigellosis","Shigellosis","C1_05_24",3,0,2,0.0595794392523364,1,4.26709410364942e-37
"Thermogenesis","Thermogenesis","C1_05_24",2,0,1.58496250072116,0.160046728971963,1,3.87541960608839e-36
"Mitophagy - animal","Mitophagy - animal","C1_05_24",0,0,0,1,1,1.63207590323986e-41
"Parkinson disease","Parkinson disease","C1_05_24",0,0,0,1,1,1.3998502578602e-33
"Amyotrophic lateral sclerosis","Amyotrophic lateral sclerosis","C1_05_24",4,1,1.32192809488736,0.0105140186915888,1,3.69643760892463e-33
"Cellular senescence","Cellular senescence","C1_05_24",2,0,1.58496250072116,0.106308411214953,1,7.14576724325644e-39
"Chemical carcinogenesis - reactive oxygen species","Chemical carcinogenesis - reactive oxygen species","C1_05_24",0,0,0,1,1,4.98402638444187e-35
"Colorectal cancer","Colorectal cancer","C1_05_24",0,0,0,1,1,4.57890113576961e-45
"Salmonella infection","Salmonella infection","C1_05_24",1,0,1,0.455607476635514,1,1.24166956699709e-34
"ATP-dependent chromatin remodeling","ATP-dependent chromatin remodeling","C1_05_24",0,0,0,1,1,1.90565848363217e-41
"Diabetic cardiomyopathy","Diabetic cardiomyopathy","C1_05_24",0,0,0,1,1,1.26619959130801e-37
"Spliceosome","Spliceosome","C1_05_24",0,0,0,1,1,3.84127420790061e-39
"Viral carcinogenesis","Viral carcinogenesis","C1_05_24",0,0,0,1,1,1.62089289429815e-36
"Pathways of neurodegeneration - multiple diseases","Pathways of neurodegeneration - multiple diseases","C1_05_24",0,1,-1,0.524532710280374,1,5.78199271690035e-31
"Pancreatic cancer","Pancreatic cancer","C1_05_24",0,0,0,1,1,8.54983240558236e-45
"Chronic myeloid leukemia","Chronic myeloid leukemia","C1_05_24",0,0,0,1,1,3.0718897120389e-43
"Polycomb repressive complex","Polycomb repressive complex","C1_05_24",0,0,0,1,1,1.64477970710038e-43
