"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"Cholinergic synapse6","Cholinergic synapse","E3_06_14",6,4,0.485426827170242,0.509,0.93225,2.53084270985923e-15
"Osteoclast differentiation6","Osteoclast differentiation","E3_06_14",6,6,0,1,1,5.95669647519301e-14
"Pentose phosphate pathway6","Pentose phosphate pathway","E3_06_14",0,1,-1,0.533,0.93225,5.12419123251089e-33
"beta-Alanine metabolism6","beta-Alanine metabolism","E3_06_14",0,1,-1,0.5,0.93225,7.619785870936e-32
"PPAR signaling pathway6","PPAR signaling pathway","E3_06_14",0,3,-2,0.079,0.8686875,9.40241162552434e-18
"Folate biosynthesis6","Folate biosynthesis","E3_06_14",2,1,0.584962500721156,0.714,1,6.86894636870658e-30
"Influenza A6","Influenza A","E3_06_14",9,8,0.15200309344505,0.765,1,7.35668968227264e-10
"Th17 cell differentiation6","Th17 cell differentiation","E3_06_14",2,4,-0.736965594166206,0.377,0.93225,4.17289898721142e-17
"Cardiac muscle contraction6","Cardiac muscle contraction","E3_06_14",1,3,-1,0.248,0.93225,5.05537665790536e-20
"Nicotinate and nicotinamide metabolism6","Nicotinate and nicotinamide metabolism","E3_06_14",3,1,1,0.49,0.93225,2.15740912089748e-27
"Aldosterone-regulated sodium reabsorption6","Aldosterone-regulated sodium reabsorption","E3_06_14",5,1,1.58496250072116,0.035,0.660157894736842,1.76343153741481e-26
"Neutrophil extracellular trap formation6","Neutrophil extracellular trap formation","E3_06_14",6,6,0,1,1,1.18491226886728e-12
"Th1 and Th2 cell differentiation6","Th1 and Th2 cell differentiation","E3_06_14",2,4,-0.736965594166206,0.353,0.93225,2.03555423759161e-18
"NOD-like receptor signaling pathway6","NOD-like receptor signaling pathway","E3_06_14",6,7,-0.192645077942396,0.637,1,1.04705571615041e-11
"Cortisol synthesis and secretion6","Cortisol synthesis and secretion","E3_06_14",0,2,-1.58496250072116,0.024,0.660157894736842,1.37989584374054e-21
"GnRH secretion6","GnRH secretion","E3_06_14",1,2,-0.584962500721156,0.344,0.93225,5.05043950162162e-25
"Vascular smooth muscle contraction6","Vascular smooth muscle contraction","E3_06_14",7,5,0.415037499278844,0.599,0.976254807692308,1.13652412882942e-15
"Estrogen signaling pathway6","Estrogen signaling pathway","E3_06_14",6,5,0.222392421336448,0.857,1,8.61283916631494e-15
