"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"ribonucleoprotein complex biogenesis","ribonucleoprotein complex biogenesis","C1_05_24",1,1,0,1,1,1.07441980338251e-31
"ncRNA processing","ncRNA processing","C1_05_24",0,1,-1,0.550233644859813,1,2.86696378321393e-32
"proteasome-mediated ubiquitin-dependent protein catabolic process","proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",0,1,-1,0.547897196261682,1,9.96617249650591e-31
"rRNA metabolic process","rRNA metabolic process","C1_05_24",0,0,0,1,1,1.31838798945434e-36
"macroautophagy","macroautophagy","C1_05_24",0,0,0,1,1,4.77497267651579e-33
"regulation of response to DNA damage stimulus","regulation of response to DNA damage stimulus","C1_05_24",1,1,0,1,1,2.72189708952194e-32
"establishment of protein localization to organelle","establishment of protein localization to organelle","C1_05_24",1,1,0,1,1,5.7234698940201e-30
"regulation of chromosome organization","regulation of chromosome organization","C1_05_24",1,0,1,0.45911214953271,1,1.15880341140175e-37
"chromosome segregation","chromosome segregation","C1_05_24",0,1,-1,0.537383177570093,1,1.28910582951407e-32
"mitochondrial gene expression","mitochondrial gene expression","C1_05_24",1,0,1,0.260514018691589,1,3.48400436716568e-41
"cellular component disassembly","cellular component disassembly","C1_05_24",0,1,-1,0.533878504672897,1,3.70516116917542e-26
"Golgi vesicle transport","Golgi vesicle transport","C1_05_24",0,0,0,1,1,2.44797687960495e-34
"DNA replication","DNA replication","C1_05_24",1,0,1,0.461448598130841,1,9.5884909052971e-36
"sister chromatid segregation","sister chromatid segregation","C1_05_24",0,0,0,1,1,2.23467846762153e-38
"histone modification","histone modification","C1_05_24",0,1,-1,0.511682242990654,1,2.51141743367624e-29
"nucleocytoplasmic transport","nucleocytoplasmic transport","C1_05_24",1,1,0,1,1,1.63148382698404e-32
"nuclear transport","nuclear transport","C1_05_24",1,1,0,1,1,1.63148382698404e-32
"double-strand break repair","double-strand break repair","C1_05_24",1,0,1,0.476635514018692,1,1.88356449608609e-34
"mitotic cell cycle phase transition","mitotic cell cycle phase transition","C1_05_24",1,1,0,1,1,1.03649462607008e-28
"non-membrane-bounded organelle assembly","non-membrane-bounded organelle assembly","C1_05_24",0,1,-1,0.539719626168224,1,1.0473847748838e-29
"cytoplasmic translation","cytoplasmic translation","C1_05_24",0,0,0,1,1,1.86713127228399e-39
"regulation of DNA repair","regulation of DNA repair","C1_05_24",1,0,1,0.383177570093458,1,1.03980970119766e-37
"ribonucleoprotein complex subunit organization","ribonucleoprotein complex subunit organization","C1_05_24",1,0,1,0.316588785046729,1,6.31266670403963e-40
"peptidyl-lysine modification","peptidyl-lysine modification","C1_05_24",0,1,-1,0.564252336448598,1,2.50963976659669e-32
