"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"Hepatocellular carcinoma","Hepatocellular carcinoma","C1_05_24",0,0,0,1,1,9.29356031534233e-36
"Insulin signaling pathway","Insulin signaling pathway","C1_05_24",0,0,0,1,1,1.60071069439736e-41
"Human cytomegalovirus infection","Human cytomegalovirus infection","C1_05_24",0,1,-1,0.552,1,9.15533638104012e-34
"Human papillomavirus infection","Human papillomavirus infection","C1_05_24",0,1,-1,0.531,1,1.24602936936325e-27
"Proteoglycans in cancer","Proteoglycans in cancer","C1_05_24",2,1,0.584962500721156,0.73,1,2.0302073458605e-34
"TGF-beta signaling pathway","TGF-beta signaling pathway","C1_05_24",0,0,0,1,1,1.08972492497584e-38
"RNA polymerase","RNA polymerase","C1_05_24",0,0,0,1,1,6.66364060194838e-52
"FoxO signaling pathway","FoxO signaling pathway","C1_05_24",0,0,0,1,1,1.40398049170648e-40
"AGE-RAGE signaling pathway in diabetic complications","AGE-RAGE signaling pathway in diabetic complications","C1_05_24",0,0,0,1,1,5.98670854505331e-43
"Hepatitis B","Hepatitis B","C1_05_24",0,0,0,1,1,2.84798965639518e-40
"Longevity regulating pathway - multiple species","Longevity regulating pathway - multiple species","C1_05_24",0,0,0,1,1,5.30687359445855e-46
"Yersinia infection","Yersinia infection","C1_05_24",1,0,1,0.332,1,3.59043349958563e-41
"N-Glycan biosynthesis","N-Glycan biosynthesis","C1_05_24",0,0,0,1,1,4.31667400821248e-48
"Non-small cell lung cancer","Non-small cell lung cancer","C1_05_24",0,0,0,1,1,4.56825137528772e-47
"Rap1 signaling pathway","Rap1 signaling pathway","C1_05_24",3,1,1,0.572,1,3.62767376223844e-34
"Choline metabolism in cancer","Choline metabolism in cancer","C1_05_24",1,0,1,0.263,1,9.76476140422944e-45
"TNF signaling pathway","TNF signaling pathway","C1_05_24",1,0,1,0.391,1,1.81233468245645e-39
"Glioma","Glioma","C1_05_24",0,0,0,1,1,1.20164541202118e-44
"Human immunodeficiency virus 1 infection","Human immunodeficiency virus 1 infection","C1_05_24",0,0,0,1,1,4.47193366626084e-38
"Apoptosis","Apoptosis","C1_05_24",0,0,0,1,1,6.70968252305982e-40
"AMPK signaling pathway","AMPK signaling pathway","C1_05_24",0,0,0,1,1,7.08581295596622e-43
"Fatty acid metabolism","Fatty acid metabolism","C1_05_24",1,0,1,0.119,1,3.01417030119127e-49
"DNA replication","DNA replication","C1_05_24",0,0,0,1,1,1.25620029999426e-50
"Pathogenic Escherichia coli infection","Pathogenic Escherichia coli infection","C1_05_24",0,0,0,1,1,1.29017970239048e-35
"PD-L1 expression and PD-1 checkpoint pathway in cancer","PD-L1 expression and PD-1 checkpoint pathway in cancer","C1_05_24",0,0,0,1,1,1.20073150471575e-44
"Hippo signaling pathway","Hippo signaling pathway","C1_05_24",0,0,0,1,1,4.64481506147598e-36
"Valine, leucine and isoleucine degradation","Valine, leucine and isoleucine degradation","C1_05_24",0,0,0,1,1,1.02302490089314e-50
"Peroxisome","Peroxisome","C1_05_24",1,0,1,0.178,1,5.36537945041457e-47
"Homologous recombination","Homologous recombination","C1_05_24",0,0,0,1,1,8.90336462062915e-51
"Bladder cancer","Bladder cancer","C1_05_24",0,0,0,1,1,9.83076228598579e-47
"Fluid shear stress and atherosclerosis","Fluid shear stress and atherosclerosis","C1_05_24",0,0,0,1,1,6.80068637249988e-40
"SNARE interactions in vesicular transport","SNARE interactions in vesicular transport","C1_05_24",0,0,0,1,1,1.25360334704604e-50
"Autophagy - other","Autophagy - other","C1_05_24",0,0,0,1,1,1.79874264157083e-51
"Proteasome","Proteasome","C1_05_24",0,0,0,1,1,1.6816756141043e-49
"Protein export","Protein export","C1_05_24",1,0,1,0.062,1,5.09984121727056e-52
