"","condition","cycle","region","log2fc.mean","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met"
"193","control","1","neuron death",-0.578988531388735,7,2.33333333333333,2.3094010767585,0.989743318610787,3.33333333333333,0.184242853849629,1,NA,"GO:0070997",22,"FALSE"
"194","control","1","neuron projection organization",-0.471679166426281,2,0.666666666666667,1.15470053837925,1.73205080756888,1,0.71410686797566,1,NA,"GO:0106027",28,"FALSE"
"195","control","1","neurotrophin signaling pathway",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.938040868896091,1,NA,"GO:0038179",47,"FALSE"
"196","control","1","non-membrane-bounded organelle assembly",-0.440642698295787,8,2.66666666666667,1.52752523165195,0.57282196186948,3.66666666666667,0.682365427185486,1,NA,"GO:0140694",32,"FALSE"
"197","control","1","nonribosomal peptide biosynthetic process",0,0,0,0,NA,0,1,1,NA,"GO:0019184",747,"FALSE"
"198","control","1","nuclear chromosome segregation",-0.333333333333333,6,2,1,0.5,2.66666666666667,0.790779001686839,1,NA,"GO:0098813",47,"FALSE"
"199","control","1","nuclear envelope organization",0,0,0,0,NA,0,1,1,NA,"GO:0006998",747,"FALSE"
"200","control","1","nuclear transport",0,11,3.66666666666667,0.577350269189626,0.157459164324443,3.66666666666667,0.967933361698706,1,NA,"GO:0051169",747,"FALSE"
"201","control","1","nuclear-transcribed mRNA catabolic process",-0.52832083357372,2,0.666666666666667,0.577350269189626,0.866025403784439,1.33333333333333,0.735751648643008,1,NA,"GO:0000956",26,"FALSE"
"202","control","1","nucleic acid transport",-0.723308333814105,3,1,1,1,2,0.563746462178599,1,NA,"GO:0050657",16,"FALSE"
"203","control","1","nucleocytoplasmic transport",0,11,3.66666666666667,0.577350269189626,0.157459164324443,3.66666666666667,0.967933361698706,1,NA,"GO:0006913",747,"FALSE"
"204","control","1","nucleotide catabolic process",0,0,0,0,NA,0,1,1,NA,"GO:0009166",747,"FALSE"
"205","control","1","nucleus organization",-0.333333333333333,2,0.666666666666667,0.577350269189626,0.866025403784439,1,0.956611298068203,1,NA,"GO:0006997",47,"FALSE"
"206","control","1","oligosaccharide-lipid intermediate biosynthetic process",0,0,0,0,NA,0,1,1,NA,"GO:0006490",747,"FALSE"
"207","control","1","one-carbon metabolic process",0,0,0,0,NA,0,1,1,NA,"GO:0006730",747,"FALSE"
"208","control","1","organelle fission",-0.528320833573719,9,3,1,0.333333333333333,4.66666666666667,0.467565836146432,1,NA,"GO:0048285",26,"FALSE"
"209","control","1","organelle fusion",0.389975000480771,5,1.66666666666667,0.577350269189626,0.346410161513775,1,0.945820060207267,1,NA,"GO:0048284",38,"FALSE"
"210","control","1","organelle inheritance",0,0,0,0,NA,0,1,1,NA,"GO:0048308",747,"FALSE"
"211","control","1","organelle localization by membrane tethering",0,2,0.666666666666667,0.577350269189626,0.866025403784439,0.666666666666667,0.78538599893525,1,NA,"GO:0140056",747,"FALSE"
"212","control","1","organophosphate catabolic process",-0.333333333333333,2,0.666666666666667,0.577350269189626,0.866025403784439,1,0.945043578153648,1,NA,"GO:0046434",47,"FALSE"
"213","control","1","organophosphate ester transport",-0.138345833092948,3,1,1,1,1,0.90271515651338,1,NA,"GO:0015748",137,"FALSE"
"214","control","1","ossification",0.175356270555863,13,4.33333333333333,1.15470053837925,0.266469355010596,3.66666666666667,0.990472603904357,1,NA,"GO:0001503",105,"FALSE"
"215","control","1","osteoblast differentiation",0.522346864241298,10,3.33333333333333,0.577350269189626,0.173205080756888,2,0.765315861311036,1,NA,"GO:0001649",26,"FALSE"
"216","control","1","oxidative phosphorylation",-0.333333333333333,2,0.666666666666667,0.577350269189626,0.866025403784439,1,0.96255561303705,1,NA,"GO:0006119",47,"FALSE"
"217","control","1","pentose-phosphate shunt",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.762388791115693,1,NA,"GO:0006098",47,"FALSE"
"218","control","1","peptidyl-lysine modification",-1.01963122968452,6,2,2.64575131106459,1.3228756555323,3.66666666666667,0.049753709325518,1,NA,"GO:0018205",9,"FALSE"
"219","control","1","pericardium development",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.723554888868967,1,NA,"GO:0060039",47,"FALSE"
"220","control","1","peroxisome organization",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.775670959326673,1,NA,"GO:0007031",47,"FALSE"
"221","control","1","phospholipid biosynthetic process",-0.723308333814107,5,1.66666666666667,2.88675134594813,1.73205080756888,2,0.0753586264121521,1,NA,"GO:0008654",16,"FALSE"
"222","control","1","pigment accumulation",0,0,0,0,NA,0,1,1,NA,"GO:0043476",747,"FALSE"
"223","control","1","pigmentation",0.666666666666667,3,1,0,0,0.333333333333333,0.818101173488647,1,NA,"GO:0043473",20,"FALSE"
"224","control","1","pinocytosis",0,0,0,0,NA,0,1,1,NA,"GO:0006907",747,"FALSE"
"225","control","1","placenta development",-0.194987500240385,4,1.33333333333333,1.52752523165195,1.14564392373896,1.33333333333333,0.874814764131112,1,NA,"GO:0001890",93,"FALSE"
"226","control","1","plasma membrane tubulation",0,0,0,0,NA,0,1,1,NA,"GO:0097320",747,"FALSE"
"227","control","1","platelet-derived growth factor receptor signaling pathway",0,0,0,0,NA,0,1,1,NA,"GO:0048008",747,"FALSE"
"228","control","1","polyamine biosynthetic process",0,0,0,0,NA,0,1,1,NA,"GO:0006596",747,"FALSE"
"229","control","1","polyamine metabolic process",0,0,0,0,NA,0,1,1,NA,"GO:0006595",747,"FALSE"
"230","control","1","polyol metabolic process",0.107309364962453,5,1.66666666666667,2.08166599946613,1.24899959967968,1,0.169481013874068,1,NA,"GO:0019751",180,"FALSE"
"231","control","1","positive regulation by host of viral process",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.789913134399181,1,NA,"GO:0044794",47,"FALSE"
"232","control","1","positive regulation of GTPase activity",-0.666666666666668,4,1.33333333333333,1.15470053837925,0.866025403784439,2.33333333333333,0.50031919249593,1,NA,"GO:0043547",20,"FALSE"
"233","control","1","positive regulation of amide metabolic process",-0.584962500721157,4,1.33333333333333,1.52752523165195,1.14564392373896,2,0.388659764602945,1,NA,"GO:0034250",22,"FALSE"
"234","control","1","positive regulation of axonogenesis",-0.666666666666667,0,0,0,NA,0.666666666666667,0.808211169357277,1,NA,"GO:0050772",20,"FALSE"
"235","control","1","positive regulation of cell projection organization",0.0566416671474373,10,3.33333333333333,1.52752523165195,0.458257569495584,3,0.845560381903507,1,NA,"GO:0031346",306,"FALSE"
"236","control","1","positive regulation of cellular component biogenesis",0.0701889953132193,18,6,3.46410161513775,0.577350269189626,5,0.44709897244396,1,NA,"GO:0044089",241,"FALSE"
"237","control","1","positive regulation of epithelial to mesenchymal transition",0.861654166907053,3,1,1,1,0,0.465324711441274,1,NA,"GO:0010718",12,"FALSE"
"238","control","1","positive regulation of establishment of protein localization",-0.421011468611265,6,2,1.73205080756888,0.866025403784439,2.66666666666667,0.577059360091861,1,NA,"GO:1904951",33,"FALSE"
"239","control","1","positive regulation of kinase activity",0.0741308071121493,14,4.66666666666667,1.15470053837925,0.247435829652697,4.33333333333333,0.998996034399578,1,NA,"GO:0033674",241,"FALSE"
"240","control","1","positive regulation of microtubule polymerization",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.8736771022608,1,NA,"GO:0031116",47,"FALSE"
"241","control","1","positive regulation of nervous system development",-0.282665635518317,6,2,1.73205080756888,0.866025403784439,2.33333333333333,0.805508957557435,1,NA,"GO:0051962",57,"FALSE"
"242","control","1","positive regulation of neurogenesis",-0.251629167387823,5,1.66666666666667,1.15470053837925,0.692820323027551,2,0.800466526121442,1,NA,"GO:0050769",66,"FALSE"
"243","control","1","positive regulation of neuron migration",0,0,0,0,NA,0,1,1,NA,"GO:2001224",747,"FALSE"
"244","control","1","positive regulation of protein localization",-0.612167089239041,9,3,2.64575131106459,0.881917103688197,4.33333333333333,0.116415222883745,1,NA,"GO:1903829",21,"FALSE"
"245","control","1","positive regulation of stem cell population maintenance",0.52832083357372,2,0.666666666666667,1.15470053837925,1.73205080756888,0,0.641225575735395,1,NA,"GO:1902459",26,"FALSE"
"246","control","1","positive regulation of viral process",0,0,0,0,NA,0,1,1,NA,"GO:0048524",747,"FALSE"
"247","control","1","postsynapse organization",-0.138345833092948,3,1,1,1,1,0.862292643927462,1,NA,"GO:0099173",137,"FALSE"
"248","control","1","proteasome-mediated ubiquitin-dependent protein catabolic process",-0.366511891183637,11,3.66666666666667,2.51661147842358,0.686348585024614,4.33333333333333,0.351055790072417,1,NA,"GO:0043161",42,"FALSE"
"249","control","1","protein autophosphorylation",-0.52832083357372,4,1.33333333333333,1.15470053837925,0.866025403784439,2,0.640998394637664,1,NA,"GO:0046777",26,"FALSE"
"250","control","1","protein folding",-1.05664166714744,1,0.333333333333333,0.577350269189626,1.73205080756888,1.66666666666667,0.173314414883513,1,NA,"GO:0006457",9,"FALSE"
"251","control","1","protein glycosylation",-0.471679166426281,2,0.666666666666667,1.15470053837925,1.73205080756888,1,0.636264788152871,1,NA,"GO:0006486",28,"FALSE"
"252","control","1","protein lipidation",-0.666666666666667,0,0,0,NA,0.666666666666667,0.799087515235328,1,NA,"GO:0006497",20,"FALSE"
"253","control","1","protein localization to nucleus",-0.38400103114835,8,2.66666666666667,1.15470053837925,0.433012701892219,3.66666666666667,0.750773555205941,1,NA,"GO:0034504",38,"FALSE"
"254","control","1","protein neddylation",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.852189782586669,1,NA,"GO:0045116",47,"FALSE"
"255","control","1","protein polyubiquitination",-0.666666666666668,4,1.33333333333333,1.15470053837925,0.866025403784439,2.33333333333333,0.514707488414425,1,NA,"GO:0000209",20,"FALSE"
"256","control","1","protein targeting",-0.666666666666667,4,1.33333333333333,0.577350269189626,0.433012701892219,2.66666666666667,0.550806464128533,1,NA,"GO:0006605",20,"FALSE"
"257","control","1","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",0,0,0,0,NA,0,1,1,NA,"GO:0043328",747,"FALSE"
"258","control","1","protein-DNA complex subunit organization",-0.389975000480772,4,1.33333333333333,1.52752523165195,1.14564392373896,1.66666666666667,0.610843494868541,1,NA,"GO:0071824",38,"FALSE"
"259","control","1","protein-containing complex localization",0.138345833092948,6,2,1,0.5,1.66666666666667,0.818673464107105,1,NA,"GO:0031503",137,"FALSE"
"260","control","1","proton motive force-driven ATP synthesis",0,1,0.333333333333333,0.577350269189626,1.73205080756888,0.333333333333333,1,1,NA,"GO:0015986",747,"FALSE"
"261","control","1","proton transmembrane transport",-0.666666666666667,1,0.333333333333333,0.577350269189626,1.73205080756888,1,0.773574284826889,1,NA,"GO:1902600",20,"FALSE"
"262","control","1","pteridine-containing compound metabolic process",0,0,0,0,NA,0,1,1,NA,"GO:0042558",747,"FALSE"
"263","control","1","quinone biosynthetic process",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.449213757288503,1,NA,"GO:1901663",47,"FALSE"
"264","control","1","rRNA metabolic process",-0.421011468611265,6,2,1.73205080756888,0.866025403784439,2.66666666666667,0.546563920678502,1,NA,"GO:0016072",33,"FALSE"
"265","control","1","receptor metabolic process",0.52832083357372,3,1,1,1,0.333333333333333,0.630350045589886,1,NA,"GO:0043112",26,"FALSE"
"266","control","1","regulation of ATP metabolic process",0,3,1,1.73205080756888,1.73205080756888,0.666666666666667,0.781735742379971,1,NA,"GO:1903578",747,"FALSE"
"267","control","1","regulation of ATP-dependent activity",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.937276732794622,1,NA,"GO:0043462",47,"FALSE"
"268","control","1","regulation of DNA repair",-0.194987500240385,4,1.33333333333333,0.577350269189626,0.433012701892219,1.66666666666667,0.97235931537387,1,NA,"GO:0006282",93,"FALSE"
"269","control","1","regulation of DNA replication",-0.861654166907053,1,0.333333333333333,0.577350269189626,1.73205080756888,1.33333333333333,0.486368499688669,1,NA,"GO:0006275",12,"FALSE"
"270","control","1","regulation of G0 to G1 transition",0.333333333333333,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0.718159313837944,1,NA,"GO:0070316",47,"FALSE"
"271","control","1","regulation of GTPase activity",-0.38400103114835,8,2.66666666666667,2.08166599946613,0.7806247497998,3.33333333333333,0.32460594443708,1,NA,"GO:0043087",38,"FALSE"
"272","control","1","regulation of Golgi organization",0,0,0,0,NA,0,1,1,NA,"GO:1903358",747,"FALSE"
"273","control","1","regulation of actin filament organization",-0.282665635518318,7,2.33333333333333,2.08166599946613,0.892142571199771,2.33333333333333,0.367627202128749,1,NA,"GO:0110053",57,"FALSE"
"274","control","1","regulation of actin filament-based process",-0.471679166426281,9,3,2.64575131106459,0.881917103688197,3.33333333333333,0.318001874855862,1,NA,"GO:0032970",28,"FALSE"
"275","control","1","regulation of anatomical structure size",-0.440642698295787,8,2.66666666666667,1.52752523165195,0.57282196186948,3.66666666666667,0.383703824142694,1,NA,"GO:0090066",32,"FALSE"
"276","control","1","regulation of apoptotic signaling pathway",0.269118307352535,13,4.33333333333333,1.52752523165195,0.352505822688911,3.33333333333333,0.67992402900925,1,NA,"GO:2001233",63,"FALSE"
"277","control","1","regulation of autophagosome maturation",0,0,0,0,NA,0,1,1,NA,"GO:1901096",747,"FALSE"
"278","control","1","regulation of autophagy",-1,4,1.33333333333333,1.52752523165195,1.14564392373896,3,0.12670962837743,1,NA,"GO:0010506",11,"FALSE"
"279","control","1","regulation of binding",-0.245655198055402,9,3,1,0.333333333333333,3.66666666666667,0.852886487579489,1,NA,"GO:0051098",71,"FALSE"
"280","control","1","regulation of carbohydrate metabolic process",-0.282665635518318,5,1.66666666666667,2.08166599946613,1.24899959967968,1.66666666666667,0.380342165581627,1,NA,"GO:0006109",57,"FALSE"
"281","control","1","regulation of cell cycle phase transition",-0.912321864722068,7,2.33333333333333,2.51661147842358,1.07854777646725,4,0.0343091173097074,1,NA,"GO:1901987",12,"FALSE"
"282","control","1","regulation of cell division",-0.723308333814104,2,0.666666666666667,0.577350269189626,0.866025403784439,1.66666666666667,0.676191477726171,1,NA,"GO:0051302",16,"FALSE"
"283","control","1","regulation of cell growth",-0.352964563017856,8,2.66666666666667,0.577350269189626,0.21650635094611,3.66666666666667,0.736416694515716,1,NA,"GO:0001558",42,"FALSE"
"284","control","1","regulation of cell morphogenesis",-0.194987500240385,7,2.33333333333333,2.3094010767585,0.989743318610787,2.33333333333333,0.615978941395475,1,NA,"GO:0022604",93,"FALSE"
"285","control","1","regulation of cell-substrate adhesion",-0.0566416671474373,6,2,1,0.5,2,0.930248994343221,1,NA,"GO:0010810",306,"FALSE"
"286","control","1","regulation of cell-substrate junction assembly",-0.666666666666667,0,0,0,NA,0.666666666666667,0.846179117002828,1,NA,"GO:0090109",20,"FALSE"
"287","control","1","regulation of cell-substrate junction organization",-0.666666666666667,1,0.333333333333333,0.577350269189626,1.73205080756888,1,0.834610758393999,1,NA,"GO:0150116",20,"FALSE"
