CTL_A ENU_A CTL_B ENU_B CTL_C ENU_C
ENSG00000112319 630 440 774 561 603 813
ENSG00000112335 2323 1990 2813 2338 1915 2392
ENSG00000112339 993 776 1297 1073 931 1140
ENSG00000112343 460 370 493 315 423 584
ENSG00000112357 80 68 97 79 93 83
ENSG00000112365 123 105 124 87 95 124
ENSG00000112367 392 276 451 329 342 430
ENSG00000112378 3705 3252 4309 3931 1952 2583
ENSG00000112406 294 268 395 354 202 271
ENSG00000112414 1543 1062 1340 869 1225 1661
ENSG00000112419 1534 1228 2129 1493 817 1482
ENSG00000112425 34 37 48 35 57 62
ENSG00000112473 4843 3943 5786 4641 5394 7241
ENSG00000112511 1415 1186 1944 1781 736 852
ENSG00000112514 2278 1873 2596 1873 1862 2016
ENSG00000112531 3281 2367 3615 2560 2064 3169
ENSG00000112541 996 871 1437 1183 671 744
ENSG00000112561 108 57 128 76 96 143
ENSG00000112576 1083 762 1187 599 802 938
ENSG00000112578 183 197 235 130 320 412
ENSG00000112584 929 739 1084 787 713 897
ENSG00000112592 180 145 224 119 212 213
ENSG00000112619 30 27 33 29 29 29
ENSG00000112624 220 199 346 270 254 291
ENSG00000112640 1232 947 1529 1093 941 1242
ENSG00000112651 198 180 322 221 284 338
ENSG00000112655 9554 7808 11237 8227 8174 11198
ENSG00000112658 996 781 1156 689 1325 1610
ENSG00000112659 631 656 951 674 561 802
ENSG00000112667 278 222 266 194 303 343
ENSG00000112679 284 188 370 219 208 328
ENSG00000112685 632 597 868 643 639 830
ENSG00000112695 1214 1050 1442 1048 1134 1292
ENSG00000112697 24266 17936 28413 19666 9118 13203
ENSG00000112699 239 180 304 201 246 297
ENSG00000112701 1514 1184 1691 1332 1314 1636
ENSG00000112715 6990 5878 5984 4368 6824 10494
ENSG00000112739 1046 743 1266 834 1308 1917
ENSG00000112742 92 95 116 77 129 197
ENSG00000112759 256 178 259 242 117 211
ENSG00000112763 1244 1003 1569 991 1064 1568
ENSG00000112769 9695 6227 5996 2700 11561 14267
ENSG00000112773 971 903 929 990 454 656
ENSG00000112787 686 509 742 578 397 473
ENSG00000112851 3034 2345 3821 2951 2782 3989
ENSG00000112852 14 12 7 2 47 39
ENSG00000112855 454 314 542 367 622 647
ENSG00000112874 106 97 117 89 133 204
ENSG00000112877 20 18 17 18 18 21
ENSG00000112893 3163 2641 3440 2761 1504 2500
ENSG00000112902 2496 2557 3219 2686 1683 2753
ENSG00000112936 4584 4249 4825 3859 153 668
ENSG00000112941 467 433 593 371 434 582
ENSG00000112972 613 381 977 479 698 1036
ENSG00000112977 5982 5088 7721 5337 4336 4718
ENSG00000112983 618 458 697 516 683 945
ENSG00000112984 356 259 548 425 509 1071
ENSG00000112992 1601 1362 2201 1473 1334 1733
ENSG00000112996 262 211 241 205 229 307
ENSG00000113013 1935 1491 2229 1542 3961 5200
ENSG00000113048 1071 757 1285 1049 851 1109
ENSG00000113068 801 602 852 634 792 865
ENSG00000113070 43 47 33 14 73 86
ENSG00000113083 24552 22940 19407 18166 18405 25221
ENSG00000113108 136 82 128 100 226 253
ENSG00000113119 82 64 90 93 79 54
ENSG00000113140 65356 57805 66683 53244 65371 82384
ENSG00000113141 887 795 1113 824 1120 1504
ENSG00000113161 706 465 1021 647 784 1067
ENSG00000113163 521 382 620 575 501 681
ENSG00000113194 1029 832 1137 873 1222 1574
ENSG00000113205 7 3 2 1 7 4
ENSG00000113211 5 6 12 6 10 20
ENSG00000113212 33 21 26 13 46 51
ENSG00000113231 38 25 42 34 20 24
ENSG00000113240 188 185 253 189 195 259
ENSG00000113248 10 10 8 5 23 35
ENSG00000113269 407 363 403 260 395 493
ENSG00000113272 139 121 168 138 225 258
ENSG00000113273 744 579 741 512 764 988
ENSG00000113282 1961 1578 2353 1812 2194 2776
ENSG00000113296 13 25 9 13 20 5
ENSG00000113300 578 505 717 514 548 767
ENSG00000113312 556 443 675 516 847 993
ENSG00000113318 206 168 209 170 292 323
ENSG00000113319 880 727 1108 805 507 829
ENSG00000113328 5625 4358 7434 6320 2231 2658
ENSG00000113356 131 101 93 77 71 99
ENSG00000113360 1077 862 1297 844 1062 1574
ENSG00000113361 2006 1644 2568 1980 2118 2664
ENSG00000113368 321 273 410 252 433 847
ENSG00000113369 576 528 709 580 778 1061
ENSG00000113384 1637 1346 1903 1557 1379 1653
ENSG00000113387 1223 920 1337 984 1409 1752
ENSG00000113389 520 387 248 238 652 692
ENSG00000113391 449 423 473 370 468 581
ENSG00000113396 9 3 7 8 29 48
ENSG00000113407 1610 1334 1884 1212 3514 4768
ENSG00000113441 551 528 802 510 659 999
ENSG00000113448 1604 1250 1463 1189 817 1262
ENSG00000113456 1004 746 1247 840 588 863
ENSG00000113460 744 448 938 477 464 644
ENSG00000113504 56 70 29 13 170 203
ENSG00000113522 861 841 1194 918 1029 1364
ENSG00000113552 446 341 432 384 338 411
ENSG00000113558 4088 3253 5229 3663 3672 4362
ENSG00000113569 556 415 642 402 463 720
ENSG00000113575 1650 1320 1906 1266 1960 2475
ENSG00000113578 436 308 666 344 229 328
ENSG00000113580 1872 1435 2149 1541 1589 2174
ENSG00000113583 1531 1248 1696 1251 1277 1774
ENSG00000113593 265 229 350 183 325 458
ENSG00000113594 759 575 975 585 685 1133
ENSG00000113595 337 289 386 300 244 330
ENSG00000113597 194 163 253 145 232 291
ENSG00000113615 1351 1172 1570 1209 1083 1379
ENSG00000113621 1694 1322 1883 1378 1257 1751
ENSG00000113638 196 157 277 216 175 213
ENSG00000113643 1593 1192 1895 1420 1694 2168
ENSG00000113645 255 186 190 113 119 223
ENSG00000113648 1688 1527 2186 1461 1931 2371
ENSG00000113649 1059 797 1365 820 942 1483
ENSG00000113657 5479 3917 9119 4794 4496 6448
ENSG00000113658 1637 1124 1841 1294 1070 1504
ENSG00000113712 6782 5413 8526 6430 5581 7068
ENSG00000113716 927 831 1151 856 874 1037
ENSG00000113719 5586 4807 6917 5159 4025 5469
ENSG00000113721 11318 9163 13388 9723 7352 10654
ENSG00000113732 1801 1383 2194 1766 1812 2244
ENSG00000113734 140 151 201 142 125 147
ENSG00000113739 11547 11016 11721 10681 8916 11587
ENSG00000113742 654 465 782 559 421 598
ENSG00000113758 3982 3305 5066 3014 5999 7010
ENSG00000113761 150 121 169 132 179 206
ENSG00000113790 69 76 90 73 78 107
ENSG00000113805 496 436 583 327 401 385
ENSG00000113810 1028 803 1468 1033 1030 1977
ENSG00000113811 469 429 644 400 394 583
ENSG00000113812 414 343 483 324 429 569
ENSG00000113838 208 160 230 159 168 201
ENSG00000113845 867 747 1076 781 1012 1271
ENSG00000113851 336 249 384 293 278 393
ENSG00000113916 590 486 721 517 710 969
ENSG00000113946 6 6 12 7 2 0
ENSG00000113966 27 27 51 21 39 59
ENSG00000113971 1032 741 1324 950 802 1233
ENSG00000114019 5147 4108 6087 4177 5069 5731
ENSG00000114021 254 226 295 194 417 469
ENSG00000114023 645 474 704 532 476 452
ENSG00000114026 234 234 314 181 235 267
ENSG00000114030 1237 906 1360 935 1167 1635
ENSG00000114054 418 345 506 318 605 720
ENSG00000114062 1611 1151 1799 1227 1365 1943
ENSG00000114098 489 373 617 389 434 602
ENSG00000114107 134 109 192 90 120 161
ENSG00000114115 30 20 27 18 150 95
ENSG00000114120 946 763 952 764 1316 1806
ENSG00000114125 826 689 948 726 795 809
ENSG00000114126 875 963 930 801 425 636
ENSG00000114127 1494 1100 1787 1283 920 1357
ENSG00000114166 123 91 121 78 122 142
ENSG00000114209 513 352 504 374 461 642
ENSG00000114251 8875 7527 8579 5250 11610 14773
ENSG00000114268 285 253 277 178 273 320
ENSG00000114270 3255 2680 2406 1593 4317 6166
ENSG00000114302 1139 966 1432 991 988 1310
ENSG00000114315 3 4 2 1 3 5
ENSG00000114316 1062 782 1339 881 1012 1220
ENSG00000114331 1369 1099 1599 1131 1171 1623
ENSG00000114346 978 772 1353 973 560 1161
ENSG00000114353 8018 6746 10380 7127 8087 9550
ENSG00000114354 2518 2218 3249 2392 1879 2797
ENSG00000114378 3 6 13 11 4 3
ENSG00000114383 358 299 411 268 228 272
ENSG00000114388 220 164 235 194 175 214
ENSG00000114391 5408 4002 6081 4710 5538 5782
ENSG00000114395 171 141 223 142 141 185
ENSG00000114405 32 10 35 40 47 69
ENSG00000114416 2907 2236 3770 3048 2733 3287
ENSG00000114423 245 212 270 226 305 335
ENSG00000114439 1519 1330 1833 1646 1171 1493
ENSG00000114446 414 363 627 403 392 613
ENSG00000114450 995 771 1113 722 803 1150
ENSG00000114473 50 39 67 26 60 79
ENSG00000114480 4103 3378 5362 4691 2944 4132
ENSG00000114491 226 202 283 175 269 390
ENSG00000114503 1307 982 1445 1052 1522 1766
ENSG00000114520 376 320 433 242 416 558
ENSG00000114529 125 101 105 43 111 155
ENSG00000114544 388 348 491 378 310 400
ENSG00000114554 6044 4866 8471 5384 3484 5251
ENSG00000114573 2061 1683 2957 2154 1139 1609
ENSG00000114626 527 457 657 521 347 445
ENSG00000114631 9 20 15 14 58 53
ENSG00000114638 213 124 45 20 0 6
ENSG00000114648 323 245 343 224 360 480
ENSG00000114650 982 956 1332 954 1150 1421
ENSG00000114654 46 14 37 26 6 22
ENSG00000114670 12 20 14 11 36 30
ENSG00000114686 927 671 922 674 1112 1390
ENSG00000114698 67 57 21 45 70 125
ENSG00000114735 358 308 396 335 461 547
ENSG00000114737 61 67 64 58 40 49
ENSG00000114738 278 305 384 254 325 369
ENSG00000114739 26 29 22 32 17 24
ENSG00000114742 569 489 710 495 548 789
ENSG00000114744 392 318 459 301 361 503
ENSG00000114745 901 751 1132 840 728 917
ENSG00000114767 61 67 60 53 182 184
ENSG00000114770 274 225 324 208 483 698
ENSG00000114779 376 459 487 388 357 411
ENSG00000114784 497 360 565 403 385 489
ENSG00000114786 29 1 0 24 1 43
ENSG00000114790 31 17 19 12 21 32
ENSG00000114796 276 279 345 260 198 274
ENSG00000114841 125 85 124 102 100 105
ENSG00000114850 6131 5063 6772 4688 3841 5273
ENSG00000114853 935 811 1224 914 543 719
ENSG00000114854 5 3 2 0 4 6
ENSG00000114857 1010 877 1190 893 1431 2219
ENSG00000114859 57 32 67 69 30 39
ENSG00000114861 796 690 912 665 902 1162
ENSG00000114867 8214 6706 9880 6793 10194 13408
ENSG00000114902 1049 769 1282 925 735 976
ENSG00000114904 245 180 257 178 178 296
ENSG00000114923 22 33 41 24 60 54
ENSG00000114933 141 99 155 104 165 235
ENSG00000114942 4232 3423 4705 3636 4066 4566
ENSG00000114948 109 105 70 59 304 527
ENSG00000114956 536 467 651 455 631 777
ENSG00000114978 1158 973 1300 944 1003 1331
ENSG00000114982 1225 1039 1900 1366 986 1254
ENSG00000114988 434 397 544 426 391 567
ENSG00000114993 276 216 327 199 224 293
ENSG00000114999 912 823 1235 832 755 941
ENSG00000115008 20 16 11 4 64 22
ENSG00000115009 5 2 1 0 2 0
ENSG00000115020 819 643 810 701 697 989
ENSG00000115042 395 216 413 284 229 280
ENSG00000115053 4480 3472 5309 3507 8030 10479
ENSG00000115073 1183 1066 1532 1056 783 892
ENSG00000115084 1431 1172 1648 1438 998 1440
ENSG00000115091 5070 3769 5735 3510 6490 8638
ENSG00000115107 2720 2319 2889 1995 1410 2221
ENSG00000115109 1334 1158 1616 1139 939 1502
ENSG00000115128 505 447 565 421 556 651
ENSG00000115129 263 207 283 189 479 554
ENSG00000115137 61 59 65 59 42 73
ENSG00000115145 1154 851 1435 1108 713 956
ENSG00000115159 507 409 508 369 613 843
ENSG00000115163 56 55 84 54 60 113
ENSG00000115170 953 775 1059 839 854 1354
ENSG00000115183 870 612 822 658 850 1009
ENSG00000115204 959 807 1100 890 646 766
ENSG00000115207 845 700 1116 785 708 906
ENSG00000115211 437 488 638 473 542 677
ENSG00000115216 1763 1493 2058 1539 2095 2537
ENSG00000115226 319 256 378 305 128 168
ENSG00000115232 192 136 226 175 443 677
ENSG00000115233 530 486 666 373 940 1157
ENSG00000115234 2447 2104 2871 2089 2362 2715
ENSG00000115239 312 229 363 293 288 394
ENSG00000115241 1211 932 1576 1076 1536 1839
ENSG00000115255 36 36 36 39 27 22
ENSG00000115257 51 48 98 67 23 32
ENSG00000115266 9 17 21 19 31 43
ENSG00000115267 55 52 93 62 42 40
ENSG00000115268 8325 7456 10694 8198 5045 5557
ENSG00000115271 22 17 24 15 10 12
ENSG00000115274 300 186 345 228 318 384
ENSG00000115275 1875 1580 2293 1810 1339 1810
ENSG00000115282 411 302 591 338 413 462
ENSG00000115286 735 558 989 741 581 646
ENSG00000115289 120 81 140 92 100 135
ENSG00000115295 2127 1828 2783 2179 1245 1629
ENSG00000115306 6760 6022 8286 6338 6860 10396
ENSG00000115307 1202 973 1401 1054 782 1147
ENSG00000115310 16255 12601 19174 13397 20000 26752
ENSG00000115317 318 280 380 358 203 287
ENSG00000115318 1975 1456 2659 1526 1106 1980
ENSG00000115325 466 418 616 452 377 513
ENSG00000115350 364 317 388 257 298 345
ENSG00000115355 2263 1737 2850 2033 1310 2101
ENSG00000115363 537 375 499 290 392 569
ENSG00000115364 452 398 518 365 480 612
ENSG00000115365 1374 1154 1678 1341 1225 1465
ENSG00000115368 469 342 556 380 507 760
ENSG00000115380 8081 6070 6218 4880 5425 8267
ENSG00000115392 146 146 137 84 109 132
ENSG00000115414 134414 124443 115471 84389 335526 333158
ENSG00000115415 2853 2387 3343 2378 3753 4442
ENSG00000115419 2376 1955 2297 1606 2838 3399
ENSG00000115421 234 202 294 223 164 212
ENSG00000115425 56 45 86 44 64 68
ENSG00000115446 396 309 419 353 352 494
ENSG00000115457 23 18 21 13 92 75
ENSG00000115459 196 188 240 174 206 253
ENSG00000115461 203497 165846 185550 119227 189603 194263
ENSG00000115464 2837 2378 3353 2437 2502 3197
ENSG00000115484 2670 2102 3225 2462 2652 3360
ENSG00000115486 913 826 1084 828 718 984
ENSG00000115504 1598 1439 2062 1584 1641 2020
ENSG00000115514 356 284 495 261 386 546
ENSG00000115520 523 399 625 438 484 618
ENSG00000115524 4102 3431 5346 4352 5240 7454
ENSG00000115525 484 326 563 393 344 537
ENSG00000115526 41 40 68 23 90 145
ENSG00000115539 58 63 61 34 228 277
ENSG00000115540 888 677 1035 619 704 1027
ENSG00000115541 404 340 443 303 783 919
ENSG00000115548 855 677 1069 768 824 1305
ENSG00000115556 33 22 30 12 43 39
ENSG00000115561 1505 1265 1828 1335 1668 2135
ENSG00000115568 366 280 393 378 281 353
ENSG00000115594 2378 1446 2163 1467 1229 1606
ENSG00000115598 4 5 7 10 2 3
ENSG00000115604 31 28 27 16 51 54
ENSG00000115641 10469 8204 14800 11726 7930 9753
ENSG00000115648 88 74 79 58 103 83
ENSG00000115649 554 409 617 501 631 729
ENSG00000115652 1201 850 1218 761 892 1157
ENSG00000115657 504 338 439 354 386 494
ENSG00000115661 350 318 529 391 335 392
ENSG00000115677 24983 20257 30614 24094 19055 23577
ENSG00000115685 815 623 1061 676 904 1227
ENSG00000115687 35 23 46 33 86 146
ENSG00000115694 2990 2334 3648 2463 2021 2719
ENSG00000115738 715 593 1171 643 472 483
ENSG00000115750 191 167 283 168 192 317
ENSG00000115756 1021 735 1494 955 495 560
ENSG00000115758 238 185 185 150 1055 1282
ENSG00000115760 2240 1884 2935 1796 1960 2598
ENSG00000115761 316 244 366 276 455 568
ENSG00000115762 1505 1176 1706 1263 1571 2012
ENSG00000115806 2746 2262 3292 2644 2053 2646
ENSG00000115808 534 432 645 522 512 642
ENSG00000115816 392 338 457 369 515 636
ENSG00000115825 1513 1179 1756 1139 1057 1468
ENSG00000115827 333 277 405 334 355 431
ENSG00000115828 60 60 87 40 16 29
ENSG00000115839 2059 1647 2589 1771 1968 2744
ENSG00000115840 253 164 269 157 341 479
ENSG00000115841 84 60 110 47 55 100
ENSG00000115844 21 18 16 14 5 8
ENSG00000115866 1888 1525 2285 1619 1511 1971
ENSG00000115875 825 601 947 585 1086 1359
ENSG00000115884 340 297 358 271 388 482
ENSG00000115902 213 154 191 121 817 1079
ENSG00000115904 1567 1211 1990 1512 1104 1476
ENSG00000115919 126 94 120 70 127 121
ENSG00000115935 1084 849 1312 819 541 787
ENSG00000115942 229 184 289 210 223 356
ENSG00000115944 1548 1123 1523 1238 1161 1308
ENSG00000115946 106 117 153 64 263 301
ENSG00000115947 200 184 275 170 250 345
ENSG00000115963 8465 5637 9207 5903 8971 12675
ENSG00000115966 787 552 1000 758 597 696
ENSG00000115970 449 356 502 355 378 643
ENSG00000115977 315 277 367 245 262 371
ENSG00000115993 1102 952 956 589 1445 1674
ENSG00000115998 84 76 100 74 68 109
ENSG00000116001 1090 860 1231 796 1262 1883
ENSG00000116005 4394 4018 4918 4877 3037 4427
ENSG00000116016 22127 16164 18957 12697 18320 31197
ENSG00000116017 880 674 931 758 591 814
ENSG00000116030 1574 1156 1809 1233 1777 2139
ENSG00000116032 157 170 185 146 46 73
ENSG00000116039 10 4 20 5 13 6
ENSG00000116044 3312 2361 3793 2726 2803 3648
ENSG00000116062 1258 950 1447 1136 1030 1524
ENSG00000116095 294 218 307 217 220 261
ENSG00000116096 101 77 109 98 153 219
ENSG00000116106 595 457 545 329 1482 1771
ENSG00000116117 950 847 1126 897 658 1042
ENSG00000116120 386 356 479 285 646 827
ENSG00000116127 268 238 333 200 304 385
ENSG00000116128 184 152 203 111 301 311
ENSG00000116132 528 494 400 334 586 653
ENSG00000116133 1108 804 1799 992 1793 2523
ENSG00000116138 573 472 630 423 338 511
ENSG00000116151 32 30 26 21 37 44
ENSG00000116157 109 79 131 72 38 51
ENSG00000116161 620 551 820 497 896 1219
ENSG00000116171 2893 2194 3513 2436 2548 3338
ENSG00000116191 1972 1427 2020 1735 1780 2526
ENSG00000116198 458 374 571 400 499 633
ENSG00000116199 1194 1034 1400 989 1215 1597
ENSG00000116205 78 80 100 60 95 126
ENSG00000116209 3143 2802 3923 3190 2998 3760
ENSG00000116212 814 682 1166 753 715 880
ENSG00000116213 224 190 267 183 235 255
ENSG00000116221 944 796 1180 957 1025 1128
ENSG00000116237 1941 1709 2248 1398 1870 2479
ENSG00000116251 3348 2905 3811 2845 3397 3706
ENSG00000116260 81248 68372 77364 56168 53535 70471
ENSG00000116266 505 399 516 418 558 663
ENSG00000116273 560 469 610 486 594 714
ENSG00000116285 8922 7828 8224 6501 6784 9684
ENSG00000116288 2233 1767 2504 1570 2579 3065
ENSG00000116299 18 22 16 7 32 35
ENSG00000116337 1709 1453 1967 1730 1352 1519
ENSG00000116350 1257 1059 1647 1202 1195 1578
ENSG00000116353 259 202 240 172 210 301
ENSG00000116396 37 47 17 26 48 20
ENSG00000116406 1375 1130 1386 952 1039 1417
ENSG00000116455 294 222 291 133 432 496
ENSG00000116459 1608 1352 1939 1380 1780 2185
ENSG00000116473 1350 1111 1346 1121 1112 1490
ENSG00000116478 1501 1323 1919 1360 1711 2277
ENSG00000116489 2592 2019 3014 2032 2578 3194
ENSG00000116497 562 444 702 527 482 637
ENSG00000116514 233 177 329 267 135 179
ENSG00000116521 1013 817 1298 889 893 1051
ENSG00000116525 226 206 237 146 263 312
ENSG00000116539 1473 1231 1792 1312 1140 1755
ENSG00000116560 1695 1379 1870 1070 2878 3898
ENSG00000116574 297 258 166 190 447 653
ENSG00000116580 892 762 1150 819 797 1134
ENSG00000116584 1338 1104 1498 928 2961 4056
ENSG00000116586 371 317 468 320 426 497
ENSG00000116604 1665 1366 1980 1681 1290 1814
ENSG00000116641 2791 2117 3126 1846 2987 4011
ENSG00000116649 1003 894 1062 687 1055 1229
ENSG00000116661 5 29 21 30 13 18
ENSG00000116663 43 41 55 57 52 51
ENSG00000116667 189 165 218 195 232 270
ENSG00000116668 74 45 68 58 46 91
ENSG00000116670 424 371 511 369 303 428
ENSG00000116675 26 66 13 19 9 7
ENSG00000116678 511 471 854 802 171 224
ENSG00000116679 1596 1246 1563 1316 1444 1986
ENSG00000116685 2361 1963 2662 2163 1660 1904
ENSG00000116688 1805 1489 2219 1592 1876 2416
ENSG00000116691 131 145 170 135 202 206
ENSG00000116698 909 750 1158 777 930 1281
ENSG00000116701 19 10 12 5 12 10
ENSG00000116704 1932 1372 2154 1405 750 1180
ENSG00000116711 25 20 25 8 73 80
ENSG00000116717 1063 870 1145 704 1379 1539
ENSG00000116729 6686 5646 6917 5118 5233 6686
ENSG00000116731 690 535 795 443 595 916
ENSG00000116741 127 120 87 114 338 357
ENSG00000116747 574 440 675 515 664 840
ENSG00000116750 313 207 340 282 234 445
ENSG00000116752 235 194 308 219 328 377
ENSG00000116754 2264 1760 2567 1769 2826 3998
ENSG00000116761 43 23 50 31 53 95
ENSG00000116771 4 6 9 3 3 9
ENSG00000116774 1383 1112 1289 775 1252 1889
ENSG00000116783 7 3 31 5 7 12
ENSG00000116786 2438 1966 3282 2715 1290 1554
ENSG00000116791 580 449 688 494 573 834
ENSG00000116793 345 331 414 230 306 436
ENSG00000116809 485 408 642 437 488 646
ENSG00000116815 11 15 39 10 12 11
ENSG00000116830 109 103 130 87 179 291
ENSG00000116857 972 750 1028 858 830 1156
ENSG00000116863 325 271 361 256 347 385
ENSG00000116871 4150 3256 5055 3256 3722 4253
ENSG00000116874 177 186 211 228 136 192
ENSG00000116883 101 84 88 59 79 109
ENSG00000116885 51 39 78 32 48 90
ENSG00000116898 434 383 508 386 580 620
ENSG00000116903 473 365 516 326 296 418
ENSG00000116906 832 622 1014 824 533 777
ENSG00000116918 567 426 640 395 649 958
ENSG00000116922 188 179 224 153 173 210
ENSG00000116954 402 338 462 404 327 466
ENSG00000116957 278 277 389 275 277 365
ENSG00000116962 8285 6485 7780 5422 7431 11404
ENSG00000116977 901 686 946 686 935 1188
ENSG00000116984 982 834 1123 782 879 1177
ENSG00000116991 51 47 70 29 377 336
ENSG00000117000 423 348 455 385 396 531
ENSG00000117010 40 46 48 24 17 34
ENSG00000117020 1749 1329 2008 1748 1017 1416
ENSG00000117036 287 238 292 216 289 365
ENSG00000117054 359 254 387 187 463 620
ENSG00000117069 22 36 29 16 17 6
ENSG00000117114 9 16 8 8 50 118
ENSG00000117118 540 432 720 473 525 670
ENSG00000117122 192 119 198 125 44 62
ENSG00000117133 257 213 306 207 433 574
ENSG00000117139 2582 1987 3058 2242 2419 3099
ENSG00000117143 5108 4172 6637 3673 1737 2831
ENSG00000117151 650 497 660 603 368 514
ENSG00000117152 45 75 1 9 159 95
ENSG00000117153 511 413 715 455 460 650
ENSG00000117155 293 186 265 177 401 502
ENSG00000117174 463 444 440 356 533 725
ENSG00000117222 374 281 431 337 252 354
ENSG00000117226 610 495 701 432 470 678
ENSG00000117228 776 571 939 627 987 1343
ENSG00000117242 86 103 112 70 175 273
ENSG00000117245 152 118 182 149 51 85
ENSG00000117262 121 110 120 120 111 135
ENSG00000117266 48 25 12 12 2 11
ENSG00000117280 134 136 140 94 190 278
ENSG00000117281 3 6 14 6 7 15
ENSG00000117289 7796 7745 8538 9945 4883 6919
ENSG00000117298 14319 11352 19275 13151 9392 13737
ENSG00000117305 731 620 946 758 555 753
ENSG00000117308 481 335 718 442 354 423
ENSG00000117318 272 234 271 303 612 528
ENSG00000117335 5499 4487 7162 5655 3054 4948
ENSG00000117360 408 366 519 421 549 672
ENSG00000117362 1728 1602 2204 1760 1301 1660
ENSG00000117385 4231 3652 4547 3883 3686 4833
ENSG00000117394 23557 19776 26372 20434 11925 19093
ENSG00000117395 671 558 764 505 944 1327
ENSG00000117399 233 238 376 275 420 745
ENSG00000117408 309 247 352 218 397 431
ENSG00000117410 1037 863 1034 792 767 1029
ENSG00000117411 1764 1456 1931 1371 1281 1464
ENSG00000117419 687 549 801 532 613 748
ENSG00000117425 28 4 9 16 12 5
ENSG00000117448 905 747 1179 890 647 828
ENSG00000117450 4662 3744 6568 4203 4381 5991
ENSG00000117461 85 44 39 25 149 132
ENSG00000117472 5 3 12 0 3 0
ENSG00000117475 379 300 460 352 393 571
ENSG00000117479 166 138 205 208 121 168
ENSG00000117481 213 179 254 193 196 234
ENSG00000117500 2634 2070 2960 2151 1369 2058
ENSG00000117505 1117 976 1398 992 1055 1283
ENSG00000117519 4372 3222 5206 3120 4278 5889
ENSG00000117523 3918 3247 5007 3195 3432 5162
ENSG00000117525 18723 14693 20679 12086 19494 33010
ENSG00000117528 924 763 1087 813 944 1111
ENSG00000117533 798 574 892 756 343 513
ENSG00000117543 296 237 372 284 331 412
ENSG00000117569 117 85 154 91 147 183
ENSG00000117586 244 216 285 135 484 573
ENSG00000117592 4112 3528 4773 3368 5209 5737
ENSG00000117593 250 194 297 187 327 449
ENSG00000117594 1 1 7 2 7 3
ENSG00000117597 149 114 121 128 178 232
ENSG00000117600 21 16 8 11 111 96
ENSG00000117602 514 410 514 399 273 388
ENSG00000117614 467 339 592 506 612 717
ENSG00000117616 603 539 782 554 799 1146
ENSG00000117620 585 474 651 602 511 747
ENSG00000117625 285 269 318 251 274 380
ENSG00000117632 2156 1676 2537 1684 2195 3140
ENSG00000117640 1122 917 1355 985 710 1000
ENSG00000117643 280 164 368 199 302 438
ENSG00000117650 58 60 90 105 90 203
ENSG00000117676 35 43 49 27 15 27
ENSG00000117682 654 574 749 612 615 803
ENSG00000117691 645 576 765 654 386 452
ENSG00000117697 210 231 271 224 247 384
ENSG00000117713 2066 1618 2449 1567 1915 2640
ENSG00000117724 290 293 402 303 709 1465
ENSG00000117748 262 226 310 261 212 302
ENSG00000117751 465 394 485 391 633 714
ENSG00000117758 966 862 1096 779 925 1102
ENSG00000117791 190 127 280 205 40 86
ENSG00000117859 735 693 916 743 948 1173
ENSG00000117862 803 781 934 810 875 1129
ENSG00000117868 2699 2194 3121 2361 2562 3608
ENSG00000117877 42 29 52 19 72 69
ENSG00000117899 1010 857 1110 885 978 1624
ENSG00000117906 1589 1318 1772 1624 1514 2131
ENSG00000117984 5360 4735 6100 5242 4535 5958
ENSG00000118007 1185 1071 1472 1041 1362 1890
ENSG00000118046 1159 999 1460 1097 976 1152
ENSG00000118058 1649 1430 2055 1796 1282 1938
ENSG00000118096 201 166 275 170 208 215
ENSG00000118137 2 2 0 3 0 2
ENSG00000118162 95 80 101 70 105 140
ENSG00000118181 3058 2731 3318 2591 3405 3740
ENSG00000118193 86 79 79 57 110 221
ENSG00000118194 68 51 71 38 23 48
ENSG00000118197 165 147 205 168 181 201
ENSG00000118200 1514 1119 1545 1209 1223 1637
ENSG00000118217 956 808 1173 792 867 1195
ENSG00000118242 6 5 3 3 11 12
ENSG00000118246 366 239 419 281 431 573
ENSG00000118257 6374 4758 8257 6118 4895 5176
ENSG00000118260 746 607 839 540 719 993
ENSG00000118263 1125 989 1146 844 1278 1907
ENSG00000118292 126 80 111 120 78 92
ENSG00000118363 959 762 1071 759 913 1386
ENSG00000118369 337 207 344 260 330 433
ENSG00000118402 92 112 148 95 113 170
ENSG00000118412 252 234 325 210 276 435
ENSG00000118418 134 111 150 76 186 238
ENSG00000118420 66 41 64 25 53 74
ENSG00000118454 675 422 764 534 451 537
ENSG00000118473 1734 1390 1771 1306 1024 1808
ENSG00000118482 1123 949 1438 1277 1027 1323
ENSG00000118495 1867 1514 2208 1781 874 1538
ENSG00000118496 349 300 322 234 536 624
ENSG00000118503 714 528 663 349 603 578
ENSG00000118507 28 23 45 24 29 53
ENSG00000118508 889 840 1008 724 852 956
ENSG00000118515 1305 1131 1051 748 1918 2256
ENSG00000118518 396 282 464 315 537 589
ENSG00000118523 15080 13900 13891 10779 14083 21589
ENSG00000118526 962 918 816 846 1145 1525
ENSG00000118564 1706 1394 2193 1901 820 1194
ENSG00000118579 445 343 505 380 352 397
ENSG00000118596 228 191 197 232 214 276
ENSG00000118600 167 142 143 111 144 235
ENSG00000118620 95 87 95 72 74 87
ENSG00000118640 22 20 29 22 9 15
