CTL_A ENU_A CTL_B ENU_B CTL_C ENU_C
ENSG00000007866 1400 1039 1843 1099 1339 1941
ENSG00000007923 701 577 711 450 1000 1327
ENSG00000007933 163 76 178 79 40 50
ENSG00000007944 61 57 115 99 27 47
ENSG00000008018 1200 1037 1476 938 1713 2012
ENSG00000008056 69 64 92 96 24 29
ENSG00000008083 516 417 764 595 487 639
ENSG00000008086 118 79 89 64 77 132
ENSG00000008128 113 153 193 130 218 279
ENSG00000008130 954 700 1007 675 802 949
ENSG00000008256 1432 1213 2215 1479 1063 1733
ENSG00000008282 1232 972 1462 1057 938 1453
ENSG00000008283 335 254 461 346 129 181
ENSG00000008294 1987 1601 2330 1720 1734 2331
ENSG00000008300 248 206 187 227 144 206
ENSG00000008311 368 248 508 284 277 468
ENSG00000008324 114 92 154 84 98 129
ENSG00000008382 158 145 212 105 112 151
ENSG00000008394 2384 1928 2601 2015 2265 2931
ENSG00000008405 455 427 573 383 299 416
ENSG00000008441 2574 2142 2933 2328 3056 3444
ENSG00000008513 3231 2193 3365 2224 3515 4770
ENSG00000008517 1872 1177 2530 1169 266 317
ENSG00000008710 5953 5252 6823 5167 4132 6368
ENSG00000008735 14 4 12 14 7 14
ENSG00000008838 1079 955 1363 945 775 1070
ENSG00000008853 511 452 658 438 379 532
ENSG00000008869 455 379 567 422 479 640
ENSG00000008952 3163 2563 3767 3086 2898 3916
ENSG00000008988 8156 6489 9548 7132 6744 7589
ENSG00000009307 14219 11907 17966 14621 10558 13433
ENSG00000009335 2518 1918 2600 1675 2234 2835
ENSG00000009413 1258 1034 1685 1691 870 1208
ENSG00000009694 974 780 1512 745 9 77
ENSG00000009724 1 9 5 3 8 9
ENSG00000009780 76 64 86 73 81 98
ENSG00000009830 394 332 413 280 289 438
ENSG00000009844 892 698 915 628 921 1161
ENSG00000009954 2069 1616 2529 1712 2112 2743
ENSG00000010017 873 701 1012 837 887 1062
ENSG00000010030 5 5 18 10 3 3
ENSG00000010072 149 114 169 96 123 196
ENSG00000010165 416 363 498 350 458 530
ENSG00000010219 244 177 287 236 200 273
ENSG00000010244 2469 1755 2770 1788 2401 3410
ENSG00000010256 3330 2773 4220 2977 2847 3531
ENSG00000010270 872 688 1151 717 606 750
ENSG00000010278 1572 1458 2098 1827 885 1496
ENSG00000010292 1042 963 1512 1108 1242 1867
ENSG00000010295 728 487 804 624 510 612
ENSG00000010310 25 30 31 16 26 48
ENSG00000010318 31 20 31 44 31 40
ENSG00000010322 2579 2283 3215 2482 2066 2566
ENSG00000010361 183 122 226 156 135 170
ENSG00000010404 2337 2106 2690 2050 1681 1880
ENSG00000010438 45 28 30 27 50 50
ENSG00000010539 86 96 135 76 72 121
ENSG00000010610 243 182 158 67 367 428
ENSG00000010626 150 116 208 196 93 126
ENSG00000010704 320 320 427 381 374 550
ENSG00000010803 813 624 907 616 552 652
ENSG00000010810 741 687 867 758 941 1085
ENSG00000010818 1029 923 1352 953 574 875
ENSG00000011007 459 422 476 356 593 856
ENSG00000011009 597 454 604 408 425 568
