CTL_A ENU_A CTL_B ENU_B CTL_C ENU_C
ENSG00000000003 19 22 17 19 19 22
ENSG00000000419 28 25 28 26 34 37
ENSG00000000457 4 5 5 5 5 5
ENSG00000000460 3 3 3 3 3 5
ENSG00000000971 10 12 12 15 14 24
ENSG00000001036 90 98 93 109 169 178
ENSG00000001084 81 83 82 89 94 107
ENSG00000001167 11 10 10 10 10 13
ENSG00000001460 7 8 9 9 4 5
ENSG00000001461 110 125 128 139 83 87
ENSG00000001497 6 7 6 7 13 13
ENSG00000001617 38 34 40 30 45 45
ENSG00000001626 2 2 1 1 1 2
ENSG00000001629 41 39 39 44 31 34
ENSG00000001630 60 55 66 69 67 76
ENSG00000001631 16 15 18 20 14 18
ENSG00000002016 6 7 7 7 6 8
ENSG00000002330 97 105 101 106 83 62
ENSG00000002549 46 49 44 39 82 86
ENSG00000002586 818 901 887 992 1063 1133
ENSG00000002745 37 44 29 32 11 16
ENSG00000002746 0 0 0 0 1 1
ENSG00000002822 21 19 23 22 27 27
ENSG00000002834 591 563 672 587 643 662
ENSG00000002919 14 14 18 12 16 16
ENSG00000002933 232 95 297 186 28 42
ENSG00000003056 75 76 81 83 104 110
ENSG00000003096 6 4 6 6 13 12
ENSG00000003137 9 10 10 8 1 2
ENSG00000003249 23 23 21 18 15 15
ENSG00000003393 13 13 13 15 15 16
ENSG00000003400 1 1 0 0 0 1
ENSG00000003402 12 11 13 11 9 10
ENSG00000003436 76 70 76 85 81 95
ENSG00000003509 14 15 14 15 20 18
ENSG00000003756 50 50 53 49 63 78
ENSG00000003987 1 1 1 0 1 1
ENSG00000003989 99 92 75 73 97 94
ENSG00000004059 129 129 134 137 170 160
ENSG00000004139 2 3 1 1 8 7
ENSG00000004142 105 96 104 105 104 103
ENSG00000004399 113 107 137 124 56 66
ENSG00000004455 25 25 25 23 41 38
ENSG00000004478 22 24 23 20 37 34
ENSG00000004487 50 46 50 51 60 61
ENSG00000004534 42 44 45 42 72 86
ENSG00000004660 4 5 7 7 5 6
