"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",3,5,3.7e-24,-0.584962500721156,0.3396
"ribosome biogenesis","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6055
"rRNA metabolic process","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7771
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",2,5,3.7e-24,-1,0.1346
"regulation of response to DNA damage stimulus","C1_05_24",1,3,3.7e-24,-1,0.2078
"establishment of protein localization to organelle","C1_05_24",6,5,3.7e-24,0.222392421336448,0.8242
"macroautophagy","C1_05_24",3,3,3.7e-24,0,1
"regulation of chromosome organization","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5823
"Golgi vesicle transport","C1_05_24",0,4,3.7e-24,-2.32192809488736,0.0189
"double-strand break repair","C1_05_24",1,3,3.7e-24,-1,0.2044
"histone modification","C1_05_24",2,5,3.7e-24,-1,0.1541
"sister chromatid segregation","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6308
"DNA replication","C1_05_24",3,3,3.7e-24,0,1
"chromosome segregation","C1_05_24",4,4,3.7e-24,0,1
"mitochondrial gene expression","C1_05_24",2,2,3.7e-24,0,1
"nucleocytoplasmic transport","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2759
"nuclear transport","C1_05_24",1,3,3.7e-24,-1,0.2119
"regulation of DNA repair","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5917
"peptidyl-lysine modification","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6523
"protein targeting","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6615
"cytoplasmic translation","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7264
"regulation of autophagy","C1_05_24",1,3,3.7e-24,-1,0.1882
"signal transduction in response to DNA damage","C1_05_24",2,2,3.7e-24,0,1
"regulation of intracellular transport","C1_05_24",3,3,3.7e-24,0,1
"protein localization to nucleus","C1_05_24",3,3,3.7e-24,0,1
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",2,2,3.7e-24,0,1
"telomere maintenance","C1_05_24",2,2,3.7e-24,0,1
"cell cycle checkpoint signaling","C1_05_24",2,2,3.7e-24,0,1
"regulation of protein modification by small protein conjugation or removal","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.626
"cellular respiration","C1_05_24",1,3,3.7e-24,-1,0.2151
"cellular component disassembly","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8172
"nuclear chromosome segregation","C1_05_24",6,3,3.7e-24,0.807354922057604,0.2748
"regulation of protein stability","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8025
"regulation of cell cycle phase transition","C1_05_24",2,5,3.7e-24,-1,0.1251
"regulation of protein catabolic process","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7948
"response to endoplasmic reticulum stress","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6152
"vesicle organization","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6463
"mitochondrial respiratory chain complex assembly","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6391
"DNA-templated transcription elongation","C1_05_24",0,1,3.7e-24,-1,0.4158
"mitochondrial transport","C1_05_24",2,2,3.7e-24,0,1
"establishment of organelle localization","C1_05_24",4,4,3.7e-24,0,1
"regulation of intracellular protein transport","C1_05_24",2,2,3.7e-24,0,1
"response to UV","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1782
"RNA localization","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7303
"response to topologically incorrect protein","C1_05_24",4,2,3.7e-24,0.736965594166206,0.2832
"organelle fission","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.634
"non-membrane-bounded organelle assembly","C1_05_24",0,4,3.7e-24,-2.32192809488736,0.0179
"protein polyubiquitination","C1_05_24",3,2,3.7e-24,0.415037499278844,0.737
"methylation","C1_05_24",3,3,3.7e-24,0,1
"phospholipid biosynthetic process","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5245
"oxidative phosphorylation","C1_05_24",2,2,3.7e-24,0,1
"establishment of protein localization to membrane","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5341
"in utero embryonic development","C1_05_24",0,4,3.7e-24,-2.32192809488736,0.0171
"vacuole organization","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7349
"nuclear-transcribed mRNA catabolic process","C1_05_24",1,1,3.7e-24,0,1
"protein folding","C1_05_24",2,2,3.7e-24,0,1
"DNA conformation change","C1_05_24",1,1,3.7e-24,0,1
"regulation of chromosome segregation","C1_05_24",2,2,3.7e-24,0,1
"regulation of apoptotic signaling pathway","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6641
"cell cycle G2/M phase transition","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5548
"vacuolar transport","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7354
