"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","MMEA9_E3",29,34,3.7e-24,-0.222392421336448,0.3896
"ribosome biogenesis","MMEA9_E3",19,22,3.7e-24,-0.201633861169651,0.5225
"rRNA metabolic process","MMEA9_E3",12,20,3.7e-24,-0.691877704637668,0.0391
"proteasome-mediated ubiquitin-dependent protein catabolic process","MMEA9_E3",27,32,3.7e-24,-0.237039197300849,0.3697
"regulation of response to DNA damage stimulus","MMEA9_E3",20,23,3.7e-24,-0.192645077942396,0.5359
"establishment of protein localization to organelle","MMEA9_E3",31,35,3.7e-24,-0.169925001442312,0.5059
"macroautophagy","MMEA9_E3",21,25,3.7e-24,-0.241008099503795,0.4234
"regulation of chromosome organization","MMEA9_E3",17,20,3.7e-24,-0.222392421336448,0.4955
"Golgi vesicle transport","MMEA9_E3",12,22,3.7e-24,-0.823122237915921,0.0148
"double-strand break repair","MMEA9_E3",22,24,3.7e-24,-0.120294233717712,0.6863
"histone modification","MMEA9_E3",31,34,3.7e-24,-0.129283016944966,0.6105
"sister chromatid segregation","MMEA9_E3",21,21,3.7e-24,0,1
"DNA replication","MMEA9_E3",19,23,3.7e-24,-0.263034405833794,0.4064
"chromosome segregation","MMEA9_E3",24,31,3.7e-24,-0.356143810225275,0.183
"mitochondrial gene expression","MMEA9_E3",12,13,3.7e-24,-0.106915203916512,0.7908
"nucleocytoplasmic transport","MMEA9_E3",19,25,3.7e-24,-0.37851162325373,0.2063
"nuclear transport","MMEA9_E3",14,23,3.7e-24,-0.678071905112638,0.029
"regulation of DNA repair","MMEA9_E3",13,17,3.7e-24,-0.362570079384708,0.2969
"peptidyl-lysine modification","MMEA9_E3",22,29,3.7e-24,-0.383328639551506,0.149
"protein targeting","MMEA9_E3",21,26,3.7e-24,-0.295455883526171,0.306
"cytoplasmic translation","MMEA9_E3",4,13,3.7e-24,-1.48542682717024,0.0043
"regulation of autophagy","MMEA9_E3",23,27,3.7e-24,-0.222392421336448,0.4419
"signal transduction in response to DNA damage","MMEA9_E3",9,14,3.7e-24,-0.584962500721156,0.1256
"regulation of intracellular transport","MMEA9_E3",24,25,3.7e-24,-0.0565835283663674,0.8479
"protein localization to nucleus","MMEA9_E3",18,21,3.7e-24,-0.211504105193712,0.5146
"microtubule cytoskeleton organization involved in mitosis","MMEA9_E3",10,13,3.7e-24,-0.347923303420307,0.4088
"telomere maintenance","MMEA9_E3",9,11,3.7e-24,-0.263034405833794,0.5606
"cell cycle checkpoint signaling","MMEA9_E3",9,13,3.7e-24,-0.485426827170242,0.2353
"regulation of protein modification by small protein conjugation or removal","MMEA9_E3",11,17,3.7e-24,-0.584962500721156,0.0884
"cellular respiration","MMEA9_E3",9,18,3.7e-24,-0.925999418556223,0.0166
"cellular component disassembly","MMEA9_E3",22,32,3.7e-24,-0.52083216330144,0.0425
"nuclear chromosome segregation","MMEA9_E3",15,25,3.7e-24,-0.700439718141092,0.0235
"regulation of protein stability","MMEA9_E3",16,25,3.7e-24,-0.612976876890753,0.0501
"regulation of cell cycle phase transition","MMEA9_E3",21,30,3.7e-24,-0.494764691749578,0.0628
"regulation of protein catabolic process","MMEA9_E3",13,25,3.7e-24,-0.893084796083488,0.0071
"response to endoplasmic reticulum stress","MMEA9_E3",14,20,3.7e-24,-0.485426827170242,0.1254
"vesicle organization","MMEA9_E3",26,25,3.7e-24,0.0544477840223765,0.9223
"mitochondrial respiratory chain complex assembly","MMEA9_E3",6,9,3.7e-24,-0.514573172829758,0.2849
"DNA-templated transcription elongation","MMEA9_E3",7,12,3.7e-24,-0.700439718141092,0.1045
"mitochondrial transport","MMEA9_E3",9,14,3.7e-24,-0.584962500721156,0.1454
"establishment of organelle localization","MMEA9_E3",28,30,3.7e-24,-0.0962153152593032,0.712
"regulation of intracellular protein transport","MMEA9_E3",10,16,3.7e-24,-0.628031222613042,0.0853
"response to UV","MMEA9_E3",7,11,3.7e-24,-0.584962500721156,0.1801
"RNA localization","MMEA9_E3",14,14,3.7e-24,0,1
"response to topologically incorrect protein","MMEA9_E3",13,14,3.7e-24,-0.0995356735509144,0.7942
"organelle fission","MMEA9_E3",30,36,3.7e-24,-0.255257055242075,0.2918
"non-membrane-bounded organelle assembly","MMEA9_E3",31,26,3.7e-24,0.245112497836531,0.386
"protein polyubiquitination","MMEA9_E3",11,18,3.7e-24,-0.662965012722429,0.0543
"methylation","MMEA9_E3",21,26,3.7e-24,-0.295455883526171,0.297
"phospholipid biosynthetic process","MMEA9_E3",8,18,3.7e-24,-1.07800251200127,0.0061
"oxidative phosphorylation","MMEA9_E3",6,12,3.7e-24,-0.893084796083488,0.0401
"establishment of protein localization to membrane","MMEA9_E3",15,19,3.7e-24,-0.321928094887362,0.364
"in utero embryonic development","MMEA9_E3",13,25,3.7e-24,-0.893084796083488,0.008
"vacuole organization","MMEA9_E3",14,16,3.7e-24,-0.180572245641821,0.621
"nuclear-transcribed mRNA catabolic process","MMEA9_E3",11,9,3.7e-24,0.263034405833794,0.61
"protein folding","MMEA9_E3",11,13,3.7e-24,-0.222392421336448,0.5984
"DNA conformation change","MMEA9_E3",9,8,3.7e-24,0.15200309344505,0.8593
"regulation of chromosome segregation","MMEA9_E3",5,9,3.7e-24,-0.736965594166206,0.1358
"regulation of apoptotic signaling pathway","MMEA9_E3",25,26,3.7e-24,-0.0544477840223765,0.8467
"cell cycle G2/M phase transition","MMEA9_E3",16,12,3.7e-24,0.387023123109247,0.3086
"vacuolar transport","MMEA9_E3",9,12,3.7e-24,-0.37851162325373,0.4018
"response to ionizing radiation","MMEA9_E3",5,12,3.7e-24,-1.11547721741994,0.0244
"cellular response to UV","MMEA9_E3",9,7,3.7e-24,0.321928094887362,0.5726
"regulation of binding","MMEA9_E3",18,26,3.7e-24,-0.506959988719883,0.0834
"nucleic acid transport","MMEA9_E3",13,12,3.7e-24,0.106915203916512,0.8839
"RNA transport","MMEA9_E3",8,13,3.7e-24,-0.637429920615292,0.1285
"ribonucleoprotein complex subunit organization","MMEA9_E3",8,16,3.7e-24,-0.917537839808027,0.0246
"regulation of DNA replication","MMEA9_E3",7,10,3.7e-24,-0.459431618637297,0.2977
"ribose phosphate metabolic process","MMEA9_E3",31,32,3.7e-24,-0.0443941193584534,0.8623
"proton motive force-driven ATP synthesis","MMEA9_E3",9,6,3.7e-24,0.514573172829758,0.3018
"ribonucleotide metabolic process","MMEA9_E3",18,31,3.7e-24,-0.752072486556414,0.0087
