"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",5,5,3.7e-24,0,1
"ribosome biogenesis","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2979
"rRNA metabolic process","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.1144
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",6,5,3.7e-24,0.222392421336448,0.8249
"regulation of response to DNA damage stimulus","C1_05_24",5,3,3.7e-24,0.584962500721156,0.4069
"establishment of protein localization to organelle","C1_05_24",5,6,3.7e-24,-0.222392421336448,0.7039
"macroautophagy","C1_05_24",3,3,3.7e-24,0,1
"regulation of chromosome organization","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5971
"Golgi vesicle transport","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6403
"double-strand break repair","C1_05_24",3,3,3.7e-24,0,1
"histone modification","C1_05_24",5,4,3.7e-24,0.263034405833794,0.806
"sister chromatid segregation","C1_05_24",3,3,3.7e-24,0,1
"DNA replication","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7859
"chromosome segregation","C1_05_24",6,5,3.7e-24,0.222392421336448,0.8179
"mitochondrial gene expression","C1_05_24",2,2,3.7e-24,0,1
"nucleocytoplasmic transport","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.0757
"nuclear transport","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2848
"regulation of DNA repair","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6122
"peptidyl-lysine modification","C1_05_24",7,4,3.7e-24,0.678071905112638,0.3401
"protein targeting","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2868
"cytoplasmic translation","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5854
"regulation of autophagy","C1_05_24",4,4,3.7e-24,0,1
"signal transduction in response to DNA damage","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7315
"regulation of intracellular transport","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6415
"protein localization to nucleus","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7821
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",2,2,3.7e-24,0,1
"telomere maintenance","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5611
"cell cycle checkpoint signaling","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1474
"regulation of protein modification by small protein conjugation or removal","C1_05_24",3,3,3.7e-24,0,1
"cellular respiration","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7507
"cellular component disassembly","C1_05_24",3,5,3.7e-24,-0.584962500721156,0.3175
"nuclear chromosome segregation","C1_05_24",1,3,3.7e-24,-1,0.1905
"regulation of protein stability","C1_05_24",3,3,3.7e-24,0,1
"regulation of cell cycle phase transition","C1_05_24",3,5,3.7e-24,-0.584962500721156,0.335
"regulation of protein catabolic process","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6529
"response to endoplasmic reticulum stress","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5824
"vesicle organization","C1_05_24",0,4,3.7e-24,-2.32192809488736,0.0186
"mitochondrial respiratory chain complex assembly","C1_05_24",1,1,3.7e-24,0,1
"DNA-templated transcription elongation","C1_05_24",2,2,3.7e-24,0,1
"mitochondrial transport","C1_05_24",3,2,3.7e-24,0.415037499278844,0.734
"establishment of organelle localization","C1_05_24",4,4,3.7e-24,0,1
"regulation of intracellular protein transport","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5326
"response to UV","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5595
"RNA localization","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7338
"response to topologically incorrect protein","C1_05_24",4,2,3.7e-24,0.736965594166206,0.2964
"organelle fission","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.643
"non-membrane-bounded organelle assembly","C1_05_24",4,4,3.7e-24,0,1
"protein polyubiquitination","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5269
"methylation","C1_05_24",3,3,3.7e-24,0,1
"phospholipid biosynthetic process","C1_05_24",3,3,3.7e-24,0,1
"oxidative phosphorylation","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6875
"establishment of protein localization to membrane","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5279
"in utero embryonic development","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.3073
"vacuole organization","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7793
"nuclear-transcribed mRNA catabolic process","C1_05_24",2,1,3.7e-24,0.584962500721156,0.636
"protein folding","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5239
"DNA conformation change","C1_05_24",1,1,3.7e-24,0,1
"regulation of chromosome segregation","C1_05_24",3,1,3.7e-24,1,0.4111
"regulation of apoptotic signaling pathway","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6464
"cell cycle G2/M phase transition","C1_05_24",2,2,3.7e-24,0,1
"vacuolar transport","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1846
"response to ionizing radiation","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7229
"cellular response to UV","C1_05_24",0,1,3.7e-24,-1,0.4452
"regulation of binding","C1_05_24",4,4,3.7e-24,0,1
"nucleic acid transport","C1_05_24",2,2,3.7e-24,0,1
"RNA transport","C1_05_24",1,1,3.7e-24,0,1
"ribonucleoprotein complex subunit organization","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.0807
"regulation of DNA replication","C1_05_24",2,2,3.7e-24,0,1
"ribose phosphate metabolic process","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2607
"proton motive force-driven ATP synthesis","C1_05_24",0,1,3.7e-24,-1,0.416
"ribonucleotide metabolic process","C1_05_24",3,5,3.7e-24,-0.584962500721156,0.3557
"telomere organization","C1_05_24",2,2,3.7e-24,0,1
"cellular response to topologically incorrect protein","C1_05_24",0,1,3.7e-24,-1,0.4426
"Golgi organization","C1_05_24",0,1,3.7e-24,-1,0.414
"ribonucleoprotein complex assembly","C1_05_24",3,3,3.7e-24,0,1
"cellular nitrogen compound catabolic process","C1_05_24",3,6,3.7e-24,-0.807354922057604,0.1985
"negative regulation of phosphorus metabolic process","C1_05_24",3,5,3.7e-24,-0.584962500721156,0.3319
"heterocycle catabolic process","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.094
"mitochondrial membrane organization","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6313
"regulation of protein-containing complex assembly","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6476
"positive regulation of cellular component biogenesis","C1_05_24",1,5,3.7e-24,-1.58496250072116,0.0281
"response to oxidative stress","C1_05_24",6,4,3.7e-24,0.485426827170242,0.4586
"regulation of supramolecular fiber organization","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8067
"positive regulation of protein localization","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.0707
"positive regulation of cell projection organization","C1_05_24",4,4,3.7e-24,0,1
"negative regulation of transferase activity","C1_05_24",2,2,3.7e-24,0,1
"autophagy of mitochondrion","C1_05_24",1,1,3.7e-24,0,1
"positive regulation of amide metabolic process","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5445
"chromatin remodeling","C1_05_24",5,4,3.7e-24,0.263034405833794,0.807
