"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",6,5,3.7e-24,0.222392421336448,0.8306
"ribosome biogenesis","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.593
"rRNA metabolic process","C1_05_24",0,3,3.7e-24,-2,0.0399
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.683
"regulation of response to DNA damage stimulus","C1_05_24",3,3,3.7e-24,0,1
"establishment of protein localization to organelle","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6809
"macroautophagy","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6516
"regulation of chromosome organization","C1_05_24",7,3,3.7e-24,1,0.211
"Golgi vesicle transport","C1_05_24",3,3,3.7e-24,0,1
"double-strand break repair","C1_05_24",5,3,3.7e-24,0.584962500721156,0.4053
"histone modification","C1_05_24",2,5,3.7e-24,-1,0.1267
"sister chromatid segregation","C1_05_24",3,3,3.7e-24,0,1
"DNA replication","C1_05_24",0,3,3.7e-24,-2,0.0437
"chromosome segregation","C1_05_24",6,4,3.7e-24,0.485426827170242,0.4755
"mitochondrial gene expression","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7213
"nucleocytoplasmic transport","C1_05_24",5,3,3.7e-24,0.584962500721156,0.4137
"nuclear transport","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8017
"regulation of DNA repair","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1029
"peptidyl-lysine modification","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2889
"protein targeting","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2682
"cytoplasmic translation","C1_05_24",0,1,3.7e-24,-1,0.4189
"regulation of autophagy","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5987
"signal transduction in response to DNA damage","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7319
"regulation of intracellular transport","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6516
"protein localization to nucleus","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5993
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",1,1,3.7e-24,0,1
"telomere maintenance","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6783
"cell cycle checkpoint signaling","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.0893
"regulation of protein modification by small protein conjugation or removal","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6134
"cellular respiration","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7474
"cellular component disassembly","C1_05_24",4,4,3.7e-24,0,1
"nuclear chromosome segregation","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.1139
"regulation of protein stability","C1_05_24",3,3,3.7e-24,0,1
"regulation of cell cycle phase transition","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.633
"regulation of protein catabolic process","C1_05_24",0,3,3.7e-24,-2,0.0385
