"","condition","cycle","region","mean","sd","observed.variant.requirement.met"
"1","control",1,"haplosufficient",0.174598261695574,0.405319041742547,"FALSE"
"2","control",1,"haploinsufficient",-0.441400707156074,0.479920530963843,"FALSE"
"3","control",9,"haplosufficient",0.149251376632889,0.240000613788647,"FALSE"
"4","control",9,"haploinsufficient",-0.140005681880819,0.539357104720101,"FALSE"
"5","enu",3,"haplosufficient",0.033963124724491,0.216827980954592,"FALSE"
"6","enu",3,"haploinsufficient",-0.142173675544281,0.224017064545057,"TRUE"
"7","enu",6,"haplosufficient",0.00129401410687354,0.0650019819482864,"TRUE"
"8","enu",6,"haploinsufficient",-0.124809714469457,0.0518722501552799,"TRUE"
"9","enu",9,"haplosufficient",-0.149106632233127,0.0723247715638909,"TRUE"
"10","enu",9,"haploinsufficient",-0.232061466359324,0.145072619756117,"TRUE"
