"region","condition.x","median_log2fc","median.obs.mut","condition.y","pvalue","pvalue_symbol","GO.ID","genes","gene_length","pvalue.adjust"
"Wnt signaling pathway","enu",0,1,"enu",0.994476586577631,NA,"GO:0016055","51384/23072/1856/3675/54972/54623/1951/5310/80199/54903/57658/440193/25937/6591/54764/25960/55789/8452/27122/5218/65125/10076/1001/7089/259266/2263/387/55593/57560/55737/4040/2255/1459/998/2011/23291/54475/10979/9620/2239/79960/1906/5663/6932/2932/1540/51701/9209/25805/25/6663/25776/10042/9978/23002/5494/51527/57680/4776/6789/23394/54994/1457/55612/6907/331/2010/64840/2254/8312/7249/6299/7976/6422/6788/8840/51366/79816/166/898/51588/7040/57664/5518/2116/2931/26959/857/7472/2887/2737/9275/10927/7091/23189/1855/84445/6468/80351/22943/219771/7473/1277/64750/9368/90410/4790/1363/8532/595/4192/65981/2735/81029/1432/6206/8724/4188/5754/9037/5515/1452/51185/84100/27031/51421/3836/7474/10297/3485/9736/6801/6382/25806/607/4139/3065/10459/79971/252839/4811/59349/23184/6794/7128/81847/5311/7320/27130/1958/23240/8434/80114/5204/4035/79809/4693/6659/6662/650/83786/5300/23499/6597/348/54795/9113/4772/261734/5562/84327/1455/406/8932/7482/79577/4038/51444/337867/324/29969/22881/55681/1910/5879/9314/153090/23213/10413/23168/5495/9101/2247/51176/1950/144165/55716/7090/80349/7041/85407/1453/3487/63977/351/128272/1952/7483/9580/9686/5868/27303/8994/6423/85409/10146/23500/7162/1956/2719/340419/4851/6934/26524/85458/2308/1456/5800/1909/83439/3087/1601/4929/90268/79705/23043/147495/65062/8324/2776/7074/8321/64897/6497/57822/1896/57805/267/1857/4041/8613/5563/84328/374946/57216/27185/2487/151195/7855/57326/90780/166336/6259/28999/59343/8323/115908/91147/65268/7415/51339/57447/10023/154810/29117/8945/3611/123169/26585/4088/51704/1613/64359/3489/92162/54949/1642/1499/3516/8313/80319/4920/53944/284654/9839/5881/1501/55031/1000/26108/4163/4300/5728/5499/5916/81839/8658/3728/57674/8322/1649/8607/23399/2300/8325/3090/10009/79718/152573/56998/2262/85474/2535/169200/387914/23401/6657/6478/2131/10159/25987/10082/10856/84133/9241/83999/80139/9968/139285/5071/4919/527/51741/283149/129293/4286/130574/55182/9863/130612/8326/120892/9679/6477/55959/7088/6714/147906/2870/1500/8861/9646/57154/164284/115701/2869/1460/10399/55366/100113407/147699/1454/30851/1654/8629/2297",376,1
"actin filament organization","enu",0,1,"enu",0.719881542102345,NA,"GO:0007015","55971/10344/85477/8522/22902/6050/9168/8452/822/395/2006/7984/51474/9564/55761/26999/10787/63916/22998/1496/10565/387/6093/5217/57704/998/8440/9948/87/10979/23332/55160/119/6624/1739/5063/88/832/10529/10411/55604/3693/2195/54434/2017/118/57091/55616/79822/5829/6548/64857/7430/10580/3717/25/8829/387680/9647/23616/11078/9463/10278/5358/28984/11151/79767/23406/29108/10391/7082/6422/9639/23370/79816/5296/136319/4233/23242/8976/29999/3984/7046/23189/7016/9124/6387/5216/84687/7126/57482/23603/59341/10094/4739/221692/8936/6722/9037/1809/1627/10096/6711/55704/7456/5341/7840/829/9181/10459/5999/3925/11133/7139/1490/9270/54942/7043/5357/51019/10174/5290/644150/800/11113/57580/6385/29993/7408/8195/11034/3397/83543/7429/3092/5880/4430/55930/84952/29767/54857/51429/10095/9535/9026/9113/1729/8500/85415/23647/51763/84327/10810/23075/9645/56907/9475/80206/10677/64780/29109/23325/50853/3936/5879/80774/57471/274/10006/7111/81873/85462/9873/408/5962/51332/10097/10152/29766/55435/57619/283431/54509/81624/8477/9051/7168/585/55114/85464/4542/83872/7170/10456/58/375/23671/339768/90102/9353/5295/10788/5921/23500/93663/2041/357/30011/1730/55909/203228/2934/22921/221061/120/5058/90952/10435/226/5756/2241/2059/9050/133746/130271/51571/55740/389/7273/56776/133522/90550/123720/9530/4643/673/4690/114822/11013/10163/57477/286527/55607/50848/70/146206/7791/2909/84221/57731/50944/126820/10092/129446/29765/9938/56203/25802/10109/23122/5584/5580/27236/2150/253260/134549/10395/79778/9897/94134/1073/3636/382/123016/7248/79933/7184/4640/4088/201191/4645/7171/84940/148170/64223/165904/5881/9788/1901/5581/5734/596/11346/171024/27289/253725/57175/1072/54961/29984/6712/8557/253980/65108/22843/10458/4642/391/5074/2314/2885/5339/100533183/144347/91663/3059/5062/100287171/359845/55243/71/10634/5071/4771/116985/90668/256949/83715/57698/51466/4646/961/2316/2764/6714/6840/4644/6709/6281/81553/4641/89848/23607/1902/7169/51734/2475/830/64423/199/5987/84501/7114/2013/79729/283/57026/10093/10552/348110/57553/11344/342184/85358/55845/79585",366,1
"cell growth","enu",0,1,"enu",0.987323744922032,NA,"GO:0016049","6405/3475/51265/5048/54879/6792/728642/9043/56920/672/7869/2137/3479/22902/56981/2273/7414/999/65078/3371/23338/23327/9564/1535/23105/26999/131566/9150/11054/56848/9423/6416/5588/57609/26153/387/5590/6857/8692/51447/10235/998/7224/51009/9175/7251/2023/10371/10512/79960/4133/1906/83737/634/1785/22999/23011/6595/3320/54437/2932/9706/2017/6790/9962/84678/393/8425/6548/79594/4897/57556/7042/10013/57715/3326/23411/25/8829/84861/1399/51199/10668/623/7528/57446/23394/1457/22850/4092/5716/5931/9767/58189/4682/51760/80208/23678/6422/8725/7040/5802/1954/5518/59284/54555/57817/3249/2931/136319/221927/23242/3984/7046/6456/1855/6387/5532/81621/7473/84687/8153/27346/1410/1982/65981/1027/8437/51147/56994/5467/8936/6722/10591/7422/9037/1839/5515/604/7474/5361/1154/27086/1981/150465/57669/3676/57142/2335/3488/60676/28956/10459/5997/5999/8643/6195/6794/9928/8828/6446/6696/22954/79109/53335/8835/51193/7852/3624/1031/5393/8239/1026/6662/23767/23769/23499/6597/6049/440275/54617/1032/10038/2258/23677/348/684/23025/10439/10298/23404/83667/55558/5538/4131/3021/9826/6860/9201/23111/694/84722/4803/79577/85004/91/10505/2016/183/5270/3300/11143/4686/4856/9373/9856/6386/84259/10413/5607/56924/102/80031/51196/8482/84162/144165/9746/84298/84260/94/5925/10516/5371/8826/29948/93649/7157/57521/114804/4089/2064/3487/351/207/1382/10500/8751/127833/151835/9686/2803/66000/185/55840/9353/817/6423/1956/3486/55909/9166/1029/203228/5795/55004/9538/9344/3688/9472/1909/6868/6695/2697/1601/3621/223117/55364/9868/8470/201163/118813/29104/6832/4323/221481/26053/978/57805/51094/4882/2539/3275/58191/374946/27185/2487/3020/10611/4487/27302/3490/80128/7048/6259/64769/8314/253260/734/1020/2395/81565/26585/81628/4088/5245/8085/29946/84717/10501/64223/1499/2786/84879/84289/55602/54910/25942/214/55031/9723/11214/203245/23566/22883/84275/596/3913/10201/5916/65059/10276/11007/2810/8636/8877/29882/51379/9699/51320/627/8408/6197/10425/54512/1002/9792/9798/2131/4692/668/64061/6586/1946/3009/10509/10519/5071/5592/51079/55615/5465/7003/57698/1630/51616/51393/10507/116224/123904/123879/440093/340719/64218/54413/147906/5167/55210/50618/10479/57154/2475/3897/2664/659/3304/3303/780/10399/10071/84258/11116/6494/4722/8904/55384/1654/11344/984/112398",410,1
"cell-cell signaling by wnt","enu",0,1,"enu",0.994663277460196,NA,"GO:0198738","51384/23072/1856/3675/54972/54623/1951/5310/80199/54903/57658/440193/25937/6591/54764/25960/55789/8452/27122/5218/65125/10076/1001/7089/259266/2263/387/55593/57560/55737/4040/2255/1459/998/2011/23291/54475/10979/9620/25930/2239/79960/1906/5663/6932/2932/1540/51701/9209/25805/25/6663/25776/10042/9978/23002/5494/51527/57680/4776/6789/23394/54994/1457/55612/6907/331/2010/64840/2254/8312/7249/6299/7976/6422/6788/8840/51366/79816/166/898/51588/7040/57664/5518/2116/2931/26959/857/7472/2887/2737/9275/10927/7091/23189/1855/84445/6468/80351/22943/219771/7473/1277/64750/9368/90410/4790/1363/8532/595/4192/65981/2735/81029/1432/6206/8724/4188/5754/9037/5515/1452/51185/84100/27031/51421/3836/7474/10297/3485/9736/6801/6382/25806/607/4139/3065/10459/79971/252839/4811/59349/23184/6794/7128/81847/5311/7320/27130/1958/23240/8434/80114/5204/4035/79809/4693/6659/6662/650/83786/5300/23499/6597/348/54795/9113/4772/261734/5562/84327/1455/406/8932/7482/79577/4038/51444/337867/324/29969/22881/55681/1910/5879/9314/153090/23213/10413/23168/5495/9101/2247/51176/1950/144165/55716/7090/80349/7041/85407/1453/3487/63977/351/128272/1952/7483/9580/9686/5868/27303/8994/6423/85409/10146/23500/7162/1956/2719/340419/4851/6934/26524/85458/2308/1456/5800/1909/83439/3087/1601/4929/90268/79705/23043/147495/65062/8324/2776/7074/8321/64897/6497/57822/1896/57805/267/1857/4041/8613/5563/84328/374946/57216/27185/2487/151195/7855/57326/90780/166336/6259/28999/59343/8323/115908/91147/65268/7415/51339/57447/10023/154810/29117/8945/3611/123169/26585/4088/51704/1613/64359/3489/92162/54949/1642/1499/3516/8313/80319/4920/53944/284654/9839/5881/1501/55031/1000/26108/4163/4300/5728/5499/5916/81839/8658/3728/57674/8322/1649/8607/23399/2300/8325/3090/10009/79718/152573/56998/2262/85474/2535/169200/387914/23401/6657/6478/2131/10159/25987/10082/10856/84133/9241/83999/80139/9968/139285/5071/4919/527/51741/283149/129293/4286/130574/55182/9863/130612/8326/120892/9679/6477/55959/7088/6714/147906/2870/1500/8861/9646/57154/164284/115701/2869/1460/10399/55366/100113407/147699/1454/30851/1654/8629/2297",377,1
"cell-substrate adhesion","enu",1,1,"enu",0.47598464656949,NA,"GO:0031589","26073/3675/3674/5310/960/7414/2824/395/9341/5291/5318/22998/9748/1308/4287/387/5590/6093/10420/998/9448/87/55679/10979/6480/23332/59277/57662/88/2192/8516/55604/1785/50509/2932/3693/3682/1307/2017/54749/7205/22795/57091/5829/6548/3912/3655/151887/54822/7301/201294/10580/3717/25/8829/1399/9647/11078/5155/6789/55612/182/8874/10232/11151/2294/10391/6422/7264/2267/1021/3696/5054/1842/23189/7016/9806/708/1277/1845/683/9404/4192/23603/2651/4739/5467/11149/6722/56940/7422/604/57669/3676/2335/4811/2633/9928/1490/9270/7010/3204/5328/57580/6385/27076/6239/3397/6237/23499/8910/3791/5880/4289/84962/81/3911/8500/26515/3691/54453/5786/4221/9475/948/967/3679/3915/55901/5879/7094/51754/7057/22801/4091/5861/11117/3685/55435/94/10516/1009/1012/54828/50488/6904/3491/8515/8394/8751/51057/1295/90102/5295/5921/2041/8573/80005/1029/4851/6251/51144/5795/83706/9344/3688/1793/81792/2241/5800/6695/7402/5796/1601/10018/10225/7070/25890/284/8324/123720/7074/4323/673/55698/1896/7791/11093/136227/3678/10630/7412/25992/27185/10109/2199/23122/56999/4241/3673/10085/133584/285613/10395/79778/1020/158326/7248/340706/83700/3611/56672/26585/4088/1398/558/1613/1499/1281/8754/7059/1942/5747/59339/84168/5881/3987/9723/3037/5581/596/5728/30008/253725/10855/29984/1605/79834/3728/8322/2523/340485/55920/811/91663/2049/2621/5613/71/1946/1435/10519/5034/4771/613/4059/81848/29780/4763/2316/6714/1305/55742/6281/9358/8861/25975/916/3897/780/402/2013/3672/11037/89/342184/3690",277,1
"cellular carbohydrate metabolic process","enu",1,1,"enu",0.647439122936968,NA,"GO:0044262","572/9108/5166/5164/1407/3479/9821/5256/89801/8908/5255/5165/9759/3632/5837/6095/3340/32/51548/57103/8871/117/2932/10269/2683/8898/84572/9942/10580/23411/2033/5836/3705/5106/5834/4923/80183/5257/3038/23417/10295/54928/2997/208/51477/2931/51422/28964/2584/2648/8821/10891/10728/2784/7167/79158/2822/2908/8850/5210/2632/5443/2820/23178/8604/5341/3953/5321/34/6794/8987/5507/2805/4952/57486/5208/55577/27232/9572/64768/8445/3425/10776/83667/55829/55556/8864/51763/51805/5509/3612/3572/5502/8870/3706/3795/3973/3417/950/23710/6652/10499/9611/3613/7157/57521/3607/5366/3487/150094/207/5226/55347/1609/6622/23262/3486/8473/55790/414328/56623/26007/140710/2308/2132/3628/5163/5213/5903/9653/201163/80201/3098/5261/2585/197258/673/9334/85414/8867/51094/3099/10020/178/10380/2992/9348/5260/2852/221937/1353/8509/4837/3481/90007/2875/64223/1642/54541/6774/9677/3667/4204/55276/7360/55454/5028/2990/2720/10678/5209/3037/3643/5581/55657/64080/2548/5223/5728/55277/5499/27235/79660/114897/256356/89792/5771/26471/79369/1196/9852/151176/7262/3418/2131/5504/283871/27124/5071/84197/8660/5501/5465/51547/7874/378884/83931/11091/57001/3269/6714/23729/5167/6120/6526/2475/2710/3633/84912/51451/5500/2595/648791/90673/89",225,1
"cellular component disassembly","enu",0,1,"enu",0.995995191562851,NA,"GO:0022411","5976/292/3920/85477/5048/51534/26993/23376/6591/6683/9821/11345/23274/79142/822/55187/51474/57602/9474/81671/6602/55102/1659/89795/4943/3796/139341/55062/1459/9448/9948/6720/2011/6605/4905/23332/7251/119/6624/88/832/2191/5289/57103/55604/79876/65094/6604/2932/9706/25978/10269/22911/2017/4528/51510/10075/581/4313/55239/118/10059/6790/22974/64147/11213/79594/57192/11198/10013/9342/4320/27443/6598/23616/11078/24144/25793/10043/706/84164/3091/23405/7443/22985/128866/1471/84557/4281/6901/80183/4324/7249/29904/2935/9325/55192/79752/11075/665/7040/10226/11140/8775/83743/1777/23770/3249/2931/136319/7046/23064/6456/8729/22943/80279/6603/84687/1845/57482/55294/3312/23130/55626/10645/59341/4739/54516/26235/10973/9037/10297/6711/27429/51652/5341/2043/11315/829/9181/9829/9927/149371/3925/8289/23271/8673/6418/10783/9525/7043/9617/51569/2107/317/81930/5290/219402/10133/4327/4035/4778/130399/9349/718/63908/11034/3831/8678/22863/3306/6597/7429/29767/146057/54832/2258/55201/27243/84971/93974/55337/91574/10882/5119/4131/7153/23647/5562/1984/27183/10763/23075/9645/23175/324/29979/84749/57231/10677/64780/3915/10154/50853/26586/3936/3569/10241/7111/55014/1515/4609/3159/10211/5962/102/51332/57159/29766/23710/144165/5830/6601/65082/8562/3480/25989/5045/6457/10300/81631/7157/56270/162427/6455/11132/5195/11004/51506/1513/8444/1939/8751/23557/10456/51542/79137/9922/64422/9711/493856/5295/9140/8473/91782/123/401548/2934/92399/120/6749/4314/3688/5756/2241/2059/101/291/57724/130271/53918/54463/5578/126731/11096/57466/9131/9941/4323/26100/65018/9507/8867/23400/3099/146206/1676/57731/57551/162989/56893/2264/8878/6811/5563/10630/51375/25893/4921/132671/1520/29765/7855/57326/56203/25802/23122/56648/6314/79443/4241/327/256471/51368/6059/91137/2150/84340/2852/1020/58526/7415/1073/382/65991/10023/170689/256764/5579/50810/10904/4319/89927/5347/4130/10982/2801/2021/124045/57701/3396/54541/23192/154/1677/11337/983/84305/3799/3643/5499/253725/1072/10524/6599/1263/6712/488/285590/55486/9793/9776/23399/79643/55254/664/11145/666/344148/140775/8408/2629/57104/2314/2580/81858/79929/92815/23401/100287171/285973/10193/9798/668/340061/10519/3297/5071/146909/347240/1201/196528/27341/23708/124056/30849/4312/54543/11152/6840/3064/50861/10533/1803/6709/440738/65992/444/7405/987/801/830/6721/79065/780/1639/25851/285636/22828/7416/51024/11331/64601/10715/28985/57026/57553/11037/11344/143244/29082/57132",432,1
"cellular nitrogen compound catabolic process","enu",0,1,"enu",0.679264613269818,NA,"GO:0044270","22875/23098/5976/60528/7812/1774/23034/6050/51071/1244/1890/7431/8635/7133/55596/54888/23644/23517/51154/9967/23369/54542/10758/8531/4913/4904/5141/1994/6093/23293/26986/5151/10644/38/23016/10179/4292/7374/22978/56915/57690/4850/7188/79670/22894/581/4849/8570/22803/2521/645/57060/8761/27327/54890/3183/26523/51816/11332/1153/27443/9567/3162/164668/23112/23405/79882/328/25939/1869/215/2332/81602/23417/4363/2935/3163/23475/10940/3646/10535/259307/59284/1777/5143/54555/2931/56006/56829/4521/23658/644/51010/1787/23185/55149/22794/1655/8882/28960/55110/4848/1432/221662/10846/10591/55603/83594/11044/57472/5144/4968/54464/8087/22916/8942/9887/5511/22868/9615/81892/4329/55051/11340/2107/317/23435/64282/51538/170685/79002/23583/5393/27161/79072/23019/65109/30833/3704/192669/7389/55795/7186/79066/5447/7538/4357/7263/200316/1854/8930/9513/51690/25804/23404/23211/1736/3620/4245/79727/2926/10247/55544/272/9811/9475/84893/9698/192670/23318/9704/10492/4907/79899/9924/6041/1660/149041/79621/8803/55270/10643/3569/9238/91875/10588/4686/87178/10128/953/80312/1763/6741/79675/3184/8654/246175/6996/79661/5073/79068/283927/10140/9775/115024/207/26135/51542/5433/129563/9125/57721/92345/635/10957/1807/84186/57109/85456/10658/472/51092/54915/114609/3176/25819/196513/26019/51594/678/255967/53918/23589/3192/5578/252969/146857/4343/23367/9337/6832/9131/9941/23049/7498/115572/55571/124245/978/10642/7832/1676/5152/162989/4116/23498/9261/8802/54502/80149/5580/80335/11157/167153/10922/51808/7415/11164/3251/56339/25961/219988/115752/2021/55181/5436/2237/2668/8313/54790/161823/65110/3094/1677/6419/84305/53343/51013/27115/5394/246243/55106/3669/10605/8801/27254/10924/80198/167227/84153/4615/11163/1267/90806/201626/170506/27257/440672/10949/2081/22882/54512/55095/80153/9582/79077/284071/4869/399664/8241/25904/125061/54855/7378/668/11187/5142/56478/3297/677/253943/200035/957/84069/200424/79048/389421/340719/1806/377841/55629/23708/55190/100/27044/9583/128486/3182/955/5167/57089/51441/131870/9652/29883/4860/23381/26058/550643/1797/6499/3304/3303/57819/5150/56953/10921/131405/11277/1773/2592/390916/283/23053/60493/118460/440823/197135/60674/60489/57026/140564/27350/10984/11165",385,1
"cellular response to environmental stimulus","enu",1,1,"enu",0.858621683701738,NA,"GO:0104004","2729/572/23028/1387/9020/1407/672/2067/477/6591/355/578/159/3309/57646/5888/1535/23596/8531/5424/841/54929/1265/4638/6416/7132/7158/8692/64710/4734/10681/51109/5743/10714/7520/1785/10269/5978/231/581/4313/2767/83959/6548/57192/51776/22861/825/4214/23411/5064/706/9978/2033/7528/4776/958/79913/7076/5595/10725/9683/9780/29108/90427/6422/1936/8797/5971/208/57817/136319/835/2022/5599/10367/8787/1277/4790/1410/79073/41/59341/10635/6337/4055/1432/2822/5810/1894/80303/54206/9181/1647/6513/6794/9994/5311/894/8111/1958/8795/943/1408/5290/51426/84329/3759/5269/1026/3659/2868/6662/3553/79085/2002/22890/468/440275/54617/22927/63979/5111/842/1965/54407/1643/9575/26056/9958/4193/183/51719/3364/4836/6326/10010/7099/7507/4609/10413/834/580/2247/675/8451/9990/3480/7157/57521/8915/25896/163859/142/388/79823/84236/6423/5295/11011/6872/27063/85456/472/1111/4314/144715/26272/9531/9397/5796/55364/7508/63895/5603/9577/8450/50848/138162/362/6154/6339/3428/5580/993/3673/25836/836/167153/7098/23514/94241/7486/26012/56339/6609/4239/64223/1642/8772/55872/624/3954/8738/10746/55031/4255/5429/51499/80131/84230/55144/5481/5734/598/83695/5728/150678/5883/4615/9943/1605/10276/3981/3265/170506/545/2072/375757/664/2885/5339/9212/811/3753/85453/4869/92815/6517/10856/11200/56160/3297/9230/5600/79184/677/8372/11261/3014/1201/26155/2547/4311/4312/65267/7442/641/27347/2475/114769/6494/11277/1654/10715/358/441027/4157/3690/404672",270,1
"chromatin remodeling","enu",0,1,"enu",0.696982949438426,NA,"GO:0006338","23028/3720/9031/22955/8193/23304/65980/7175/51773/57492/57504/56848/6602/9682/9759/22933/53615/6596/4171/6605/5927/60/9733/11176/51548/55183/6595/10847/6604/7994/10269/546/2122/8438/84678/3183/11198/9044/23411/55506/9274/27443/6598/23523/7290/2033/7528/57680/9675/79913/23347/6839/6594/5931/10725/10664/8312/11339/54108/51366/55011/84444/55723/83743/29844/10467/2146/9275/23081/10360/6603/2648/2145/10014/6830/605/1108/29915/25842/23506/4001/83989/6500/9555/93973/8850/54891/1058/83444/84759/23451/150572/26038/3065/51377/8458/10765/5929/1810/8289/4297/29855/23314/6418/1788/3070/6045/5290/84083/79903/11335/1017/4778/55355/29994/140690/84181/57169/6615/3007/3024/8970/7913/6662/8242/55795/22890/8089/50809/6597/23030/8520/54617/3169/9070/1028/55274/10155/1786/9557/57343/23378/10514/23558/3021/23135/4678/22880/56154/5977/4017/8932/51535/6733/83852/11143/86/64855/10541/4609/3159/80312/50485/6601/5925/22893/6760/7157/90378/473/63976/23421/9869/57459/80854/257218/7403/54107/6749/5058/9219/1111/8091/152485/79723/8467/125476/10428/9320/1105/23522/57798/1859/8365/10361/54069/8208/1487/8888/4000/10629/5928/114803/84661/3020/56916/6944/23429/55689/55193/23272/23132/3148/201973/11164/9188/29117/201161/80063/54815/8085/10036/3008/4204/25942/283899/200558/1107/114825/4798/8493/55636/10782/2186/55729/170394/3054/4615/23133/10524/93624/6599/1106/9416/55196/8607/84823/4524/80205/266812/55929/57673/23512/51341/144108/85453/8347/79813/4869/92815/29072/375748/6304/4692/9112/10856/54880/57634/653604/64061/3009/8349/8971/8340/353274/64754/26013/4675/4674/54821/4673/23270/3010/51547/359787/10445/3006/401541/3014/26155/3005/196528/7259/132660/3146/54737/6829/11091/3066/8364/8356/8363/25788/8351/5253/121504/57708/11177/9646/7150/84456/387103/126961/333932/57683/1616/6015/6046/4676/8110/23234/2074/7503/646817/8341/100048912/10984",327,1
