"","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"3","control cycle1 - enu cycle3",-6.66666666666666,4.8569823736326,16,-1.37259437111784,0.652531994346938,"ns"
"5","control cycle1 - enu cycle6",-17.3333333333333,4.8569823736326,16,-3.56874536490638,0.0186576053261786,"*"
"6","control cycle1 - control cycle9",0.499999999999999,4.20627012129908,16,0.118870159447957,0.999949527655449,"ns"
"7","control cycle1 - enu cycle9",-26.6666666666667,4.20627012129908,16,-6.33974183722439,8.40789947497145e-05,"****"
"20","enu cycle3 - enu cycle6",-10.6666666666667,4.8569823736326,16,-2.19615099378854,0.230497368147039,"ns"
"21","enu cycle3 - control cycle9",7.16666666666666,4.20627012129907,16,1.70380561875405,0.458993289172984,"ns"
"22","enu cycle3 - enu cycle9",-20,4.20627012129907,16,-4.7548063779183,0.00173617220654276,"**"
"26","enu cycle6 - control cycle9",17.8333333333333,4.20627012129907,16,4.23970235364381,0.00486382241574612,"**"
"27","enu cycle6 - enu cycle9",-9.33333333333333,4.20627012129907,16,-2.21890964302854,0.222399136909737,"ns"
"28","control cycle9 - enu cycle9",-27.1666666666667,3.43440517249915,16,-7.91015191923265,5.6453163543857e-06,"****"
            Df Sum Sq Mean Sq F value   Pr(>F)    
condition    1 1989.1  1989.1  56.214 1.27e-06 ***
cycle        3  816.5   272.2   7.691   0.0021 ** 
Residuals   16  566.2    35.4                     
---
Signif. codes:  0 '***' 0.001 '**' 0.01 '*' 0.05 '.' 0.1 ' ' 1
